total_timesteps,fps,clipfrac,approxkl,n_updates,policy_entropy,serial_timesteps,policy_loss,value_loss,explained_variance,time_elapsed,ep_len_mean,ep_reward_mean
260096,577,0.015185547,0.0015126285,127,5.1023626,260096,-0.004932894,10.485212,0.931761309504509,464.7981481552124,1304.97,976.81299137
262144,537,0.070214845,0.0057438347,128,5.104232,262144,-0.0034978013,24.833593,0.9134573489427567,468.3461253643036,1287.06,960.90789473
264192,569,0.030859375,0.0029174765,129,5.1093807,264192,-0.0042239563,8.119087,0.9504296220839024,472.1572115421295,1302.12,973.8391667000001
266240,558,0.059667967,0.0053857625,130,5.108765,266240,-0.0022219135,19.451033,0.8835709542036057,475.7534432411194,1320.32,988.94455386
268288,574,0.049609374,0.0039013172,131,5.101798,268288,-0.0047004297,25.921772,0.8976648151874542,479.423620223999,1323.33,994.3775249200002
270336,590,0.048046876,0.004136897,132,5.113466,270336,-0.0044727763,23.02784,0.8274281471967697,482.9893534183502,1344.46,1010.2898219700002
272384,581,0.02631836,0.0027357102,133,5.124748,272384,-0.0007336423,6.5784545,0.9660837352275848,486.45957493782043,1348.47,1012.8503338600001
274432,561,0.027392577,0.002572894,134,5.126416,274432,-0.0029473624,21.260456,0.8816176280379295,489.9828026294708,1348.47,1013.44092974
276480,572,0.033203125,0.0027984155,135,5.124338,276480,-0.0022359632,24.158178,0.9081377610564232,493.6314687728882,1352.16,1013.9974000999999
278528,564,0.06557617,0.005446569,136,5.115459,278528,-0.0031734959,20.459827,0.8560129702091217,497.20909905433655,1352.16,1015.14812493
280576,566,0.02758789,0.0027209534,137,5.109426,280576,-0.0022659283,31.31687,0.8789608329534531,500.8366129398346,1355.69,1018.8995960699998
282624,600,0.032080077,0.002804912,138,5.10524,282624,-0.0037891783,10.76891,0.9270937889814377,504.4533019065857,1313.92,979.0559657899998
284672,542,0.05234375,0.005693611,139,5.1148586,284672,-0.0059658093,24.485779,0.8962461948394775,507.86509013175964,1316.51,982.11292605
286720,594,0.04501953,0.0041514775,140,5.125793,286720,-0.0012714282,20.676859,0.6979465484619141,511.639111995697,1334.25,993.9237674899999
288768,599,0.016748047,0.0016816945,141,5.125301,288768,-0.0025789253,13.480838,0.8459880352020264,515.0845048427582,1342.13,998.8557020199999
290816,591,0.035839844,0.0031280727,142,5.1271715,290816,-0.0029031113,22.28053,0.770407110452652,518.5019617080688,1357.73,1010.0180714100002
292864,582,0.036132812,0.0030318087,143,5.138244,292864,-0.00172567,16.84238,0.7451526820659637,521.9665710926056,1357.73,1006.1454813800001
294912,577,0.06547852,0.0050755674,144,5.142101,294912,-0.0050971936,4.4691935,0.9757903218269348,525.4834420681,1348.49,996.72878643
296960,573,0.028027344,0.0029004323,145,5.1408224,296960,-0.0026256568,24.806074,0.9233780428767204,529.0291106700897,1367.45,1013.70665895
299008,567,0.016503906,0.0019492252,146,5.1345215,299008,-0.0031215611,6.008972,0.9686398133635521,532.6036601066589,1368.21,1014.54753654
301056,589,0.04008789,0.0033431582,147,5.1315312,301056,-0.0021936304,21.725597,0.7549793422222137,536.2163228988647,1368.21,1014.27278793
303104,606,0.029833984,0.0027396043,148,5.138097,303104,-0.0017792087,20.337673,0.7700586020946503,539.6884942054749,1356.2,998.6961798800002
305152,603,0.05292969,0.00453772,149,5.1388206,305152,-0.0034149743,25.430449,0.7036002278327942,543.0651636123657,1360.08,996.6296262400001
307200,590,0.033935547,0.0034395526,150,5.1419363,307200,-0.003806991,7.077857,0.9656403288245201,546.4584193229675,1340.38,979.9405714900001
309248,564,0.0597168,0.004752309,151,5.137225,309248,-0.00522888,20.152517,0.8649111241102219,549.9310853481293,1354.97,992.8734139400002
311296,553,0.055273436,0.004978235,152,5.145091,311296,-0.0037150264,23.000193,0.9116061478853226,553.558601140976,1358.64,995.4308832500001
313344,561,0.033691406,0.0038648571,153,5.1533904,313344,-0.0076979524,5.0647364,0.9727099165320396,557.2629897594452,1345.06,982.71238156
315392,542,0.043359376,0.0037592046,154,5.145538,315392,-0.0025543598,19.911564,0.8962944447994232,560.9086019992828,1345.06,983.50150627
317440,589,0.011865234,0.001300263,155,5.1526484,317440,-0.0018233495,23.78154,0.8653357326984406,564.6873867511749,1338.11,979.85645568
319488,559,0.035449218,0.0038677633,156,5.1604357,319488,-0.0032801162,12.7519245,0.9156686961650848,568.1651005744934,1338.11,975.10231065
321536,536,0.031445313,0.0027967314,157,5.166438,321536,-0.0025935657,19.879566,0.8827667906880379,571.8246982097626,1338.11,975.45645778
323584,525,0.038134765,0.0036230807,158,5.16217,323584,-0.0013308178,19.588148,0.8827443793416023,575.6395149230957,1353.6,990.8161884000001
325632,560,0.025732422,0.0025149598,159,5.1503744,325632,-0.00299985,10.559778,0.8437161445617676,579.5384085178375,1350.24,987.3798283700002
327680,527,0.02890625,0.0030105817,160,5.1500325,327680,-0.0037117582,13.505139,0.9541719257831573,583.1959166526794,1359.62,993.6305097800001
329728,550,0.05444336,0.004394521,161,5.151077,329728,-0.002326217,20.018652,0.884912371635437,587.0765051841736,1375.22,1009.63409327
331776,549,0.026513672,0.0025069064,162,5.147977,331776,-0.0037630934,21.433569,0.8140386193990707,590.7944412231445,1390.92,1025.6051684300003
333824,608,0.04042969,0.0034917921,163,5.1512246,333824,-0.0032005664,21.44305,0.7930215448141098,594.5199775695801,1391.26,1023.1115625900001
335872,562,0.041650392,0.0033948577,164,5.159335,335872,-0.0026377947,14.912611,0.7418235540390015,597.8872163295746,1406.98,1033.8105652000002
337920,537,0.039990235,0.0036904055,165,5.1543465,337920,-0.004366146,21.360287,0.8625038713216782,601.528570652008,1420.48,1044.87638101
339968,552,0.046240233,0.0036817896,166,5.1433992,339968,-0.0032988335,19.686056,0.8714769184589386,605.3417971134186,1420.48,1045.41006782
342016,555,0.06928711,0.005587533,167,5.134691,342016,-0.003524384,19.805252,0.89366764575243,609.0521864891052,1420.48,1043.72457551
344064,557,0.044873048,0.004747965,168,5.1295896,344064,-0.00774669,25.25253,0.8956165388226509,612.7369139194489,1405.35,1029.78347032
346112,602,0.08554687,0.0074034473,169,5.1355395,346112,-0.009474455,11.753945,0.7874681949615479,616.412460565567,1405.35,1026.33922986
348160,594,0.05332031,0.005509932,170,5.1511836,348160,-0.0048233666,14.515874,0.7670283168554306,619.8150479793549,1405.35,1021.79207436
350208,565,0.046191406,0.003929404,171,5.1648445,350208,-0.0015145291,19.703451,0.8790264949202538,623.2633848190308,1405.35,1020.8145440999998
352256,514,0.039794922,0.0036800723,172,5.174407,352256,-0.0020143702,20.042934,0.8868268504738808,626.8845181465149,1405.35,1020.84554296
354304,490,0.02080078,0.0019776667,173,5.176725,354304,-0.0025872763,20.801052,0.8628390580415726,630.8648686408997,1405.35,1018.46763074
356352,416,0.024414062,0.0026115982,174,5.169363,356352,-0.0014429332,19.500622,0.8718686103820801,635.0437395572662,1405.35,1018.1646000799998
358400,504,0.048779298,0.0041304827,175,5.1477613,358400,-0.0032897412,19.225826,0.8878321573138237,639.9567983150482,1423.28,1034.8335695
360448,514,0.057519533,0.005018501,176,5.141563,360448,-0.0037939176,19.99468,0.8833574205636978,644.0225737094879,1437.6,1049.2623458699998
362496,479,0.04633789,0.0039853216,177,5.139943,362496,-0.0036951858,15.090492,0.8652325570583344,648.0029947757721,1437.6,1044.81769132
364544,512,0.050585937,0.004221972,178,5.145011,364544,-0.003368706,19.891874,0.8733898252248764,652.2761089801788,1437.6,1046.1635531299999
366592,455,0.02265625,0.0023576966,179,5.150696,366592,-0.0022214395,19.616375,0.8807830065488815,656.2709720134735,1437.6,1047.47484482
368640,536,0.063769534,0.0050249053,180,5.145589,368640,-0.0028434398,20.026829,0.8550312668085098,660.7679114341736,1437.6,1048.19168694
370688,507,0.0375,0.0047987537,181,5.1433306,370688,-0.0051700016,24.862457,0.8966837301850319,664.5864515304565,1459.07,1067.0207429499999
372736,499,0.05834961,0.004694327,182,5.1488223,372736,-0.0024339382,19.908566,0.8666787892580032,668.625661611557,1459.07,1068.22564072
374784,536,0.049121093,0.0044195014,183,5.1561,374784,-0.0044694054,17.75169,0.7043293416500092,672.725551366806,1474.47,1078.5225940399998
376832,472,0.04897461,0.0039500715,184,5.156773,376832,-0.0022180118,19.816128,0.8685374408960342,676.5425536632538,1490.3,1094.8544940399997
378880,521,0.047607422,0.0044334345,185,5.148017,378880,-0.0027247735,19.810427,0.8707941919565201,680.876770734787,1490.3,1096.87105115
380928,519,0.017480468,0.0021688384,186,5.138479,380928,-0.0013162775,20.063221,0.8655382394790649,684.8025906085968,1490.3,1097.11806729
382976,504,0.06201172,0.0047916817,187,5.135665,382976,-0.0027131385,19.935162,0.8657998293638229,688.748158454895,1502.33,1110.21453698
385024,526,0.092236325,0.0068535744,188,5.141721,385024,-0.0049358807,19.579557,0.883512906730175,692.8069248199463,1502.33,1110.69974318
387072,538,0.0625,0.0052039633,189,5.1477923,387072,-0.0014246829,19.92289,0.8699536919593811,696.6981043815613,1502.33,1111.63781006
389120,517,0.07495117,0.00587947,190,5.148342,389120,-0.004173368,20.012295,0.8680172711610794,700.5028417110443,1516.9,1127.1552048700003
391168,575,0.03461914,0.0033946391,191,5.1487446,391168,-0.0051553776,24.021961,0.9040688201785088,704.4643647670746,1482.41,1105.14128596
393216,538,0.039501954,0.0034707203,192,5.159908,393216,-0.0016222715,19.71078,0.8758767992258072,708.0229110717773,1500.73,1122.3132579000003
395264,562,0.04711914,0.012078763,193,5.165109,395264,-0.0030711612,34.223824,0.8926929384469986,711.8255777359009,1482.58,1105.79934491
