serial_timesteps,policy_entropy,fps,total_timesteps,time_elapsed,explained_variance,approxkl,policy_loss,value_loss,clipfrac,n_updates,ep_len_mean,ep_reward_mean
354304,4.8674746,474,354304,751.0120987892151,0.7991594523191452,0.0037108108,-0.0043862583,23.13564,0.043652344,173,1550.25,1033.30931508
356352,4.862422,465,356352,755.3310770988464,0.8364246785640717,0.00474348,-0.007315258,22.543043,0.04921875,174,1545.24,1030.09551282
358400,4.859492,481,358400,759.7321360111237,0.9068514257669449,0.0033014428,-0.0021016523,7.9233093,0.034472656,175,1547.56,1032.2927802499999
360448,4.8663654,483,360448,763.9863765239716,0.9070342779159546,0.0028693022,-0.002036901,7.8587465,0.029101562,176,1552.39,1035.93661509
362496,4.8581743,452,362496,768.2267334461212,0.9384349174797535,0.0038230824,-0.0025099167,7.6397705,0.043261718,177,1545.52,1033.5560369599998
364544,4.862256,461,364544,772.7538905143738,0.8453734815120697,0.0038051128,-0.0023099142,7.462697,0.04453125,178,1543.91,1032.5584400799999
366592,4.876649,458,366592,777.1881575584412,0.8509168326854706,0.0034487643,-0.003762152,10.480477,0.037109375,179,1539.51,1028.95225979
368640,4.8719983,444,368640,781.6543502807617,0.849086657166481,0.0042451415,-0.0016246004,11.965251,0.046240233,180,1539.51,1027.80455293
370688,4.8816543,474,370688,786.2597825527191,0.7258228957653046,0.006227942,-0.0033304114,11.922055,0.0671875,181,1539.51,1029.14747763
372736,4.903007,468,372736,790.575852394104,0.701072096824646,0.008484891,-0.002038525,12.009314,0.09052734,182,1539.51,1026.9744111299997
374784,4.931039,455,374784,794.9514727592468,0.7107546925544739,0.005173298,-0.005652634,9.609827,0.06577148,183,1539.51,1025.06999021
376832,4.9461427,463,376832,799.4455289840698,0.8059222847223282,0.007203634,-0.0046918066,10.97195,0.08505859,184,1552.12,1032.94791855
378880,4.9605355,417,378880,803.8662912845612,0.7052777409553528,0.005403279,-0.0032271058,16.804838,0.06342773,185,1546.41,1027.7975094599997
380928,4.991173,426,380928,808.7763631343842,0.7335475385189056,0.006014312,-0.0057204715,8.403021,0.07553711,186,1546.41,1026.9493896
382976,5.0195975,417,382976,813.5756402015686,0.7732719480991364,0.005138537,-0.0066933916,8.100748,0.0652832,187,1546.41,1025.7981636499999
385024,5.0343537,448,385024,818.4827489852905,0.834507629275322,0.003821022,-0.00288946,9.417731,0.044873048,188,1546.41,1024.5102577199998
387072,5.028243,431,387072,823.0493466854095,0.7328504323959351,0.004358369,-0.004945921,8.336599,0.048046876,189,1546.41,1024.1368281199998
389120,5.0427704,474,389120,827.7963292598724,0.7145261466503143,0.006943633,-0.004784829,10.3243475,0.08227539,190,1546.41,1022.8719797499999
