policy_entropy,fps,approxkl,explained_variance,n_updates,serial_timesteps,total_timesteps,policy_loss,value_loss,time_elapsed,clipfrac,ep_reward_mean,ep_len_mean
7.6426725,419,0.0023422702,0.007147610187530518,488,999424,999424,-0.0034308787,19.853603,2463.1327781677246,0.028710937,1675.9396610200001,1697.49
7.6478386,422,0.0014833149,-0.007542848587036133,489,1001472,1001472,-0.0005839348,20.085226,2468.0187709331512,0.018066406,1675.88438377,1697.49
7.656905,423,0.002567007,0.7845991998910904,490,1003520,1003520,-0.002818005,21.118305,2472.8677065372467,0.029882813,1682.6664162600002,1704.37
7.660939,420,0.0009703161,-0.005518794059753418,491,1005568,1005568,-0.0008191558,20.019047,2477.6990962028503,0.008105469,1682.7523384300002,1704.37
7.663844,430,0.0015089004,0.07719987630844116,492,1007616,1007616,-0.0028537868,19.278519,2482.5699129104614,0.016308594,1701.45563808,1723.31
7.651311,422,0.0020001174,-0.007690906524658203,493,1009664,1009664,-0.0011835254,20.024202,2487.325215101242,0.019921875,1702.96976301,1724.62
7.6375036,415,0.000837546,-0.013181090354919434,494,1011712,1011712,-0.00070682715,20.190105,2492.1739156246185,0.007958984,1702.84496297,1724.62
7.635524,387,0.0038179015,-0.003421783447265625,495,1013760,1013760,-0.0033768932,20.124794,2497.107188463211,0.05332031,1702.9273734999997,1724.62
7.636584,388,0.0008729456,0.012606799602508545,496,1015808,1015808,0.00027156546,19.923983,2502.3870334625244,0.0071289064,1702.8723703399996,1724.62
7.6296797,412,0.0015850819,0.0018292069435119629,497,1017856,1017856,-0.0008356681,20.061668,2507.6588702201843,0.0140625,1702.9041958299997,1724.62
7.626748,435,0.002591088,0.0025600194931030273,498,1019904,1019904,-0.0017986916,20.10248,2512.623389482498,0.026757812,1703.06404998,1724.62
7.6319413,412,0.0042870184,-0.00012981891632080078,499,1021952,1021952,-0.003739475,20.117563,2517.3234963417053,0.05625,1703.11457468,1724.62
7.630156,413,0.0014314238,-0.01012730598449707,500,1024000,1024000,-0.0026490346,20.293545,2522.29479432106,0.0146484375,1703.1031422199999,1724.62
7.6256433,395,0.002134902,0.006845414638519287,501,1026048,1026048,-0.0004724868,20.04179,2527.247677087784,0.024365235,1721.99659211,1743.53
7.632125,422,0.0023649961,0.3071332573890686,502,1028096,1028096,-0.0040077036,16.477865,2532.420996427536,0.025048828,1722.02242167,1743.53
7.637713,413,0.0014417259,-0.0012848377227783203,503,1030144,1030144,-0.0004645558,20.101025,2537.263245344162,0.013964844,1722.18787784,1743.53
7.6390467,421,0.005350004,0.0016764998435974121,504,1032192,1032192,-0.0021468052,19.997341,2542.219841003418,0.07075195,1741.3452572100002,1762.68
