fps,serial_timesteps,policy_entropy,clipfrac,explained_variance,approxkl,n_updates,policy_loss,total_timesteps,value_loss,time_elapsed,ep_len_mean,ep_reward_mean
588,210944,3.3780975,0.015820313,0.8323397785425186,0.0018819127,103,-0.0027460305,210944,8.074882,754.4737331867218,1417.32,690.2943079800002
563,212992,3.378067,0.031884767,0.8472695052623749,0.0028717713,104,-0.0049897837,212992,11.564681,757.9520351886749,1430.12,699.1121145500001
598,215040,3.3753428,0.016455078,0.9175069108605385,0.0017601766,105,-0.002484684,215040,4.9497786,761.5859971046448,1429.41,698.9573813400001
595,217088,3.3694139,0.0675293,0.8275547176599503,0.0052809683,106,-0.0065284334,217088,9.278284,765.0098996162415,1429.41,699.59121539
586,219136,3.3750405,0.021191407,0.808157354593277,0.002152762,107,-0.004597792,219136,17.222982,768.4512803554535,1410.01,688.7708279700003
450,221184,3.381591,0.040234376,0.8923894986510277,0.0039582644,108,-0.004985971,221184,16.77412,771.9434595108032,1440.43,708.3397270800001
198,223232,3.395647,0.11010742,0.9204967245459557,0.008421962,109,-0.0015181194,223232,2.1101918,776.4934191703796,1440.43,699.1038203400002
460,225280,3.3948913,0.040625,0.9243340790271759,0.0037134707,110,-0.0034441357,225280,9.861798,786.8319399356842,1440.43,700.1561415199999
194,227328,3.4093013,0.110644534,0.9207212403416634,0.008452962,111,-0.0037011597,227328,1.8788786,791.2753336429596,1456.43,702.27368676
600,229376,3.4166808,0.02236328,0.8778539896011353,0.0020264685,112,-0.0016161505,229376,9.270886,801.8233931064606,1456.43,702.6688187999998
583,231424,3.4162335,0.011230469,0.8279168158769608,0.0011967497,113,-0.0038458654,231424,12.531431,805.2363224029541,1427.47,699.5825233099999
611,233472,3.4113498,0.021679688,0.8627432137727737,0.0021625196,114,-0.001489078,233472,8.084419,808.7490689754486,1427.1,698.91044431
576,235520,3.407333,0.031542968,0.8995237052440643,0.0030343032,115,-0.004659026,235520,8.6685095,812.0982012748718,1427.1,700.16904123
604,237568,3.4127204,0.020507812,0.9090208485722542,0.0020076053,116,-0.0018536181,237568,8.522587,815.6509938240051,1423.72,696.94043833
601,239616,3.4170594,0.053759765,0.8053293526172638,0.004532174,117,-0.005188332,239616,9.161924,819.0396671295166,1423.72,696.5041587499999
217,241664,3.4278839,0.044189453,0.8445446491241455,0.003881164,118,-0.0063878656,241664,20.027475,822.4421315193176,1420.71,695.9612093000001
400,243712,3.4353833,0.061767578,0.974801866337657,0.0051506264,119,-0.00654554,243712,4.3950706,831.8752961158752,1401.82,675.8981714700001
586,245760,3.439405,0.015136719,0.8446413427591324,0.0015195908,120,-0.0029924507,245760,13.163289,836.990273475647,1402.09,677.5733638299998
