approxkl,value_loss,policy_entropy,clipfrac,ep_reward_mean,time_elapsed,n_updates,total_timesteps,explained_variance,serial_timesteps,policy_loss,ep_len_mean,fps
0.005525058,11.231525,3.6892116,0.07070313,924.0497655299997,2825.6452736854553,836,1712128,0.859145998954773,1712128,-0.005300493,1288.83,588
0.0037172935,18.720184,3.6842556,0.03828125,927.5664844199999,2829.127345085144,837,1714176,0.7782596498727798,1714176,-0.000917808,1288.83,535
0.0059449947,18.973198,3.684276,0.067675784,934.11288423,2832.9564929008484,838,1716224,0.7628991156816483,1716224,-0.004806495,1288.83,543
0.0060671982,19.227514,3.6810417,0.07749023,940.2463717799999,2836.7257430553436,839,1718272,0.7830311357975006,1718272,-0.002656927,1288.83,552
0.0035571582,19.912987,3.678147,0.039697267,957.2329182899999,2840.4346396923065,840,1720320,0.7849556356668472,1720320,-0.0021584202,1305.55,570
0.0066751326,12.145536,3.6815193,0.07724609,968.31458017,2844.027505636215,841,1722368,0.5813904702663422,1722368,-0.0029979101,1322.48,565
0.0044467873,11.0696125,3.6857982,0.04873047,968.4004048699999,2847.649522304535,842,1724416,0.9157268404960632,1724416,-0.00072875404,1322.48,559
0.0024491204,19.850515,3.6947284,0.025,979.29777049,2851.3083000183105,843,1726464,0.8315141201019287,1726464,-0.0019585888,1332.21,555
0.009607384,19.17923,3.699674,0.13735351,982.45111093,2854.996494293213,844,1728512,0.7718347609043121,1728512,-0.004863958,1332.21,542
0.007248669,21.212017,3.7047455,0.08491211,997.66099558,2858.773562669754,845,1730560,0.7951860576868057,1730560,-0.005019331,1345.16,575
0.004811891,10.937803,3.7125523,0.05307617,1008.75088988,2862.3334670066833,846,1732608,0.9013247117400169,1732608,-0.0049991244,1361.65,569
0.0058531975,18.929987,3.7309184,0.07709961,1025.56585202,2865.9333624839783,847,1734656,0.7736884504556656,1734656,-0.0030722371,1379.22,538
0.0042908904,20.887749,3.741511,0.047265626,1041.2581594600001,2869.740124940872,848,1736704,0.8146579563617706,1736704,-0.002376315,1393.65,572
0.0032109984,33.274624,3.7583745,0.035302736,1054.78073444,2873.3197572231293,849,1738752,0.8146318048238754,1738752,-0.00533076,1409.14,602
0.0050903466,10.598605,3.7695045,0.06679688,1065.7919299300002,2876.717498779297,850,1740800,0.6543565690517426,1740800,-0.006252161,1425.67,584
0.0035821062,14.149706,3.773583,0.03984375,1064.45159875,2880.2219297885895,851,1742848,0.8248831182718277,1742848,-0.004513286,1425.67,585
0.004644864,16.673536,3.7912326,0.053857423,1078.57626311,2883.7183237075806,852,1744896,0.8212458193302155,1744896,-0.00472171,1439.39,557
0.004615785,19.51972,3.8104005,0.051513672,1095.94740533,2887.3948559761047,853,1746944,0.8493359237909317,1746944,-0.005665242,1457.03,572
