approxkl,serial_timesteps,explained_variance,policy_entropy,n_updates,value_loss,fps,clipfrac,total_timesteps,policy_loss,time_elapsed,ep_reward_mean,ep_len_mean
0.0023943519,475136,0.7959022372961044,4.257276,232,20.475225,420,0.021484375,475136,-0.0024236452,1040.559520483017,1161.32943083,1374.53
0.003450524,477184,0.8525633960962296,4.249176,233,30.59515,471,0.0362793,477184,-0.00366889,1045.431512594223,1134.7722531699999,1350.07
0.0021613156,479232,0.9482082389295101,4.2576694,234,11.088377,446,0.024902344,479232,-0.00079294515,1049.7726094722748,1118.72335609,1334.55
0.0043481435,481280,0.8113401085138321,4.255412,235,20.154922,405,0.048339844,481280,-0.004255487,1054.3626034259796,1118.39394994,1334.55
0.004867632,483328,0.8358593136072159,4.247313,236,25.996387,414,0.05581055,483328,-0.006024232,1059.4090394973755,1134.1036689200002,1349.91
0.0021959434,485376,0.829741820693016,4.246627,237,21.609493,430,0.022509765,485376,-0.0026582286,1064.34836769104,1129.61317156,1349.91
0.0034727238,487424,0.8926715403795242,4.246108,238,25.207432,442,0.037597656,487424,-0.004583829,1069.1013431549072,1112.71160116,1333.43
0.0052743773,489472,0.8183859139680862,4.2680182,239,21.358385,448,0.06391601,489472,-0.0070179654,1073.7280077934265,1111.53851255,1333.43
0.004762308,491520,0.8357743322849274,4.287736,240,20.724712,432,0.057910156,491520,-0.0036540322,1078.2912108898163,1128.0567350400001,1349.33
0.010650132,493568,0.8160542100667953,4.288832,241,20.155499,427,0.13330078,493568,-0.004053614,1083.0288605690002,1126.56074279,1349.33
0.0054857614,495616,0.8315920680761337,4.2886443,242,24.858053,428,0.0715332,495616,-0.0043466627,1087.8164942264557,1108.9308958800002,1329.4
0.0070937695,497664,0.7636080086231232,4.2899594,243,19.76067,444,0.09033203,497664,-0.0021850627,1092.5928075313568,1123.99983772,1343.9
0.0022386552,499712,0.8953198045492172,4.29552,244,25.398798,441,0.022314453,499712,-0.0040192576,1097.2057344913483,1111.7870080300002,1327.06
0.0021201957,501760,0.9421243667602539,4.302743,245,11.992615,456,0.02236328,501760,-0.0042947144,1101.8408768177032,1079.63991685,1296.49
0.0024292176,503808,0.7880764305591583,4.306693,246,20.247824,423,0.023974609,503808,7.028575e-05,1106.3290123939514,1079.2552089600001,1296.49
0.0025922717,505856,0.8756169229745865,4.3012676,247,33.565804,465,0.026220703,505856,-0.0057588085,1111.163377046585,1059.43553545,1276.95
