fps,n_updates,explained_variance,value_loss,ep_reward_mean,policy_loss,ep_len_mean,time_elapsed,policy_entropy,total_timesteps,approxkl,clipfrac,serial_timesteps
294,769,0.8202935010194778,11.009052,852.3994869900001,-0.0037200134,1375.49,5180.046585798264,3.2704742,1574912,0.0032909117,0.0328125,1574912
290,770,0.7123923301696777,13.922626,850.2476536000001,-0.006360431,1375.49,5187.004523277283,3.2660651,1576960,0.006073197,0.072753906,1576960
300,771,0.8520461320877075,6.46231,858.4027693400002,-0.004536305,1389.14,5194.044086456299,3.2693965,1579008,0.004375697,0.04638672,1579008
308,772,0.7725749164819717,10.859843,866.6381422100001,-0.0024382642,1402.6,5200.866274833679,3.2733867,1581056,0.0049178777,0.05571289,1581056
298,773,0.9086403995752335,6.03388,866.8751585099999,-0.0059166388,1402.6,5207.500627040863,3.2747796,1583104,0.0036260996,0.03828125,1583104
289,774,0.6889297068119049,12.75576,877.2680632299998,-0.0004895203,1418.97,5214.372759580612,3.269373,1585152,0.0032466613,0.032421876,1585152
290,775,0.7711625844240189,12.430033,880.1462244699999,-0.006374539,1418.97,5221.455442905426,3.2655883,1587200,0.0065788114,0.08432617,1587200
308,776,0.7123820781707764,13.988782,885.31405165,-0.0024519358,1423.08,5228.504978656769,3.2624676,1589248,0.0031743336,0.03378906,1589248
290,777,0.9339396804571152,4.703062,881.0835989200001,-0.004955462,1423.08,5235.135040521622,3.2671826,1591296,0.003998817,0.04584961,1591296
287,778,0.817112073302269,10.572736,881.6979572700001,-0.0027982006,1423.08,5242.187749624252,3.2648933,1593344,0.0043018544,0.04765625,1593344
290,779,0.8006470650434494,17.215946,880.4173459799999,-0.0012571195,1423.9,5249.311307430267,3.2557132,1595392,0.0053670164,0.05961914,1595392
274,780,0.5320371687412262,11.146802,890.2478905400001,-0.0015171941,1438.74,5256.362953901291,3.250999,1597440,0.0074093556,0.08496094,1597440
274,781,0.6753808856010437,9.131,889.9926132999999,-0.005284433,1438.74,5263.823249578476,3.2561824,1599488,0.008558419,0.106933594,1599488
276,782,0.6065663695335388,10.874843,890.95241846,-0.005792734,1438.74,5271.280177116394,3.2624397,1601536,0.0077539734,0.08823242,1601536
286,783,0.7416224777698517,15.21283,878.5259305000001,-0.003004366,1423.34,5278.6837339401245,3.2630382,1603584,0.004683153,0.045556642,1603584
282,784,0.7740534394979477,14.649828,869.01675124,-0.00015626493,1406.72,5285.834056377411,3.2594192,1605632,0.0023425505,0.022460938,1605632
279,785,0.6807498335838318,10.977053,874.64140623,-0.0023886762,1406.72,5293.082509994507,3.2557445,1607680,0.0054949867,0.06821289,1607680
293,786,0.8848844915628433,9.704598,876.3572357799999,-0.0024045676,1400.27,5300.410214662552,3.2563179,1609728,0.0045461603,0.049853515,1609728
299,787,0.8080324679613113,19.553316,876.9180835999999,-0.004979764,1401.6,5307.3835327625275,3.2522418,1611776,0.003699674,0.04018555,1611776
282,788,0.8065765053033829,11.813604,867.1978625999999,-0.0025714166,1387.89,5314.214380264282,3.2425466,1613824,0.006266468,0.07319336,1613824
