n_updates,serial_timesteps,fps,approxkl,explained_variance,policy_entropy,time_elapsed,value_loss,policy_loss,total_timesteps,ep_reward_mean,clipfrac,ep_len_mean
103,210944,198,0.0050578974,0.9592314660549164,3.9461665,1495.2709419727325,2.3878589,-0.005358469,210944,1007.3237266000001,0.054394532,1230.67
104,212992,164,0.0059003374,0.9537776373326778,3.9319847,1505.5710110664368,2.9161594,-0.003994937,212992,1025.6750723,0.07338867,1249.28
105,215040,165,0.0031771385,0.9552809409797192,3.9251754,1518.0243678092957,2.753817,-0.0048871865,215040,1041.70869534,0.02993164,1264.93
106,217088,118,0.0018489355,0.942883811891079,3.9126594,1530.404173374176,9.911288,-0.0011912542,217088,1050.77674223,0.015722657,1273.7
107,219136,197,0.0029592824,0.9583838582038879,3.9061627,1547.6340177059174,2.3982482,-0.005725474,219136,1063.7770410500002,0.03178711,1286.57
108,221184,198,0.0051587205,0.9582499414682388,3.8811684,1558.0131182670593,2.4114928,-0.006488926,221184,1080.21212308,0.04575195,1302.65
109,223232,170,0.0039469777,0.9565102681517601,3.862786,1568.3459208011627,2.8146179,-0.0061871577,223232,1088.5456172200002,0.032958984,1310.72
110,225280,171,0.0037279096,0.964660357683897,3.8486485,1580.366403579712,2.8368592,-0.008460205,225280,1088.8919082400002,0.035595704,1310.72
111,227328,109,0.0059292507,0.8683817088603973,3.8528278,1592.342269897461,17.58716,-0.0038698078,227328,1088.1349765999998,0.048583984,1309.61
112,229376,199,0.0054040398,0.9573726542294025,3.8376403,1611.0469658374786,2.4544098,-0.005626322,229376,1102.80656058,0.055761717,1323.92
113,231424,114,0.0023953035,0.945189144462347,3.8162894,1621.2933835983276,9.802591,-0.0015577932,231424,1121.4854043300002,0.023144532,1342.66
114,233472,165,0.0034781923,0.962992936372757,3.811264,1639.1031346321106,2.928378,-0.0056405547,233472,1133.93426761,0.03237305,1354.5
115,235520,177,0.0052990476,0.960491169244051,3.8094888,1651.4610667228699,2.9691617,-0.0058051352,235520,1151.18495316,0.05673828,1372.16
116,237568,198,0.0030053626,0.9601256810128689,3.812009,1662.9698114395142,2.6544833,-0.0030958406,237568,1151.07397074,0.031640626,1372.16
117,239616,165,0.004199268,0.9616368375718594,3.818769,1673.2656757831573,2.4572403,-0.0048440034,239616,1167.00465824,0.039257813,1387.92
118,241664,198,0.002829334,0.9562013261020184,3.8128104,1685.6743285655975,2.4543893,-0.0014520222,241664,1183.37536136,0.02890625,1404.04
119,243712,116,0.0030384802,0.878355085849762,3.8086212,1695.984049320221,15.8903,-0.0030698774,243712,1176.63809769,0.029199218,1395.29
120,245760,170,0.005598391,0.960807740688324,3.7969055,1713.5147709846497,2.665079,-0.007722327,245760,1175.52131058,0.05986328,1392.64
121,247808,181,0.0043894085,0.9564796127378941,3.758451,1725.5420484542847,2.4852555,-0.0059097772,247808,1183.25091214,0.03881836,1395.35
122,249856,199,0.0034280508,0.9573845788836479,3.7325387,1736.8443496227264,2.3989465,-0.0050830944,249856,1201.04286332,0.031933594,1413.12
123,251904,137,0.0024227246,0.945791881531477,3.7283053,1747.1343927383423,9.04582,-0.003076578,251904,1218.9131016000001,0.025488282,1430.13
124,253952,170,0.002604118,0.9624746702611446,3.724619,1762.0382492542267,3.1128714,-0.0013941592,253952,1226.1883066799999,0.025585938,1433.6
125,256000,150,0.0035803053,0.9593208618462086,3.7192566,1774.0682537555695,6.620074,-0.0059090303,256000,1232.8331777699998,0.03022461,1433.86
126,258048,147,0.0030302652,0.9377093054354191,3.7298653,1787.6964070796967,11.053161,-0.0034169448,258048,1245.44020902,0.032128908,1444.47
127,260096,93,0.0032983278,0.9135109856724739,3.7423966,1801.6151242256165,19.57203,-0.0044001453,260096,1247.57080666,0.03725586,1440.4
128,262144,145,0.0031445734,0.9396387971937656,3.7520962,1823.440063238144,9.249472,-0.0041077123,262144,1239.7218769600001,0.035205077,1431.9
129,264192,140,0.0036534653,0.9418171383440495,3.7568653,1837.5136196613312,9.028063,-0.005924698,264192,1245.67408791,0.03852539,1436.91
130,266240,198,0.003325713,0.9575143344700336,3.7529902,1852.0793190002441,2.3965366,-0.0020266587,266240,1242.87263088,0.03413086,1433.6
131,268288,198,0.0052611204,0.9577096216380596,3.7254643,1862.3724291324615,2.383369,-0.004437416,268288,1249.3540801000001,0.04868164,1433.6
132,270336,113,0.0052214745,0.941212859004736,3.717776,1872.6861102581024,10.590686,-0.00603768,270336,1233.53979496,0.04638672,1418.18
133,272384,170,0.0023868019,0.9687907863408327,3.7242904,1890.654280424118,3.0886827,-0.0020841295,272384,1244.6668828499999,0.022216797,1428.64
134,274432,137,0.0033491023,0.9406332895159721,3.7121277,1902.6683695316315,10.083441,-0.0058097458,274432,1247.97593558,0.02631836,1431.76
