n_updates,fps,clipfrac,explained_variance,total_timesteps,value_loss,time_elapsed,policy_loss,approxkl,serial_timesteps,policy_entropy,ep_reward_mean,ep_len_mean
243,540,0.038476564,0.8477221429347992,497664,32.791325,905.8622069358826,-0.0007264123,0.0037515413,497664,4.7456436,1025.3288997299999,1363.81
244,552,0.060839843,0.7783706039190292,499712,20.51337,909.6544327735901,-0.003973986,0.004850767,499712,4.749141,1025.56700087,1363.81
245,550,0.045898438,0.9149412512779236,501760,12.783346,913.3636665344238,-0.006322338,0.003955274,501760,4.7638474,1020.13235998,1363.81
246,536,0.058251955,0.8671730160713196,503808,19.639557,917.0868408679962,-0.004204114,0.0052758167,503808,4.769781,1020.17745255,1363.81
247,549,0.03251953,0.8587704002857208,505856,20.294575,920.9017622470856,-0.0032445323,0.0030582906,505856,4.7642603,1036.34541147,1380.78
248,531,0.023535157,0.8569549173116684,507904,19.918417,924.6272397041321,-0.0027374628,0.0024642707,507904,4.754533,1034.80012889,1380.78
249,520,0.040625,0.7717588841915131,509952,21.046614,928.4792168140411,-0.002126046,0.0035198356,509952,4.751568,1036.7029426499998,1380.78
250,535,0.04873047,0.6652099192142487,512000,24.38287,932.4117450714111,-0.00646641,0.004850867,512000,4.7661858,1016.2230689199998,1364.5
251,533,0.061914064,0.9308736175298691,514048,10.621836,936.236307144165,-0.006045955,0.0061503416,514048,4.7826624,1024.72780374,1377.23
252,469,0.048535157,0.8712443858385086,516096,29.26116,940.0736970901489,-0.005137921,0.0041897097,516096,4.7896705,1043.2243244400001,1396.67
253,354,0.039160155,0.8755039125680923,518144,28.500713,944.4376022815704,-0.0059864847,0.0039852327,518144,4.7953,1056.3840928,1411.9
254,422,0.0140625,0.8796462565660477,520192,20.132809,950.2163546085358,-0.0021354086,0.0017045347,520192,4.788932,1069.00341134,1426.4
255,504,0.06708984,0.8713714331388474,522240,19.296019,955.0638904571533,-0.0013370363,0.0053292112,522240,4.77802,1084.61147801,1441.92
256,509,0.050390624,0.8816607594490051,524288,19.673885,959.122896194458,-0.004295585,0.004228081,524288,4.7589364,1100.44509242,1458.58
257,538,0.042333983,0.8615618348121643,526336,18.740694,963.1413991451263,-0.00080040994,0.0035240662,526336,4.7539253,1112.97272847,1469.76
258,568,0.054492187,0.7165506482124329,528384,13.483607,966.9469292163849,-0.0036631469,0.004372082,528384,4.7670302,1116.5608447,1477.36
259,535,0.04501953,0.938322227448225,530432,9.394935,970.5488736629486,-0.0047100754,0.004293347,530432,4.7881308,1113.52958499,1472.69
260,530,0.043017577,0.8515510708093643,532480,19.17043,974.3743085861206,-0.00182718,0.0038168796,532480,4.793325,1129.04414959,1487.34
261,566,0.040039062,0.7723170816898346,534528,44.285156,978.233749628067,-0.0042565414,0.0032860034,534528,4.790805,1142.22312942,1498.27
262,533,0.040380858,0.8896834403276443,536576,26.132812,981.851188659668,-0.0009679625,0.004249977,536576,4.802771,1142.36877343,1497.69
263,523,0.03828125,0.8654387444257736,538624,19.055592,985.6890375614166,-0.00062685955,0.003467704,538624,4.8022604,1143.34544264,1497.69
264,559,0.02451172,0.8446238189935684,540672,17.84299,989.5981369018555,-0.0066452757,0.0031992346,540672,4.8010187,1149.0936590000001,1504.48
265,524,0.02236328,0.8592326492071152,542720,29.152044,993.2595658302307,-0.0026986185,0.0030596848,542720,4.806041,1158.2578676100002,1511.92
266,574,0.024072265,0.7801348716020584,544768,19.923565,997.1672611236572,-0.0022826975,0.002414967,544768,4.8066897,1155.96779521,1508.93
267,531,0.033496093,0.9459078721702099,546816,13.553415,1000.7317373752594,-0.0033952384,0.0033511359,546816,4.8066187,1154.81643032,1506.81
268,550,0.02080078,0.9026951342821121,548864,23.58617,1004.5859501361847,-0.0019381348,0.0021544686,548864,4.814448,1155.57483944,1506.57
269,520,0.06826172,0.8591508269309998,550912,19.572506,1008.303474187851,-0.003230252,0.005739605,550912,4.816935,1155.57869616,1506.57
270,524,0.00859375,0.8815766274929047,552960,25.372002,1012.2408843040466,-0.003109486,0.0012774288,552960,4.8160415,1160.91707634,1506.89
271,546,0.03237305,0.8533630222082138,555008,18.880127,1016.1451482772827,-0.002478373,0.0031511139,555008,4.8037615,1175.52630348,1521.87
272,527,0.072949216,0.8466532081365585,557056,19.131817,1019.8940541744232,-0.0029409302,0.0056648823,557056,4.7991533,1175.9176725300001,1521.87
273,539,0.046582032,0.8552427291870117,559104,19.879742,1023.779269695282,-0.0019713966,0.0040475097,559104,4.7999,1191.9724314400003,1537.98
274,548,0.021728516,0.8791827782988548,561152,27.771473,1027.5727186203003,-0.0003520292,0.0023758237,561152,4.8020377,1192.37848176,1530.29
275,543,0.040527344,0.7860292494297028,563200,8.925283,1031.3070528507233,-0.0048337756,0.003660194,563200,4.810413,1187.9672564,1525.06
276,551,0.0328125,0.6305603086948395,565248,12.216124,1035.0778720378876,-0.0023720565,0.0029907806,565248,4.8207383,1185.6080708900001,1525.06
277,558,0.039990235,0.667231410741806,567296,10.463886,1038.7919342517853,-0.002813119,0.0036026184,567296,4.816375,1184.90620992,1525.06
278,543,0.024951171,0.9310543537139893,569344,9.253298,1042.4607801437378,-0.004579042,0.0027464484,569344,4.80722,1184.92964361,1525.06
279,563,0.015478516,0.8798365667462349,571392,28.263885,1046.22865152359,-0.0013728274,0.0016083956,571392,4.8112617,1183.101685,1520.56
280,558,0.030517578,0.8773495331406593,573440,27.189615,1049.8623082637787,-0.0035719448,0.0029244523,573440,4.8245134,1173.40730599,1504.85
281,530,0.050048828,0.8935270234942436,575488,24.325062,1053.5280983448029,-0.003330063,0.004183584,575488,4.8399954,1157.3209611500001,1487.16
282,537,0.030810546,0.8831464499235153,577536,26.492588,1057.3920867443085,-0.0043624956,0.0032701246,577536,4.8481593,1140.8908402000002,1470.63
283,539,0.021777343,0.6785257756710052,579584,12.425648,1061.2059144973755,-0.0008586606,0.002310298,579584,4.8455276,1149.6970253200002,1484.84
284,532,0.049365234,0.7016147375106812,581632,20.18717,1065.001945257187,-0.0042453636,0.004673521,581632,4.853717,1159.59522227,1501.0
285,550,0.046923827,0.818479061126709,583680,8.75594,1068.8452484607697,-0.0038473685,0.003855748,583680,4.8645787,1159.0835307700002,1500.22
286,527,0.034521483,0.9288220331072807,585728,18.133648,1072.5646271705627,-0.0043598143,0.0034284953,585728,4.8718157,1147.0891723500001,1482.39
287,555,0.02211914,0.8266915082931519,587776,28.580616,1076.451033115387,-0.0031409252,0.0023387258,587776,4.873452,1149.51526585,1484.06
288,552,0.031054687,0.6627649664878845,589824,11.77469,1080.136193037033,-0.0023088108,0.0027429818,589824,4.8729424,1144.4520481700001,1484.06
289,546,0.05673828,0.9356415197253227,591872,10.180198,1083.8462619781494,-0.0025491202,0.0048538414,591872,4.872665,1143.85492365,1484.06
290,558,0.048095703,0.8910132050514221,593920,33.519356,1087.5929639339447,-0.0052032336,0.004219787,593920,4.8715196,1094.27677655,1431.61
291,532,0.04135742,0.8542978912591934,595968,7.128792,1091.2571773529053,-0.006869211,0.0034910995,595968,4.8792667,1093.79526943,1430.66
292,553,0.016259765,0.6913458406925201,598016,20.482409,1095.1009018421173,-0.00048324233,0.0016410217,598016,4.886834,1084.08936346,1422.14
293,573,0.046435546,0.7952404767274857,600064,27.692163,1098.7985935211182,-0.003521739,0.0045047016,600064,4.8949103,1061.4280203399999,1401.43
294,573,0.013916016,0.4492228627204895,602112,40.701935,1102.3672828674316,-0.000903587,0.0016278487,602112,4.8984265,1014.7311777199998,1346.34
295,550,0.03022461,0.9587753713130951,604160,7.4162054,1105.9403223991394,-0.002884468,0.0028320965,604160,4.9149795,998.91483297,1329.72
