total_timesteps,approxkl,n_updates,ep_len_mean,serial_timesteps,policy_entropy,clipfrac,policy_loss,value_loss,time_elapsed,fps,explained_variance,ep_reward_mean
339968,0.0012766586,166,1722.55,339968,2.480783,0.0033691407,-0.00021246183,16.59668,585.9980421066284,575,0.31166183948516846,1687.8655388600005
342016,0.0043692547,167,1739.16,342016,2.4833405,0.052978516,-0.002714924,18.822107,589.5582077503204,557,0.07690155506134033,1704.3123114700002
344064,0.0049849916,168,1752.11,344064,2.4933934,0.059228517,0.00038008965,18.644985,593.23047041893,558,0.12566804885864258,1717.27257403
346112,0.004617136,169,1761.68,346112,2.5008035,0.057861328,-0.0013315687,20.378551,596.8985795974731,573,-0.00823962688446045,1727.04488428
348160,0.004144334,170,1770.33,348160,2.506868,0.04638672,-0.0012743806,20.10023,600.4674863815308,576,0.010602355003356934,1735.88984083
350208,0.005094901,171,1782.87,350208,2.5181987,0.064013675,-0.0040803896,20.2569,604.0223696231842,566,0.0022473931312561035,1748.5992480700004
352256,0.0020972206,172,1793.08,352256,2.5262642,0.017773438,-5.704305e-05,20.257095,607.6368174552917,574,0.0032355189323425293,1759.0659455900002
354304,0.004734534,173,1809.41,354304,2.5223136,0.057275392,-0.0006884234,20.369568,611.2043421268463,565,-0.001626729965209961,1775.4209712900001
356352,0.002680989,174,1823.84,356352,2.5162053,0.027441407,-0.00014240576,20.31096,614.8246450424194,575,0.00027948617935180664,1789.94569211
358400,0.0037419784,175,1834.55,358400,2.5101535,0.033203125,4.633629e-05,19.265947,618.3818755149841,564,0.059196412563323975,1800.7035723899999
360448,0.002825829,176,1849.26,360448,2.5077224,0.023779297,-0.0010459882,20.24727,622.0117812156677,552,-0.0013914108276367188,1815.52329195
362496,0.0029084682,177,1862.74,362496,2.509835,0.027929688,-0.00040709585,20.303152,625.7213094234467,562,-0.002172231674194336,1829.0569767900001
364544,0.0030914324,178,1874.44,364544,2.5089374,0.027539063,-0.0006088548,20.04958,629.3626277446747,562,0.010934591293334961,1840.8893211499997
366592,0.0060152137,179,1885.17,366592,2.5109935,0.07216797,-0.0021008241,20.25658,633.0047407150269,563,-0.0018967390060424805,1851.8575128500001
368640,0.0033313842,180,1893.39,368640,2.5251765,0.038720705,-0.0010261461,20.197123,636.6409788131714,564,-0.005783796310424805,1860.37834191
370688,0.0050005214,181,1907.49,370688,2.535854,0.06323242,-0.003804593,20.135422,640.2684035301208,562,-0.002268075942993164,1874.5765033399998
372736,0.005056914,182,1921.74,372736,2.5476577,0.06435547,-0.000430087,20.054356,643.9092559814453,570,0.00037795305252075195,1888.95959595
374784,0.0046325317,183,1931.7,374784,2.5529594,0.053857423,-0.0016873697,19.285358,647.5000936985016,563,0.04514658451080322,1899.02756677
376832,0.0062442427,184,1939.67,376832,2.5541444,0.081884764,-0.0016879911,19.801888,651.1335475444794,556,0.01579582691192627,1907.3661624399997
378880,0.0021971404,185,1945.9,378880,2.562727,0.019970704,0.00027963426,20.142294,654.8135032653809,555,-8.416175842285156e-05,1913.92303637
380928,0.006222979,186,1945.9,380928,2.573999,0.08149414,-0.002707306,20.205559,658.5028805732727,575,-0.003298521041870117,1914.1354151999997
382976,0.0034625717,187,1952.28,382976,2.5810218,0.038671874,-0.0003427642,20.114147,662.0652785301208,566,-0.0008252859115600586,1920.9397572999997
385024,0.0035781176,188,1961.92,385024,2.5906959,0.038671874,-0.00063121173,20.131426,665.6802191734314,569,-0.0032591819763183594,1930.7957249099998
387072,0.004581677,189,1967.48,387072,2.5917444,0.058300782,-0.0027385696,20.023577,669.2756719589233,535,-0.0020940303802490234,1936.94310746
389120,0.0034436514,190,1968.27,389120,2.5860438,0.03261719,-0.0010347024,19.970518,673.1043412685394,554,-0.0006449222564697266,1938.4763449299999
391168,0.0034672953,191,1968.27,391168,2.582808,0.034521483,-0.0009739109,20.068148,676.801748752594,585,-0.005722403526306152,1939.0579491300002
393216,0.002633009,192,1972.2,393216,2.5798953,0.022314453,-0.0007707944,20.001911,680.3001308441162,564,-2.5510787963867188e-05,1943.36987472
395264,0.0025237987,193,1972.2,395264,2.5812082,0.023974609,0.00012249459,19.40044,683.9282376766205,554,0.035967111587524414,1943.7793572200003
