serial_timesteps,policy_entropy,fps,total_timesteps,ep_reward_mean,explained_variance,ep_len_mean,time_elapsed,policy_loss,approxkl,value_loss,clipfrac,n_updates
544768,1.7724855,488,544768,929.88384584,0.757234513759613,1471.93,1166.8330178260803,-0.0023749568,0.007617795,8.921109,0.092041016,266
546816,1.7890362,488,546816,941.8002513900001,0.7131330966949463,1492.35,1171.0238392353058,-0.0017802704,0.0046417997,15.551035,0.055322267,267
548864,1.8032926,497,548864,939.84870427,0.7599364817142487,1489.46,1175.2135827541351,-0.0023442465,0.0027883402,13.532812,0.028466797,268
550912,1.809756,497,550912,941.5679487,0.7300382852554321,1489.46,1179.3270184993744,-0.0017133659,0.0052126423,8.45196,0.062304687,269
552960,1.80102,489,552960,942.6122490999999,0.7743791192770004,1489.46,1183.4464852809906,-0.0014539559,0.004936915,8.594781,0.059423827,270
555008,1.797262,468,555008,944.2477609799998,0.7282512485980988,1489.46,1187.6322515010834,-0.00018206895,0.0051162457,10.083285,0.06074219,271
557056,1.8037018,472,557056,958.56891764,0.6841062903404236,1509.35,1192.0052359104156,-0.0020933647,0.004582586,12.884999,0.05341797,272
559104,1.7977161,492,559104,962.8541546600001,0.7236514985561371,1515.06,1196.340324163437,-0.0027668036,0.0035610322,17.048983,0.039355468,273
561152,1.8053923,478,561152,965.42999738,0.8307438790798187,1520.03,1200.495242357254,-0.008112634,0.005828738,7.738285,0.07011719,274
563200,1.8170602,483,563200,965.5917617800001,0.6881237626075745,1520.03,1204.7766420841217,0.00013939415,0.0042922474,9.760096,0.047705077,275
565248,1.8031547,488,565248,955.9778939200002,0.7159053385257721,1502.45,1209.0117990970612,-0.0019845006,0.0036166306,15.710627,0.036816407,276
567296,1.8006585,483,567296,966.8377656800002,0.7855258285999298,1518.18,1213.2086560726166,-0.0011506014,0.0032238825,14.63853,0.038134765,277
569344,1.8143123,516,569344,970.5662628499999,0.7630648463964462,1522.87,1217.4430587291718,0.00031502877,0.0036586456,18.823347,0.039941408,278
571392,1.8090785,496,571392,978.4096850799999,0.565164715051651,1533.85,1221.4063119888306,-0.0010268056,0.0042245416,12.771063,0.044140626,279
573440,1.8075371,473,573440,987.42425853,0.5810867547988892,1546.74,1225.5350801944733,0.0005336456,0.008475499,10.437497,0.099804685,280
575488,1.8185384,494,575488,985.27396081,0.8733361661434174,1543.05,1229.8644814491272,-0.0062092827,0.0075881034,5.498471,0.08564453,281
577536,1.8215659,478,577536,996.23357348,0.6930994689464569,1558.9,1234.0063078403473,-0.0019817562,0.005152839,9.890012,0.06269531,282
579584,1.8226799,493,579584,1003.45551714,0.6461099982261658,1568.87,1238.2847850322723,-0.0028171488,0.0032193437,12.098646,0.03569336,283
581632,1.8220615,478,581632,1007.85518345,0.7646469473838806,1572.05,1242.4353816509247,-0.0017573361,0.004392046,17.79333,0.051464844,284
583680,1.8286031,475,583680,1014.7159625099999,0.693791389465332,1581.01,1246.7184686660767,-0.00068922824,0.003459984,11.660725,0.037597656,285
585728,1.8393503,485,585728,1023.41677415,0.5529226958751678,1592.72,1251.02162027359,-0.0024455176,0.005394029,12.769313,0.068359375,286
587776,1.8453739,508,587776,992.3560086199999,0.7263104915618896,1543.52,1255.2412328720093,-0.0056615216,0.006472702,33.119698,0.082373045,287
589824,1.8361301,487,589824,992.3560086199999,0.9894383968785405,1543.52,1259.265644788742,-0.005149249,0.005776559,0.2859278,0.068847656,288
591872,1.8325819,507,591872,993.1982663,0.9306717589497566,1543.52,1263.4649200439453,-0.0037362743,0.0055001033,1.7612308,0.06601562,289
593920,1.8313105,507,593920,994.32038144,0.8720376342535019,1543.52,1267.50172996521,-0.0023838843,0.0038415964,3.1016324,0.04169922,290
595968,1.8257627,474,595968,994.68738928,0.8852584213018417,1543.52,1271.538869380951,-0.0012795546,0.0035610714,3.8805184,0.038623046,291
598016,1.8241259,491,598016,995.3500541,0.8792044222354889,1543.52,1275.85244846344,-0.004836527,0.006186094,3.764254,0.07558594,292
600064,1.8233811,484,600064,995.4116701199999,0.8646183162927628,1543.52,1280.0198829174042,-0.002737619,0.008169131,4.7581463,0.099414065,293
602112,1.8350884,485,602112,984.13184968,0.8381553888320923,1523.53,1284.2504878044128,-0.002839376,0.007446383,9.804002,0.05205078,294
604160,1.8464935,476,604160,962.6338392000001,0.7116939723491669,1490.42,1288.4732027053833,-0.0042365026,0.0072820806,23.603949,0.068115234,295
606208,1.8538109,488,606208,963.0904449700001,0.6601075828075409,1490.42,1292.7711699008942,0.0018495414,0.005559006,11.022555,0.064208984,296
608256,1.8489552,477,608256,964.31043909,0.7343471348285675,1490.42,1296.9661643505096,-0.0012631422,0.0057983943,11.585483,0.072509766,297
610304,1.8512532,504,610304,964.8079343,0.6698828935623169,1490.42,1301.2559876441956,-0.00085920875,0.0078094243,11.82332,0.08500977,298
612352,1.8675249,470,612352,964.7825642000003,0.6757589876651764,1490.42,1305.3130831718445,-0.0025492967,0.0061099594,10.696452,0.07724609,299
614400,1.8921343,469,614400,951.30846993,0.6909486353397369,1469.92,1309.6643002033234,-0.00939755,0.00990852,21.941555,0.095458984,300
616448,1.9098495,492,616448,962.07307089,0.7225872576236725,1485.05,1314.025752544403,-0.004182303,0.006398494,9.779757,0.07626953,301
618496,1.9030554,492,618496,970.5438305600001,0.7021273374557495,1496.48,1318.1883163452148,-0.0022884929,0.0072270045,8.834477,0.078027345,302
620544,1.9029258,498,620544,960.2565250600002,0.7476277351379395,1481.04,1322.347579240799,-0.0013554409,0.0047361935,9.311331,0.050976563,303
622592,1.9029869,491,622592,960.7369686800001,0.7110644280910492,1481.04,1326.458595275879,0.0008536841,0.003870102,12.092625,0.041064452,304
624640,1.8988316,481,624640,961.8811759800001,0.7057667970657349,1481.04,1330.6229858398438,-0.0070145437,0.008581988,10.947883,0.11230469,305
626688,1.9052284,481,626688,964.4992870599999,0.7190840542316437,1483.11,1334.873130083084,-0.0014487075,0.005282799,15.4643955,0.060791016,306
628736,1.9233392,485,628736,959.3000744999999,0.7368169128894806,1474.81,1339.1226058006287,-0.0006769914,0.0036508956,16.902515,0.035986327,307
630784,1.932367,489,630784,937.7142256999999,0.7679814249277115,1445.43,1343.337204694748,8.318141e-05,0.0056011025,13.222723,0.056640625,308
632832,1.9271978,477,632832,943.8823223099998,0.6741333603858948,1453.61,1347.5200934410095,-0.0007033079,0.0043325787,12.161821,0.042919923,309
