n_updates,explained_variance,fps,ep_reward_mean,serial_timesteps,time_elapsed,approxkl,policy_loss,clipfrac,total_timesteps,ep_len_mean,policy_entropy,value_loss
107,0.4528083801269531,475,512.9597847900001,219136,393.9481384754181,0.0034072013,-0.0022035677,0.03491211,219136,1930.41,1.8596647,2.6059186
108,0.42828357219696045,547,516.9063979800001,221184,398.2577950954437,0.0026046964,-0.00060649274,0.025488282,221184,1930.41,1.8689483,3.4567654
109,0.5292140245437622,553,520.66136706,223232,402.0001094341278,0.0029745623,-0.0023761832,0.028955078,223232,1930.41,1.8740625,3.492314
110,0.5245120823383331,492,524.5040825799999,225280,405.7022924423218,0.004063898,-0.001604662,0.043945312,225280,1930.41,1.8739214,3.43353
111,0.5301321446895599,517,527.63958513,227328,409.8571467399597,0.005457622,-0.0034042108,0.062402345,227328,1930.41,1.8675697,3.08925
112,0.5471327602863312,544,531.1357184000001,229376,413.81666350364685,0.0037382632,-0.0018941441,0.04169922,229376,1930.41,1.8593991,3.3359406
113,0.5304727256298065,542,535.13442838,231424,417.57595896720886,0.0033414443,-0.0025433635,0.03178711,231424,1930.41,1.8523633,3.3691337
114,0.5396555066108704,551,539.8384875600001,233472,421.34836196899414,0.004133885,-0.0023475713,0.04790039,233472,1930.41,1.8441308,4.102494
115,0.5069621801376343,556,544.47757109,235520,425.06432604789734,0.0049904273,-0.0018169053,0.06386719,235520,1930.41,1.8482122,4.336852
116,0.5766006708145142,499,545.70431261,237568,428.7459545135498,0.0031886108,-0.00072961225,0.030761719,237568,1913.09,1.8497446,5.094264
117,0.5850042402744293,556,548.98797939,239616,432.85026025772095,0.0037450292,-0.0013281483,0.038720705,239616,1907.36,1.8443025,5.001208
118,0.693623423576355,549,549.8532613,241664,436.53236389160156,0.0036242926,-0.0037041823,0.03754883,241664,1899.61,1.8378623,2.8975537
119,0.6465715169906616,552,555.82899787,243712,440.2631423473358,0.0021427774,7.056467e-05,0.019433593,243712,1903.73,1.83638,4.371552
120,0.6411292850971222,557,559.5564250699999,245760,443.9732232093811,0.0042753774,-0.0034230258,0.04536133,245760,1905.8,1.8221843,3.8141513
121,0.5531612932682037,559,565.54498706,247808,447.648686170578,0.003318963,-0.0008854355,0.03227539,247808,1909.16,1.8069465,4.3668118
122,0.6338444650173187,556,570.79767806,249856,451.31097888946533,0.0053082188,-0.0039022584,0.06694336,249856,1917.79,1.800225,3.419003
123,0.5699627995491028,521,577.41481391,251904,454.98862504959106,0.002845883,-0.0010316877,0.030957032,251904,1910.67,1.8065374,5.7976794
124,0.5417771935462952,542,585.86330556,253952,458.91741919517517,0.003842345,-0.00060353,0.039501954,253952,1925.69,1.8028733,4.3263426
125,0.638070672750473,525,591.4053542400001,256000,462.6907067298889,0.0039686193,-0.001815771,0.042041015,256000,1933.81,1.7858645,4.044805
126,0.6869138479232788,566,598.84925017,258048,466.59331035614014,0.003712188,0.0002133074,0.04008789,258048,1945.03,1.7718086,3.1877644
127,0.52120441198349,567,606.64660592,260096,470.2098910808563,0.005247957,-0.0023238214,0.061328124,260096,1958.49,1.7642952,4.399148
128,0.6160430312156677,546,612.1816503,262144,473.8206434249878,0.0044658585,-0.0032406405,0.0546875,262144,1960.94,1.7604145,3.7254639
129,0.62209552526474,529,616.95411189,264192,477.56870889663696,0.003244964,-0.0018122874,0.035058595,264192,1960.94,1.7623676,4.0232058
130,0.6453085839748383,554,621.65423175,266240,481.4399325847626,0.0031736828,-0.0013453666,0.034375,266240,1960.94,1.7651669,3.5532303
