policy_loss,fps,total_timesteps,clipfrac,n_updates,approxkl,time_elapsed,policy_entropy,serial_timesteps,value_loss,explained_variance,ep_reward_mean,ep_len_mean
-0.0056734374,174,282624,0.048535157,138,0.0052596037,1825.3384382724762,3.8518975,282624,2.7137663,0.9664847739040852,1479.2316132599997,1740.8
-0.009961266,175,284672,0.06723633,139,0.005824501,1837.0591728687286,3.860458,284672,3.0774539,0.9615292027592659,1478.6116308399996,1740.8
-0.0038274706,180,286720,0.04838867,140,0.004342584,1848.7556908130646,3.8622391,286720,2.4612641,0.961380697786808,1479.6300214699995,1740.8
-0.006241138,166,288768,0.04458008,141,0.0042587537,1860.0966365337372,3.852501,288768,3.1223402,0.9600328542292118,1480.3737949099998,1740.8
-0.008842444,165,290816,0.06640625,142,0.0075946013,1872.417256116867,3.8480885,290816,2.5515432,0.9664199985563755,1485.78606053,1740.8
-0.0052972254,175,292864,0.065625,143,0.0059816325,1884.8300507068634,3.8439782,292864,2.5455718,0.9630339927971363,1485.7661035,1740.8
-0.008536652,173,294912,0.04008789,144,0.0038333554,1896.5291259288788,3.8449306,294912,2.720207,0.9635048732161522,1487.13271678,1740.8
-0.00377473,175,296960,0.043945312,145,0.005137489,1908.30375623703,3.8458972,296960,2.5267549,0.9632609896361828,1487.2692949099999,1740.8
-0.0057286797,175,299008,0.05629883,146,0.005513247,1919.9722516536713,3.8539956,299008,2.731995,0.9622719623148441,1492.5284921699997,1740.8
-0.0068950923,164,301056,0.056591798,147,0.0051830714,1931.659803390503,3.8644257,301056,2.5264506,0.9662632159888744,1494.7968671699998,1740.8
-0.0070784516,183,303104,0.06035156,148,0.012859518,1944.1046800613403,3.8805497,303104,2.4732318,0.9669854529201984,1496.6287343499998,1740.8
-0.005753193,175,305152,0.052978516,149,0.004574725,1955.2525234222412,3.8891346,305152,3.6274858,0.9534336626529694,1497.00702146,1740.8
-0.007799218,166,307200,0.05205078,150,0.004923255,1966.9063639640808,3.881766,307200,2.4528027,0.9677909575402737,1495.3538652099999,1740.8
-0.004142464,181,309248,0.04550781,151,0.0039498727,1979.245687007904,3.8940482,309248,2.5090082,0.9672385714948177,1495.2965566099997,1740.8
-0.0063825534,174,311296,0.045410156,152,0.0039270762,1990.541354894638,3.9304416,311296,2.676906,0.9646978974342346,1494.8916816099995,1740.8
-0.0077809393,175,313344,0.05546875,153,0.0068713464,2002.246663093567,3.9437103,313344,2.398633,0.9672775901854038,1494.5124394199995,1740.8
-0.0048334775,177,315392,0.057910156,154,0.0059138397,2013.9298813343048,3.9384727,315392,2.7022846,0.9641979373991489,1494.7044843399997,1740.8
-0.0059378534,170,317440,0.06123047,155,0.005704428,2025.4714133739471,3.9474876,317440,2.5160954,0.9681634828448296,1511.7550077799992,1758.38
-0.004447314,173,319488,0.05239258,156,0.004751424,2037.5175833702087,3.955457,319488,2.5633256,0.961738646030426,1514.5277792599995,1761.28
