total_timesteps,serial_timesteps,fps,approxkl,n_updates,ep_reward_mean,time_elapsed,explained_variance,policy_entropy,clipfrac,ep_len_mean,value_loss,policy_loss
184320,184320,558,0.0018434885,90,746.1830961000001,337.01916885375977,0.5087012648582458,2.2715344,0.01694336,773.83,14.759039,-0.0025979267
186368,186368,524,0.0025990743,91,760.42900305,340.6894543170929,0.007913827896118164,2.2697983,0.023974609,788.49,18.2834,5.9400616e-05
188416,188416,538,0.0024157218,92,776.26594131,344.5975136756897,0.2717777490615845,2.2770317,0.021435548,804.75,16.3822,-0.00078007265
190464,190464,523,0.0028927412,93,794.8121098600001,348.404771566391,0.9868155056610703,2.277092,0.026708985,824.18,12.451025,-0.0008349373
192512,192512,541,0.0037014827,94,810.1074596499999,352.31734228134155,0.013865053653717041,2.282987,0.03828125,839.77,17.688562,-0.000789837
194560,194560,534,0.0019090498,95,826.4877805,356.09925603866577,0.9673947282135487,2.2901745,0.012353515,856.55,8.840071,0.00019435899
196608,196608,528,0.0028697036,96,843.1569915,359.9341948032379,0.19510191679000854,2.296392,0.025927734,873.55,16.21693,-0.001737838
198656,198656,535,0.0022130222,97,858.5868121999999,363.80833196640015,0.41882848739624023,2.3004432,0.020751953,889.39,14.557518,-0.0012524789
200704,200704,513,0.0035910173,98,872.93883179,367.63042664527893,0.901804156601429,2.3043976,0.04321289,904.36,9.288207,-0.002165411
202752,202752,554,0.003636071,99,883.5919306000002,371.6166400909424,0.9408216141164303,2.323771,0.03930664,915.6,8.197508,-0.0036549936
204800,204800,553,0.0042426223,100,898.4960426399998,375.31116461753845,0.5339091420173645,2.3472705,0.052246094,931.19,12.795335,-0.0025369995
206848,206848,514,0.0023951433,101,912.8310949800001,379.01425766944885,0.0018652677536010742,2.368252,0.0234375,945.56,16.953495,-0.00023369025
208896,208896,537,0.0027234447,102,928.5559578399999,382.99951243400574,-0.005057811737060547,2.3818653,0.026855469,961.52,16.671932,-0.00060973404
210944,210944,526,0.0031150705,103,943.6181651,386.8101809024811,0.42793959379196167,2.366937,0.029052734,977.07,13.036505,-0.0023605418
212992,212992,523,0.006319247,104,958.78647439,390.7015902996063,0.9444866627454758,2.3687224,0.08085938,992.8,7.660843,-0.0063009993
215040,215040,546,0.0034823765,105,972.5141599699999,394.611079454422,0.6891811788082123,2.392884,0.03793945,1007.14,9.856681,-0.001319416
217088,217088,557,0.004104484,106,985.9142095899999,398.3560929298401,0.404607892036438,2.393299,0.04790039,1021.13,13.101717,-0.0016073209
219136,219136,553,0.0028304863,107,999.2868782999999,402.02778697013855,-0.0011677742004394531,2.400599,0.030371094,1034.7,16.480425,-0.0026708997
221184,221184,560,0.0036314041,108,1015.01918462,405.7272033691406,0.01704937219619751,2.4113808,0.040771484,1050.93,15.735971,-0.0036772757
223232,223232,535,0.0048840023,109,1029.08446875,409.3817219734192,0.03285717964172363,2.4233403,0.06333008,1065.37,15.772303,-0.00212304
225280,225280,551,0.0017381564,110,1042.24661071,413.2049980163574,-0.0008215904235839844,2.428187,0.010009766,1078.56,16.416086,-0.0002198439
227328,227328,545,0.0021629888,111,1058.70497572,416.92175459861755,-9.620189666748047e-05,2.431124,0.01826172,1095.04,16.695024,-0.00063656893
229376,229376,543,0.0029605352,112,1071.69935972,420.6799178123474,0.0005846619606018066,2.4302115,0.028759766,1108.05,16.4308,-0.0011377081
