policy_loss,serial_timesteps,policy_entropy,fps,time_elapsed,value_loss,clipfrac,explained_variance,approxkl,n_updates,total_timesteps,ep_len_mean,ep_reward_mean
-0.005042889,374784,4.897045,485,750.4979350566864,21.871082,0.03691406,0.9048740565776825,0.0033702385,183,374784,1350.9,1075.7231281499996
-0.0044915825,376832,4.907866,489,754.7180345058441,23.976192,0.057714842,0.8761814311146736,0.004855277,184,376832,1370.94,1093.9773873699999
-0.0038427808,378880,4.9228454,494,758.9057312011719,33.568535,0.021826172,0.8374473601579666,0.0022919565,185,378880,1390.29,1111.87804416
-0.002453882,380928,4.926195,493,763.0453064441681,6.252036,0.017626952,0.9633046202361584,0.0017280694,186,380928,1380.83,1099.7146727699999
-0.0030478667,382976,4.922342,412,767.197470664978,30.646671,0.029003907,0.8284312784671783,0.0025951064,187,382976,1397.0,1114.77528177
-0.004311897,385024,4.915267,345,772.1683123111725,9.633929,0.044970702,0.9194798246026039,0.0037838742,188,385024,1409.66,1127.99733526
-0.001699555,387072,4.914979,442,778.0886635780334,19.395996,0.040478516,0.8251669853925705,0.0038902704,189,387072,1426.62,1143.97260883
-0.002589121,389120,4.914638,348,782.7124304771423,19.124233,0.06357422,0.8080536872148514,0.005006746,190,389120,1426.62,1143.86683665
-0.0039438447,391168,4.9166503,460,788.59508228302,20.07553,0.057421874,0.843167707324028,0.004444515,191,391168,1441.48,1159.2252776399998
-0.0028505707,393216,4.918973,495,793.0428373813629,16.4529,0.03701172,0.8433012366294861,0.0029781763,192,393216,1426.38,1138.2997558299999
-0.0029971406,395264,4.9085283,452,797.1775298118591,19.34467,0.056884766,0.7987972646951675,0.0047998787,193,395264,1443.34,1154.9021650000002
-0.001117701,397312,4.9020805,333,801.7015173435211,19.443209,0.03930664,0.7621723264455795,0.003636138,194,397312,1443.34,1161.11871033
-0.005750013,399360,4.897453,439,807.8511974811554,20.341412,0.053613283,0.8281295597553253,0.004785399,195,399360,1443.34,1162.1559956
-0.0043900856,401408,4.907336,452,812.5107018947601,20.168549,0.06552734,0.8215900212526321,0.005190553,196,401408,1443.34,1161.0670347200003
-0.0059493277,403456,4.9122624,474,817.0415465831757,18.309078,0.059375,0.8125089108943939,0.005352545,197,403456,1443.34,1160.6876016200001
-0.005678054,405504,4.9199495,473,821.355352640152,23.225445,0.07910156,0.860425278544426,0.006346252,198,405504,1426.44,1144.9476799999998
-0.000805676,407552,4.930421,458,825.6808595657349,19.125965,0.040722657,0.8230350017547607,0.0036639725,199,407552,1426.44,1145.07751952
-0.00401679,409600,4.924224,467,830.150817155838,20.053532,0.09375,0.7990100979804993,0.0071825907,200,409600,1426.44,1151.3225483699998
-0.0017978037,411648,4.918147,498,834.5381729602814,10.947088,0.011816407,0.9558645114302635,0.0014166168,201,411648,1395.1,1120.8495048999998
-0.0027028364,413696,4.9204264,466,838.6440839767456,20.667078,0.018017579,0.8377234190702438,0.0019440051,202,413696,1395.1,1121.33194274
-0.0032712135,415744,4.9246125,493,843.0315628051758,30.991226,0.0421875,0.900954857468605,0.0037188162,203,415744,1345.47,1073.98293906
-0.0046560345,417792,4.933654,473,847.1821527481079,20.795668,0.06069336,0.8447374254465103,0.0046853484,204,417792,1345.47,1072.43413461
-0.0025931837,419840,4.9295325,459,851.5043044090271,20.006939,0.050732423,0.8132951557636261,0.0044951644,205,419840,1345.47,1078.2420322500002
-0.003493484,421888,4.9252806,474,855.9605228900909,5.592605,0.04121094,0.9701571837067604,0.004018688,206,421888,1327.64,1062.3321509700002
-0.004205681,423936,4.930972,505,860.2770206928253,39.23159,0.0296875,0.7682368159294128,0.0029406098,207,423936,1292.92,1033.5121173300001
-0.0034907192,425984,4.925107,436,864.3272337913513,20.691547,0.036816407,0.8026266843080521,0.0034531232,208,425984,1292.92,1032.26776475
-0.0020798717,428032,4.918586,457,869.0174803733826,20.809162,0.03466797,0.8557225912809372,0.003002803,209,428032,1292.92,1033.73805775
-0.0044439672,430080,4.9242053,407,873.49507188797,20.082195,0.047265626,0.8293899595737457,0.004100965,210,430080,1292.92,1036.76649519
-0.001383752,432128,4.920533,410,878.5204632282257,20.440506,0.016210938,0.839832216501236,0.0018813752,211,432128,1292.92,1036.8712350800001
-0.0030683372,434176,4.914863,477,883.5146305561066,34.95914,0.021728516,0.8617865592241287,0.0023995065,212,434176,1291.77,1033.98515492
-0.0045344504,436224,4.913841,464,887.8079872131348,21.101925,0.055273436,0.8459986597299576,0.0042373035,213,436224,1311.67,1050.49591758
-0.003102563,438272,4.916671,439,892.2202959060669,19.679476,0.076660156,0.8074593245983124,0.005594018,214,438272,1311.67,1050.4540874799998
-0.003366818,440320,4.9158697,475,896.8804626464844,21.063637,0.020996094,0.7566592693328857,0.0021230585,215,440320,1328.56,1063.1404069999999
-0.007290115,442368,4.9018927,459,901.1898427009583,6.6087823,0.066748045,0.9509446248412132,0.005776342,216,442368,1310.31,1047.4988238299998
-0.0051423134,444416,4.909484,458,905.6523208618164,25.894093,0.039355468,0.8511568158864975,0.0036026184,217,444416,1292.34,1035.3301000899999
-0.003175354,446464,4.934947,446,910.1230034828186,20.586803,0.035107423,0.8337371498346329,0.0031953608,218,446464,1306.86,1050.8785929599999
-0.00010973374,448512,4.942056,452,914.7088832855225,19.40874,0.034570314,0.8254386186599731,0.0033080254,219,448512,1306.86,1055.36596994
-0.003725533,450560,4.9545527,470,919.2361195087433,37.36773,0.035546876,0.8479267507791519,0.0030889749,220,450560,1288.59,1043.8823298400002
-0.0036976896,452608,4.9641466,446,923.5855994224548,19.72018,0.06411133,0.8006603419780731,0.005429403,221,452608,1288.59,1044.28391578
-0.0051237354,454656,4.984472,477,928.1709678173065,20.923304,0.030615235,0.8350831717252731,0.0026011933,222,454656,1297.67,1055.91248245
-0.0020724381,456704,4.998272,465,932.4572834968567,19.856972,0.018896485,0.832024335861206,0.001946678,223,456704,1313.29,1069.23494019
-0.0045467955,458752,4.9977684,468,936.8573014736176,20.213491,0.027636718,0.843208447098732,0.0027531055,224,458752,1313.29,1071.50023857
-0.00433454,460800,4.990803,450,941.2260847091675,19.678764,0.037060548,0.8374932706356049,0.0035084493,225,460800,1313.29,1071.30699496
-0.0029179626,462848,4.9890604,460,945.7769775390625,19.74584,0.047216795,0.8492033779621124,0.004177087,226,462848,1333.23,1089.27185721
-0.0022576463,464896,4.9902534,443,950.2259311676025,19.912409,0.016210938,0.8245211094617844,0.0018136157,227,464896,1349.6,1105.32817799
-0.0037025623,466944,4.9804754,486,954.8401305675507,20.088375,0.03046875,0.8457528054714203,0.0030496463,228,466944,1368.1,1123.11742099
-0.0057306117,468992,4.9763346,481,959.0513064861298,24.12767,0.02446289,0.9000037312507629,0.0024224347,229,468992,1384.97,1138.9065339299998
-0.0040353835,471040,4.9743404,464,963.3047170639038,19.929882,0.056933593,0.8261953443288803,0.0046202084,230,471040,1384.97,1143.1363112699999
-0.0032306984,473088,4.979506,475,967.7118015289307,19.78986,0.041259766,0.8234448432922363,0.003628239,231,473088,1384.97,1144.23740955
-0.00412932,475136,4.976254,479,972.023449420929,27.555136,0.039697267,0.8632755875587463,0.0037589874,232,475136,1386.12,1148.66781713
-0.0061770994,477184,4.979199,479,976.2948951721191,9.232511,0.036132812,0.9598777294158936,0.0036223915,233,477184,1368.55,1131.34452005
-0.0017134255,479232,4.985522,466,980.5706295967102,22.229641,0.037646484,0.8956715539097786,0.003082871,234,479232,1350.62,1114.80564134
-0.0031145995,481280,4.980928,464,984.965571641922,19.546295,0.071826175,0.7925441414117813,0.0059181377,235,481280,1350.62,1115.1833526599999
-0.004299332,483328,4.973589,504,989.373811006546,27.801996,0.04018555,0.9026869907975197,0.0036094603,236,483328,1332.32,1097.57703758
