policy_entropy,approxkl,ep_len_mean,ep_reward_mean,total_timesteps,n_updates,explained_variance,clipfrac,value_loss,policy_loss,serial_timesteps,time_elapsed,fps
1.7349951,0.004486459,1254.84,848.9842678599999,552960,270,0.7179620563983917,0.053271484,11.371693,-0.00322619,552960,1115.1126465797424,526
1.7339084,0.006851996,1255.25,848.8848266399999,555008,271,0.722651869058609,0.0836914,16.787407,-0.0061667375,555008,1119.0046157836914,513
1.7299926,0.0036732238,1245.26,840.62246296,557056,272,0.8795911148190498,0.042285156,8.517542,-0.005004353,557056,1122.989530801773,534
1.7321275,0.004100467,1245.26,845.43255665,559104,273,0.5886384844779968,0.046435546,12.749716,-0.0017562213,559104,1126.8195095062256,521
1.7253647,0.005549648,1245.26,850.15599647,561152,274,0.6401766240596771,0.073632814,10.29122,-0.0050885766,561152,1130.7485563755035,526
1.7157243,0.007853253,1262.86,862.6347416899999,563200,275,0.727234274148941,0.099658206,8.009858,-0.003957638,563200,1134.6375823020935,522
1.7157425,0.00619009,1279.56,874.77201796,565248,276,0.6131207644939423,0.07382812,10.616372,-0.0034889288,565248,1138.5563414096832,545
1.7203586,0.0046776035,1296.87,887.2019594200001,567296,277,0.7214488685131073,0.056005858,8.449836,-0.0035806783,567296,1142.3118290901184,572
1.7180818,0.0058295983,1313.46,899.0262609400002,569344,278,0.8065761178731918,0.07460938,13.914975,-0.003246988,569344,1145.8881673812866,538
1.7179048,0.005724682,1327.51,904.5045282100001,571392,279,0.8548126220703125,0.07211914,9.574038,-0.0032957152,571392,1149.688378572464,534
1.7307594,0.003339991,1350.18,917.9080281700001,573440,280,0.7287765145301819,0.04111328,16.635672,-0.003365884,573440,1153.5198829174042,536
1.7469909,0.005745445,1354.06,919.9576753300003,575488,281,0.7549371868371964,0.060595702,23.595453,-0.0036790736,575488,1157.3398611545563,528
1.7614911,0.0030876803,1347.99,921.8715626300001,577536,282,0.7782333940267563,0.029345702,13.311157,-0.003005785,577536,1161.2178976535797,539
1.7618462,0.003964809,1347.36,921.3213291999999,579584,283,0.7581529766321182,0.04243164,8.2781515,-0.0037719135,579584,1165.015629529953,542
1.7587141,0.0035589922,1371.92,937.71144014,581632,284,0.6630441248416901,0.037988283,15.76285,-0.001770203,581632,1168.7888226509094,520
1.7610719,0.0038041614,1383.01,945.1214038599999,583680,285,0.7718416154384613,0.042675782,7.8410378,-0.0031589773,583680,1172.724044561386,530
1.772332,0.005523538,1393.91,952.83479217,585728,286,0.7509345412254333,0.055126954,19.90392,-0.005624664,585728,1176.586318731308,544
1.7823064,0.005654893,1385.85,948.0113470800003,587776,287,0.6964506208896637,0.07236328,27.536957,-0.007236005,587776,1180.3476297855377,505
1.782975,0.0026225294,1373.56,938.95284004,589824,288,0.8243442177772522,0.026464844,16.601994,-0.0016097954,589824,1184.3973460197449,536
1.7775023,0.005121513,1372.45,938.3417005299999,591872,289,0.7351956963539124,0.057714842,7.7985063,-0.0049617556,591872,1188.2119119167328,552
1.7757981,0.0058478345,1381.32,943.79354797,593920,290,0.7391505539417267,0.06499024,10.377606,-0.00028873602,593920,1191.9220349788666,530
1.7629849,0.0048535923,1381.32,944.1442902199998,595968,291,0.7105910778045654,0.05605469,9.813217,-0.0047153747,595968,1195.7804627418518,520
1.7468626,0.004323582,1381.32,944.2700411999998,598016,292,0.7135818302631378,0.046875,9.389654,-0.004902909,598016,1199.7133738994598,527
1.7302223,0.007248284,1381.32,946.3579962599998,600064,293,0.6661395132541656,0.08862305,8.342732,-0.0036231775,600064,1203.5976543426514,532
1.7217289,0.00607791,1389.77,952.0544785799998,602112,294,0.6662206053733826,0.07075195,8.900339,-0.0007074395,602112,1207.445860862732,533
