serial_timesteps,ep_reward_mean,approxkl,clipfrac,time_elapsed,policy_entropy,fps,value_loss,ep_len_mean,policy_loss,explained_variance,n_updates,total_timesteps
206848,611.6675704300001,0.0033929416,0.035986327,337.0366327762604,1.5459402,613,4.3664503,1890.28,-0.0009782051,0.5477432608604431,101,206848
208896,605.1467194100001,0.004267995,0.05234375,340.3737533092499,1.5544441,594,7.0931,1849.36,-0.0051466483,0.5415146350860596,102,208896
210944,603.07116641,0.00523344,0.06381836,343.8168246746063,1.5587742,636,4.808483,1835.49,-0.0012996894,0.5680808424949646,103,210944
212992,605.88762252,0.0029617476,0.030126953,347.03531789779663,1.5583631,617,6.380723,1822.09,-0.0019763035,0.5876832604408264,104,212992
215040,605.49958458,0.00217101,0.019140625,350.35226130485535,1.5609171,634,5.8182683,1803.28,-0.0011038128,0.6363885998725891,105,215040
217088,606.98009911,0.0018671708,0.010546875,353.58246898651123,1.567136,629,7.2163405,1790.63,-0.0017433673,0.5748978555202484,106,217088
219136,610.53476761,0.005619929,0.06748047,356.8345079421997,1.5573545,624,4.4467793,1790.63,-0.0032450506,0.5313286781311035,107,219136
221184,612.1866226000001,0.0036613122,0.039746094,360.1148331165314,1.5498703,622,4.5567684,1783.83,-0.0018909622,0.5842300355434418,108,221184
223232,612.56490765,0.001846551,0.014746094,363.4049928188324,1.5492219,639,6.1608877,1766.68,-0.0009056541,0.606682300567627,109,223232
225280,608.1152482800001,0.0020486726,0.018554688,366.6081476211548,1.5493878,623,7.5856957,1731.58,-0.001018862,0.5851795673370361,110,225280
227328,602.84068072,0.0030752367,0.032910157,369.8913598060608,1.5546821,622,5.4863496,1704.32,-0.002488106,0.6878271698951721,111,227328
229376,595.89203454,0.002218379,0.018945312,373.1815869808197,1.5548962,614,5.180923,1676.74,-0.0018774429,0.7149043679237366,112,229376
231424,596.9707140700001,0.0018556754,0.016308594,376.51275515556335,1.545428,624,6.92835,1660.9,-0.0015429865,0.5814749002456665,113,231424
233472,598.59239283,0.0033972946,0.03730469,379.7953860759735,1.543081,636,4.724133,1645.58,-0.0024897454,0.7657711952924728,114,233472
235520,594.4081546,0.0028236015,0.0265625,383.01210355758667,1.544032,630,6.7143455,1619.06,-0.00077451684,0.6525693833827972,115,235520
237568,596.34339629,0.0033896833,0.037988283,386.26209139823914,1.5414898,639,6.915361,1605.78,-0.0040489244,0.6229677498340607,116,237568
239616,599.86327355,0.0038897428,0.044140626,389.46713876724243,1.5427154,635,3.6772418,1602.86,-0.0007729776,0.7954156398773193,117,239616
241664,604.5045879799999,0.003798478,0.043652344,392.6914653778076,1.5354358,640,4.5737715,1602.39,-0.0015319551,0.6774564683437347,118,241664
243712,596.37361547,0.0029375297,0.030517578,395.8885028362274,1.5369794,619,9.104067,1560.99,-0.0015949348,0.6605454683303833,119,243712
245760,596.7711811300001,0.005105003,0.06098633,399.1928679943085,1.5410024,622,4.2364626,1547.93,-0.002867499,0.7955250293016434,120,245760
