approxkl,time_elapsed,clipfrac,policy_entropy,total_timesteps,serial_timesteps,fps,ep_reward_mean,value_loss,policy_loss,n_updates,ep_len_mean,explained_variance
0.0030124926,1111.2705781459808,0.033935547,4.6354647,532480,532480,464,801.5978811900001,17.198597,-0.0016639559,260,1246.54,0.8583473116159439
0.0019839164,1115.677785396576,0.01821289,4.647556,534528,534528,481,800.9194715800003,10.522973,-0.0039960435,261,1248.48,0.899238608777523
0.0012783456,1119.9302818775177,0.010351563,4.657165,536576,536576,490,802.2073733900003,5.70942,-0.00094847614,262,1250.95,0.8716748356819153
0.0036553356,1124.1025364398956,0.042285156,4.66031,538624,538624,472,799.8541379600001,24.63824,-0.005203554,263,1249.42,0.7559834718704224
0.0022658806,1128.4411022663116,0.021679688,4.656174,540672,540672,467,811.4546939500001,11.115072,-0.0023492072,264,1265.04,0.820561870932579
0.005654805,1132.818743467331,0.060498048,4.6464186,542720,542720,472,814.9097437400001,6.061633,-0.007103216,265,1268.82,0.9340982437133789
0.0026558,1137.1563713550568,0.024951171,4.643549,544768,544768,475,809.8608278800001,23.111645,-0.0062243124,266,1257.76,0.8379496783018112
0.0027904126,1141.4666872024536,0.028564453,4.6481733,546816,546816,473,820.2401219500002,6.240302,-0.0047877654,267,1271.16,0.920500211417675
0.0023780968,1145.790863752365,0.021533202,4.6374774,548864,548864,452,833.0226625,10.035379,-0.00032009403,268,1286.66,0.9228019565343857
0.0019715484,1150.3199751377106,0.020263672,4.631419,550912,550912,462,833.717569,10.658891,-0.002115919,269,1287.72,0.8617759644985199
0.002831661,1154.7485165596008,0.027636718,4.635349,552960,552960,461,832.6774112200001,15.156973,-0.004836632,270,1286.69,0.8986727595329285
0.0040153456,1159.1877436637878,0.044384766,4.632307,555008,555008,469,831.15248936,6.106988,-0.0026966792,271,1285.02,0.9447225481271744
0.0031393017,1163.5542726516724,0.034277342,4.6339483,557056,557056,481,827.5434867800001,6.517151,-0.003877965,272,1277.3,0.9270053654909134
0.0031452104,1167.8080248832703,0.03696289,4.6387296,559104,559104,472,839.1893836900001,9.795533,-0.0032462801,273,1295.05,0.8551061749458313
0.0026051826,1172.1404983997345,0.029101562,4.6410723,561152,561152,470,811.3789902299998,16.651218,-0.0035693378,274,1254.24,0.9013313353061676
0.004733343,1176.497392654419,0.049707033,4.646728,563200,563200,477,824.5076323499999,11.782586,-0.0037980918,275,1270.73,0.8291999846696854
0.0053735683,1180.7860479354858,0.060595702,4.645832,565248,565248,469,835.93545191,10.834087,-0.005710813,276,1288.47,0.8868377357721329
0.0028852993,1185.1498446464539,0.034375,4.6583056,567296,567296,483,845.6493324899999,9.155523,-0.005739311,277,1299.42,0.9028629064559937
0.0037552598,1189.3863034248352,0.041552734,4.676396,569344,569344,454,847.8632812900001,10.565557,-0.0045421636,278,1304.64,0.7617836594581604
0.002955291,1193.8979141712189,0.0359375,4.6842318,571392,571392,443,863.3277210200001,18.473215,-0.0043452983,279,1327.13,0.8524222075939178
0.0031622883,1198.5145218372345,0.035058595,4.6924715,573440,573440,463,874.9092678600001,4.596569,-0.0041310424,280,1342.35,0.954243078827858
