policy_entropy,approxkl,total_timesteps,n_updates,explained_variance,clipfrac,value_loss,policy_loss,serial_timesteps,time_elapsed,fps,ep_len_mean,ep_reward_mean
5.6722183,0.0017030218,196608,96,0.6854532957077026,0.014355469,22.750498,0.00045284102,196608,476.3414318561554,412,1725.9,1714.0115561200003
5.687337,0.0027655666,198656,97,0.03767275810241699,0.03261719,19.953602,-0.00092654285,198656,481.302451133728,405,1725.9,1714.04615095
5.681945,0.0031348648,200704,98,-0.013827919960021973,0.03305664,20.42958,-0.0013196848,200704,486.35738921165466,401,1725.9,1714.1504301500004
5.6818495,0.0048966696,202752,99,0.006882607936859131,0.056640625,20.254063,-0.00042162277,202752,491.45770502090454,413,1746.09,1734.2625644100003
5.699273,0.0054615727,204800,100,0.0009908080101013184,0.06918945,20.31018,-0.0015943607,204800,496.40594696998596,421,1766.28,1754.4042216400005
5.706582,0.002317495,206848,101,-0.0015213489532470703,0.025927734,20.398222,-0.00039959923,206848,501.26960825920105,427,1766.28,1754.4879391100008
5.7188005,0.002658592,208896,102,0.6872981190681458,0.02421875,22.673557,-0.00026165263,208896,506.0664732456207,407,1746.09,1734.5807091000001
5.72277,0.0034861423,210944,103,0.0020832419395446777,0.038769532,20.279621,-0.00023417706,210944,511.0902941226959,413,1746.09,1734.7290623900003
5.722815,0.0047991117,212992,104,-0.009280562400817871,0.059667967,20.215656,-0.0005930605,212992,516.049471616745,419,1766.31,1754.9134406100004
5.713345,0.006772574,215040,105,0.00032019615173339844,0.093603514,20.015852,-0.002558829,215040,520.9334499835968,423,1766.31,1755.0502161000002
5.7098923,0.0039349287,217088,106,-0.003383159637451172,0.041796874,20.153538,-0.0011957783,217088,525.7738382816315,420,1766.31,1755.1794076600004
5.7252045,0.0025375853,219136,107,0.7137161493301392,0.02446289,23.095926,-0.0009074534,219136,530.6466045379639,407,1766.39,1755.42312072
5.7358985,0.0025777407,221184,108,-0.00040471553802490234,0.025878906,19.850668,-0.00050233357,221184,535.6779639720917,414,1766.39,1755.5763352799997
5.7471123,0.0054638246,223232,109,0.012202620506286621,0.0730957,19.658497,-0.0012648613,223232,540.6189994812012,413,1766.39,1755.6752228499995
5.7555094,0.0032286677,225280,110,0.003394782543182373,0.0418457,19.82978,-0.0009874087,225280,545.5667524337769,411,1786.61,1775.7886255699996
5.7505846,0.0044858293,227328,111,0.022473454475402832,0.05522461,19.424095,-0.003549728,227328,550.5398778915405,381,1786.61,1775.87603623
5.7419996,0.0031694646,229376,112,0.018671393394470215,0.033447266,19.5723,-0.0018671692,229376,555.9059302806854,419,1786.61,1776.0318649399999
5.7369266,0.0022254074,231424,113,0.696156919002533,0.019091796,21.026314,7.975796e-05,231424,560.7924773693085,366,1766.41,1756.1394317799998
5.7357707,0.0016454557,233472,114,0.12597638368606567,0.018017579,18.372486,1.5539455e-05,233472,566.3824942111969,339,1766.41,1756.17095945
5.7269506,0.002741673,235520,115,0.0745089054107666,0.0265625,18.812662,-0.0009164686,235520,572.4236826896667,399,1766.41,1756.2545680399999
5.718556,0.002510333,237568,116,0.02700209617614746,0.024414062,19.392155,4.945306e-05,237568,577.5518579483032,419,1766.41,1756.28322747
5.7225275,0.004043163,239616,117,0.014809966087341309,0.04848633,19.568295,-0.0013118525,239616,582.4326047897339,430,1766.41,1756.3230601499997
5.7250624,0.0031175264,241664,118,0.027427196502685547,0.031835936,19.45432,0.00029895347,241664,587.194851398468,459,1786.63,1776.3979701899998
5.718655,0.0021337925,243712,119,0.04381829500198364,0.020654297,19.306702,-0.0009896198,243712,591.6558866500854,422,1786.63,1776.5016256899999
5.7196574,0.0012843752,245760,120,0.024224400520324707,0.01015625,19.659166,0.000674631,245760,596.5020771026611,429,1806.79,1796.56119563
5.7195196,0.002440032,247808,121,0.6840598583221436,0.023242187,21.309206,-0.0005669684,247808,601.2659935951233,429,1806.77,1796.65735171
