serial_timesteps,ep_len_mean,policy_loss,policy_entropy,n_updates,ep_reward_mean,total_timesteps,approxkl,time_elapsed,value_loss,fps,explained_variance,clipfrac
233472,929.82,-0.0039165625,1.7758749,114,435.73559616000006,233472,0.0022105586,527.453750371933,14.099874,410,0.636378824710846,0.021826172
235520,876.13,-0.0032443875,1.7914877,115,415.15448009000005,235520,0.0027584583,532.4479897022247,16.974102,383,0.4853372573852539,0.03022461
237568,808.34,-0.002173292,1.7936041,116,384.89855852,237568,0.001324075,537.7869107723236,18.630741,435,0.4541369080543518,0.008007812
239616,764.76,-0.0029647315,1.7874104,117,363.57561116,239616,0.0032246113,542.4939253330231,16.425137,454,0.5443559288978577,0.032226562
241664,745.55,-0.0040468825,1.786372,118,354.18474742,241664,0.003242908,547.0049052238464,15.341182,415,0.5646916329860687,0.03466797
243712,733.23,-0.0021480345,1.7877983,119,348.04706324,243712,0.0032110394,551.9315099716187,9.886102,435,0.6117901802062988,0.034765624
245760,724.63,-0.0021021103,1.7878845,120,343.89165851000007,245760,0.003538244,556.6387319564819,14.291987,463,0.6062244176864624,0.037988283
247808,712.78,-0.0016468365,1.7938677,121,337.98557418,247808,0.0028040735,561.0578193664551,15.01427,443,0.5999680459499359,0.029101562
249856,708.91,-0.0063479445,1.7983255,122,337.13006924999996,249856,0.0035869493,565.6727631092072,15.358557,455,0.5778000354766846,0.040771484
251904,699.8,-0.0015964198,1.7853543,123,332.47252579,251904,0.0043607224,570.1734647750854,13.394526,440,0.5826322436332703,0.04951172
253952,668.53,-0.0030244444,1.7769493,124,316.76719111000006,253952,0.003897829,574.8231043815613,20.930546,448,0.47248053550720215,0.043017577
256000,632.25,-0.004325495,1.7839167,125,299.36203224,256000,0.0039988,579.3864192962646,18.96398,452,0.6160364747047424,0.043066405
258048,591.62,-0.003953036,1.7824917,126,279.39288698999997,258048,0.0037942627,583.9109678268433,22.418303,473,0.4896528720855713,0.04194336
260096,533.69,-0.0026834267,1.7783808,127,250.47451663,260096,0.002224938,588.2361245155334,18.03923,464,0.6227559447288513,0.022558594
262144,477.34,-0.0030596894,1.7762156,128,223.52672113,262144,0.0024133842,592.6486964225769,10.068998,481,0.7128053307533264,0.024414062
264192,467.71,-0.0016352248,1.7737463,129,219.73891544999998,264192,0.0046891654,596.9024837017059,14.914073,463,0.6553035974502563,0.055029295
266240,411.57,-0.0035285105,1.7689043,130,190.87791762,266240,0.003359267,601.320716381073,11.685149,470,0.6957969665527344,0.034326173
268288,386.26,-0.0043713837,1.7572752,131,177.82433128,268288,0.0052273353,605.6753656864166,15.171735,466,0.6556115746498108,0.05913086
270336,381.52,-0.0016035272,1.7517316,132,175.75510002000001,270336,0.0038825255,610.0671825408936,11.824968,469,0.7164873778820038,0.043603517
272384,383.12,-0.0028807938,1.7535814,133,178.08871253,272384,0.0034842796,614.4341983795166,16.240055,493,0.7025615572929382,0.038916014
274432,381.55,-0.0023053945,1.7597675,134,177.31165002000006,274432,0.0049809953,618.5833609104156,12.663949,464,0.6285693943500519,0.060595702
276480,391.68,-0.0067317165,1.7704537,135,183.461857,276480,0.007174775,622.9902176856995,8.954201,480,0.7453635931015015,0.08930664
278528,397.08,-0.0047754655,1.7722015,136,187.33400483000003,278528,0.004220736,627.2564835548401,10.789894,478,0.7282464802265167,0.052685548
280576,396.61,-0.002946177,1.776611,137,187.22277615,280576,0.0033969332,631.5341129302979,14.855762,481,0.6885187029838562,0.03793945
282624,400.06,-0.0010720303,1.7798862,138,189.44283491000002,282624,0.0033538123,635.7922518253326,9.013686,478,0.6993013322353363,0.035351563
284672,403.14,-0.0017182557,1.7883898,139,191.46241161999998,284672,0.0026240107,640.075332403183,10.149989,469,0.7182751595973969,0.02861328
286720,415.05,-0.00040914147,1.7943938,140,198.96604234999998,286720,0.0025642195,644.4396710395813,12.246049,482,0.6963273584842682,0.02241211
288768,421.27,-0.0024424836,1.7915825,141,203.20025415999996,288768,0.0037033134,648.6831567287445,12.557802,466,0.6700352430343628,0.043261718
290816,425.22,-0.0029558458,1.7886994,142,205.45953276999998,290816,0.0027953335,653.0699484348297,11.209875,459,0.7557474970817566,0.028222656
292864,428.37,-0.0014474731,1.7830883,143,207.07914762000001,292864,0.0039248466,657.5278446674347,9.899928,476,0.6720548272132874,0.041796874
294912,430.99,-0.0017279586,1.787919,144,209.00010111,294912,0.004165495,661.828506231308,14.651793,465,0.7138538360595703,0.04550781
296960,445.57,-0.0028166173,1.7911031,145,218.33404992000004,296960,0.00411294,666.2306568622589,9.077728,475,0.7820997983217239,0.046923827
299008,453.6,-0.003485843,1.7947295,146,222.86973221000005,299008,0.0029252623,670.5420188903809,9.446742,449,0.7836769223213196,0.031298827
301056,458.89,-0.0017242614,1.8069742,147,225.58615309,301056,0.00378897,675.094339132309,12.056958,466,0.7637026309967041,0.038232423
303104,468.55,-0.004539115,1.8097206,148,231.90294978000003,303104,0.0059039183,679.4812536239624,8.186801,488,0.8291989713907242,0.069726564
305152,484.65,-0.001416059,1.8115202,149,241.7270007,305152,0.0035638835,683.6745541095734,13.160977,474,0.7111295461654663,0.037646484
307200,494.76,-0.0023709612,1.813328,150,248.53733693,307200,0.004000701,687.990026473999,9.188135,471,0.7267745137214661,0.048779298
309248,506.37,-0.004349766,1.8109945,151,255.00918980000003,309248,0.006553655,692.3346271514893,11.922205,421,0.7143352925777435,0.09013672
311296,526.62,-0.00037980048,1.8082755,152,268.17168645000004,311296,0.005641619,697.1909894943237,10.118949,445,0.7268982231616974,0.06708984
313344,538.7,0.00022698822,1.8095338,153,276.37430776,313344,0.0053450707,701.7836890220642,4.293715,451,0.8613389879465103,0.06772461
315392,549.31,-0.00086388097,1.8123271,154,283.15234952000003,315392,0.0047329077,706.3228933811188,6.618521,452,0.8341613858938217,0.055273436
317440,569.4,-0.001160607,1.8172039,155,295.76200979000004,317440,0.0041754004,710.844845533371,9.142538,457,0.6850496232509613,0.047705077
319488,589.36,-0.0007685608,1.8179327,156,308.42493505,319488,0.002950191,715.3255820274353,7.8004923,439,0.7619476467370987,0.031542968
321536,604.96,-0.0019466535,1.8128936,157,318.78260172,321536,0.005196986,719.988972902298,9.177195,447,0.7039040327072144,0.061425783
323584,612.79,-0.0019545087,1.8192217,158,323.66717114,323584,0.00375822,724.5692055225372,4.319673,460,0.8863366767764091,0.042089842
325632,626.1,-0.005001829,1.8290735,159,332.52930693,325632,0.0069222646,729.0186638832092,6.943878,464,0.791566014289856,0.08530273
327680,642.86,-0.0026985253,1.8315935,160,343.56625634999995,327680,0.0035931892,733.4315407276154,7.726796,456,0.7625943422317505,0.042626955
329728,659.83,-0.003934403,1.8321273,161,354.02987183000005,329728,0.004868501,737.9136862754822,6.983672,464,0.7470731735229492,0.06137695
331776,675.65,-0.0022115582,1.8307012,162,364.03162949,331776,0.0034270477,742.3221175670624,7.853589,483,0.7388582825660706,0.037158202
333824,689.04,-0.0029209426,1.8365396,163,373.14710416,333824,0.0041764923,746.5621902942657,7.5475607,476,0.7733595073223114,0.04790039
335872,705.43,-0.00032057715,1.8372234,164,383.16162718,335872,0.0034119382,750.8617074489594,8.362908,476,0.7659503370523453,0.038867187
337920,722.36,-0.0026179855,1.8341153,165,394.06236143999996,337920,0.0041808244,755.1578166484833,9.497167,479,0.7042938470840454,0.04663086
339968,737.8,-0.00074759347,1.8357712,166,404.23720772,339968,0.004952801,759.427072763443,8.858609,470,0.7576857954263687,0.053125
