fps,explained_variance,total_timesteps,serial_timesteps,policy_loss,clipfrac,n_updates,time_elapsed,value_loss,approxkl,policy_entropy,ep_len_mean,ep_reward_mean
435,0.8245826959609985,249856,249856,-0.00460351,0.063769534,122,609.0173664093018,20.15769,0.0053747324,5.2104754,1356.07,1036.6481176700001
434,0.8873235359787941,251904,251904,-0.0041174632,0.038916014,123,613.7194225788116,20.488258,0.0037933812,5.2119055,1370.4,1052.1424865200001
452,0.8559833467006683,253952,253952,-0.0014534976,0.033251952,124,618.4372389316559,19.789799,0.0029631443,5.2259455,1388.65,1066.14850592
445,0.8541334569454193,256000,256000,-0.0011191305,0.019189453,125,622.9613811969757,20.509556,0.0020197302,5.225505,1406.69,1081.48962097
456,0.8278518468141556,258048,258048,-0.0023334285,0.059765626,126,627.5601773262024,13.259428,0.0048168274,5.227169,1415.77,1087.59259171
435,0.8977763056755066,260096,260096,-0.0042124116,0.105371095,127,632.0476105213165,20.417784,0.008221539,5.232134,1415.77,1086.4544215800001
440,0.8861778154969215,262144,262144,-0.004366168,0.05673828,128,636.7548441886902,20.722912,0.0049633225,5.2246566,1425.63,1096.8118182
440,0.9043077975511551,264192,264192,-0.0013757253,0.037890624,129,641.4045593738556,24.174618,0.0036823717,5.2087536,1422.57,1095.3565572199998
462,0.8403403908014297,266240,266240,-0.0043720724,0.05805664,130,646.0541989803314,22.70544,0.005153705,5.2075515,1440.56,1110.64903534
461,0.768171101808548,268288,268288,-0.0026839953,0.034228515,131,650.4825854301453,21.350594,0.0032843775,5.2104254,1458.56,1123.8589329800002
476,0.5867135226726532,270336,270336,-0.003342811,0.051855467,132,654.9196782112122,12.897169,0.0041738595,5.2167363,1476.59,1135.8110775300001
466,0.8898020461201668,272384,272384,-0.0047493842,0.038867187,133,659.2222828865051,16.982393,0.0034899514,5.224176,1480.7,1139.08487397
445,0.8290455788373947,274432,274432,-0.0017901112,0.073632814,134,663.6167185306549,20.944517,0.006119487,5.2271276,1496.8,1153.52641948
438,0.8273480534553528,276480,276480,-0.0033837531,0.05,135,668.2103521823883,20.956776,0.004265326,5.228114,1512.35,1169.2744800399998
430,0.8480676263570786,278528,278528,-0.004993978,0.041992188,136,672.8858745098114,25.47203,0.0035617934,5.229118,1524.92,1182.72485046
452,0.8549357801675797,280576,280576,-0.0046492694,0.047509767,137,677.646847486496,34.806152,0.0041326256,5.237733,1530.78,1188.4553876100001
420,0.8932102769613266,282624,282624,-0.004432807,0.07070313,138,682.1720793247223,19.321844,0.005550809,5.254325,1548.78,1204.60949259
490,0.6174426376819611,284672,284672,-0.0029304666,0.052685548,139,687.0471799373627,10.097731,0.004724857,5.2585077,1548.78,1202.51795333
472,0.8546895682811737,286720,286720,-0.0018404803,0.031689454,140,691.2244896888733,21.183193,0.002878745,5.249643,1548.78,1199.1288836499998
469,0.9475834481418133,288768,288768,-0.0035232953,0.044384766,141,695.5573942661285,9.686697,0.005154974,5.2419233,1556.42,1203.9774919899999
473,0.8757199198007584,290816,290816,-0.0026826146,0.044921875,142,699.9172513484955,22.269041,0.0038345396,5.229905,1556.42,1206.5798852699997
455,0.9240119531750679,292864,292864,-0.0047783023,0.03286133,143,704.2474513053894,14.488798,0.003865093,5.2277937,1548.07,1197.79985909
439,0.8279024660587311,294912,294912,0.0005481172,0.051220704,144,708.7445366382599,19.365788,0.004706818,5.2153373,1566.02,1213.0748157999997
502,0.04421132802963257,296960,296960,-0.0009920911,0.0108886715,145,713.4085307121277,20.473705,0.0014657973,5.2031326,1566.02,1215.96338483
457,0.9259836748242378,299008,299008,-0.00531772,0.049462892,146,717.4845552444458,13.621666,0.004476509,5.197214,1566.02,1213.11442522
442,0.8695491403341293,301056,301056,-0.003520136,0.027294923,147,721.9586455821991,19.543556,0.002940347,5.1906404,1566.02,1211.7131982500002
432,0.7798820286989212,303104,303104,-0.002745549,0.06782226,148,726.5877888202667,19.567698,0.0053514577,5.200034,1584.01,1228.4249728200002
448,0.8836132809519768,305152,305152,-0.0023199054,0.035449218,149,731.3204054832458,25.696081,0.0032569978,5.202365,1569.78,1214.21119578
453,0.8275079280138016,307200,307200,-0.002171283,0.031396486,150,735.8868670463562,22.234,0.0027824696,5.1955853,1588.01,1231.82919294
430,0.7956570982933044,309248,309248,-0.0021683727,0.072265625,151,740.406792640686,20.099747,0.0056663537,5.192086,1588.01,1230.72599035
452,0.8574794679880142,311296,311296,-0.0038536217,0.049462892,152,745.16765832901,29.18275,0.0043544765,5.1961617,1575.03,1220.5182894
452,0.8834541067481041,313344,313344,-0.0034242712,0.023046875,153,749.6977987289429,26.505505,0.002536451,5.200961,1558.62,1213.03816306
446,0.8276865929365158,315392,315392,-0.002379105,0.061669923,154,754.22221159935,19.905998,0.004778738,5.1957808,1558.62,1215.3916272100003
456,0.8748167306184769,317440,317440,-0.0031386577,0.030810546,155,758.8116855621338,23.040081,0.0028282502,5.1963863,1531.08,1190.05506949
440,0.8841820359230042,319488,319488,-0.0044297036,0.060546875,156,763.3032600879669,20.244083,0.004903171,5.1942854,1531.08,1192.86036029
436,0.8263893127441406,321536,321536,-0.0016895942,0.046728514,157,767.955427646637,20.159029,0.004015747,5.191033,1546.51,1207.8610332
440,0.8900699838995934,323584,323584,-0.0046781404,0.06347656,158,772.6474704742432,24.359486,0.00505467,5.1859045,1530.04,1198.2079562400002
443,0.8530952334403992,325632,325632,-0.0063306526,0.08251953,159,777.2999701499939,19.873537,0.006404841,5.187461,1530.04,1198.60987824
455,0.8419707715511322,327680,327680,-0.0030008047,0.05644531,160,781.9151692390442,21.704851,0.004479311,5.184724,1530.04,1197.7153116799998
458,0.947908092290163,329728,329728,-0.006076635,0.046044923,161,786.4081432819366,12.909897,0.0051845955,5.1835585,1494.77,1166.1285256500003
471,0.8653600066900253,331776,331776,-0.007073859,0.03378906,162,790.8785853385925,35.680103,0.003112081,5.191029,1496.05,1173.12802958
422,0.8292226940393448,333824,333824,-0.0056103645,0.087207034,163,795.218314409256,20.23917,0.0065728677,5.186916,1496.05,1173.7524105
415,0.8268263787031174,335872,335872,-0.0018782842,0.04575195,164,800.0672814846039,20.085678,0.00427956,5.177385,1496.05,1174.29356141
