policy_entropy,n_updates,approxkl,value_loss,clipfrac,total_timesteps,serial_timesteps,explained_variance,ep_reward_mean,fps,time_elapsed,ep_len_mean,policy_loss
2.1385696,190,0.0036387716,12.1409235,0.0421875,389120,389120,0.7017080783843994,322.19118204,284,1397.3722739219666,637.07,-0.0035785374
2.133354,191,0.004434653,6.8574705,0.047558594,391168,391168,0.8504153192043304,319.49201994,279,1404.5604009628296,631.85,-0.0012062408
2.1282191,192,0.0031719306,19.27798,0.035498045,393216,393216,0.6625798344612122,316.91283107999993,271,1411.8926014900208,626.73,-0.003031043
2.1318476,193,0.0032545081,5.4503007,0.036083985,395264,395264,0.9055191650986671,316.97748995,283,1419.4348051548004,626.48,-0.0026112047
2.1411803,194,0.0040488513,9.459265,0.046240233,397312,397312,0.8287558853626251,321.41719254000003,291,1426.6550731658936,634.19,-0.0007870245
2.143127,195,0.0032048977,2.827998,0.03022461,399360,399360,0.8889327347278595,323.18077643,275,1433.6912379264832,637.68,-0.0031890322
2.137172,196,0.001632747,15.784988,0.010351563,401408,401408,0.762695237994194,329.59994303,282,1441.1265394687653,649.99,-0.000498067
2.1313772,197,0.0030223136,13.574564,0.030029297,403456,403456,0.8192830681800842,308.10483026,280,1448.3772058486938,606.8,-0.0023397994
2.1331992,198,0.0021000162,17.862856,0.019140625,405504,405504,0.7492360770702362,308.50323893999996,278,1455.6696617603302,608.02,-0.0023897851
2.1349878,199,0.003435681,14.326361,0.038232423,407552,407552,0.7972655147314072,310.08658756999995,284,1463.035136461258,610.13,-0.0009053902
2.1367826,200,0.0026615215,11.676866,0.023925781,409600,409600,0.8530843406915665,307.39478167,281,1470.23801779747,605.26,0.00018432712
2.1440437,201,0.0040589105,5.5386405,0.041064452,411648,411648,0.9237600415945053,286.25497860999997,283,1477.5144765377045,565.5,-0.0035315608
2.1550517,202,0.004019902,13.246129,0.041015625,413696,413696,0.8247004300355911,282.88079325000007,286,1484.735454082489,558.58,-0.0054074964
2.1639311,203,0.002505652,7.825528,0.025048828,415744,415744,0.8838469311594963,281.79730000999996,282,1491.8761625289917,556.23,-0.0016898403
2.1739535,204,0.0037150136,11.889611,0.037841797,417792,417792,0.8147691935300827,280.28077456999995,284,1499.1306834220886,552.86,-0.004815466
2.1902537,205,0.0037447452,7.73683,0.040722657,419840,419840,0.9088947921991348,277.51582535,280,1506.3181681632996,547.64,-0.0055917418
