approxkl,serial_timesteps,explained_variance,ep_len_mean,policy_loss,time_elapsed,ep_reward_mean,total_timesteps,clipfrac,n_updates,value_loss,policy_entropy,fps
0.0029382466,210944,0.9706901349127293,726.89,-0.0066331476,1528.0903136730194,527.43891016,210944,0.030615235,103,7.300084,4.3490257,109
0.0020180033,212992,0.9440507106482983,692.98,-0.0038850214,1546.764121055603,497.89665234999995,212992,0.021044921,104,10.855161,4.346313,142
0.0040120687,215040,0.9770034775137901,681.23,-0.009501186,1561.129508972168,485.52509767000004,215040,0.043066405,105,4.621199,4.3487387,164
0.0020464784,217088,0.9559980928897858,675.84,-0.005880731,1573.559564590454,486.14971877000005,217088,0.020458985,106,5.827327,4.3508396,199
0.0021783873,219136,0.8978584185242653,652.72,-0.004625361,1583.8454411029816,460.29833009999993,219136,0.022314453,107,17.7523,4.334588,114
0.003517814,221184,0.9697164781391621,652.12,-0.0044845054,1601.8052175045013,460.20753323,221184,0.03671875,108,2.4452891,4.3218527,187
0.0049097408,223232,0.9340985715389252,663.94,-0.009266754,1612.7031078338623,471.13400392999995,223232,0.05683594,109,7.820571,4.3121085,127
0.0033099807,225280,0.9699361324310303,669.2,-0.0039622122,1628.7596621513367,474.9251269800001,225280,0.032666016,110,2.3230104,4.2939315,188
0.00458029,227328,0.9617408104240894,675.84,-0.0035178803,1639.6372122764587,481.63176760999994,227328,0.04477539,111,2.974628,4.262713,173
0.005128996,229376,0.9623968042433262,689.9,-0.0102814855,1651.410438299179,496.98570315999996,229376,0.055126954,112,2.9234421,4.227259,177
0.0046507316,231424,0.9627377651631832,696.32,-0.004930345,1662.9258110523224,503.01122464,231424,0.0515625,113,2.614592,4.191909,195
0.003329948,233472,0.9655098393559456,712.87,-0.005651624,1673.4290854930878,519.54045902,233472,0.034179688,114,2.5197544,4.1704307,184
0.005135452,235520,0.9512143917381763,716.8,-0.011343169,1684.5591156482697,523.2860859699999,235520,0.06113281,115,3.598371,4.159586,190
0.0032442934,237568,0.9662688300013542,733.92,-0.0041005006,1695.31875538826,540.05551371,237568,0.031982422,116,2.4733028,4.1462994,178
0.0045148316,239616,0.9637680724263191,750.79,-0.00717532,1706.8199379444122,557.19672269,239616,0.04350586,117,2.473232,4.121566,199
0.0030575693,241664,0.571594774723053,757.76,-0.00018442927,1717.0801470279694,564.89793167,241664,0.031347655,118,6.560338,4.105268,190
0.003577082,243712,0.9820722471922636,757.76,-0.005687324,1727.8264536857605,561.09582815,243712,0.03730469,119,1.2092144,4.1021004,180
0.0035787455,245760,0.9663067907094955,774.46,-0.0051946733,1739.174105644226,578.19801174,245760,0.036865234,120,2.3649042,4.083217,179
0.002587714,247808,0.9587777443230152,795.16,-0.0063379854,1750.613988161087,597.75232033,247808,0.027148437,121,7.5096903,4.0709176,122
0.00356458,249856,0.96049028262496,805.78,-0.0061282828,1767.2775230407715,608.0468554800001,249856,0.03569336,122,3.2116065,4.0639987,167
0.00310111,251904,0.9652558714151382,823.07,-0.0025203526,1779.4703514575958,624.7495117300001,251904,0.03330078,123,2.4217525,4.0450096,174
0.005640122,253952,0.9675573147833347,840.35,-0.00837101,1791.2107775211334,642.11520118,253952,0.029150391,124,2.703079,4.0339727,178
0.004642751,256000,0.9647126980125904,859.84,-0.0064942325,1802.7169268131256,659.9689746199999,256000,0.050585937,125,2.3865263,4.0214586,174
0.0046900767,258048,0.9572208896279335,864.14,-0.0056022406,1814.4903831481934,664.81124804,258048,0.03745117,126,10.985792,4.016046,126
0.0032467241,260096,0.9567058309912682,873.99,-0.006843324,1830.6341037750244,675.0959179600001,260096,0.03676758,127,2.6993327,4.0227976,174
