clipfrac,policy_loss,value_loss,total_timesteps,policy_entropy,n_updates,explained_variance,fps,time_elapsed,serial_timesteps,approxkl,ep_reward_mean,ep_len_mean
0.012158203,-0.0006312939,19.89254,163840,3.8085084,80,-0.008038759231567383,407,392.580796957016,163840,0.0016775489,2039.9475089620255,2049.0
0.03745117,-0.0014209135,19.705774,165888,3.8147938,81,0.00857478380203247,427,397.6094970703125,165888,0.0032798368,2040.0046654999999,2049.0
0.007470703,0.00019571725,19.825642,167936,3.8238633,82,0.001301407814025879,422,402.4031584262848,167936,0.001290831,2040.0513812098764,2049.0
0.06577148,-0.001048464,19.847775,169984,3.8309815,83,-0.008021354675292969,420,407.2493827342987,169984,0.005356758,2040.0987275853656,2049.0
0.022070313,-4.588482e-05,19.739971,172032,3.8286862,84,-0.0034613609313964844,393,412.1247181892395,172032,0.0023202272,2040.1311372409634,2049.0
0.031933594,0.0005796073,19.682468,174080,3.8237972,85,-0.01773834228515625,414,417.3318178653717,174080,0.0033135167,2040.160284333333,2049.0
0.028759766,-0.0011466511,19.591095,176128,3.8337207,86,-0.0058307647705078125,418,422.2694616317749,176128,0.0027328257,2040.2217205294114,2049.0
0.02993164,-0.00012927716,19.67665,178176,3.84473,87,0.0008318424224853516,418,427.1602008342743,178176,0.0030844186,2040.2443530813948,2049.0
0.05493164,-0.0019622792,19.7924,180224,3.847456,88,0.0016832351684570312,428,432.05415177345276,180224,0.0044827247,2040.248385344827,2049.0
0.06704102,-0.0018690741,19.817749,182272,3.8588662,89,-0.003825068473815918,425,436.83188486099243,182272,0.005403068,2040.2239041818182,2049.0
0.050585937,-0.0015105045,19.749577,184320,3.8619351,90,-0.0012170076370239258,418,441.65079975128174,184320,0.004552494,2040.1919940337077,2049.0
0.017822266,-0.00049070595,19.71869,186368,3.8552487,91,-0.002186894416809082,426,446.54690861701965,186368,0.002160673,2040.148457788889,2049.0
0.117089845,-0.0012862204,19.581306,188416,3.8649507,92,0.0043062567710876465,423,451.3494770526886,188416,0.0083825495,2040.1199175824177,2049.0
0.042333983,-0.0021665157,19.692114,190464,3.8698533,93,0.0004354715347290039,423,456.18277883529663,190464,0.003486374,2040.0925564782608,2049.0
0.029785156,0.0006568093,19.714985,192512,3.872931,94,-0.0071381330490112305,415,461.0198872089386,192512,0.0027855118,2040.0920587204303,2049.0
0.07163086,-0.002784952,19.65109,194560,3.8871124,95,-0.00017750263214111328,389,465.94609689712524,194560,0.005946197,2040.1022481914895,2049.0
0.0730957,-0.0011566515,19.623068,196608,3.9039726,96,-0.00242006778717041,416,471.2016341686249,196608,0.005341052,2040.1079277789474,2049.0
0.0496582,-0.0019851218,19.55594,198656,3.9192245,97,-0.002402186393737793,427,476.11359906196594,198656,0.0041975165,2040.1099238333334,2049.0
0.022558594,0.00047436572,19.590893,200704,3.9358974,98,0.0021625161170959473,424,480.9074161052704,200704,0.0022449896,2040.1450613402062,2049.0
0.07114258,-0.0010454925,19.632175,202752,3.9434094,99,-0.0020761489868164062,409,485.73650217056274,202752,0.0058561033,2040.1640785612244,2049.0
0.029199218,-0.0013955242,19.503372,204800,3.948846,100,0.00595247745513916,432,490.73750138282776,204800,0.0030127047,2040.1707966363635,2049.0
0.018017579,-0.00041833273,19.708754,206848,3.9631608,101,0.0009197592735290527,430,495.47364377975464,206848,0.0021103534,2040.1760656699998,2049.0
0.012988281,-0.0007823567,19.764275,208896,3.9623027,102,-0.009630560874938965,454,500.23516488075256,208896,0.0017261204,2040.3654949999996,2049.0
0.02626953,-0.0012951107,19.709728,210944,3.9681962,103,0.0012200474739074707,434,504.74592638015747,210944,0.0027287123,2040.4920893399997,2049.0
0.028857421,-0.00066424476,19.73209,212992,3.9789271,104,-0.0011380910873413086,440,509.4577522277832,212992,0.0029147782,2040.5756562299994,2049.0
0.075732425,-0.0027738863,19.65884,215040,3.979573,105,0.007475495338439941,419,514.1040580272675,215040,0.005894561,2040.5516477299998,2049.0
0.082128905,-0.00413018,19.739155,217088,3.9792416,106,0.00949859619140625,426,518.9851462841034,217088,0.0061468924,2040.5899591799998,2049.0
0.06933594,-0.0014022851,19.82227,219136,3.9841774,107,0.01475590467453003,422,523.787629365921,219136,0.0055810763,2040.67945392,2049.0
0.029052734,-0.0018287161,20.215277,221184,3.9884796,108,-0.002808809280395508,424,528.6304385662079,221184,0.002769983,2040.8370549600002,2049.0
0.028222656,-0.0008724601,20.120735,223232,4.000435,109,-0.006567120552062988,419,533.4597854614258,223232,0.002593682,2040.9962738100003,2049.0
0.07055664,-0.00058438827,19.91988,225280,3.9996376,110,0.0028873682022094727,405,538.3428683280945,225280,0.0054423367,2041.1235303700003,2049.0
0.055419922,-0.0014966183,19.903595,227328,3.9897866,111,0.005215883255004883,433,543.3892481327057,227328,0.0042648157,2041.2766931700003,2049.0
0.047558594,-0.0022238863,20.078442,229376,3.9914672,112,0.0023979544639587402,426,548.1162152290344,229376,0.0041055977,2041.3950291700003,2049.0
0.06337891,0.00012362826,20.16744,231424,3.9870632,113,0.00010114908218383789,435,552.9153718948364,231424,0.0053884215,2041.4798422500003,2049.0
0.080126956,-0.0018220523,20.02261,233472,3.995908,114,0.004072070121765137,420,557.622407913208,233472,0.006116447,2041.5471048200002,2049.0
0.09858398,-0.0038565565,20.084803,235520,4.0017867,115,0.00291597843170166,418,562.492381811142,235520,0.007582719,2041.6646414299998,2049.0
0.06757812,-5.1543397e-05,20.156101,237568,4.00603,116,0.00047516822814941406,403,567.3855469226837,237568,0.0056375293,2041.7070985,2049.0
0.07470703,-0.002173513,20.199177,239616,4.013142,117,-0.0037142038345336914,420,572.4627530574799,239616,0.005764721,2041.68370807,2049.0
0.05053711,-0.0028547822,20.031075,241664,4.0272794,118,0.005681037902832031,405,577.3292577266693,241664,0.004318185,2041.6183568200001,2049.0
0.05644531,-0.0017230145,20.067104,243712,4.0484114,119,0.003125131130218506,430,582.3865506649017,243712,0.004440981,2041.4713591700001,2049.0
0.038378906,-0.00073166017,19.994738,245760,4.075129,120,0.010688245296478271,403,587.1486060619354,245760,0.0031931144,2041.3254417200003,2049.0
0.011865234,-0.00053131685,20.067783,247808,4.092158,121,0.008992373943328857,380,592.2242658138275,247808,0.0016131138,2041.1957730200002,2049.0
0.021240234,0.00092857017,20.0276,249856,4.0911036,122,0.004780709743499756,431,597.6066319942474,249856,0.0024541449,2041.0840060700002,2049.0
0.029101562,-0.0006807363,19.853428,251904,4.104561,123,0.024682283401489258,438,602.3562202453613,251904,0.0028577358,2040.9025813700002,2049.0
0.033740234,-0.0017574368,20.002184,253952,4.126635,124,0.020010292530059814,413,607.0225458145142,253952,0.0031346928,2040.75011345,2049.0
0.061865233,-0.0032627736,20.154463,256000,4.135951,125,0.009380042552947998,413,611.9737453460693,256000,0.0051924526,2040.63173058,2049.0
0.036083985,-0.00058707787,20.322138,258048,4.1395144,126,-0.0005633831024169922,420,616.9335989952087,258048,0.0033213585,2040.5465888500005,2049.0
0.061279297,-0.0033984804,20.36601,260096,4.133366,127,-0.00356447696685791,419,621.8044350147247,260096,0.0051629534,2040.5120619900001,2049.0
0.01928711,0.00017283762,20.361845,262144,4.1345224,128,-0.008753418922424316,430,626.6834771633148,262144,0.0021228276,2040.5521217400005,2049.0
0.005078125,4.7881953e-05,20.059122,264192,4.155576,129,0.016780436038970947,423,631.4414811134338,264192,0.0009461328,2040.6037856500002,2049.0
0.06982422,-0.00047170155,20.209635,266240,4.1691484,130,0.007950782775878906,417,636.2776222229004,266240,0.005495913,2040.6827985600003,2049.0
0.04941406,-0.0025981884,20.293848,268288,4.1836843,131,0.0033816099166870117,417,641.1822402477264,268288,0.004115247,2040.7697218999997,2049.0
0.036376953,-0.0010638514,20.332132,270336,4.207359,132,-0.005992412567138672,407,646.0866391658783,270336,0.003090764,2040.8536408,2049.0
0.019580077,4.726798e-05,20.229837,272384,4.2170095,133,-0.0008703470230102539,412,651.1172754764557,272384,0.0023111403,2040.9354000800001,2049.0
0.10498047,-0.005347342,20.12838,274432,4.225004,134,0.01050865650177002,417,656.0791606903076,274432,0.0073417327,2041.01620105,2049.0
0.044921875,-0.0012060902,20.390944,276480,4.2234583,135,-0.005058884620666504,421,660.9878060817719,276480,0.003930866,2041.07019774,2049.0
0.07915039,-0.0025128177,20.291431,278528,4.232547,136,0.0008798837661743164,433,665.8438572883606,278528,0.006330304,2041.0975540200002,2049.0
0.010253906,0.00031093386,20.231737,280576,4.248439,137,0.003803253173828125,412,670.5632498264313,280576,0.001579805,2041.03790838,2049.0
0.04511719,-0.0012445778,20.191551,282624,4.2552776,138,0.004393458366394043,435,675.5320460796356,282624,0.0039218036,2040.9900799700001,2049.0
0.038232423,-0.0016603563,20.29965,284672,4.259298,139,-0.00993502140045166,426,680.2361814975739,284672,0.0037172802,2040.9423530899999,2049.0
0.06967773,-0.0030849967,20.160437,286720,4.2520933,140,0.00530242919921875,425,685.0441365242004,286720,0.0054275943,2040.8981457099997,2049.0
0.14335938,-0.0048622685,20.149212,288768,4.2483053,141,0.007676482200622559,423,689.8534669876099,288768,0.010045468,2040.90819821,2049.0
0.097314455,-0.0015748646,20.258265,290816,4.2495728,142,0.011074066162109375,429,694.6950857639313,290816,0.00712518,2040.9395479599998,2049.0
0.028271485,-0.0014432202,20.036469,292864,4.245902,143,0.033862531185150146,403,699.4627094268799,292864,0.0029700573,2040.9602675299998,2049.0
0.07768555,-0.0032262418,20.37173,294912,4.2469735,144,0.012138903141021729,417,704.5424978733063,294912,0.0060433685,2040.9717016499999,2049.0
