policy_entropy,time_elapsed,value_loss,approxkl,clipfrac,explained_variance,serial_timesteps,policy_loss,fps,total_timesteps,n_updates,ep_reward_mean,ep_len_mean
4.8638053,1303.617215871811,20.620598,0.0047703492,0.05996094,0.8460024446249008,538624,-0.0022459966,442,538624,263,992.3158960299999,1328.03
4.868613,1308.2447431087494,20.315678,0.0018581187,0.016552735,0.8411199003458023,540672,-0.0008596177,450,540672,264,992.51254472,1328.03
4.875043,1312.7954142093658,21.955612,0.0043291636,0.052099608,0.17546671628952026,542720,-0.0031137816,462,542720,265,998.2446246,1328.03
4.889189,1317.2246544361115,9.57772,0.0020182389,0.022802735,0.9326100274920464,544768,-0.0043803933,451,544768,266,996.6863946599999,1331.65
4.908213,1321.7659907341003,27.657446,0.0014676652,0.011035156,0.8383099883794785,546816,-0.00016760777,428,546816,267,996.9874088800002,1328.94
4.908561,1326.5502030849457,20.00816,0.0029561147,0.029199218,0.8482830673456192,548864,-0.002879507,454,548864,268,1002.8465880900002,1328.94
4.9007397,1331.0576252937317,20.119635,0.0037347183,0.04345703,0.8681131452322006,550912,-0.0037661649,428,550912,269,1020.7780743300001,1348.85
4.898077,1335.836243391037,21.295689,0.001900227,0.017333984,0.8572666794061661,552960,-0.002060892,454,552960,270,1020.5716209,1348.85
4.89352,1340.3452401161194,22.2035,0.0021718,0.021191407,0.8380019813776016,555008,-0.0033198944,468,555008,271,1034.9984146900001,1363.38
4.888404,1344.7180609703064,39.326725,0.0014049509,0.012158203,0.6789273023605347,557056,-0.002023684,454,557056,272,1023.0756045600001,1354.48
4.900512,1349.226551771164,19.78835,0.0067195995,0.07475586,0.8427206426858902,559104,-0.0065259323,480,559104,273,1028.01768163,1354.48
4.915101,1353.4908187389374,14.870293,0.0007060378,0.003125,0.8074823468923569,561152,-0.0019156181,455,561152,274,1009.48175424,1335.37
4.909762,1357.9913094043732,18.654745,0.0042430507,0.049462892,0.8978099226951599,563200,-0.011340311,515,563200,275,997.2555173600001,1323.87
4.90944,1361.9667236804962,19.483694,0.004065839,0.049121093,0.8433392345905304,565248,-0.001894692,365,565248,276,997.3568488100001,1323.87
4.911763,1367.5750300884247,20.333735,0.0010785447,0.0075683594,0.8152699768543243,567296,-0.0008048285,421,567296,277,1013.70944703,1340.53
4.901841,1372.4303064346313,19.574045,0.0043056025,0.051757812,0.8475101590156555,569344,-0.0015102803,448,569344,278,1015.4553374100001,1340.53
4.897538,1376.9958772659302,20.167717,0.0030628373,0.032324217,0.8623592257499695,571392,-0.0018136228,442,571392,279,1031.45134914,1356.86
