n_updates,explained_variance,fps,serial_timesteps,time_elapsed,approxkl,policy_loss,clipfrac,total_timesteps,policy_entropy,value_loss,ep_len_mean,ep_reward_mean
146,0.9799502417445183,639,299008,509.7292938232422,0.0043542315,-0.0047693746,0.05390625,299008,6.5743165,2.2963486,1834.31,1385.0780201300001
147,0.9905417719855905,571,301056,512.9308993816376,0.0035940409,-0.0021381637,0.038867187,301056,6.572104,1.716649,1834.31,1387.02271103
148,0.9769822396337986,535,303104,516.5129733085632,0.0031573426,-0.0013926263,0.03354492,303104,6.560505,4.616044,1834.31,1385.65601313
149,0.9656187817454338,566,305152,520.337396144867,0.004063286,-0.0015082692,0.04838867,305152,6.552199,6.688891,1834.31,1385.6904682299999
150,0.9627759195864201,559,307200,523.9502210617065,0.0040981444,-0.0053331745,0.04501953,307200,6.542178,7.917891,1848.71,1398.92699531
151,0.9529505334794521,536,309248,527.6132597923279,0.0042141406,-0.002700495,0.04526367,309248,6.5172167,9.564666,1848.71,1403.18156975
152,0.9429953694343567,550,311296,531.4292817115784,0.003817461,-0.00322309,0.046289064,311296,6.501892,10.772984,1848.71,1408.6647657
153,0.931136429309845,587,313344,535.1502029895782,0.002174065,-0.00036275535,0.021044921,313344,6.504079,19.606985,1851.51,1415.42239678
154,0.9023680239915848,538,315392,538.6389799118042,0.0039106114,-0.0013271405,0.045996092,315392,6.4935417,19.956179,1851.51,1420.83172975
155,0.9085290133953094,548,317440,542.4442768096924,0.0051396727,-0.0030194852,0.055566408,317440,6.4845147,20.060492,1851.51,1420.9365719900002
156,0.9019366055727005,554,319488,546.1804940700531,0.007145822,-0.005189781,0.092236325,319488,6.480962,20.0753,1851.51,1425.26529095
157,0.902664951980114,539,321536,549.8763070106506,0.004598588,-0.00092287024,0.05986328,321536,6.4764442,20.080574,1865.25,1438.5510065800001
158,0.9169770181179047,576,323584,553.6750721931458,0.0037144758,-0.0033675488,0.046972655,323584,6.4697366,24.344723,1862.23,1436.7875289300005
159,0.9009032621979713,544,325632,557.2307140827179,0.004463714,-0.0018938963,0.051855467,325632,6.4781494,20.130596,1862.23,1438.4944371000001
160,0.9033275991678238,537,327680,560.9917855262756,0.0031345761,-0.000811324,0.0340332,327680,6.4898973,20.030006,1862.23,1438.9320549700005
161,0.9047312587499619,553,329728,564.800594329834,0.0028644195,-0.0003068295,0.0328125,329728,6.5022607,20.01649,1862.23,1443.0000633300003
162,0.9093864634633064,531,331776,568.5044550895691,0.0043041375,-0.00016910132,0.046875,331776,6.520294,20.078821,1862.23,1448.3149192000003
163,0.904468797147274,543,333824,572.354660987854,0.0030706027,-0.0019836947,0.034521483,333824,6.54482,20.347797,1862.23,1452.1190079199996
164,0.9027350917458534,528,335872,576.1258988380432,0.002804944,-0.00027513807,0.029003907,335872,6.5561666,18.838175,1862.23,1457.0984766499996
165,0.8986645340919495,535,337920,580.0004150867462,0.0048677153,-0.00221335,0.06020508,337920,6.5743346,19.567257,1862.23,1457.46876194
166,0.8626093119382858,628,339968,583.8283452987671,0.0028178354,-0.0065746927,0.03652344,339968,6.601245,17.665405,1844.96,1438.9463939299999
167,0.9188619777560234,623,342016,587.0876100063324,0.0025479067,-0.0030419754,0.026611328,342016,6.602706,10.847252,1844.96,1436.4567626599996
168,0.8729466497898102,633,344064,590.3748483657837,0.0025585718,-0.003912378,0.027734375,344064,6.5948286,11.023938,1844.96,1436.10458954
169,0.8759123310446739,613,346112,593.6091594696045,0.00407718,-0.0059552286,0.0496582,346112,6.5858393,20.352203,1844.96,1435.61307894
170,0.8974404856562614,646,348160,596.9465646743774,0.002260126,-0.002207307,0.025097657,348160,6.5839067,7.2063117,1839.62,1427.34987963
171,0.9269111305475235,636,350208,600.1133961677551,0.0030871767,-0.004841493,0.038427733,350208,6.5831614,9.734966,1822.37,1407.40123407
172,0.8780167326331139,602,352256,603.3337261676788,0.004204896,-0.0031444295,0.04741211,352256,6.572448,20.73224,1822.37,1404.1792364999994
