fps,ep_reward_mean,approxkl,serial_timesteps,policy_loss,value_loss,clipfrac,total_timesteps,n_updates,time_elapsed,policy_entropy,ep_len_mean,explained_variance
438,1612.3690852954546,0.004039064,73728,-0.0012570878,19.547298,0.049072266,73728,36,180.0331573486328,6.5662127,1649.4772727272727,0.02687913179397583
458,1621.5421676666667,0.0014093831,75776,-0.0007400763,19.97325,0.0109375,75776,37,184.7020845413208,6.562117,1658.3555555555556,0.006551086902618408
462,1630.5344664347826,0.0025567396,77824,-0.00097298634,20.132143,0.025390625,77824,38,189.17118525505066,6.5544777,1666.8478260869565,-0.005860686302185059
444,1639.2252745531914,0.0037596219,79872,-0.0029438804,19.890568,0.043847658,79872,39,193.59840536117554,6.5442834,1674.9787234042553,0.015629231929779053
462,1647.5393980833335,0.0049449643,81920,-0.0019463999,19.860504,0.057617188,81920,40,198.20283198356628,6.535924,1682.7708333333333,0.01249152421951294
245,1655.5400340204085,0.00319739,83968,-0.0018028222,22.091103,0.033496093,83968,41,202.62898921966553,6.530936,1690.2448979591836,-0.05886554718017578
258,1662.9089552400003,0.0023259013,86016,-0.0011679053,20.203182,0.024267578,86016,42,210.98145699501038,6.535117,1697.42,-0.0009545087814331055
431,1670.2873153333335,0.0033553275,88064,-0.0016247826,20.212488,0.032226562,88064,43,218.89012026786804,6.538663,1704.313725490196,0.0002071857452392578
448,1677.2715907115385,0.0025603233,90112,-0.0014602339,20.364256,0.027050782,90112,44,223.6352345943451,6.531226,1710.9423076923076,-0.011996269226074219
445,1683.9814307358492,0.0014316698,92160,-0.001030189,20.182228,0.011083985,92160,45,228.20046854019165,6.531436,1717.3207547169811,-0.001582503318786621
435,1690.3427512407409,0.0056013027,94208,-0.0038834023,20.159222,0.068798825,94208,46,232.80321502685547,6.538831,1723.462962962963,-0.0012292861938476562
432,1696.5663889818184,0.0039405967,96256,-0.00275045,20.090038,0.04194336,96256,47,237.5057487487793,6.5333924,1729.3818181818183,-0.000723719596862793
432,1702.4601156071428,0.0012081896,98304,-0.00011192101,19.71251,0.0087890625,98304,48,242.23628759384155,6.5299706,1735.0892857142858,0.02674156427383423
