total_timesteps,n_updates,fps,explained_variance,clipfrac,value_loss,serial_timesteps,policy_loss,ep_len_mean,time_elapsed,approxkl,ep_reward_mean,policy_entropy
270336,132,600,0.4465438723564148,0.03022461,14.0844555,270336,-0.0011632636,985.59,446.9548308849335,0.0030288587,445.87193431,2.1310244
272384,133,601,0.5110277533531189,0.04814453,4.658354,272384,-0.0008141274,985.59,450.3639199733734,0.0043000076,446.56551062000005,2.132206
274432,134,592,0.6932666897773743,0.0375,8.374568,274432,-0.0032439106,946.39,453.77270126342773,0.003313419,429.6740705999999,2.137523
276480,135,612,0.31951630115509033,0.13564453,4.987056,276480,-0.0028164717,946.39,457.22841358184814,0.0106601175,432.64423998999996,2.15167
278528,136,600,0.46371990442276,0.10961914,4.432224,278528,-0.0064244666,946.39,460.5700719356537,0.008923392,434.36233544999993,2.1645331
280576,137,615,0.5480001270771027,0.078027345,8.05994,280576,-0.001296813,916.68,463.982803106308,0.006128517,422.61199129999994,2.1647515
282624,138,587,0.5631619989871979,0.0515625,7.6586394,282624,-0.0020232687,897.84,467.30889558792114,0.0047427504,416.40049849,2.1684601
284672,139,570,0.6597385704517365,0.058740236,7.4932775,284672,-0.0015872879,876.69,470.792929649353,0.005179152,409.01402220000006,2.1724393
286720,140,591,0.5889682769775391,0.024609376,8.272104,286720,-0.0013716043,859.15,474.38164258003235,0.0027697089,403.80517008000004,2.1666284
288768,141,616,0.7608627527952194,0.04736328,3.5199916,288768,-0.002977734,848.04,477.84450817108154,0.004081439,399.7269497500001,2.1473126
290816,142,596,0.6603670120239258,0.06123047,12.845019,290816,-0.0018371271,843.0,481.167418718338,0.005002853,399.35877496,2.1447635
292864,143,593,0.4914637804031372,0.04926758,10.353593,292864,-0.0055494797,841.75,484.60148334503174,0.004252339,399.64247407000005,2.1477227
294912,144,610,0.6141018271446228,0.07143555,13.823026,294912,-0.0019978608,827.67,488.05170249938965,0.0063938564,393.66236017000006,2.156662
296960,145,577,0.6755679547786713,0.0640625,8.542779,296960,-0.0033784758,833.34,491.4047963619232,0.005669785,397.39299245999996,2.168097
299008,146,585,0.6962107717990875,0.07734375,11.379119,299008,-0.010274956,840.77,494.95343351364136,0.006271439,402.08121342,2.1793423
301056,147,591,0.7248983383178711,0.05415039,11.080973,301056,-0.0012902819,844.06,498.45406699180603,0.004542603,404.94370689999994,2.179838
303104,148,579,0.6623415052890778,0.042822264,16.766153,303104,-0.0018849566,839.76,501.9160256385803,0.0036015592,403.94430896000006,2.1915412
305152,149,608,0.7132759988307953,0.041308593,14.951228,305152,-0.0045999987,837.96,505.4518737792969,0.0036688913,404.32072359,2.2039628
307200,150,605,0.7373438775539398,0.026855469,15.208725,307200,0.00020536166,820.09,508.81673884391785,0.0027005721,396.17702726000005,2.1908958
309248,151,600,0.7565446346998215,0.032324217,9.732077,309248,-0.0012288883,824.74,512.1992592811584,0.0029345986,399.1772525900001,2.18774
311296,152,600,0.7693527340888977,0.039697267,11.11143,311296,-0.0036160531,809.56,515.6129789352417,0.0036481179,392.18071632,2.208764
313344,153,607,0.7475113868713379,0.03330078,14.794797,313344,-0.0018599775,778.68,519.0242927074432,0.0031115666,378.44450087000007,2.2139719
315392,154,578,0.7787876278162003,0.0496582,9.682222,315392,-0.003722597,761.93,522.3983964920044,0.004050616,370.66107300000004,2.2206216
317440,155,598,0.7522667050361633,0.044921875,12.517851,317440,-0.00366689,702.37,525.9410614967346,0.003918836,342.4056005800001,2.2290704
319488,156,578,0.7514713853597641,0.035351563,15.074404,319488,-0.004872149,673.38,529.3616411685944,0.0035506177,330.1506349,2.2225733
321536,157,594,0.7830772697925568,0.02866211,11.070605,321536,-0.0007146264,658.11,532.9025566577911,0.0029149635,325.08590675,2.2254748
323584,158,606,0.8342028707265854,0.049462892,10.562007,323584,-0.0032005347,657.08,536.3476543426514,0.0041701426,325.37674224,2.2425497
325632,159,604,0.8556319624185562,0.0453125,6.720201,325632,-0.0023943987,659.42,539.7265546321869,0.0037115198,327.36040097000006,2.2662094
327680,160,596,0.7962870001792908,0.02421875,12.910055,327680,-0.0013666581,659.04,543.1140186786652,0.0023042788,328.14135675,2.2829413
329728,161,605,0.8326818943023682,0.04423828,5.8579607,329728,-0.0029956445,660.46,546.546064376831,0.0039150463,329.30179861000005,2.2916138
331776,162,604,0.8576207309961319,0.034326173,9.987691,331776,-0.002371288,664.38,549.9315588474274,0.0031967077,332.79395877999997,2.310208
333824,163,611,0.8505571186542511,0.030957032,7.8136816,333824,-8.8349814e-05,653.16,553.3195598125458,0.0031433299,327.64507604000005,2.3213441
335872,164,596,0.7688744515180588,0.031933594,9.652215,335872,-0.003128786,656.82,556.6683216094971,0.0031263605,330.07784889000004,2.3193204
337920,165,586,0.8131748586893082,0.028173828,12.456307,337920,-0.0015117491,639.69,560.1045925617218,0.0029276267,323.08854536,2.321734
339968,166,587,0.8549189269542694,0.01826172,10.483392,339968,-0.003840105,601.74,563.6003420352936,0.0019504167,305.91487574,2.3265376
342016,167,598,0.7972309589385986,0.024951171,8.814473,342016,-0.003837989,591.64,567.0855805873871,0.0024769027,301.76364689,2.3380551
344064,168,616,0.8301196545362473,0.04575195,8.477401,344064,-0.0016124279,580.02,570.5096852779388,0.0036931448,296.96305406999994,2.3386393
346112,169,604,0.8825313001871109,0.031347655,7.7348914,346112,-0.0027817562,555.71,573.8307049274445,0.002902687,284.38026792,2.3424964
348160,170,606,0.857495054602623,0.035839844,8.852678,348160,-0.0035004555,533.65,577.2217037677765,0.0031133122,272.30513156,2.3596044
350208,171,613,0.8809124082326889,0.027539063,6.4449143,350208,-0.0036751789,533.5,580.5993285179138,0.0026041665,272.48990433999995,2.3662891
352256,172,603,0.8277305066585541,0.045996092,11.109686,352256,-0.0028828508,522.75,583.9380650520325,0.0038976534,266.77009255999997,2.376729
354304,173,597,0.9198063760995865,0.051171876,4.3216,354304,-0.002612908,529.3,587.3307559490204,0.0042685242,270.38269441,2.39119
356352,174,595,0.8999383524060249,0.031298827,6.816613,356352,-0.0029043264,533.29,590.7600810527802,0.0028907426,272.82830254,2.3994355
358400,175,588,0.9276276454329491,0.017773438,4.5203032,358400,-0.002742894,533.77,594.2024238109589,0.0019640836,272.80524260000004,2.400725
360448,176,602,0.8849993795156479,0.050439455,8.19562,360448,-0.0029301916,536.81,597.6824722290039,0.0044333576,274.50737309000004,2.4068408
362496,177,610,0.9077964574098587,0.022802735,4.944167,362496,-0.0009500791,540.7,601.080418586731,0.002345573,276.7488937400001,2.4108922
364544,178,597,0.9336454942822456,0.031445313,4.8488617,364544,-0.0022633749,536.48,604.4342610836029,0.003136191,274.83862948,2.4143968
366592,179,580,0.913296565413475,0.047851562,5.4216986,366592,0.0008653814,545.31,607.865017414093,0.004252052,279.26805748,2.4294314
368640,180,596,0.9233293160796165,0.04584961,5.2266607,368640,-0.0043680132,547.88,611.3961315155029,0.0039152307,280.60053920999997,2.4354625
370688,181,612,0.9073040783405304,0.045703124,5.5692196,370688,-0.0060933926,552.0,614.8300728797913,0.0038933181,282.9235267,2.442309
372736,182,605,0.9217977970838547,0.040625,4.543619,372736,-0.0024161646,556.93,618.1726732254028,0.0035913591,285.68869434,2.4366808
374784,183,605,0.879810206592083,0.03286133,7.26504,374784,-0.003540567,563.71,621.5583064556122,0.0029949322,289.52628537,2.4360127
376832,184,576,0.8733679205179214,0.032568358,9.018128,376832,-0.0047341427,570.27,624.9403300285339,0.0029976363,293.12193069,2.4355674
378880,185,590,0.9359534233808517,0.0484375,4.798938,378880,-0.003343063,571.26,628.4951212406158,0.004600345,293.88634318000004,2.4292805
380928,186,617,0.9371240139007568,0.062353514,3.2515464,380928,-0.0045877467,573.38,631.9650945663452,0.005283865,295.30672609000004,2.4246874
382976,187,603,0.9441290609538555,0.03354492,4.1199846,382976,-0.0051989714,580.85,635.2834784984589,0.0032041068,299.62802984999996,2.4276357
385024,188,611,0.9409957863390446,0.026611328,5.192849,385024,-0.0013700832,579.32,638.675742149353,0.0026711659,298.99290342000006,2.4292505
387072,189,605,0.9607984572649002,0.032177735,2.1840634,387072,-0.004275562,581.21,642.0280468463898,0.002928307,300.33941132,2.4290783
389120,190,601,0.9382045716047287,0.04160156,5.606716,389120,-0.0009656626,572.62,645.4084057807922,0.003699761,295.57299609999995,2.4337285
391168,191,602,0.9024420976638794,0.016259765,7.158114,391168,-0.0014566217,569.08,648.8153147697449,0.0019410041,294.06830603000003,2.431594
