policy_loss,value_loss,explained_variance,time_elapsed,clipfrac,approxkl,policy_entropy,fps,n_updates,total_timesteps,serial_timesteps,ep_reward_mean,ep_len_mean
-0.0027599125,13.176107,0.6828554272651672,952.3221070766449,0.06870117,0.0067109107,2.6544633,479,216,442368,442368,959.27882274,1474.31
-0.005119402,11.095805,0.768846407532692,956.5956034660339,0.05996094,0.0052950047,2.6470761,481,217,444416,444416,959.2978934600001,1474.31
-0.007352768,7.071744,0.9199804961681366,960.8532462120056,0.066748045,0.0063775666,2.6494508,480,218,446464,446464,959.5936253300001,1474.72
-0.0041015903,10.42265,0.8134490102529526,965.1123387813568,0.049707033,0.004284528,2.6590524,476,219,448512,448512,960.93349994,1474.72
-0.004682944,11.4086275,0.7865871042013168,969.4138867855072,0.07646485,0.005886159,2.6637125,418,220,450560,450560,972.5530066800001,1491.26
-0.0010816922,12.018302,0.751723125576973,974.3116550445557,0.06020508,0.005096443,2.6592145,409,221,452608,452608,973.3154857900003,1491.26
-0.002923643,10.757475,0.7685302048921585,979.3194298744202,0.050390624,0.004369621,2.6592057,430,222,454656,454656,985.0588889100001,1509.16
-0.0015412753,12.082129,0.7364291846752167,984.0811431407928,0.047705077,0.0042276373,2.6628547,429,223,456704,456704,996.8944142100001,1525.34
-0.0038003281,19.864185,0.7304435670375824,988.8540096282959,0.035546876,0.0034059223,2.6701033,384,224,458752,458752,1004.5247035000002,1535.37
-0.004672018,10.561719,0.7950454950332642,994.181734085083,0.055126954,0.00483529,2.68255,392,225,460800,460800,1004.8354329000001,1535.37
-0.0052860556,12.540137,0.7681360691785812,999.400059223175,0.064208984,0.005573385,2.688891,456,226,462848,462848,1005.2208149100001,1535.37
-0.0034166235,10.930533,0.8147438913583755,1003.8827428817749,0.04868164,0.0043455246,2.6909862,460,227,464896,464896,1004.9311816700002,1535.37
-0.007424579,12.458019,0.8606541007757187,1008.3270773887634,0.05317383,0.0047491994,2.6920369,397,228,466944,466944,984.13660755,1505.31
-0.005602095,15.374464,0.8234532028436661,1013.480607509613,0.07402344,0.006007067,2.6901588,375,229,468992,468992,984.53626032,1505.37
-0.0025157633,10.535971,0.8155001848936081,1018.9376606941223,0.052099608,0.0047469228,2.674415,374,230,471040,471040,985.4251398299999,1505.37
-0.0027068574,13.27529,0.8612874448299408,1024.4127826690674,0.06733398,0.0058797463,2.6603563,427,231,473088,473088,972.89316532,1487.25
-0.0036609713,14.84066,0.8234692066907883,1029.2008166313171,0.044677734,0.004345906,2.6569524,453,232,475136,475136,973.38698428,1487.21
-0.0025025443,15.396423,0.8278996050357819,1033.7158274650574,0.040283203,0.003415991,2.6693468,459,233,477184,477184,960.94111502,1469.34
-0.0027784298,11.7910795,0.8095592856407166,1038.1717903614044,0.050683595,0.0045872866,2.6837482,473,234,479232,479232,961.22458319,1469.34
-0.0068202624,12.384981,0.7508782893419266,1042.5000309944153,0.047607422,0.004122206,2.6850204,478,235,481280,481280,961.73216415,1469.34
-0.0030731943,10.81848,0.8087111860513687,1046.7849352359772,0.05415039,0.0047970098,2.673094,463,236,483328,483328,972.7079042600001,1484.1
-0.0029423274,10.108675,0.8462117463350296,1051.2044022083282,0.0375,0.0034211217,2.6657262,485,237,485376,485376,972.7036926600001,1484.1
-0.0077969283,6.244405,0.9122004806995392,1055.4260590076447,0.06318359,0.005941914,2.6676219,476,238,487424,487424,962.0849861900001,1469.67
-0.0071180463,29.683685,0.7866755276918411,1059.7225379943848,0.045800783,0.0041633383,2.6818597,348,239,489472,489472,935.8156138200002,1430.7
-0.005348925,22.35326,0.8280550837516785,1065.5977416038513,0.0418457,0.003891037,2.6889968,383,240,491520,491520,911.98147679,1396.94
-0.0016072055,18.961657,0.8490265756845474,1070.9378416538239,0.034960937,0.0033873976,2.6934905,411,241,493568,493568,905.0226160699999,1387.67
-0.0023899456,12.0669775,0.6640311777591705,1075.9110639095306,0.05756836,0.0049157003,2.7010407,387,242,495616,495616,903.9746915199999,1387.67
-0.0014482312,9.823022,0.7911591976881027,1081.1939716339111,0.060546875,0.005626953,2.7062318,399,243,497664,497664,903.366718,1387.67
-0.0030452998,10.860512,0.8180804699659348,1086.3180458545685,0.052734375,0.0049746414,2.7066524,425,244,499712,499712,902.6458535699999,1387.67
-0.0022807806,29.283901,0.4969918131828308,1091.1349222660065,0.064404294,0.0065918937,2.7042937,403,245,501760,501760,839.28916837,1300.98
-0.003328226,21.105516,0.7967572510242462,1096.2121663093567,0.026953125,0.002723329,2.7101684,417,246,503808,503808,815.5592776000001,1266.4
-0.0027094071,13.771518,0.6251571774482727,1101.116102218628,0.047851562,0.004456065,2.7138402,378,247,505856,505856,814.6424163600001,1266.4
-0.0032932,17.251877,0.7897202372550964,1106.5249335765839,0.08520508,0.0071208114,2.72732,389,248,507904,507904,813.4006374300002,1266.52
-0.0012050308,14.303938,0.8274531811475754,1111.78418135643,0.076611325,0.006918731,2.734099,377,249,509952,509952,798.80244852,1248.41
-0.0036230162,18.47089,0.8242428451776505,1117.2076060771942,0.043115236,0.003768256,2.7402825,432,250,512000,512000,763.07581683,1197.39
0.00021925739,13.351865,0.7799250930547714,1121.944988489151,0.06850586,0.005625238,2.745176,368,251,514048,514048,748.1121847400001,1178.78
-0.0044134757,10.436372,0.7331769466400146,1127.506057024002,0.062353514,0.005403014,2.7403073,352,252,516096,516096,758.0174769800001,1194.98
-0.005864463,10.58047,0.6829336881637573,1133.3091640472412,0.08061524,0.0068876967,2.7358537,383,253,518144,518144,756.3310239499999,1194.98
-0.0035537265,9.280207,0.6599777936935425,1138.653101682663,0.084228516,0.006932697,2.7458186,388,254,520192,520192,754.47957498,1194.98
-0.0016341156,9.2995825,0.7488795220851898,1143.9296169281006,0.072705075,0.00611486,2.7488933,370,255,522240,522240,760.92787747,1205.88
-0.0051930966,9.866602,0.712320476770401,1149.4530761241913,0.093164064,0.008192933,2.7622736,408,256,524288,524288,772.8574267999996,1224.02
-0.0049684327,13.837118,0.7928494811058044,1154.4657621383667,0.04501953,0.003932746,2.7814507,426,257,526336,526336,779.35010505,1233.43
-0.0025153751,8.992522,0.7971203029155731,1159.2725820541382,0.072949216,0.0062814252,2.7890725,410,258,528384,528384,778.4822712200001,1233.43
-0.0043463456,8.316946,0.7750299274921417,1164.2617754936218,0.04194336,0.0037550188,2.7978146,421,259,530432,530432,767.96584271,1218.44
-0.0071839564,13.967722,0.8123908489942551,1169.117309808731,0.06123047,0.0060459925,2.8078527,410,260,532480,532480,766.6949948099999,1218.56
-0.0033964608,5.045899,0.8809457793831825,1174.1103689670563,0.049365234,0.0040524118,2.8205602,437,261,534528,534528,754.4055443599999,1201.46
-0.006974657,25.887787,0.724957138299942,1178.7880353927612,0.056933593,0.0052446797,2.8376002,430,262,536576,536576,762.7759372600001,1212.92
-0.0020973322,9.190902,0.8077523410320282,1183.5494403839111,0.0296875,0.0028485076,2.8499384,393,263,538624,538624,773.7748728700001,1228.16
-0.003555486,23.853502,0.7329574823379517,1188.7518904209137,0.04169922,0.0035417643,2.8560903,406,264,540672,540672,741.68906144,1184.5
