explained_variance,time_elapsed,value_loss,serial_timesteps,fps,policy_loss,total_timesteps,n_updates,approxkl,clipfrac,policy_entropy,ep_reward_mean,ep_len_mean
0.7117635309696198,365.4824306964874,20.337242,176128,454,-0.006546127,176128,86,0.00842364,0.10849609,6.155348,1244.8895602000002,1454.99
0.7634657323360443,369.9903619289398,19.918371,178176,472,-0.0015066027,178176,87,0.0033559888,0.037890624,6.1607275,1259.1825278800002,1467.11
0.7576598227024078,374.3268094062805,20.295877,180224,464,-0.0020993415,180224,88,0.0032961473,0.035498045,6.1595225,1260.43198763,1467.11
0.7118887305259705,378.7382695674896,20.118275,182272,455,-0.0022223103,182272,89,0.0046161986,0.05444336,6.164844,1276.3545476200002,1482.58
0.7167118489742279,383.23667645454407,20.243036,184320,463,-0.0028774443,184320,90,0.0039855167,0.04711914,6.1779237,1293.3823182400001,1498.89
0.6916206777095795,387.65845680236816,20.026537,186368,468,-0.0017664626,186368,91,0.0016070781,0.016601562,6.1807513,1293.68556744,1498.89
0.6741271615028381,392.02741384506226,20.057774,188416,455,-0.0018294653,188416,92,0.0035320264,0.034863282,6.1777515,1299.94829413,1498.89
0.8585135787725449,396.51924204826355,23.264872,190464,470,-0.0014070726,190464,93,0.002309999,0.021630859,6.1671333,1310.11412069,1502.98
0.687383383512497,400.8713889122009,19.810265,192512,458,-0.0025409712,192512,94,0.003934267,0.041503906,6.1648307,1317.4739597699997,1502.98
0.8663678616285324,405.3416271209717,34.291477,194560,489,-0.0035200906,194560,95,0.0020851002,0.024414062,6.1676855,1297.0626797899997,1468.38
0.6662750840187073,409.5233759880066,19.496084,196608,456,-0.0027946099,196608,96,0.0037610661,0.04042969,6.1684475,1313.79906626,1484.66
0.8384234458208084,414.0064129829407,25.978582,198656,478,-0.005273692,198656,97,0.0042141816,0.048779298,6.166364,1298.68735633,1466.44
0.8725178986787796,418.2870304584503,25.875519,200704,482,-0.0017935103,200704,98,0.0016491789,0.0140625,6.175857,1284.3379047300002,1450.42
0.7549198716878891,422.53667306900024,19.972065,202752,468,-0.0035042975,202752,99,0.0025086408,0.023291016,6.173063,1298.62778018,1461.48
0.8915691748261452,426.90451431274414,11.205802,204800,459,-0.004063028,204800,100,0.002855947,0.023486327,6.170259,1281.84144616,1444.63
0.6645517349243164,431.3675465583801,19.87073,206848,470,-0.0036145248,206848,101,0.003052654,0.03173828,6.164377,1282.0213360499997,1444.63
0.6803832948207855,435.7212555408478,19.842337,208896,452,-0.0014610562,208896,102,0.0033842772,0.0359375,6.1625657,1282.50629399,1444.63
0.7815912663936615,440.24915647506714,30.462368,210944,474,-0.0010336199,210944,103,0.000891646,0.0078125,6.1631136,1266.6235730599997,1426.43
0.6891971230506897,444.56948614120483,19.92342,212992,458,-0.0018296202,212992,104,0.0024481316,0.018994141,6.1650915,1266.42893517,1426.43
0.691204845905304,449.03630542755127,19.746532,215040,446,-0.0018291397,215040,105,0.004563313,0.053857423,6.1654634,1268.25712804,1426.43
0.7757716178894043,453.62724018096924,20.05331,217088,473,-0.0024619296,217088,106,0.0034523823,0.041552734,6.164154,1268.5546874299998,1426.43
0.7095226347446442,457.9547131061554,19.69761,219136,479,-0.004834066,219136,107,0.0071205376,0.08588867,6.167454,1268.9701882299998,1426.43
0.7641728073358536,462.22201657295227,31.713642,221184,493,-0.0036387076,221184,108,0.0042128707,0.04145508,6.1791973,1269.6611595000002,1426.49
0.699581503868103,466.37163615226746,20.20341,223232,471,-0.0021279173,223232,109,0.0023718777,0.02216797,6.1777678,1269.65391686,1426.49
0.6712139844894409,470.7176296710968,19.719128,225280,460,-0.0010271023,225280,110,0.002444142,0.026757812,6.1814103,1269.6105230599999,1426.49
