total_timesteps,policy_entropy,policy_loss,approxkl,n_updates,serial_timesteps,time_elapsed,explained_variance,clipfrac,fps,value_loss,ep_len_mean,ep_reward_mean
233472,3.8530648,-0.0016977389,0.0067751617,114,233472,630.777838230133,0.8176473677158356,0.08754883,368,11.654434,1352.73,900.1548279000001
235520,3.8573985,-0.004933387,0.004802562,115,235520,636.3317358493805,0.7812637388706207,0.056884766,385,12.349154,1368.39,911.71681387
237568,3.8685532,-0.0064731203,0.004326387,116,237568,641.6426601409912,0.9316764175891876,0.054589845,358,10.084894,1382.81,923.6675178200002
239616,3.8784065,-0.0019314798,0.0029310426,117,239616,647.362694978714,0.7728751748800278,0.035253905,376,11.676903,1400.51,935.1346997600001
241664,3.8845043,-0.0034394134,0.0041089314,118,241664,652.7986671924591,0.7548944801092148,0.051123045,395,10.5769415,1406.95,938.2651059100001
243712,3.8924687,-0.0066925706,0.0042437455,119,243712,657.982629776001,0.9447066187858582,0.04897461,357,7.537033,1416.89,945.44525073
245760,3.9042308,-0.0033206276,0.003953993,120,245760,663.7187347412109,0.8435363620519638,0.048193358,371,19.4536,1422.38,950.65058835
247808,3.9101872,-0.004861557,0.008813583,121,247808,669.2284309864044,0.837207242846489,0.05996094,375,9.582943,1429.6,954.21107018
249856,3.9142919,-0.001040803,0.0022966762,122,249856,674.6788127422333,0.7497548460960388,0.02319336,370,16.145905,1426.46,948.86201753
251904,3.9208417,-0.0025714978,0.0028203172,123,251904,680.2074382305145,0.883982427418232,0.032226562,394,15.864469,1431.88,952.5630292700001
253952,3.9265087,-0.003746581,0.0055219578,124,253952,685.4003472328186,0.9426073618233204,0.062402345,372,10.712385,1442.03,962.59681517
256000,3.931377,-0.0046668625,0.0022289283,125,256000,690.9058809280396,0.9537424929440022,0.024951171,401,4.2618713,1436.39,957.49575916
258048,3.9382,-0.00087281055,0.0022770881,126,258048,696.0138072967529,0.9255949258804321,0.022753906,385,11.946258,1434.21,955.0792813199998
260096,3.9431667,-0.00468078,0.0030589134,127,260096,701.3310532569885,0.8977105766534805,0.02758789,373,10.956083,1449.77,967.2727540499999
262144,3.9525764,-0.0040320577,0.0038170232,128,262144,706.8170831203461,0.9610438905656338,0.045214843,378,6.0503173,1439.51,958.5033374099999
264192,3.9710522,-0.0043026367,0.002254243,129,264192,712.2222099304199,0.815481036901474,0.025,369,22.859034,1436.63,955.44073855
266240,3.9739437,-0.0006012522,0.0013849647,130,266240,717.7711334228516,0.8883625119924545,0.0105957035,386,14.196768,1447.62,963.2789602099999
268288,3.9680085,-0.0027701312,0.0020132337,131,268288,723.0747547149658,0.8811971917748451,0.019189453,380,12.737983,1448.73,963.1641261100001
270336,3.9599323,-0.0024836801,0.0017976926,132,270336,728.4548733234406,0.9259260073304176,0.014746094,386,10.74214,1449.94,964.16557748
272384,3.9481559,-0.0038281009,0.0034955528,133,272384,733.7485952377319,0.6891783475875854,0.03779297,385,18.752947,1449.94,963.4506668099999
274432,3.937997,-0.0015834682,0.002697705,134,274432,739.0554492473602,0.8611941784620285,0.02709961,394,18.471254,1457.88,969.9342250400001
276480,3.9306502,-0.00438977,0.0029405465,135,276480,744.2501082420349,0.9136580899357796,0.031835936,383,13.803081,1463.4,975.1889400200001
278528,3.930579,-0.0015064098,0.0023098015,136,278528,749.5853796005249,0.9642763212323189,0.021533202,360,5.090333,1447.66,963.1035175200002
280576,3.933002,-0.0036712817,0.0029254542,137,280576,755.2701292037964,0.882417693734169,0.0340332,375,18.595848,1444.79,960.28173218
