n_updates,ep_reward_mean,time_elapsed,policy_loss,serial_timesteps,explained_variance,clipfrac,ep_len_mean,approxkl,value_loss,policy_entropy,total_timesteps,fps
57,505.2507085873015,429.5284035205841,-0.0020575724,116736,0.09479492902755737,0.059179686,1835.952380952381,0.0046230694,2.565072,1.5259616,116736,266
58,508.40521034375,437.20130610466003,-0.00063077745,118784,0.005455732345581055,0.025585938,1839.28125,0.0029189135,3.6834502,1.5190628,118784,258
59,513.7133242769231,445.1209454536438,-0.002361379,120832,0.05672520399093628,0.047509767,1842.5076923076922,0.0044376897,4.824781,1.5096228,120832,255
60,517.2224782878787,453.1512224674225,0.00014234192,122880,0.03832060098648071,0.016992187,1845.6363636363637,0.0021526061,2.2625675,1.5083284,122880,264
61,519.3006820746268,460.8922736644745,-0.0002704235,124928,0.015632808208465576,0.033447266,1848.6716417910447,0.0031022285,2.230657,1.5145968,124928,263
62,521.9753732352941,468.6553692817688,-0.0049292906,126976,0.027013659477233887,0.0597168,1851.6176470588234,0.0049451953,3.108868,1.5174906,126976,266
63,526.1505284492754,476.3330326080322,-0.00081764284,129024,0.04010063409805298,0.019189453,1854.4782608695652,0.0024988407,3.0538878,1.5145148,129024,265
64,528.7915889285715,484.0628411769867,-0.0041193883,131072,0.02765071392059326,0.060839843,1857.2571428571428,0.004881084,2.8698287,1.5192631,131072,266
65,532.7650598450704,491.7400646209717,-4.4076576e-05,133120,0.053865790367126465,0.01875,1859.9577464788733,0.0023543474,4.829531,1.5262942,133120,267
66,537.6079715416668,499.4026873111725,-0.0028919757,135168,0.04312700033187866,0.05078125,1862.5833333333333,0.0041860114,4.444026,1.5318606,135168,271
67,541.2240560273974,506.95994758605957,-0.0060775713,137216,0.033982157707214355,0.072314456,1865.13698630137,0.0055895047,4.272067,1.5396092,137216,272
68,545.5948088513514,514.4797344207764,-0.0005855131,139264,0.04333698749542236,0.018945312,1867.6216216216217,0.0022648836,5.7101636,1.5474653,139264,276
69,550.0429335466667,521.8772041797638,-0.0012059205,141312,0.07206392288208008,0.02993164,1870.04,0.0028211293,3.276559,1.560155,141312,278
70,552.6029589342106,529.2305727005005,-0.004703206,143360,0.07503926753997803,0.043554686,1872.3947368421052,0.0038595858,3.3462327,1.5606147,143360,268
71,555.5617009870131,536.8614566326141,-0.0024709075,145408,0.0805504322052002,0.04458008,1874.6883116883116,0.0039081117,3.9591777,1.5524203,145408,268
72,560.4068912820514,544.5026285648346,-0.003804757,147456,0.06792664527893066,0.044921875,1876.923076923077,0.0036587603,6.415892,1.5506747,147456,279
73,564.1381666202533,551.8234467506409,-0.0030280636,149504,0.1021568775177002,0.032177735,1879.1012658227849,0.0033379812,4.331075,1.5464085,149504,271
74,567.4219220625,559.3710420131683,-0.006368858,151552,0.15326279401779175,0.058984376,1881.225,0.004725877,3.6210885,1.5490083,151552,272
75,570.4976813580247,566.8861155509949,-0.0015373754,153600,0.145033597946167,0.026904296,1883.2962962962963,0.0028965517,6.055662,1.5422533,153600,277
76,571.9857172439025,574.2787983417511,-0.001214605,155648,0.1555929183959961,0.019677734,1878.4756097560976,0.0022637525,8.141858,1.5271904,155648,294
77,577.3421910120484,581.2288718223572,-0.0042605363,157696,0.1601744294166565,0.038867187,1880.5301204819277,0.0038251956,5.8184223,1.5149069,157696,271
78,581.5993176309524,588.7713685035706,-0.0008392554,159744,0.18341273069381714,0.032714844,1882.5357142857142,0.0031582895,5.4273176,1.5145408,159744,276
79,585.6049683058825,596.1662158966064,-0.0022893276,161792,0.20392060279846191,0.02758789,1884.4941176470588,0.0030391258,4.9178743,1.5102057,161792,273
80,589.043730255814,603.6517953872681,-0.0011227073,163840,0.08242624998092651,0.037158202,1886.406976744186,0.003563594,6.751483,1.5110965,163840,281
81,592.33470354023,610.9315702915192,-0.0038399152,165888,0.188787579536438,0.047851562,1884.7816091954023,0.004048337,7.52378,1.5110419,165888,283
82,597.307800875,618.1642243862152,-0.0046969624,167936,0.18435335159301758,0.03793945,1886.6477272727273,0.0038724951,5.474221,1.5053328,167936,267
83,601.2865114831461,625.822979927063,-0.003043449,169984,0.17939037084579468,0.05234375,1888.4719101123596,0.004343525,5.1040173,1.499957,169984,273
