clipfrac,explained_variance,serial_timesteps,fps,total_timesteps,policy_loss,approxkl,ep_reward_mean,time_elapsed,ep_len_mean,value_loss,n_updates,policy_entropy
0.032080077,0.9156500846147537,571392,430,571392,-0.005267304,0.0029176394,852.44388319,1315.6323518753052,1082.14,18.391033,279,4.90281
0.029101562,0.825928345322609,573440,405,573440,-0.002910462,0.002900842,869.0013776299998,1320.3951723575592,1099.67,21.483631,280,4.901432
0.026367188,0.9031992629170418,575488,449,575488,-0.0017291587,0.002482872,818.15726714,1325.451269865036,1049.34,23.218035,281,4.9041505
0.051757812,0.8360387086868286,577536,429,577536,-0.003681979,0.004165275,833.75513074,1330.0032360553741,1065.13,21.109137,282,4.906113
0.046972655,0.8274836391210556,579584,433,579584,-0.006028776,0.0040838164,845.18110498,1334.7769753932953,1082.32,12.728006,283,4.904565
0.059228517,0.7652366161346436,581632,404,581632,-0.001051896,0.0047528753,860.3643702399999,1339.5035440921783,1098.48,19.47432,284,4.9035816
0.03642578,0.7686575204133987,583680,404,583680,-0.00035110343,0.0032972104,876.6748023599998,1344.5644390583038,1114.46,19.781942,285,4.9045687
0.04926758,0.8136642426252365,585728,398,585728,-0.0019431614,0.0040883953,877.4210095699999,1349.6327254772186,1114.46,20.156847,286,4.897925
0.03959961,0.818527102470398,587776,414,587776,-0.003443862,0.0033054375,877.1791819999999,1354.7692866325378,1114.46,21.300327,287,4.9007673
0.03305664,0.8270667940378189,589824,442,589824,-0.0035196573,0.0029918859,872.99852124,1359.715266942978,1114.46,14.272059,288,4.9084845
0.022558594,0.8134997338056564,591872,428,591872,-0.0023725452,0.0022215317,885.1035185999999,1364.3460223674774,1131.21,21.4137,289,4.9100814
0.055126954,0.7992956191301346,593920,385,593920,-0.0011940969,0.0045761336,901.2995791,1369.1270639896393,1147.81,19.724627,290,4.8993917
0.03676758,0.808329239487648,595968,409,595968,-0.0010523302,0.0033267643,901.29799109,1374.4418349266052,1147.81,19.962261,291,4.89068
0.054882813,0.7667312175035477,598016,413,598016,-0.0017888505,0.0044537066,918.6235190699999,1379.4437367916107,1165.89,19.922691,292,4.8889284
0.04799805,0.8548489362001419,600064,435,600064,-0.0037033842,0.0039553214,919.5747910100002,1384.3986320495605,1165.89,20.14192,293,4.8848343
0.030810546,0.8219643533229828,602112,431,602112,-0.0024952071,0.0029046438,921.09303885,1389.1009922027588,1165.89,21.143484,294,4.884019
0.06616211,0.6586729884147644,604160,439,604160,-0.0039174925,0.0053405976,933.3115242099999,1393.848781824112,1184.37,15.474924,295,4.8919353
0.046582032,0.8457064032554626,606208,418,606208,-0.0018714832,0.0040677697,944.02820909,1398.512558221817,1198.32,21.438147,296,4.8908653
0.029638672,0.8186651915311813,608256,407,608256,-7.433355e-05,0.0029974615,942.22015046,1403.4093298912048,1198.32,19.687662,297,4.884737
0.03564453,0.7982527613639832,610304,409,610304,-0.0017359322,0.0033218642,958.9418818099998,1408.4312698841095,1215.22,19.453388,298,4.888732
0.08271484,0.7583125978708267,612352,396,612352,-0.0016844027,0.006390861,976.2144078899998,1413.4329884052277,1232.88,19.773565,299,4.8994927
0.050097656,0.8365554064512253,614400,398,614400,-0.002790546,0.004072812,991.69500859,1418.596786737442,1246.87,20.374878,300,4.9052286
0.045703124,0.8288857191801071,616448,422,616448,-0.0039525568,0.003922819,990.54182961,1423.7381389141083,1246.87,22.057697,301,4.912317
0.030859375,0.8632065504789352,618496,397,618496,-0.0013508816,0.0028704177,987.6572396400001,1428.5820450782776,1246.87,20.261084,302,4.9170094
0.107861325,0.8464339971542358,620544,403,620544,-0.0063180267,0.008173392,1002.4669398,1433.737850189209,1262.89,20.140049,303,4.927644
