total_timesteps,approxkl,explained_variance,clipfrac,policy_entropy,n_updates,fps,value_loss,policy_loss,time_elapsed,serial_timesteps,ep_len_mean,ep_reward_mean
239616,0.0048180125,0.9393340013921261,0.051513672,3.830806,117,495,9.247027,-0.004827229,481.40599632263184,239616,1475.27,989.29859257
241664,0.00380042,0.9614883176982403,0.043896485,3.8340263,118,464,4.226753,-0.0037281397,485.5389943122864,241664,1457.32,975.0010503499999
243712,0.003305095,0.8873168528079987,0.038720705,3.8265233,119,477,10.936995,-0.0033341753,489.952672958374,243712,1462.21,979.33898568
245760,0.0053978437,0.8973970785737038,0.064208984,3.8237648,120,464,9.193189,-0.005434022,494.24098110198975,245760,1471.92,987.93016537
247808,0.005455078,0.9490436092019081,0.06782226,3.822609,121,487,5.792075,-0.008054638,498.65434765815735,247808,1471.07,987.0765518999999
249856,0.004149112,0.8359091132879257,0.045947265,3.8187308,122,474,17.984287,-0.003476015,502.85383129119873,249856,1483.28,997.19987897
251904,0.004328197,0.881517693400383,0.05029297,3.8107307,123,471,12.9568,-0.0041521615,507.16687393188477,251904,1494.1,1007.3109903899999
253952,0.0037421999,0.8867460191249847,0.043310545,3.8137348,124,475,20.234554,-0.00641096,511.512286901474,253952,1479.49,998.5717107200002
256000,0.0040608263,0.9452127665281296,0.04560547,3.8312237,125,469,7.999196,-0.0075539104,515.8195605278015,256000,1456.76,980.16989507
258048,0.0036542155,0.8878700137138367,0.042822264,3.8432724,126,481,16.105373,-0.00796902,520.1811103820801,258048,1443.8,970.9756891200002
260096,0.0021307091,0.8743042796850204,0.017480468,3.85296,127,472,11.220548,-0.0034508172,524.4384288787842,260096,1448.83,974.5101478300002
262144,0.0055565266,0.836014911532402,0.06137695,3.8427186,128,488,25.428534,-0.0047951504,528.7748639583588,262144,1451.18,976.4067644600001
264192,0.0055955886,0.7487335503101349,0.0703125,3.8403072,129,460,11.863666,-0.0023402518,532.9662764072418,264192,1451.18,974.18242719
266240,0.0043314407,0.7567590475082397,0.050439455,3.8431728,130,472,11.317993,-0.0018328652,537.415385723114,266240,1458.13,978.2535020099999
268288,0.0053015063,0.7638327479362488,0.062109374,3.8406048,131,450,11.785643,-0.001718943,541.7508709430695,268288,1476.16,989.5104134200001
270336,0.004505533,0.8599296063184738,0.049609374,3.861134,132,470,16.293955,-0.007164698,546.2993788719177,270336,1447.7,970.29607478
272384,0.004619457,0.8576299399137497,0.056640625,3.8765373,133,471,14.047305,-0.0036203898,550.6568605899811,272384,1450.34,970.67083698
274432,0.0017643303,0.9124840572476387,0.015917968,3.872247,134,481,9.789252,-0.0026386143,555.0022721290588,274432,1433.87,961.0942741599997
276480,0.0026823536,0.9182494133710861,0.025878906,3.8631616,135,467,8.926066,-0.0030009262,559.255143404007,276480,1433.87,961.7317228999997
278528,0.003299427,0.9402528330683708,0.034423828,3.8640199,136,479,10.367265,-0.0043206858,563.637761592865,278528,1413.33,945.8180642599999
280576,0.0039358577,0.9476429000496864,0.04575195,3.8682773,137,479,4.3800044,-0.007235517,567.9106819629669,280576,1411.02,945.09367046
282624,0.0045628673,0.7423218190670013,0.056347657,3.8694336,138,502,12.413007,-0.0033079367,572.1822290420532,282624,1422.56,953.3248845999999
284672,0.007614025,0.7186292707920074,0.08061524,3.875405,139,473,21.093294,-0.007037142,576.2606735229492,284672,1429.05,956.4333077699999
