total_timesteps,clipfrac,policy_loss,fps,time_elapsed,serial_timesteps,value_loss,ep_reward_mean,ep_len_mean,approxkl,n_updates,policy_entropy,explained_variance
1474560,0.050976563,-0.0031848357,493,2963.217083454132,1474560,20.277775,1064.5794087099998,1394.38,0.0043560346,720,5.7617793,0.8635139316320419
1476608,0.023486327,-0.0016331837,493,2967.369951725006,1476608,19.95873,1080.7131698299997,1409.98,0.0023053333,721,5.7640586,0.860931396484375
1478656,0.026220703,-0.003147268,500,2971.523793697357,1478656,10.76043,1067.8204890899997,1396.81,0.0027408511,722,5.762532,0.9388195872306824
1480704,0.024902344,-0.0018171755,502,2975.618686437607,1480704,21.976124,1083.2515531899999,1411.29,0.0024185546,723,5.7510324,0.8734962344169617
1482752,0.020947266,-0.0017370783,481,2979.697468996048,1482752,20.139662,1082.87443126,1411.29,0.0019719636,724,5.74944,0.8695479482412338
1484800,0.03276367,-0.0028770205,491,2983.955657720566,1484800,20.654537,1099.0173548199998,1426.94,0.0027056064,725,5.7526045,0.8750385269522667
1486848,0.029589843,-0.0026212274,507,2988.1280596256256,1486848,20.873716,1115.0139325,1442.64,0.0030866326,726,5.7497168,0.8804453760385513
1488896,0.048535157,-0.0017401272,476,2992.1638503074646,1488896,20.103561,1130.146407,1458.22,0.0039496683,727,5.7442923,0.8879155963659286
1490944,0.045214843,-0.0025092268,478,2996.466794490814,1490944,20.20184,1145.47571914,1473.47,0.0037206807,728,5.7501926,0.8884260281920433
1492992,0.03769531,-0.0040995437,506,3000.743310689926,1492992,20.431433,1146.17915061,1473.47,0.0032438692,729,5.7523203,0.8829117864370346
1495040,0.014697266,-0.0015640933,508,3004.786936044693,1495040,20.645739,1146.2267224800003,1473.47,0.0017167637,730,5.74775,0.8754088208079338
1497088,0.038183592,-0.0014442012,511,3008.8142817020416,1497088,20.257992,1151.53141591,1473.47,0.00305321,731,5.7400613,0.8781446889042854
1499136,0.031347655,-0.003728982,520,3012.81867313385,1499136,20.1153,1151.8714922000001,1473.47,0.0030276177,732,5.7386384,0.8838674649596214
1501184,0.05283203,-0.0052999533,511,3016.7545022964478,1501184,20.141047,1151.47930332,1473.47,0.0042832266,733,5.750928,0.8904441744089127
1503232,0.039648436,-0.0028475407,497,3020.7617218494415,1503232,19.855196,1155.80695694,1473.47,0.0033121922,734,5.765977,0.8870797604322433
1505280,0.07084961,-0.0040760483,487,3024.8770463466644,1505280,19.732124,1172.5697527099999,1491.36,0.005709989,735,5.767966,0.8808316141366959
1507328,0.017089844,-0.002835254,477,3029.075745344162,1507328,20.07762,1173.3395258399999,1491.36,0.0015865797,736,5.774953,0.8675647228956223
1509376,0.031689454,-0.0055375574,524,3033.363742828369,1509376,29.993622,1189.3117656900001,1506.83,0.0037666361,737,5.767551,0.8770050331950188
1511424,0.04633789,-0.007623296,510,3037.2693219184875,1511424,30.16388,1205.86319969,1523.58,0.0082308,738,5.755625,0.8784207627177238
1513472,0.031201173,-0.0035184275,513,3041.282907485962,1513472,20.72208,1219.8600137399999,1538.1,0.0028308672,739,5.7479396,0.8927582651376724
1515520,0.033984374,-0.0037791047,540,3045.2720091342926,1515520,20.424747,1217.64946879,1538.1,0.0028088167,740,5.7494636,0.9154663309454918
1517568,0.015039062,-0.004478137,543,3049.0598809719086,1517568,6.1946335,1209.8348693300002,1525.52,0.0015524763,741,5.7478585,0.9399332068860531
1519616,0.064208984,-0.0066298256,494,3052.828469991684,1519616,19.699963,1222.66549982,1541.19,0.0055541047,742,5.7508783,0.9010768309235573
1521664,0.014404297,-0.0023909148,492,3056.970043897629,1521664,19.787111,1222.21943637,1541.19,0.0015782642,743,5.7564282,0.8989971429109573
1523712,0.030371094,-0.0006666914,488,3061.1309728622437,1523712,19.846073,1234.4774450000002,1554.62,0.0028209651,744,5.7476645,0.8721234202384949
1525760,0.03364258,-0.0030356117,530,3065.3265285491943,1525760,27.863342,1241.7446367700002,1557.59,0.003241863,745,5.7432714,0.8822183012962341
1527808,0.022265624,-0.003078929,559,3069.1866459846497,1527808,8.283682,1251.63342224,1572.93,0.0021532527,746,5.7416205,0.8138685971498489
1529856,0.048291016,-0.0032853994,514,3072.8496041297913,1529856,20.458313,1264.1847115700002,1588.62,0.0045644674,747,5.7388654,0.8980727344751358
1531904,0.023242187,-0.0021292567,500,3076.827255010605,1531904,20.636875,1275.81827292,1602.36,0.0023014252,748,5.73652,0.898744210600853
1533952,0.012646484,-0.0017483216,507,3080.922658920288,1533952,20.247465,1274.7070257999999,1602.36,0.0013426603,749,5.733434,0.8918854296207428
1536000,0.029150391,-0.00330474,507,3084.9597051143646,1536000,21.68134,1287.84846848,1617.79,0.002439544,750,5.732416,0.8850850611925125
1538048,0.050488282,-0.0031157017,495,3089.0002830028534,1538048,19.701042,1303.5060763000001,1633.42,0.004150795,751,5.738534,0.8874253481626511
1540096,0.03779297,-0.002888012,504,3093.132415533066,1540096,20.310946,1318.6567311600002,1648.96,0.00331583,752,5.7331576,0.8772474601864815
1542144,0.017236328,-0.0023780013,492,3097.190675973892,1542144,19.605503,1334.4779615700004,1664.6,0.0017965836,753,5.7160544,0.8948870822787285
1544192,0.048339844,-0.0073831417,525,3101.349834918976,1544192,10.995148,1335.0818236000005,1665.08,0.003949561,754,5.7249484,0.9380949586629868
1546240,0.03793945,-0.004082988,499,3105.2445135116577,1546240,20.15696,1332.97466438,1665.08,0.003246589,755,5.7387743,0.8750784620642662
1548288,0.024169922,-0.003475792,479,3109.3417875766754,1548288,19.980404,1338.7225121,1665.08,0.002242336,756,5.7314444,0.8861763849854469
1550336,0.07495117,-0.001059453,464,3113.609039783478,1550336,20.178474,1354.0429849,1680.65,0.0060316892,757,5.7318335,0.8863325715065002
