ep_reward_mean,time_elapsed,fps,explained_variance,policy_entropy,n_updates,serial_timesteps,value_loss,clipfrac,ep_len_mean,policy_loss,approxkl,total_timesteps
444.4543556500001,996.9757409095764,450,0.9004913568496704,1.8486786,202,413696,3.552295,0.03857422,812.01,-0.002972758,0.003527046,413696
454.00118892000006,1001.518002986908,477,0.8608699142932892,1.8444159,203,415744,5.199591,0.041552734,826.46,-0.0017401263,0.0038452577,415744
462.8649887700001,1005.8064725399017,443,0.7038458287715912,1.8416636,204,417792,8.150538,0.03754883,841.42,-0.0035120905,0.003512852,417792
474.52628307,1010.423887014389,459,0.7383495569229126,1.8448799,205,419840,9.210689,0.047607422,861.25,-0.0007203172,0.0043502604,419840
484.31402361,1014.8825085163116,443,0.7843222171068192,1.8449061,206,421888,7.1912584,0.09077148,877.84,0.0005305836,0.007455837,421888
493.80628852,1019.5002601146698,419,0.7578921467065811,1.8479478,207,423936,6.8966,0.07441406,892.67,-0.0032123409,0.0058597885,423936
503.57423811000007,1024.3773958683014,453,0.7770435810089111,1.8479313,208,425984,7.676169,0.04873047,908.28,-0.00048356463,0.0041888645,425984
514.5119204700001,1028.8940618038177,463,0.7161598205566406,1.8402172,209,428032,8.124156,0.080126956,928.2,-0.0006587893,0.007693657,428032
522.67966066,1033.31502866745,468,0.7277792692184448,1.844249,210,430080,6.863439,0.061669923,942.87,-0.0034067265,0.004972858,430080
532.5537175100001,1037.6888964176178,502,0.7492088973522186,1.843264,211,432128,8.963274,0.05834961,958.83,-0.00023494023,0.005693209,432128
541.17835136,1041.7658624649048,487,0.7815885543823242,1.8341782,212,434176,8.155235,0.07504883,973.15,-0.002507991,0.0063634156,434176
549.96640357,1045.9696140289307,496,0.7618181109428406,1.8420671,213,436224,8.15624,0.07919922,988.26,-0.0017251752,0.0062340638,436224
559.35387592,1050.0977449417114,484,0.7800677418708801,1.8472668,214,438272,6.9087996,0.044677734,1003.13,-0.0012474919,0.003887726,438272
567.3715999899999,1054.3241016864777,481,0.7571703791618347,1.8378395,215,440320,8.4503975,0.0640625,1017.38,-0.0027067717,0.0060412693,440320
576.9820798799999,1058.5769555568695,446,0.8172449022531509,1.8327005,216,442368,6.572511,0.06289063,1033.9,-0.0041284277,0.0051972107,442368
585.4701344299999,1063.160462141037,460,0.6381307244300842,1.8285217,217,444416,9.824391,0.054541014,1049.16,-0.0010548811,0.004468332,444416
594.94633329,1067.6127939224243,487,0.7973577380180359,1.8242807,218,446464,7.164904,0.059814453,1064.19,-0.0010951022,0.005265376,446464
603.97999962,1071.8129286766052,492,0.7264192700386047,1.8354728,219,448512,7.438552,0.0637207,1078.89,-0.0015014282,0.0054887854,448512
614.07226409,1075.971039533615,462,0.7485005855560303,1.842747,220,450560,7.7684417,0.041259766,1095.3,-0.0017439477,0.0038125024,450560
624.13389348,1080.3983190059662,404,0.8516186475753784,1.8302467,221,452608,5.229224,0.0515625,1111.12,-0.0021501887,0.0047194534,452608
633.0421140499999,1085.4675855636597,432,0.8416117280721664,1.8234987,222,454656,5.646283,0.0440918,1125.72,-0.0014872842,0.0039732372,454656
644.9696039199999,1090.2087252140045,442,0.7813825160264969,1.8225883,223,456704,7.4910493,0.04941406,1145.65,-0.002912372,0.0044465624,456704
654.68507456,1094.832552433014,463,0.788988471031189,1.829114,224,458752,11.3944,0.08461914,1162.5,-0.004015321,0.0076310844,458752
664.07585071,1099.2542543411255,474,0.7804608345031738,1.8374411,225,460800,7.399245,0.043359376,1177.92,-0.00207489,0.0039810296,460800
674.00762644,1103.5758678913116,476,0.7410597205162048,1.8319134,226,462848,11.004559,0.06826172,1192.94,-0.00035435174,0.0060527595,462848
682.7175627399998,1107.878012895584,475,0.7492986619472504,1.8218768,227,464896,9.692679,0.08100586,1206.86,-0.0066438625,0.006150908,464896
692.0010757099999,1112.1819586753845,416,0.7739458084106445,1.8138632,228,466944,8.741565,0.058789063,1222.33,-0.0014745245,0.0047766482,466944
700.9606928599999,1117.0958325862885,442,0.7359266579151154,1.8032377,229,468992,7.2965584,0.068408206,1235.47,-0.0008915622,0.0058815842,468992
710.01615884,1121.7242212295532,469,0.6458189189434052,1.8131111,230,471040,10.158709,0.06074219,1250.28,-0.0015236802,0.005068311,471040
723.0726842800001,1126.0889427661896,430,0.722118079662323,1.8273582,231,473088,15.160944,0.055908203,1271.24,-0.002364052,0.004848701,473088
724.3642067000001,1130.842603445053,331,0.8500714749097824,1.820187,232,475136,5.66068,0.06386719,1273.3,-0.00069895526,0.0058932933,475136
736.5627654199999,1137.0203931331635,425,0.7255492210388184,1.809653,233,477184,8.406594,0.06967773,1293.18,-0.0031280115,0.0061350577,477184
751.24511601,1141.8372411727905,436,0.7343173623085022,1.7969862,234,479232,12.170756,0.06098633,1318.85,-0.005573743,0.0057110107,479232
763.3538187899999,1146.5331256389618,399,0.675576388835907,1.7947775,235,481280,11.337526,0.038623046,1338.75,-0.0031891596,0.0036086023,481280
773.1640732699999,1151.6596570014954,338,0.6977913677692413,1.7869934,236,483328,9.176994,0.055371094,1353.73,-0.00040332117,0.005023802,483328
782.71460093,1157.7161321640015,339,0.6609731614589691,1.7708858,237,485376,9.88793,0.06508789,1368.81,-0.0015254806,0.005849646,485376
794.6819559700001,1163.7448768615723,438,0.70806485414505,1.7633574,238,487424,7.8771806,0.04477539,1388.62,-0.0022854412,0.003881865,487424
804.1164968800002,1168.410997390747,436,0.8233601301908493,1.7620815,239,489472,6.2631474,0.0609375,1403.06,0.0011735403,0.00584308,489472
814.0942873400003,1173.101791381836,448,0.6983248889446259,1.762469,240,491520,13.783496,0.04526367,1418.91,-0.00057122484,0.0042662676,491520
823.5804767000002,1177.666607618332,393,0.7495706379413605,1.761461,241,493568,9.619959,0.058642577,1432.54,-0.0018025528,0.0048449044,493568
