n_updates,total_timesteps,policy_entropy,clipfrac,time_elapsed,approxkl,explained_variance,policy_loss,serial_timesteps,fps,value_loss,ep_len_mean,ep_reward_mean
87,178176,4.4256024,0.04423828,323.6668529510498,0.0038534994,0.8965100720524788,-0.0026806279,178176,471,17.94581,867.59,518.04490647
88,180224,4.4234285,0.031640626,328.0139887332916,0.0029571403,0.8908073529601097,-0.003168435,180224,527,18.200174,884.3,533.72800879
89,182272,4.4152765,0.04897461,331.8978548049927,0.0044603674,0.9141274839639664,-0.0036590241,182272,519,18.057611,901.15,548.77603769
90,184320,4.41012,0.026660156,335.8442690372467,0.0026561497,0.8938691392540932,-0.0015982203,184320,535,18.690632,917.36,563.20368841
91,186368,4.4095707,0.04160156,339.67304587364197,0.0036318754,0.8848075196146965,-0.006014531,186368,561,20.551947,932.53,577.8536128899999
92,188416,4.4110394,0.016210938,343.3243308067322,0.0019975635,0.8920040652155876,-0.0007873856,188416,497,18.004433,949.42,592.0940679500001
93,190464,4.409665,0.027294923,347.4401171207428,0.002644485,0.874897688627243,-0.002217137,190464,552,20.677591,966.45,608.5202325900001
94,192512,4.419162,0.05698242,351.14625239372253,0.0045358343,0.8948776796460152,-0.002265934,192512,460,18.290777,983.4,622.5616523700002
95,194560,4.4329805,0.031835936,355.5939190387726,0.002908794,0.8871107399463654,-0.002383747,194560,511,18.218462,1000.57,638.7738980700001
96,196608,4.4412985,0.027294923,359.5978775024414,0.0028508562,0.8564007878303528,-0.0042662355,196608,560,26.565212,1019.25,656.12091214
97,198656,4.4475923,0.023583984,363.2538044452667,0.002054728,0.8052021265029907,-0.0040261964,198656,584,13.349597,1028.06,662.4239881300001
98,200704,4.44443,0.027832031,366.75677967071533,0.0025107658,0.8659834861755371,-0.0022185647,200704,552,14.735614,1041.2,671.6390077600001
99,202752,4.440491,0.05239258,370.46541357040405,0.0044044023,0.8484138995409012,-0.0061957515,202752,568,20.422916,1058.39,684.99426338
100,204800,4.447427,0.042578124,374.0718069076538,0.003935786,0.8999395221471786,-0.0031854592,204800,518,18.054676,1074.46,696.92857234
101,206848,4.4541907,0.019873047,378.0231442451477,0.0022064412,0.7754043489694595,-0.002435075,206848,506,19.542059,1091.25,711.9742701
102,208896,4.457061,0.025878906,382.07138442993164,0.0025732277,0.9142903387546539,-0.0031705915,208896,534,11.880083,1102.52,720.3542954299999
103,210944,4.453902,0.0203125,385.90421748161316,0.0020524634,0.70219486951828,-0.0028847917,210944,522,42.295284,1118.49,734.1388389999998
104,212992,4.4531,0.033740234,389.82336950302124,0.0040647266,0.9044925719499588,-0.0028393797,212992,502,24.303143,1129.99,746.8405914099999
105,215040,4.4543962,0.028857421,393.89753317832947,0.0027554706,0.8803141415119171,-0.0038473282,215040,548,18.336445,1145.31,760.00066133
106,217088,4.4510684,0.11005859,397.6350107192993,0.008083054,0.8858388215303421,-0.004975525,217088,530,18.55916,1162.45,776.4207123699999
107,219136,4.455359,0.038427733,401.4934992790222,0.0037198518,0.9497394785284996,-0.002910552,219136,516,9.650832,1160.01,775.2209341
108,221184,4.4561253,0.04321289,405.45617413520813,0.003988628,0.8877339661121368,-0.0017453514,221184,513,18.1375,1175.74,790.76642419
109,223232,4.4472213,0.04560547,409.4475073814392,0.003871147,0.8811084404587746,-0.0036893138,223232,519,19.761604,1190.95,805.96513278
110,225280,4.438691,0.038769532,413.39214754104614,0.0034782472,0.895584411919117,-0.0026090962,225280,478,18.822603,1206.19,819.4272825
111,227328,4.4378877,0.027832031,417.6739740371704,0.0028598083,0.8942552655935287,-0.0016209927,227328,512,19.3903,1221.63,833.2557862500001
112,229376,4.4335413,0.05419922,421.66992354393005,0.0054126205,0.8978312313556671,-0.006446533,229376,486,27.544498,1238.48,849.5595236199999
113,231424,4.4291945,0.06928711,425.88019824028015,0.0052580573,0.8930826485157013,-0.0049683694,231424,520,19.677378,1255.09,865.5737104099999
114,233472,4.424026,0.0328125,429.81496596336365,0.0033003036,0.8989826664328575,-0.002586018,233472,558,33.085674,1272.33,881.4200888099999
115,235520,4.43318,0.044921875,433.4860460758209,0.003913854,0.9046912044286728,-0.00098395,235520,543,19.533695,1289.19,897.6980300700001
116,237568,4.4290676,0.080273435,437.2565281391144,0.0075047114,0.8981419578194618,-0.004438231,237568,532,19.765099,1306.23,913.1392392200001
117,239616,4.4340487,0.04477539,441.1045002937317,0.0046778647,0.9002783298492432,-0.0038727429,239616,546,30.366323,1305.88,917.1735657299998
118,241664,4.4412603,0.053271484,444.8558521270752,0.0046205064,0.8872711732983589,-0.0025206292,241664,559,20.364136,1322.99,931.09473585
119,243712,4.4396544,0.018603515,448.5180869102478,0.0020033505,0.9427124410867691,-0.0026209496,243712,571,13.681668,1286.95,908.7451440500002
120,245760,4.4451885,0.017724609,452.1024081707001,0.001824248,0.903865285217762,-0.0022396294,245760,517,26.79719,1306.26,925.4437279900001
121,247808,4.449794,0.046142578,456.0580379962921,0.0039117234,0.8987745121121407,-0.0033669819,247808,539,19.313023,1321.81,940.14516322
122,249856,4.456157,0.04482422,459.8581600189209,0.003943055,0.9068146795034409,-0.0024436906,249856,494,20.107092,1338.66,956.3421248999999
123,251904,4.4535346,0.027197266,463.99830770492554,0.0027858415,0.9067450687289238,-0.0020402435,251904,488,19.908108,1355.56,971.8199955099999
124,253952,4.4348307,0.03046875,468.1879165172577,0.0028963755,0.901062548160553,-0.0022636612,253952,505,20.493904,1370.35,985.7833701199997
