policy_entropy,time_elapsed,value_loss,approxkl,clipfrac,explained_variance,serial_timesteps,policy_loss,ep_reward_mean,ep_len_mean,fps,total_timesteps,n_updates
2.4794924,2577.753827571869,13.425554,0.0043539447,0.050634764,0.7985999435186386,1050624,-0.0031056348,739.69663554,1186.08,449,1050624,513
2.4802287,2582.3104927539825,8.871446,0.0059348526,0.070166014,0.7204452753067017,1052672,-0.0020389506,749.7590739000001,1201.08,454,1052672,514
2.4780376,2586.8199410438538,16.37331,0.004556651,0.051611327,0.7135303616523743,1054720,-0.004212377,752.56632333,1206.41,446,1054720,515
2.4831417,2591.411096572876,4.653526,0.0034222037,0.03730469,0.9004087820649147,1056768,-0.0034381156,740.98678184,1190.15,455,1056768,516
2.4827666,2595.9102222919464,9.467568,0.0028688312,0.02841797,0.7658230066299438,1058816,-0.0013310325,739.78126523,1190.15,460,1058816,517
2.4730554,2600.3550522327423,9.274422,0.0026325653,0.027685547,0.7668989896774292,1060864,-0.0016095834,753.93458004,1210.12,441,1060864,518
2.4719913,2604.9925882816315,9.742996,0.0032161237,0.032470703,0.7251831293106079,1062912,-0.0016398553,754.7458911099999,1210.12,460,1062912,519
2.4732857,2609.437176465988,9.513102,0.007129909,0.084667966,0.6601859927177429,1064960,-0.007891514,766.87853475,1226.36,439,1064960,520
2.4767115,2614.1004395484924,11.169371,0.0048997654,0.058447264,0.6565767824649811,1067008,-0.0013097769,780.22257738,1246.36,440,1067008,521
2.476588,2618.751415014267,13.440674,0.004888217,0.059667967,0.4968274235725403,1069056,-0.0035092614,779.33693874,1246.36,458,1069056,522
2.485759,2623.218170642853,12.890976,0.0054465435,0.0680664,0.7908585369586945,1071104,-0.005061092,777.6215437400001,1246.81,446,1071104,523
2.49619,2627.8064465522766,12.538903,0.0042015216,0.050146483,0.8066642731428146,1073152,-0.0054098414,765.6319141599998,1231.12,443,1073152,524
2.5063872,2632.420370578766,9.436499,0.0055565173,0.064648435,0.7271498441696167,1075200,-0.0029772713,766.74951171,1231.12,454,1075200,525
2.511665,2636.9289424419403,16.282413,0.004840734,0.054101564,0.7478445470333099,1077248,-0.00352447,766.42292594,1231.05,427,1077248,526
2.5228105,2641.723541498184,8.746553,0.0032957126,0.03378906,0.8742216378450394,1079296,-0.0015339607,763.8498295100002,1226.96,462,1079296,527
2.5282807,2646.1473953723907,10.769995,0.0038341228,0.041259766,0.7242513000965118,1081344,-0.0023354406,776.8467684900003,1245.99,449,1081344,528
2.5326943,2650.704568862915,12.764013,0.0046168496,0.050585937,0.6236147582530975,1083392,-0.0036014016,789.0416349000001,1262.77,431,1083392,529
2.5291152,2655.4517936706543,12.638073,0.00466156,0.05444336,0.7845028787851334,1085440,-0.0032509982,791.4265833000001,1265.88,446,1085440,530
