fps,serial_timesteps,ep_len_mean,policy_entropy,clipfrac,explained_variance,approxkl,n_updates,policy_loss,total_timesteps,ep_reward_mean,value_loss,time_elapsed
449,174080,1494.24,3.0019236,0.029296875,0.8127129971981049,0.0027107329,85,-0.002894254,174080,928.56225225,11.199032,426.6742067337036
444,176128,1495.38,3.0108285,0.06572266,0.7431385219097137,0.0053995326,86,-0.0013448971,176128,930.0798188399998,18.293438,431.2337763309479
454,178176,1510.3,3.027418,0.05834961,0.8414331525564194,0.0047634505,87,-0.0030053128,178176,940.6013912599998,9.183923,435.8431475162506
447,180224,1510.3,3.0296278,0.049804688,0.8146233707666397,0.0039741523,88,-0.0049685715,180224,940.7719136,10.881123,440.35111141204834
440,182272,1526.79,3.0306866,0.011328125,0.8079997450113297,0.0012742049,89,-0.0021061653,182272,953.0973824399999,12.154062,444.92362236976624
455,184320,1508.9,3.0238414,0.04477539,0.8980711624026299,0.0041125375,90,-0.0015374189,184320,941.38315,5.800082,449.5723650455475
449,186368,1485.5,3.0097733,0.012646484,0.7941192984580994,0.001512189,91,-0.0024810482,186368,924.9105781600001,20.838043,454.0694601535797
462,188416,1485.5,3.0072904,0.048291016,0.7294719815254211,0.0042833155,92,-0.0016345897,188416,924.0259991200002,13.84432,458.6294050216675
449,190464,1477.03,3.014775,0.050488282,0.8619288355112076,0.0044912766,93,-0.0028131746,190464,918.33004553,11.543474,463.0622284412384
458,192512,1445.82,3.0368962,0.059912108,0.813079908490181,0.0047328826,94,-0.009234357,192512,897.748559,21.459806,467.6214416027069
453,194560,1442.46,3.0483847,0.026220703,0.9125945642590523,0.0026029923,95,-0.005913173,194560,895.8769736199997,6.7666445,472.09238958358765
447,196608,1458.67,3.0422611,0.05102539,0.8434591293334961,0.00441472,96,-0.004554018,196608,906.9770253799999,9.524382,476.61072158813477
459,198656,1458.67,3.0287204,0.030273438,0.8620683550834656,0.0026713603,97,-0.0032811228,198656,909.23930274,9.136516,481.1923236846924
445,200704,1468.14,3.0243084,0.03305664,0.8270191699266434,0.0030407852,98,-0.0025004656,200704,917.1886416299999,16.189878,485.65395498275757
458,202752,1486.86,3.0288382,0.04663086,0.8366517275571823,0.0039917426,99,-0.0032919503,202752,930.4457844600001,10.61063,490.2565143108368
448,204800,1502.02,3.0257964,0.03754883,0.779691219329834,0.0034022243,100,-0.0017763551,204800,941.3351375099999,12.303554,494.7266993522644
456,206848,1499.55,3.0235534,0.04526367,0.9440025240182877,0.0042247996,101,-0.007259143,206848,940.1443696199999,3.9991822,499.2970838546753
440,208896,1515.25,3.0221908,0.022705078,0.8148365169763565,0.0023174698,102,-0.00435476,208896,951.7201323499999,12.201163,503.78582978248596
475,210944,1513.68,3.0238714,0.03540039,0.8325325101613998,0.0031814713,103,-0.0017729343,210944,951.5529813899998,16.978989,508.43639516830444
466,212992,1513.68,3.024529,0.038427733,0.8114056289196014,0.00363252,104,-0.003668469,212992,951.5359913199999,9.796061,512.7423663139343
443,215040,1528.42,3.02054,0.0828125,0.844963476061821,0.006646592,105,-0.002793615,215040,962.1708325799998,10.605942,517.1364645957947
472,217088,1525.85,3.0193617,0.039892577,0.7085351347923279,0.003905908,106,-0.0044532465,217088,960.4498944300003,26.13374,521.7532444000244
481,219136,1545.81,3.0143943,0.04082031,0.8450639396905899,0.003731802,107,-0.0022370256,219136,973.9751499000001,8.8953,526.0861768722534
445,221184,1545.81,3.010066,0.034570314,0.8408106118440628,0.0032117502,108,-0.0023463848,221184,974.7959230700002,9.621298,530.3438820838928
461,223232,1504.99,3.019217,0.023876954,0.7877007573843002,0.0026195091,109,-0.0047290707,223232,948.1416666600002,22.652485,534.9382174015045
447,225280,1483.2,3.0223413,0.047607422,0.8653662651777267,0.0047574313,110,-0.00633943,225280,932.8578729700001,12.104695,539.3775038719177
450,227328,1483.2,3.0268955,0.04868164,0.801921010017395,0.0039789556,111,-0.0045049097,227328,932.4930748600002,10.9345665,543.9588444232941
