total_timesteps,policy_entropy,time_elapsed,explained_variance,ep_len_mean,serial_timesteps,value_loss,ep_reward_mean,approxkl,fps,n_updates,policy_loss,clipfrac
219136,1.7008038,504.5143792629242,0.022703111171722412,1854.33,219136,1.4272306,410.81541526999996,0.004586364,428,107,-0.0022372042,0.055371094
221184,1.6960329,509.29990887641907,0.05301731824874878,1872.06,221184,1.3697153,415.94247658999996,0.0057622376,455,108,-0.00466721,0.07382812
223232,1.6948011,513.7933361530304,0.07331854104995728,1889.8,223232,1.4258034,421.08921925999994,0.005216987,410,109,-0.0010400679,0.06669922
225280,1.6921622,518.7863619327545,0.029075801372528076,1907.74,225280,1.5652285,426.4642011799999,0.0035211411,411,110,-0.00077510136,0.03564453
227328,1.6958473,523.7586109638214,0.14824765920639038,1926.5,227328,1.491017,431.99354698,0.0049065324,403,111,-0.00042871357,0.05908203
229376,1.6952565,528.8327116966248,0.14695829153060913,1940.57,229376,1.4759464,437.02134092999995,0.0058335885,291,112,-0.002023481,0.07509766
231424,1.6931441,535.8654911518097,0.11693668365478516,1958.35,231424,1.6978375,442.46573956,0.0037492956,394,113,-0.0010234822,0.039404295
233472,1.6780374,541.0548462867737,0.12419158220291138,1973.88,233472,1.6361208,447.8641617800001,0.004334564,340,114,-0.0030889302,0.050195314
235520,1.6746767,547.0630629062653,0.09371161460876465,1990.83,235520,1.7854567,453.6142527300001,0.0035114542,339,115,-0.0026256966,0.03720703
237568,1.691447,553.1038892269135,0.12696969509124756,2005.77,237568,1.7463238,459.12226627,0.0045918343,371,116,-0.0025129064,0.05629883
239616,1.7063935,558.6232650279999,0.22923946380615234,2007.66,239616,1.563519,463.09481259,0.005537885,398,117,-0.002711497,0.07104492
241664,1.6964667,563.7669942378998,0.22283732891082764,2019.5,241664,1.8671157,468.20034087,0.0081222,397,118,-0.006921357,0.10424805
243712,1.6895068,568.9182126522064,0.22929233312606812,2023.7,243712,2.213051,472.35634681000005,0.0025608037,388,119,-0.0008149309,0.02236328
245760,1.6937431,574.1940131187439,0.31110554933547974,2032.31,245760,2.3860023,477.83718846000005,0.00247335,410,120,-0.0011445893,0.021191407
247808,1.6971658,579.1817660331726,0.25284236669540405,2037.67,247808,2.4017467,483.43211162,0.002536219,392,121,-0.00048277545,0.022558594
249856,1.6953453,584.4058904647827,0.29682105779647827,2037.67,249856,2.3387055,487.96449969,0.0032164168,410,122,-0.0018065029,0.03364258
251904,1.7087905,589.3951349258423,0.2610202431678772,2049.0,251904,2.6224253,493.97491589,0.003331824,389,123,-0.0018335466,0.035058595
253952,1.720155,594.6536362171173,0.32091766595840454,2049.0,253952,2.2857022,498.7597682999999,0.0042401785,407,124,-0.002406368,0.05366211
256000,1.7132933,599.6794285774231,0.24756157398223877,2049.0,256000,2.9754531,503.11447370999997,0.0035305917,421,125,-0.002817648,0.037109375
258048,1.7040014,604.5363504886627,0.33863919973373413,2049.0,258048,3.163462,508.19058322999996,0.0041956613,411,126,-0.0034092464,0.04790039
260096,1.7062371,609.5090320110321,0.371218740940094,2049.0,260096,3.7701943,513.54926539,0.0038368988,415,127,-0.0011815622,0.043115236
262144,1.7126309,614.4408802986145,0.48329752683639526,2049.0,262144,4.0308504,518.97677421,0.0035984262,444,128,-0.0028156706,0.040380858
264192,1.724173,619.0438966751099,0.33277326822280884,2049.0,264192,6.023197,524.99071085,0.0027311032,412,129,-0.0027759436,0.026904296
266240,1.7174492,624.0097148418427,0.5944802463054657,2049.0,266240,3.8266253,531.27166894,0.003990195,412,130,-0.0038270508,0.044628907
268288,1.704105,628.9706499576569,0.384121298789978,2039.46,268288,5.8741846,538.52757202,0.0029444606,423,131,-0.0020621382,0.028564453
270336,1.7079868,633.8101961612701,0.5724175870418549,2028.62,270336,3.1770873,538.99311631,0.0025020796,418,132,-0.0008846762,0.023291016
272384,1.7132695,638.7009432315826,0.37583595514297485,2017.76,272384,5.569899,544.5647266799999,0.002414174,418,133,-0.0030942794,0.02241211
274432,1.7053093,643.5961439609528,0.454120934009552,2017.76,274432,3.9918563,549.87065577,0.003094555,441,134,-0.0015493123,0.029394532
276480,1.6964909,648.2353160381317,0.4208477735519409,2017.76,276480,5.1120977,555.44120574,0.0014517067,464,135,-0.00047050425,0.009179687
278528,1.6966356,652.6451005935669,0.4905000925064087,2017.76,278528,4.828286,560.81070088,0.004959516,454,136,-0.0036442182,0.056152344
280576,1.6970581,657.1548135280609,0.48736709356307983,2017.76,280576,5.2528086,566.40887532,0.0032054144,452,137,-0.003122457,0.03203125
282624,1.700341,661.6807634830475,0.4951763153076172,2017.76,282624,4.673888,571.9285840800001,0.0029710913,462,138,-0.001726491,0.03125
284672,1.7122924,666.1088736057281,0.5885115265846252,2017.76,284672,3.7131667,577.13588569,0.0034179878,467,139,-0.0023554394,0.03461914
286720,1.72136,670.4937274456024,0.6059547662734985,2005.24,286720,5.828825,582.41643261,0.0024447946,435,140,-0.0015472376,0.022705078
288768,1.732509,675.196457862854,0.5263830125331879,1992.77,288768,5.4188385,582.09040061,0.0034889586,424,141,-0.0019475259,0.03754883
290816,1.7308334,680.0206394195557,0.5539250373840332,1964.39,290816,7.6107893,586.2448105999999,0.002071077,437,142,-0.001982668,0.017236328
292864,1.7260387,684.7037425041199,0.5176012217998505,1922.54,292864,7.380918,582.32841372,0.0040658535,441,143,-0.0038683228,0.043945312
294912,1.7187159,689.3456559181213,0.5042829513549805,1862.26,294912,8.658671,573.5876305599999,0.003044818,406,144,-0.004955602,0.032714844
296960,1.7080529,694.3898301124573,0.551905632019043,1820.05,296960,6.763518,568.86978728,0.0019280992,422,145,-0.0016910865,0.013134765
299008,1.7007895,699.2352292537689,0.6258206963539124,1776.72,299008,5.7969146,563.89902699,0.0020692775,434,146,-0.0026705072,0.017675782
301056,1.6989162,703.9448873996735,0.6793243587017059,1735.78,301056,5.1976733,560.1617696100001,0.0027139005,399,147,-0.0026802933,0.02578125
303104,1.693442,709.071051120758,0.6616091728210449,1694.72,303104,5.5417085,555.90607096,0.0014320277,389,148,-0.0024197646,0.012890625
305152,1.6859982,714.3296992778778,0.6630467772483826,1675.32,305152,4.774361,556.9038830499999,0.002805667,406,149,-0.00050201605,0.027539063
307200,1.6789169,719.3682653903961,0.6626259386539459,1650.68,307200,4.7120504,554.63778127,0.0028866187,445,150,-0.00050729234,0.025244141
309248,1.6720521,723.967746257782,0.6341062784194946,1594.06,309248,7.0703354,545.91184184,0.0027121396,417,151,-0.0019823401,0.023144532
311296,1.6647749,728.8711049556732,0.7632834911346436,1554.39,311296,4.629674,540.35231905,0.0017166802,411,152,-0.0012657627,0.012402344
313344,1.6641281,733.851068019867,0.7484073042869568,1533.66,313344,3.968766,539.1465763199999,0.004354339,407,153,-0.0038145469,0.047705077
315392,1.6661062,738.879519701004,0.8012658357620239,1513.74,315392,3.470427,538.10946358,0.003727099,409,154,-0.002988033,0.0418457
317440,1.6592903,743.8781824111938,0.5300207734107971,1511.04,317440,4.334359,541.68424295,0.00546856,424,155,-0.0029874945,0.063085936
319488,1.6547201,748.6985986232758,0.7220043540000916,1452.94,319488,6.4724174,530.2082217599999,0.0026292477,438,156,-0.0013272457,0.01928711
321536,1.6550545,753.3706486225128,0.7295876741409302,1430.77,321536,4.3156834,528.48172845,0.0012619926,430,157,-0.001705265,0.009082031
323584,1.6485021,758.1311156749725,0.6267989873886108,1419.87,323584,3.5939553,527.35999412,0.00400683,366,158,-0.0023722446,0.04399414
325632,1.63887,763.7196002006531,0.6463333964347839,1409.97,325632,5.4701915,531.1159491999999,0.0026127098,410,159,-0.0030985351,0.024023438
327680,1.6392546,768.7035257816315,0.7930965721607208,1401.4,327680,2.1968355,531.08858663,0.0024783446,457,160,-0.0011932326,0.02368164
329728,1.6343836,773.175835609436,0.48811930418014526,1401.4,329728,5.131619,535.29978899,0.0024816005,424,161,-0.0013447626,0.021875
331776,1.6350397,777.995762348175,0.43422162532806396,1401.4,331776,5.0764704,539.6285720700001,0.005348977,431,162,-0.004593185,0.06479492
333824,1.6351473,782.740077495575,0.5820484161376953,1401.4,333824,4.5135055,544.0670328100001,0.003189501,465,163,-0.0014322358,0.030615235
335872,1.6444051,787.1400058269501,0.8756145536899567,1400.1,335872,1.9755472,548.14202924,0.0055042263,455,164,-0.0048164353,0.064648435
337920,1.6491073,791.6369066238403,0.8121972382068634,1394.32,337920,2.579905,549.76354441,0.0028750277,458,165,-0.0028559654,0.025244141
339968,1.628635,796.101330280304,0.4802153706550598,1394.32,339968,4.7304325,554.57231675,0.0047106394,468,166,-0.0016599607,0.054052733
342016,1.6173664,800.4754474163055,0.4092485308647156,1383.23,342016,8.238694,557.9460384999999,0.0025589443,469,167,-0.0019977049,0.026123047
344064,1.6124119,804.8396003246307,0.5310513079166412,1383.23,344064,5.19296,562.28083126,0.004620342,463,168,-0.006097557,0.060009766
346112,1.6144472,809.2570335865021,0.40656042098999023,1350.77,346112,12.015757,559.63871796,0.0046667433,447,169,-0.0018295718,0.050732423
348160,1.6176624,813.8384306430817,0.7341631650924683,1327.76,348160,5.723719,557.06224576,0.003871246,405,170,-0.0036292379,0.04135742
350208,1.610446,818.8918125629425,0.5029901564121246,1301.04,350208,7.692918,552.5012586500001,0.0058094887,432,171,-0.0041408245,0.07006836
352256,1.597727,823.6247992515564,0.3520074486732483,1244.4,352256,14.537798,540.75878459,0.00313843,380,172,-0.002971605,0.029150391
354304,1.5913365,829.0117251873016,0.5562264025211334,1201.85,354304,9.932614,531.15749152,0.003419368,407,173,-0.0026688674,0.036376953
356352,1.6029984,834.0334446430206,0.6571814119815826,1193.69,356352,4.1682405,530.92223145,0.0062440103,396,174,-0.0046578143,0.07460938
358400,1.6182766,839.1946005821228,0.6850621700286865,1180.76,358400,6.0232277,531.84414358,0.0050513255,434,175,-0.0015437976,0.060839843
360448,1.6191727,843.9097721576691,0.7564693093299866,1142.51,360448,6.743556,521.4783078300001,0.0022108573,430,176,-0.0012211675,0.021728516
362496,1.6158321,848.6727676391602,0.6898619830608368,1103.56,362496,7.920915,509.87269163,0.0032575347,453,177,-0.0011781969,0.03237305
364544,1.608997,853.1881449222565,0.6372534334659576,1061.93,364544,8.847756,495.39667828999995,0.006218073,421,178,-0.002561073,0.07675781
366592,1.6110697,858.0503690242767,0.6401902437210083,1032.0,366592,6.736332,482.65620591,0.0031727038,404,179,-0.0011589898,0.03642578
368640,1.6126503,863.1118493080139,0.7457367479801178,1016.88,368640,5.207459,476.68713869,0.004211518,313,180,-0.0020605505,0.04453125
370688,1.6112305,869.645977973938,0.8234284669160843,997.41,370688,5.634369,469.20919983999994,0.004735454,295,181,-0.00093184615,0.04941406
372736,1.6215582,876.5707998275757,0.7828391194343567,951.65,372736,8.835656,449.1148854700001,0.003352744,290,182,-0.0014913772,0.03339844
374784,1.6316116,883.6190712451935,0.824254110455513,892.83,374784,7.145963,421.51138219,0.0027922469,282,183,-0.0018538346,0.02998047
376832,1.6328453,890.8816123008728,0.5499721765518188,866.64,376832,12.423074,408.67776599000007,0.0024283142,287,184,-0.0016560971,0.01875
378880,1.6294451,897.9960117340088,0.7505074292421341,856.04,378880,10.415299,403.71904862,0.005024004,291,185,-0.004585737,0.055908203
380928,1.6326774,905.03187084198,0.7302963435649872,858.46,380928,5.9386973,405.38581568,0.00394065,295,186,-0.0023090723,0.040283203
382976,1.6402534,911.9567985534668,0.7731381207704544,861.4,382976,6.6890335,407.30414622999996,0.006900246,294,187,-0.007747027,0.08461914
385024,1.6490685,918.9013693332672,0.47672605514526367,863.26,385024,11.88947,408.6019757500001,0.003955957,289,188,-0.0024169914,0.04448242
387072,1.639527,925.966451883316,0.6727868318557739,865.91,387072,9.270535,410.4489140399999,0.005674455,257,189,-0.0038313721,0.0703125
389120,1.6298254,933.9284436702728,0.5915727019309998,882.47,389120,4.9370747,419.26339699000005,0.00390217,264,190,-4.119161e-05,0.045410156
391168,1.6262493,941.6634345054626,0.6205537617206573,885.46,391168,4.1447783,421.02232248000007,0.005887673,280,191,-0.004269074,0.07099609
393216,1.6090158,948.9542272090912,0.5609564185142517,898.95,393216,6.1493015,428.28847079000013,0.0040644,280,192,0.00031839436,0.042333983
395264,1.5962776,956.263037443161,0.5489158034324646,907.71,395264,9.060717,433.41597392000006,0.004007808,279,193,0.0003496348,0.045898438
397312,1.5994151,963.5847580432892,0.6046935021877289,913.99,397312,7.495814,437.23926215000006,0.00414439,257,194,-0.0039197397,0.048583984
