total_timesteps,clipfrac,policy_loss,fps,time_elapsed,serial_timesteps,value_loss,approxkl,n_updates,policy_entropy,explained_variance,ep_reward_mean,ep_len_mean
350208,0.037060548,-0.0042877127,497,697.3160586357117,350208,19.228199,0.003088464,171,5.9339,0.884326845407486,1390.50896979,1703.98
352256,0.02734375,-0.002935247,393,701.4325113296509,352256,20.391167,0.002744252,172,5.94386,0.8690130412578583,1404.56553386,1718.28
354304,0.0453125,-0.0027745112,509,706.6378576755524,354304,15.07826,0.0046904576,173,5.9549437,0.7704298049211502,1399.8101950599998,1718.28
356352,0.048339844,-0.0019792896,477,710.6598455905914,356352,19.889706,0.004243301,174,5.9551477,0.8766248822212219,1399.3638682699998,1718.28
358400,0.020214844,-0.0008310332,462,714.9506566524506,358400,19.682858,0.0021593194,175,5.951953,0.8839421942830086,1400.2156011299999,1718.28
360448,0.025341798,-0.0030983347,476,719.3811662197113,360448,19.575098,0.0025074705,176,5.9499717,0.8875036984682083,1400.0782849999998,1718.28
362496,0.045166016,-0.004175892,521,723.6765193939209,362496,14.964317,0.0041977735,177,5.9458075,0.7872516065835953,1408.82158949,1731.94
364544,0.024023438,-0.0035834338,450,727.606831073761,364544,20.022738,0.0027839488,178,5.9440856,0.8635416477918625,1423.8829408,1747.19
366592,0.03642578,-0.00019840294,460,732.1566514968872,366592,19.98343,0.0032644141,179,5.9385595,0.8723238706588745,1424.1411411,1747.19
368640,0.0362793,-0.0070911003,447,736.5998039245605,368640,30.221802,0.0033436194,180,5.942748,0.8492614477872849,1409.4112715599997,1731.02
370688,0.027539063,-0.0029025234,511,741.1775212287903,370688,7.2656183,0.0028098752,181,5.9521103,0.9666819423437119,1393.56113247,1715.29
372736,0.04824219,-0.0039230497,450,745.1816501617432,372736,19.941479,0.0044287657,182,5.945962,0.8730243891477585,1407.97703961,1729.67
374784,0.01850586,-0.0037534856,471,749.7325057983398,374784,28.8326,0.0028568734,183,5.93689,0.8894127309322357,1391.81901478,1713.5
376832,0.0171875,-0.0007106884,447,754.0802707672119,376832,20.280022,0.0019442642,184,5.9331884,0.8660752177238464,1406.5682295199995,1727.76
378880,0.053710938,-0.0038133855,445,758.6567318439484,378880,20.48932,0.0041271895,185,5.9404755,0.8678520917892456,1406.77609752,1727.76
