explained_variance,ep_len_mean,approxkl,clipfrac,serial_timesteps,ep_reward_mean,total_timesteps,n_updates,fps,value_loss,policy_entropy,time_elapsed,policy_loss
0.9694120492786169,1551.438775510204,0.003872448,0.040966798,153600,1303.4231385612245,153600,75,163,6.7521567,4.012493,840.8333716392517,-0.005407337
0.962968472391367,1551.5252525252524,0.0065884516,0.06499024,155648,1304.1825086868687,155648,76,188,2.3958843,4.001815,853.3430931568146,-0.008130217
0.9656157344579697,1556.5,0.0029673579,0.030517578,157696,1310.1559004,157696,77,193,2.68648,3.987928,864.1838371753693,-0.0029215892
0.9607971608638763,1572.56,0.0064627463,0.06323242,159744,1326.2270703200002,159744,78,190,2.3949018,3.9740932,874.7836475372314,-0.0063884826
0.9611790142953396,1574.09,0.004392058,0.04584961,161792,1328.84347267,161792,79,190,2.3881888,3.9423842,885.5487320423126,-0.0025070342
0.9625339955091476,1582.6,0.012254372,0.050195314,163840,1338.78174415,163840,80,186,2.7579188,3.9401581,896.2951850891113,-0.005308588
0.9437779821455479,1596.67,0.005009279,0.05,165888,1353.9973750099996,165888,81,169,11.474759,3.9579754,907.2891893386841,-0.006608654
0.9630169309675694,1597.44,0.006279663,0.06782226,167936,1355.8004394699997,167936,82,189,2.4270082,3.963491,919.4063210487366,-0.0036798797
0.9611624777317047,1597.43,0.004527375,0.046142578,169984,1356.07900001,169984,83,191,2.4384742,3.952896,930.2220325469971,0.00016502735
0.9651732854545116,1606.43,0.004914065,0.04736328,172032,1363.06207619,172032,84,168,8.623059,3.9472988,940.9330971240997,-0.008527887
0.9622096866369247,1610.97,0.0037756874,0.03779297,174080,1369.2676640800003,174080,85,184,2.3990736,3.9446862,953.0775737762451,-0.0023633223
0.962479405105114,1625.23,0.006241172,0.05581055,176128,1384.9111308800004,176128,86,184,2.3830593,3.9136987,964.1873581409454,-0.0068122568
0.9658288359642029,1637.47,0.007043574,0.06850586,178176,1399.81827541,178176,87,187,2.3606443,3.8857732,975.2803885936737,-0.00825986
0.9592141471803188,1652.15,0.0045106253,0.04423828,180224,1415.7017519800004,180224,88,184,2.5991144,3.8861115,986.1953258514404,-0.00041247118
0.9649582430720329,1669.45,0.00538659,0.048535157,182272,1432.89908792,182272,89,187,2.3489583,3.8766334,997.2742202281952,-0.0063326075
0.9782076943665743,1685.49,0.0116855465,0.05517578,184320,1449.3794277700001,184320,90,163,4.7343245,3.8711605,1008.2206509113312,-0.010306998
0.9614112786948681,1699.84,0.0057839104,0.061083984,186368,1463.65837504,186368,91,184,2.4023418,3.8847613,1020.7212820053101,-0.007928422
0.8231830894947052,1699.83,0.005452807,0.06572266,188416,1466.5157324599998,188416,92,184,10.863494,3.870198,1031.8405718803406,-0.003338677
0.8159003406763077,1711.85,0.006106366,0.07416992,190464,1473.9838769899998,190464,93,200,10.547125,3.8675442,1042.9137341976166,-0.007001473
0.9646403007209301,1720.32,0.004985197,0.05673828,192512,1477.27202348,192512,94,191,2.285931,3.8670506,1053.1076934337616,-0.0062493044
0.962804775685072,1736.77,0.0074963174,0.08383789,194560,1494.1486601999998,194560,95,193,2.3772855,3.8597507,1063.829077243805,-0.0059346776
0.9614922106266022,1751.42,0.003793049,0.03959961,196608,1510.0385273899997,196608,96,189,2.3379471,3.8427517,1074.4070439338684,-0.0042650686
0.9620495922863483,1765.12,0.00647963,0.06958008,198656,1525.27724809,198656,97,188,2.3233597,3.8236802,1085.2315797805786,-0.0065857046
0.9590222798287868,1781.78,0.004138528,0.03984375,200704,1541.80277934,200704,98,187,3.02365,3.815181,1096.1180667877197,-0.0029814676
0.9601528607308865,1781.75,0.0067400425,0.06523438,202752,1542.05840044,202752,99,189,2.3707542,3.818936,1107.0233986377716,-0.009237896
0.962618425488472,1795.35,0.006740853,0.07421875,204800,1557.27604497,204800,100,193,2.3149548,3.8003602,1117.8416492938995,-0.006092528
0.8338224440813065,1811.57,0.007422281,0.08964844,206848,1573.68467974,206848,101,194,10.881228,3.7901,1128.4035103321075,-0.004876229
0.9369230791926384,1823.81,0.00686521,0.075927734,208896,1581.33633794,208896,102,197,3.9290218,3.7876744,1138.9586415290833,-0.0098162405
0.9581460990011692,1843.19,0.005811295,0.05732422,210944,1599.98697856,210944,103,183,2.3610454,3.7720757,1149.3166646957397,-0.0059163687
0.9594031162559986,1855.18,0.008798114,0.10268555,212992,1613.4708183999996,212992,104,189,2.3652325,3.739196,1160.4956459999084,-0.00580825
0.9323530346155167,1863.68,0.006880179,0.069726564,215040,1622.7047090199994,215040,105,190,5.208909,3.7173705,1171.3246595859528,-0.0049917353
0.9165607020258904,1878.22,0.007529936,0.09013672,217088,1636.0544394899998,217088,106,186,6.9085627,3.7146785,1182.066172361374,-0.0060954
0.9511282481253147,1892.75,0.005030152,0.057763673,219136,1647.89298832,219136,107,187,3.3668118,3.7258282,1193.0514979362488,-0.007405854
0.9628580398857594,1903.8,0.0034649156,0.035253905,221184,1660.0871113599999,221184,108,186,2.6232815,3.7537715,1204.0014414787292,-0.0053365724
0.9474844932556152,1898.55,0.0068208976,0.064697266,223232,1654.6569238599998,223232,109,166,9.993948,3.7749927,1214.9778208732605,-0.007583215
0.958620972931385,1904.64,0.010057455,0.06733398,225280,1660.92314066,225280,110,181,2.3724577,3.780934,1227.29585146904,-0.011312771
0.9574950635433197,1904.64,0.006177052,0.04868164,227328,1663.48308792,227328,111,190,2.6020787,3.7831523,1238.5874140262604,-0.0041745645
0.958260677754879,1920.89,0.005643465,0.058447264,229376,1679.8821914300001,229376,112,181,2.3779666,3.7774377,1249.3149845600128,-0.0048366273
0.9592712074518204,1930.38,0.0053856364,0.061279297,231424,1692.2049883,231424,113,181,2.3697758,3.746612,1260.6131846904755,-0.0041667456
0.9585421942174435,1934.2,0.0051795347,0.0515625,233472,1702.0593047100003,233472,114,181,2.3833523,3.7288823,1271.906726360321,-0.0031798943
0.9576968997716904,1944.46,0.035826273,0.066259764,235520,1715.18815627,235520,115,181,2.4118705,3.7216022,1283.1816351413727,-0.008279653
0.8208122402429581,1945.6,0.008050291,0.09428711,237568,1716.7708242299998,237568,116,192,6.5812774,3.7254765,1294.484879732132,-0.0035888688
0.8742961436510086,1945.6,0.007083744,0.08881836,239616,1713.2780156399997,239616,117,198,4.9718614,3.736337,1305.1336567401886,-0.003481004
0.892247349023819,1945.6,0.006750221,0.0803711,241664,1708.5173437599994,241664,118,197,4.570159,3.7387824,1315.464165687561,-0.0029029453
0.8960593119263649,1945.6,0.008646089,0.10258789,243712,1705.1744902399996,243712,119,196,4.1695433,3.734923,1325.831533908844,-0.0057288213
0.8788675591349602,1945.6,0.006565583,0.07861328,245760,1700.8788984399996,245760,120,199,4.1207557,3.7439759,1336.231143951416,-0.0057339156
0.912766583263874,1945.6,0.008921411,0.10195313,247808,1696.7562089899998,247808,121,197,3.5928102,3.7462268,1346.4981260299683,-0.008072031
0.9010387808084488,1945.6,0.008073106,0.09272461,249856,1691.08189063,249856,122,197,5.0397463,3.7540817,1356.8498480319977,-0.006579265
0.7265094518661499,1945.67,0.0054353094,0.062109374,251904,1686.88766406,251904,123,198,9.833,3.7694545,1367.2032122612,-0.00993859
0.7697992920875549,1945.68,0.005178586,0.0546875,253952,1681.37174999,253952,124,190,9.786901,3.7796562,1377.501392841339,-0.0063183894
0.8598033338785172,1945.6,0.0054067275,0.062109374,256000,1677.7105664000003,256000,125,203,4.7367735,3.781714,1388.237428188324,-0.010805781
0.9659704528748989,1945.6,0.0065006777,0.0765625,258048,1672.5058925700002,258048,126,186,2.4003172,3.7760053,1398.3049807548523,-0.007708871
0.9657939337193966,1945.59,0.008334151,0.103955075,260096,1671.71043749,260096,127,190,2.4088101,3.7613823,1409.2647919654846,-0.007747613
0.9598429836332798,1945.6,0.00691983,0.07519531,262144,1672.1801992100002,262144,128,190,2.4694617,3.7291577,1420.0172772407532,-0.005094444
0.8377922922372818,1945.59,0.006021459,0.072070315,264192,1674.35964061,264192,129,191,5.1379957,3.7123876,1430.7821667194366,-0.0066155894
0.9773199446499348,1945.58,0.005817994,0.06948242,266240,1669.1317109300005,266240,130,203,1.4199119,3.7038949,1441.4930984973907,-0.0056107547
0.9622404277324677,1945.57,0.0057932856,0.06503906,268288,1669.1094999900001,268288,131,190,2.3166814,3.6863492,1451.5796129703522,-0.005727043
0.8769562169909477,1945.56,0.0077404855,0.077539064,270336,1669.2495390600002,270336,132,192,6.140544,3.6675854,1462.3268144130707,-0.009438275
0.9598316699266434,1945.55,0.006434475,0.07070313,272384,1664.3855136700001,272384,133,191,2.590123,3.6673553,1472.9814565181732,-0.003198418
0.9578713141381741,1945.61,0.007505226,0.06459961,274432,1664.7656835899998,274432,134,200,3.0037677,3.6697202,1483.6584780216217,-0.007272766
0.9652427397668362,1945.62,0.006279857,0.059765626,276480,1665.0469941399997,276480,135,195,2.945562,3.6910405,1493.8766312599182,-0.008640274
0.9642137810587883,1945.59,0.008317511,0.046582032,278528,1664.7395214799994,278528,136,192,2.402845,3.7138088,1504.3728203773499,-0.008668133
0.9572175592184067,1945.61,0.006896344,0.083984375,280576,1668.5194980399997,280576,137,215,2.6083589,3.7182822,1514.9887144565582,-0.0068546073
0.9616643153131008,1945.59,0.003529491,0.035839844,282624,1670.49517968,282624,138,192,2.426926,3.7070026,1524.5118174552917,-0.0015200689
0.9629669450223446,1945.61,0.006249538,0.06611328,284672,1672.69545312,284672,139,193,2.3849363,3.6755085,1535.1556358337402,-0.0055113356
0.9605120979249477,1945.6,0.0063298196,0.06826172,286720,1673.11106054,286720,140,192,2.3657963,3.6410427,1545.731145143509,-0.0033813908
0.9630087427794933,1945.6,0.0075543923,0.073876955,288768,1673.2499882700001,288768,141,195,2.3403063,3.6226661,1556.370430469513,-0.007649022
0.9668695703148842,1945.62,0.01121717,0.09003906,290816,1674.89649803,290816,142,192,2.326942,3.6108456,1566.873509645462,-0.0021785698
0.9660034812986851,1945.62,0.006192196,0.059375,292864,1674.81380467,292864,143,197,2.3281107,3.5874233,1577.4918704032898,-0.005651773
0.964206837117672,1945.6,0.0072953105,0.07783203,294912,1675.85911521,294912,144,192,2.3712845,3.5556054,1587.875859260559,-0.0062470133
0.9633202366530895,1945.6,0.0058358433,0.062646486,296960,1676.28409373,296960,145,198,2.3328,3.529756,1598.5331902503967,-0.00552991
0.9639828056097031,1945.58,0.008394003,0.097509764,299008,1676.72667967,299008,146,192,2.3798568,3.507402,1608.8707416057587,-0.0062405886
0.9592479877173901,1945.58,0.005499954,0.04863281,301056,1676.7497050600002,301056,147,222,2.3767867,3.4787164,1619.5207312107086,-0.0050578397
0.9606813974678516,1945.6,0.006797537,0.07919922,303104,1677.6361288800003,303104,148,192,2.3681135,3.4436975,1628.7439076900482,-0.0060852645
0.9579076394438744,1945.59,0.008369046,0.090625,305152,1679.0568574,305152,149,200,2.3687143,3.4150174,1639.399209022522,-0.004461671
0.9616114981472492,1945.59,0.006451695,0.06894531,307200,1679.97388865,307200,150,216,2.38701,3.3961315,1649.5939371585846,-0.0043508494
0.9598584026098251,1945.57,0.032466214,0.074560545,309248,1680.2854003700004,309248,151,192,2.5258477,3.3949227,1659.059683084488,-0.0036887832
0.9556311219930649,1945.6,0.013200405,0.0690918,311296,1680.1594531,311296,152,201,2.621238,3.3933837,1669.6932632923126,-0.003120819
0.9348789900541306,1911.85,0.11223219,0.12636718,313344,1645.7140078,313344,153,156,15.866445,3.3938,1679.8525018692017,-0.0072183073
0.9523319564759731,1908.49,0.007724516,0.065136716,315392,1639.64858202,315392,154,208,9.268429,3.4086754,1692.933515071869,-0.0035207092
0.6374498605728149,1896.68,0.0090525625,0.0871582,317440,1625.6930566299998,317440,155,163,28.480991,3.4190419,1702.7532119750977,-0.0063120313
0.9174387082457542,1874.95,0.01207223,0.097753905,319488,1597.4902929699997,319488,156,173,16.825842,3.4315536,1715.2841498851776,-0.003608477
0.9488490596413612,1851.92,0.009169115,0.08515625,321536,1571.13710547,321536,157,169,11.263841,3.4479008,1727.0973365306854,-0.0027208198
0.8279239237308502,1818.93,0.0075319954,0.08271484,323584,1531.9890937500002,323584,158,146,17.808949,3.4612236,1739.1587240695953,-0.0047571226
0.784960925579071,1818.93,0.015295123,0.15693359,325632,1531.1736582,325632,159,180,20.939009,3.4732025,1753.1133687496185,-0.0020178948
0.883590504527092,1808.6,0.005764346,0.06386719,327680,1519.6731738300002,327680,160,200,9.4246235,3.4918518,1764.482050895691,-0.0056307158
0.9479224421083927,1789.56,0.0143464,0.09741211,329728,1493.4982949199998,329728,161,176,13.284212,3.5001907,1774.7001295089722,-0.005796746
0.8270743638277054,1788.51,0.0067170495,0.07358398,331776,1490.67753905,331776,162,155,30.981955,3.5064068,1786.27711892128,-0.0039167944
0.958711963146925,1765.01,0.009405046,0.075,333824,1466.30926951,333824,163,172,7.7774973,3.5175407,1799.4571392536163,-0.00511108
0.8446630537509918,1739.18,0.0065058535,0.078125,335872,1435.6745800599997,335872,164,145,15.322621,3.528022,1811.3623886108398,-0.0064596348
0.7658883631229401,1739.18,0.01165799,0.1305664,337920,1436.12434373,337920,165,187,20.485493,3.5288727,1825.4734716415405,0.00014913671
0.9624709822237492,1726.54,0.010951048,0.0859375,339968,1423.8290488099997,339968,166,167,7.11865,3.5281005,1836.4197397232056,-0.005571994
0.9641103744506836,1723.97,0.014603408,0.09628906,342016,1418.7268066299998,342016,167,211,7.5806837,3.5483823,1848.651228427887,-0.010176437
0.82230544090271,1723.98,0.007528347,0.07680664,344064,1416.7434726399997,344064,168,200,20.786379,3.562428,1858.3449239730835,-0.0036956996
0.9654216282069683,1729.62,0.0080446955,0.08828125,346112,1410.19028709,346112,169,123,10.255527,3.5686202,1868.5760219097137,-0.0005705315
0.9498074352741241,1703.73,0.006999797,0.062353514,348160,1381.77442576,348160,170,172,9.445096,3.5846572,1885.1463510990143,0.0049896934
