clipfrac,policy_loss,value_loss,ep_reward_mean,total_timesteps,policy_entropy,n_updates,explained_variance,fps,time_elapsed,serial_timesteps,approxkl,ep_len_mean
0.05205078,-0.0039891936,21.779188,536.74349649,231424,1.5832049,113,0.3821948170661926,473,478.8840570449829,231424,0.0043478454,914.42
0.046142578,-0.0022594072,20.432392,549.1883248700001,233472,1.5897995,114,0.5168961584568024,472,483.21220541000366,233472,0.0037536453,932.23
0.03540039,-0.0037422075,14.9219265,558.66363502,235520,1.5966499,115,0.5473404228687286,448,487.5475001335144,235520,0.0033281196,947.07
0.057519533,-0.0013554621,21.019749,568.5407262399999,237568,1.5940124,116,0.5007908344268799,453,492.109659910202,237568,0.004730797,962.97
0.02836914,-0.0026569387,13.543322,576.7927084800001,239616,1.5920032,117,0.5847435891628265,498,496.62517523765564,239616,0.002920466,975.4
0.04526367,-0.0016231226,13.246971,588.11962423,241664,1.5856395,118,0.5991345643997192,512,500.7328519821167,241664,0.0039765695,992.49
0.042822264,-0.00041741342,7.807873,593.22621785,243712,1.584014,119,0.66266268491745,538,504.72563672065735,243712,0.0037046422,1000.02
0.05024414,-0.0036299403,14.750804,614.76801496,245760,1.5929859,120,0.4077534079551697,522,508.5305836200714,245760,0.0042013996,1032.34
0.07490234,-0.004000964,6.7503996,622.26632619,247808,1.5856369,121,0.7617365270853043,539,512.4502928256989,247808,0.006423143,1050.9
0.036328126,-0.0012678757,4.9068813,630.02411253,249856,1.5707268,122,0.8988982439041138,498,516.2437496185303,249856,0.0034971714,1069.72
0.045654297,-0.0017740361,7.0481315,642.5809874500001,251904,1.5609305,123,0.6198792457580566,525,520.3527791500092,251904,0.0041141813,1088.48
0.038330078,-0.0025596987,15.150253,637.72745906,253952,1.5581375,124,0.4963546395301819,512,524.253333568573,253952,0.003642307,1067.4
0.08984375,-0.0031932578,4.4942236,636.83741647,256000,1.5529221,125,0.9054127782583237,507,528.2461748123169,256000,0.007460639,1067.4
0.05,-0.001946879,18.655655,646.43456378,258048,1.5490282,126,0.6226681768894196,496,532.285651922226,258048,0.0047226003,1081.33
0.06865235,-0.003675847,3.8258088,655.69415191,260096,1.5378029,127,0.9446478746831417,465,536.4090049266815,260096,0.0057681343,1099.91
0.040234376,-0.0024428954,8.153704,664.67671433,262144,1.5310503,128,0.6358940303325653,531,540.8078620433807,262144,0.0036459821,1113.84
0.04863281,-0.00031264423,26.387253,659.31107061,264192,1.5429581,129,0.5599976181983948,528,544.6602973937988,264192,0.0039945296,1095.19
0.0265625,-0.005834802,13.66525,669.1723320500001,266240,1.5543001,130,0.6249203979969025,534,548.5337064266205,266240,0.0028428715,1109.76
0.049462892,-0.0006665454,24.892483,668.01104318,268288,1.5574,131,0.622229129076004,498,552.3670907020569,268288,0.0040504658,1102.94
0.042626955,-0.004142305,22.049877,661.0347367499999,270336,1.5655296,132,0.5230920612812042,505,556.4770183563232,270336,0.0038623612,1083.71
0.06928711,-0.0015487174,13.781427,668.1460579199999,272384,1.5829387,133,0.7620860636234283,534,560.5279610157013,272384,0.006084476,1093.8
0.04575195,-0.00088712154,5.7021995,675.3691604299999,274432,1.5984453,134,0.7794196903705597,497,564.3618767261505,274432,0.004029565,1104.79
0.053466797,-0.005009461,11.825772,689.1757303100001,276480,1.6055319,135,0.7130413055419922,460,568.4807124137878,276480,0.004674564,1125.24
0.052685548,-0.0035142351,8.960759,702.31163817,278528,1.6073492,136,0.9108779579401016,516,572.9297025203705,278528,0.0045387736,1148.43
0.043554686,-0.0017828355,14.154936,710.64448596,280576,1.6103346,137,0.6652809679508209,504,576.8961770534515,280576,0.0039232173,1160.61
0.023925781,-0.00060247787,28.436092,723.5547359,282624,1.6078819,138,0.5941075384616852,498,580.9564015865326,282624,0.002579875,1179.82
0.021289062,-0.0028466375,19.823772,731.16682626,284672,1.606988,139,0.6361842155456543,513,585.0628564357758,284672,0.0025624956,1190.77
0.013867187,-0.0009061517,14.286039,743.6789579,286720,1.6052097,140,0.7817920595407486,495,589.0499098300934,286720,0.0018295612,1209.6
0.03100586,-0.0019090468,4.758926,746.8000641700002,288768,1.5942792,141,0.8659645617008209,492,593.1814608573914,288768,0.003043349,1213.69
0.05,-0.00041016968,11.994075,760.2653857099999,290816,1.5879114,142,0.7614057213068008,463,597.3397881984711,290816,0.00458642,1233.37
0.06508789,-0.0016735516,7.1983004,763.5956253499999,292864,1.5875822,143,0.805929109454155,472,601.7620420455933,292864,0.0052979058,1233.37
0.066748045,-0.0027281342,4.2498407,763.3752602099999,294912,1.5825279,144,0.9565568566322327,490,606.0960114002228,294912,0.005629563,1233.37
0.050097656,-0.0037062415,7.717134,768.7211731,296960,1.5762106,145,0.6856192052364349,515,610.2693521976471,296960,0.004179228,1233.37
0.03413086,-0.0005260988,6.506308,773.67961123,299008,1.575436,146,0.7837737500667572,519,614.2436101436615,299008,0.003340127,1233.37
0.054296874,-0.003936887,7.365878,777.15819921,301056,1.5802675,147,0.7623883783817291,503,618.1883573532104,301056,0.00452052,1233.37
0.09233399,-0.002197634,11.409327,781.7727341300001,303104,1.5917925,148,0.8472355157136917,517,622.2538566589355,303104,0.007548423,1233.37
0.058203124,-0.0042378623,15.767693,770.9810089,305152,1.6051426,149,0.8812684938311577,487,626.2125470638275,305152,0.004939065,1204.02
0.027197266,-0.002631797,8.956147,762.94926428,307200,1.6051648,150,0.8274270594120026,508,630.4099590778351,307200,0.0027925153,1181.03
0.03276367,-0.001275722,7.753978,766.06365272,309248,1.601663,151,0.6147967278957367,539,634.4402122497559,309248,0.00310263,1181.03
0.0418457,-0.0022551098,9.818697,764.6809363300001,311296,1.5963404,152,0.8713100701570511,524,638.2379078865051,311296,0.003835012,1174.71
0.061279297,-0.0007849277,12.274787,753.4736380100002,313344,1.6020243,153,0.8794690892100334,516,642.1465957164764,313344,0.005081163,1158.72
0.072753906,-0.003067627,4.8679996,750.9676668899999,315392,1.6078751,154,0.9154112786054611,498,646.1083989143372,315392,0.005809252,1158.72
0.06503906,-0.0034768921,14.142862,738.9745145299999,317440,1.6109291,155,0.8489946275949478,493,650.2159447669983,317440,0.0053745694,1142.23
0.040966798,-0.0005616137,21.809679,732.6492681299999,319488,1.6121804,156,0.6466016471385956,518,654.366580247879,319488,0.0039893305,1133.15
0.035595704,-0.0038906492,21.4561,737.34500136,321536,1.6219139,157,0.7417809367179871,510,658.3167879581451,321536,0.0034103796,1138.73
0.049707033,-0.0038262196,13.07297,730.8783933,323584,1.6283846,158,0.7396884858608246,510,662.3301949501038,323584,0.003969741,1128.96
0.049707033,-0.0054871994,7.6651754,726.5010255,325632,1.6311642,159,0.9038713350892067,514,666.3455579280853,325632,0.0042451397,1123.06
0.04926758,-0.0041745794,13.879267,719.6842570699998,327680,1.6360073,160,0.8220400363206863,465,670.3284921646118,327680,0.004317927,1112.83
0.029833984,-0.0012246718,20.867947,699.0720329799999,329728,1.6431615,161,0.7167101800441742,483,674.7298593521118,329728,0.0027467054,1074.96
0.076123044,-0.0040392447,6.06273,697.67737993,331776,1.640938,162,0.7801412492990494,480,678.9681253433228,331776,0.006056329,1072.64
0.07299805,-0.006100108,11.303785,687.09263201,333824,1.6405008,163,0.8567245006561279,496,683.2332336902618,333824,0.0065162517,1059.37
0.092041016,-0.005483009,7.601935,686.31282624,335872,1.6405232,164,0.7976442575454712,520,687.3579375743866,335872,0.0076988963,1059.37
0.05493164,-0.00413398,7.137558,690.5506810799999,337920,1.6360953,165,0.9046207815408707,477,691.294141292572,337920,0.0048668897,1065.51
0.07749023,-0.002129726,4.7589636,695.6758185099998,339968,1.6433522,166,0.9091639071702957,501,695.5877678394318,339968,0.0066121565,1080.66
0.09106445,-0.003801914,11.24589,697.2182499899999,342016,1.6548036,167,0.9069323092699051,514,699.6744163036346,342016,0.009930091,1087.36
0.04458008,-0.0026123982,6.477079,703.04795411,344064,1.6657959,168,0.8195655941963196,451,703.6521592140198,344064,0.0037495983,1094.14
0.059521485,-0.002472897,13.769061,706.3344936500001,346112,1.6670687,169,0.6636064648628235,440,708.1861979961395,346112,0.005191992,1099.97
0.04511719,-0.0035595638,19.140104,709.7823845999999,348160,1.6655552,170,0.7027508020401001,481,712.8327021598816,348160,0.0041829823,1104.25
0.024072265,-0.00030082365,5.416408,705.71852078,350208,1.6666572,171,0.8381833881139755,510,717.0862958431244,350208,0.0025812385,1098.12
0.041796874,-0.0021143178,16.123959,707.30232773,352256,1.6623392,172,0.6846016943454742,545,721.099452495575,352256,0.0038481515,1100.15
