value_loss,fps,clipfrac,approxkl,time_elapsed,ep_len_mean,serial_timesteps,policy_loss,ep_reward_mean,policy_entropy,total_timesteps,explained_variance,n_updates
9.750181,549,0.07128906,0.0056725633,1687.405752658844,1630.17,894976,-0.0030705233,1071.40950463,2.594861,894976,0.7491665184497833,437
20.602558,533,0.055908203,0.004850664,1691.1357011795044,1613.74,897024,-0.0042047063,1060.62387675,2.596319,897024,0.5488183498382568,438
10.383364,585,0.058496095,0.00479883,1694.976637840271,1599.07,899072,-0.00492351,1048.38614895,2.6043391,899072,0.8665868788957596,439
12.143789,550,0.047705077,0.00400036,1698.4755280017853,1599.07,901120,-0.00464221,1048.2876123800002,2.6097257,901120,0.5972102880477905,440
12.637336,553,0.064501956,0.0055886856,1702.1953418254852,1599.07,903168,-0.005926747,1048.2543795000001,2.6097052,903168,0.6629562079906464,441
11.3701,546,0.059765626,0.0053902515,1705.897693157196,1599.07,905216,-0.0044797845,1049.44667252,2.5994134,905216,0.6905594766139984,442
17.954235,471,0.034277342,0.0030965393,1709.6465647220612,1585.12,907264,-0.0029452504,1039.08459569,2.589315,907264,0.7085671722888947,443
13.559549,537,0.02836914,0.0029299296,1713.992229938507,1585.12,909312,-0.00037167873,1040.20690726,2.5961013,909312,0.6255843341350555,444
13.0785265,560,0.036621094,0.0034434744,1717.802951335907,1564.53,911360,-0.0033936496,1027.08327613,2.591897,911360,0.8135543465614319,445
12.015835,540,0.047167968,0.004379436,1721.4591720104218,1564.53,913408,-0.0018379025,1028.22147055,2.5822504,913408,0.6867572963237762,446
22.451859,519,0.045654297,0.004084456,1725.246740102768,1563.26,915456,-0.004956007,1028.35828272,2.5847769,915456,0.6321176588535309,447
11.328745,521,0.050097656,0.0043359734,1729.1860048770905,1569.39,917504,-0.003491896,1032.5955495700002,2.5920289,917504,0.6920391917228699,448
8.047684,546,0.047460936,0.0042482,1733.113251209259,1552.8,919552,-0.0039003429,1021.4927662599999,2.6040425,919552,0.8202329576015472,449
11.422044,557,0.055761717,0.0046067415,1736.8638496398926,1569.25,921600,-0.0016300831,1033.80729918,2.6124618,921600,0.7308244109153748,450
11.424143,557,0.058154296,0.004940258,1740.5393688678741,1569.25,923648,-0.0049608843,1034.5907948899999,2.619438,923648,0.7499790489673615,451
11.5729885,561,0.042578124,0.0038138803,1744.213208913803,1569.25,925696,-0.0033132255,1033.9199713400003,2.624206,925696,0.7490717768669128,452
14.310002,549,0.09458008,0.0076568,1747.8594524860382,1586.93,927744,-0.0049796095,1045.8547314300001,2.6222255,927744,0.6505192220211029,453
9.437384,560,0.09423828,0.007347469,1751.5869252681732,1586.93,929792,-0.0036805253,1046.5753787900003,2.6231422,929792,0.6824162900447845,454
8.238121,514,0.03618164,0.0036803759,1755.2390804290771,1588.11,931840,-0.00499919,1047.56752404,2.6204915,931840,0.8040016889572144,455
12.641672,544,0.031201173,0.0030018461,1759.2202563285828,1603.15,933888,-0.0019661067,1058.3260856600002,2.617272,933888,0.6441564857959747,456
12.818346,544,0.035986327,0.0032825675,1762.9809193611145,1617.68,935936,-0.0040107304,1068.4340385300002,2.6167877,935936,0.5509467422962189,457
3.894944,562,0.04111328,0.003348949,1766.7418448925018,1611.77,937984,-0.004679611,1064.26091803,2.619859,937984,0.9153743162751198,458
9.182188,535,0.078710936,0.0061731357,1770.3863730430603,1625.14,940032,-0.0064152493,1075.41664867,2.6300998,940032,0.7701607197523117,459
11.732739,543,0.064697266,0.0055819787,1774.2149403095245,1625.14,942080,-0.001112748,1075.8587695,2.6338472,942080,0.6908346712589264,460
11.786438,558,0.061523438,0.0055688536,1777.983370065689,1625.14,944128,-0.0029662882,1076.75847603,2.625134,944128,0.7275938093662262,461
4.8646307,532,0.033984374,0.0029054761,1781.6524775028229,1629.19,946176,-0.00288917,1080.2050821300002,2.620222,946176,0.8767976015806198,462
14.082481,524,0.070166014,0.005707962,1785.4974751472473,1629.19,948224,-0.0048584584,1081.58664554,2.619427,948224,0.6090371608734131,463
8.789329,537,0.058251955,0.0047455807,1789.4062190055847,1629.19,950272,-0.0060131107,1082.58357447,2.6281219,950272,0.7836936414241791,464
