policy_loss,n_updates,serial_timesteps,explained_variance,clipfrac,policy_entropy,fps,total_timesteps,ep_reward_mean,time_elapsed,value_loss,ep_len_mean,approxkl
-0.0028437818,181,370688,0.8369241058826447,0.018652344,1.7384098,502,370688,631.7644039099999,770.7973411083221,9.19345,1220.17,0.0022223326
-0.0047319666,182,372736,0.8091882169246674,0.06225586,1.7332242,488,372736,628.9986940699999,774.8722250461578,9.605643,1214.12,0.0052976194
0.0004035115,183,374784,0.8705772012472153,0.07543945,1.7450707,505,374784,624.41437864,779.0636756420135,7.457273,1206.18,0.0066066897
-0.00367305,184,376832,0.8375556617975235,0.06020508,1.7558361,474,376832,627.79917012,783.1118540763855,5.812783,1211.33,0.005154087
-0.0019944455,185,378880,0.8166577517986298,0.07905273,1.7612374,494,378880,643.4869767,787.4292845726013,9.877529,1235.64,0.0063886223
-0.0019815166,186,380928,0.7990693897008896,0.045703124,1.7729151,507,380928,650.4435946300001,791.5700209140778,6.4246902,1244.9,0.003976813
-0.0011804618,187,382976,0.7987466007471085,0.034716796,1.7742403,518,382976,655.12466328,795.6096811294556,8.24714,1249.53,0.0032193766
-0.001880497,188,385024,0.8054441511631012,0.041259766,1.7658756,509,385024,664.1817908700001,799.5571973323822,8.303207,1263.62,0.00391515
-0.0003114864,189,387072,0.7889614701271057,0.03857422,1.7601076,496,387072,670.87351726,803.5752277374268,7.2678933,1272.15,0.0035642576
-0.004868089,190,389120,0.8269551992416382,0.08510742,1.7621769,498,389120,677.5319248100001,807.697521686554,6.8449907,1280.43,0.0072161853
0.0005085622,191,391168,0.7862645089626312,0.036083985,1.7669014,494,391168,685.1010965999999,811.8031718730927,9.271782,1291.7,0.0035236212
-0.0017907701,192,393216,0.8141094297170639,0.049560547,1.7673969,505,393216,687.84943767,815.9441449642181,6.8434477,1294.96,0.0043033212
-0.0011345113,193,395264,0.7488122284412384,0.074121095,1.7686768,471,395264,691.98318153,819.9996664524078,9.221077,1299.63,0.006347435
-0.002258112,194,397312,0.7999138832092285,0.046777345,1.7695347,509,397312,677.07820173,824.3456294536591,14.978643,1266.5,0.0040867976
-0.007170635,195,399360,0.8155641257762909,0.06762695,1.7734497,492,399360,679.72173003,828.369833946228,9.815271,1266.5,0.005983866
-0.0028698496,196,401408,0.8091426491737366,0.044384766,1.7726209,504,401408,684.9716986600001,832.5254092216492,9.239205,1273.06,0.0040017557
-0.0008699215,197,403456,0.8180378526449203,0.056103516,1.7692057,495,403456,693.4841169800001,836.5850393772125,6.9688835,1285.08,0.0050480925
-0.0026454565,198,405504,0.8391681015491486,0.06967773,1.7647749,506,405504,701.6324738,840.7188363075256,7.411883,1296.16,0.0058528935
-0.0012134621,199,407552,0.7932914048433304,0.068408206,1.7656094,485,407552,707.42041734,844.7629680633545,8.086692,1303.75,0.006285901
-0.0013457336,200,409600,0.8447379022836685,0.042871095,1.7592504,489,409600,714.95704625,848.979297876358,6.8331237,1313.91,0.003921865
-0.0023446886,201,411648,0.8235301822423935,0.07426758,1.7583917,485,411648,720.34800828,853.1646568775177,7.504281,1321.18,0.0061573302
-0.00083957816,202,413696,0.8123128712177277,0.06621094,1.747228,502,413696,722.43123723,857.3812072277069,9.668872,1321.18,0.0058467034
-0.0024634101,203,415744,0.8197574764490128,0.07949219,1.7382066,489,415744,726.90911,861.457959651947,8.735661,1326.86,0.006166721
-0.00087763835,204,417792,0.8668804168701172,0.056884766,1.7404563,499,417792,731.3859170200001,865.6456575393677,8.147949,1332.26,0.0047627194
-0.003872132,205,419840,0.8595076650381088,0.083300784,1.7507912,485,419840,737.5115646000002,869.7469098567963,8.320386,1341.1,0.0063602836
-0.0005858422,206,421888,0.8393168598413467,0.06577148,1.7575047,492,421888,743.1161876000001,873.9622197151184,8.437857,1349.39,0.005509376
0.0005660147,207,423936,0.8270537555217743,0.06704102,1.7567106,496,423936,752.5559235600001,878.1242651939392,8.046985,1363.5,0.0055752965
-0.0029123642,208,425984,0.8460917472839355,0.056591798,1.7789218,483,425984,761.3853957700002,882.2475507259369,8.240809,1375.23,0.004898033
0.0002733809,209,428032,0.8127961903810501,0.040722657,1.7973118,502,428032,771.2463501500001,886.484724521637,9.687112,1390.18,0.003648072
-0.0014217194,210,430080,0.7773838490247726,0.04511719,1.8012575,497,430080,779.40003762,890.5614337921143,11.328661,1402.35,0.0038457487
0.00014943689,211,432128,0.7850573360919952,0.076611325,1.8156525,498,432128,783.8220923599999,894.6784925460815,9.791601,1408.88,0.00729937
-0.002021658,212,434176,0.8287392854690552,0.053027343,1.8282759,492,434176,792.2541457800002,898.7864809036255,9.299501,1419.53,0.004365643
-0.0025160974,213,436224,0.8673781752586365,0.063769534,1.8304923,475,436224,799.0886996600001,902.941841840744,8.021795,1429.18,0.005234068
-0.0015254384,214,438272,0.802906408905983,0.04951172,1.8268492,507,438272,807.5051703700003,907.2456142902374,8.902063,1442.05,0.004406692
-0.0021292616,215,440320,0.8628153055906296,0.051416017,1.8266551,479,440320,813.18570619,911.2781195640564,8.35816,1451.41,0.004359958
-0.0040065586,216,442368,0.7212116718292236,0.05581055,1.8335142,497,442368,823.5062803600001,915.5458714962006,15.732945,1467.19,0.004800424
-0.00391494,217,444416,0.8699725568294525,0.06679688,1.8379545,477,444416,827.05478226,919.6666166782379,10.074943,1472.17,0.0057887393
-0.0035167667,218,446464,0.883298933506012,0.052783202,1.8357185,497,446464,832.39642912,923.9548745155334,5.451091,1480.42,0.0046999925
-0.0017929595,219,448512,0.8051755279302597,0.055761717,1.8336138,482,448512,842.6501703499999,928.0702772140503,10.987048,1495.19,0.0046530375
-0.004854617,220,450560,0.8065381795167923,0.053613283,1.8228252,496,450560,844.4489402100002,932.3153655529022,12.223324,1497.39,0.0050547775
-0.00089919043,221,452608,0.7840446978807449,0.04550781,1.8167169,511,452608,848.8100103800002,936.4377858638763,12.907193,1502.14,0.0042666695
-0.0029701728,222,454656,0.8393487632274628,0.046435546,1.8099139,474,454656,855.24841216,940.4392211437225,8.285643,1511.14,0.0041166265
-0.005519034,223,456704,0.7063954770565033,0.06137695,1.8140907,503,456704,848.9868163400001,944.7561681270599,18.507618,1498.99,0.0055933916
-0.006425028,224,458752,0.7902499884366989,0.07451172,1.8228197,508,458752,851.4316654099999,948.8242790699005,13.756899,1496.94,0.005878778
-0.004332772,225,460800,0.7704022377729416,0.040722657,1.8282505,494,460800,830.4019561700001,952.8516955375671,17.383219,1459.22,0.0042753895
-0.0069700563,226,462848,0.7750662416219711,0.08461914,1.8318355,524,462848,823.21238227,956.9957911968231,13.170061,1446.25,0.0073419707
0.0007250259,227,464896,0.8421414196491241,0.04511719,1.8376372,499,464896,818.64899597,960.8991005420685,10.791164,1437.1,0.004325845
-0.0037273834,228,466944,0.8056758791208267,0.056347657,1.8491869,494,466944,813.98917826,964.9990088939667,11.298902,1428.43,0.0046775783
-0.0023316871,229,468992,0.8417761772871017,0.044677734,1.8611807,502,468992,813.6496231299998,969.1413080692291,11.077205,1425.0,0.0043682866
0.0003076084,230,471040,0.8251269906759262,0.0746582,1.870841,504,471040,815.9574395799999,973.214373588562,7.696826,1426.2,0.0060094767
-0.0007987322,231,473088,0.8384321182966232,0.06640625,1.87513,493,473088,816.7390089499999,977.274829864502,8.612468,1426.2,0.0054545896
-0.0039518275,232,475136,0.8377295732498169,0.06875,1.8760954,499,475136,812.7828170299998,981.4249057769775,8.129341,1418.66,0.0055750743
-0.0007757181,233,477184,0.7769172638654709,0.044873048,1.8780292,484,477184,814.9484664299999,985.521625995636,9.228586,1418.66,0.004021437
-0.001987511,234,479232,0.7296200692653656,0.054101564,1.888348,504,479232,815.62594583,989.7517411708832,10.77389,1418.66,0.005010739
0.00016358876,235,481280,0.7841015607118607,0.074804686,1.9029757,487,481280,816.7281468599999,993.8121807575226,9.748982,1418.66,0.006026269
-0.0019011758,236,483328,0.8228004425764084,0.04194336,1.9101692,504,483328,817.97098906,998.0139088630676,7.7901587,1418.66,0.0036834695
-0.0020504168,237,485376,0.8019164800643921,0.053466797,1.9063591,487,485376,825.3612592799999,1002.0776062011719,8.576174,1426.95,0.0047195116
-0.00064529787,238,487424,0.7660832703113556,0.06386719,1.89413,489,487424,830.9492178599999,1006.2812218666077,11.060239,1436.33,0.006045322
-0.0028491642,239,489472,0.7919871211051941,0.07763672,1.893198,514,489472,839.27275907,1010.4656224250793,8.342481,1447.76,0.0058561875
0.00066823384,240,491520,0.8454689234495163,0.058251955,1.8979113,488,491520,846.6821511900001,1014.448408126831,8.535997,1457.44,0.00483169
-0.0019866317,241,493568,0.8589943945407867,0.076367185,1.8946759,504,493568,850.58200473,1018.6429591178894,8.006975,1462.34,0.0058371164
-0.0020406186,242,495616,0.8519167751073837,0.068554685,1.888434,498,495616,859.94127948,1022.7012670040131,8.692481,1475.56,0.005606163
-0.005277031,243,497664,0.8268091082572937,0.067871094,1.8861748,495,497664,861.6952535300002,1026.8107225894928,8.599095,1475.56,0.00577189
-0.0029740517,244,499712,0.8427329361438751,0.04194336,1.8755146,515,499712,868.69935983,1030.9413237571716,7.9394045,1485.12,0.004006565
-0.004277002,245,501760,0.8018102198839188,0.0824707,1.8713057,516,501760,877.24561607,1034.9170999526978,9.9309025,1496.15,0.00688227
-0.0007908439,246,503808,0.8368644863367081,0.05683594,1.8743576,496,503808,882.65486272,1038.8841888904572,8.397631,1502.38,0.0048423037
-0.005727167,247,505856,0.7647151350975037,0.071582034,1.8815485,517,505856,891.7261713999999,1043.0097625255585,15.253677,1513.83,0.0057866354
-0.0018549792,248,507904,0.8993041440844536,0.05625,1.8817742,491,507904,890.2163534099999,1046.9711406230927,5.2502723,1511.42,0.0050261253
-0.0058974153,249,509952,0.7373892664909363,0.09785156,1.8676255,476,509952,898.9317845899999,1051.1358714103699,9.332125,1522.42,0.007702528
-0.0014269094,250,512000,0.694217175245285,0.064648435,1.8614271,507,512000,907.0575763699999,1055.4377784729004,11.808989,1532.06,0.0051215636
-0.0012386322,251,514048,0.6841040849685669,0.058691405,1.8608773,486,514048,913.24067753,1059.479791879654,20.861713,1540.31,0.0053346893
-0.0022758725,252,516096,0.7908215224742889,0.059814453,1.8480781,514,516096,921.7227601100001,1063.6934916973114,9.149252,1552.66,0.0050708395
-0.0018601579,253,518144,0.7334232330322266,0.104882814,1.841355,496,518144,927.2811089100002,1067.6766064167023,10.783983,1559.71,0.010655591
-0.004521557,254,520192,0.8762181997299194,0.060302734,1.8517141,513,520192,923.6981669600002,1071.805243730545,5.2711806,1553.91,0.0053925165
-0.0014298222,255,522240,0.7203209698200226,0.04472656,1.8697313,515,522240,930.1210407000002,1075.7931253910065,18.00572,1561.81,0.004221947
-0.0043801395,256,524288,0.7313902080059052,0.11196289,1.8700836,499,524288,934.3637168600002,1079.7654268741608,8.110604,1566.36,0.008839069
-0.0033849508,257,526336,0.6891879439353943,0.061035156,1.8822311,497,526336,944.68102263,1083.8673605918884,10.433647,1579.71,0.0053425664
-0.006818698,258,528384,0.8194491565227509,0.06821289,1.8998868,502,528384,946.1423723799999,1087.9822180271149,10.570059,1577.82,0.006358009
0.0004553673,259,530432,0.6523323655128479,0.09326172,1.9155287,488,530432,952.4075671699998,1092.0581772327423,10.036212,1585.02,0.007651937
-0.0039928555,260,532480,0.7658235132694244,0.053710938,1.9187355,474,532480,959.19584416,1096.24924492836,12.646419,1593.54,0.0047739786
0.0005562448,261,534528,0.803798720240593,0.06196289,1.9086794,497,534528,969.75210877,1100.5632486343384,10.36904,1607.57,0.0052958135
-0.0032565314,262,536576,0.7387115955352783,0.064208984,1.9015782,504,536576,979.4724740500001,1104.679927110672,10.1895075,1620.66,0.005313455
-0.0009169451,263,538624,0.7521825283765793,0.038916014,1.9049637,507,538624,985.3243931799999,1108.7402892112732,9.56414,1627.23,0.0037780579
-0.0001590079,264,540672,0.7022305727005005,0.06987305,1.9119339,497,540672,986.57530436,1112.7754962444305,10.9768505,1627.23,0.006066325
0.00020001852,265,542720,0.7407386898994446,0.039355468,1.9189804,493,542720,983.0660266200002,1116.8902685642242,14.490334,1618.87,0.003673985
0.0001855018,266,544768,0.7104520499706268,0.054345705,1.9186453,483,544768,954.9618486600001,1121.0417454242706,17.49885,1575.11,0.0046223626
-0.0007881522,267,546816,0.7401023507118225,0.055419922,1.9144039,474,546816,930.9754132399999,1125.2761166095734,14.15258,1535.78,0.004929267
-0.0057113837,268,548864,0.8446723371744156,0.06411133,1.9188389,514,548864,913.9073591900003,1129.5924446582794,10.386754,1508.66,0.005305876
-0.0025498571,269,550912,0.7569072544574738,0.08618164,1.9315193,500,550912,927.7515599300002,1133.5741007328033,9.16581,1528.52,0.0069254027
-0.0015851168,270,552960,0.7151593565940857,0.048828125,1.9352443,505,552960,941.5216162800003,1137.6691870689392,11.787183,1548.33,0.0048027458
-0.0016807014,271,555008,0.626719743013382,0.061035156,1.9340785,503,555008,942.7558878500001,1141.7246317863464,12.154905,1548.33,0.005136281
-0.00081823533,272,557056,0.688915878534317,0.054785155,1.9267414,485,557056,943.9316206900003,1145.789092540741,11.479321,1548.33,0.004811942
-0.0005340105,273,559104,0.6410439610481262,0.0949707,1.9175024,496,559104,945.02244979,1150.0070476531982,11.257307,1548.33,0.008750901
-0.0011016896,274,561152,0.8660400956869125,0.05883789,1.9045305,485,561152,941.7084168499999,1154.1323630809784,5.1173487,1542.64,0.0051807007
-0.0022904074,275,563200,0.6449706554412842,0.07783203,1.8971565,511,563200,942.94149672,1158.3531625270844,11.385658,1542.64,0.006426429
-0.003127077,276,565248,0.6639700531959534,0.07509766,1.9022703,496,565248,936.2827854500001,1162.3610618114471,18.160517,1529.82,0.006084911
-0.0024054046,277,567296,0.7981165498495102,0.075683594,1.9085894,499,567296,928.03592039,1166.4872691631317,11.013147,1516.03,0.006710358
-0.00024231363,278,569344,0.5424173772335052,0.07509766,1.9079266,495,569344,928.68681499,1170.5874061584473,11.847595,1516.03,0.006310752
0.0012638288,279,571392,0.7553134709596634,0.08823242,1.9040924,498,571392,929.94740586,1174.7236456871033,8.603143,1516.03,0.007862122
-0.0008639406,280,573440,0.8258054107427597,0.04057617,1.89733,499,573440,927.25465525,1178.8360133171082,8.829571,1512.42,0.0039390773
-0.004974701,281,575488,0.6342527568340302,0.12001953,1.9025418,494,575488,928.81948303,1182.9339444637299,11.468937,1512.42,0.0096400995
-0.002602827,282,577536,0.8254929631948471,0.09921875,1.9135351,498,577536,929.1842268800001,1187.07701420784,8.999358,1512.42,0.008165402
-0.0021120915,283,579584,0.7973013818264008,0.064208984,1.9260528,498,579584,918.0935406100001,1191.1881699562073,13.219708,1492.53,0.0054255957
-0.0029425223,284,581632,0.8100291192531586,0.054052733,1.9343662,484,581632,922.9201700999998,1195.3002216815948,9.698776,1498.87,0.004732179
-0.0038418658,285,583680,0.7925790995359421,0.06899414,1.9216869,496,583680,877.4772080199999,1199.5292358398438,28.361126,1427.42,0.0063854693
-0.0053654867,286,585728,0.2160530686378479,0.062402345,1.9258015,493,585728,805.0031210299999,1203.6540722846985,53.24298,1309.3,0.005371933
-0.0052920613,287,587776,0.71357062458992,0.0871582,1.9348627,466,587776,814.73289325,1207.8075721263885,10.407206,1323.74,0.0074455747
-0.0030894554,288,589824,0.854392021894455,0.038183592,1.932861,507,589824,795.1485527700002,1212.2003071308136,13.417908,1293.26,0.003603295
-0.0025316244,289,591872,0.7495026588439941,0.093603514,1.9400711,500,591872,803.7010487400001,1216.2332990169525,8.931743,1306.01,0.0076369504
-0.002935524,290,593920,0.7114517986774445,0.042333983,1.949682,488,593920,807.7647563499999,1220.3271865844727,19.67577,1308.79,0.0037882433
-0.003860335,291,595968,0.8729002475738525,0.06889649,1.9579403,503,595968,809.2437291599998,1224.5225093364716,4.4577374,1310.91,0.006163121
-0.003604029,292,598016,0.7246045470237732,0.053271484,1.9614403,494,598016,785.5496515699998,1228.5923159122467,29.655426,1270.85,0.004578598
-0.0031876988,293,600064,0.8565840125083923,0.03720703,1.9717623,489,600064,781.2768137099998,1232.7359359264374,10.741259,1263.0,0.003369971
-6.796848e-05,294,602112,0.6878524124622345,0.035351563,1.9792532,504,602112,782.4404449499999,1236.9217464923859,12.19854,1263.0,0.0031338944
-0.0035490063,295,604160,0.8855667784810066,0.040771484,1.9813273,509,604160,773.48159886,1240.979722738266,5.2599483,1248.98,0.0037211105
-0.004258669,296,606208,0.7497636079788208,0.05,1.9785655,489,606208,741.5446683999998,1244.9988188743591,23.799496,1195.65,0.0043078777
-0.0035334032,297,608256,0.9297359883785248,0.07460938,1.9706749,505,608256,741.32080986,1249.1842017173767,3.8424766,1192.73,0.0066989907
-0.0016858596,298,610304,0.8121509850025177,0.05986328,1.9828523,491,610304,721.3578964200001,1253.2324614524841,19.240538,1161.45,0.0050926222
-0.0040256227,299,612352,0.7117788195610046,0.1121582,1.9933418,505,612352,721.3528377599999,1257.4013812541962,8.774933,1161.45,0.0093424935
-0.0020648818,300,614400,0.8339243084192276,0.06982422,1.9868418,484,614400,721.8800279500001,1261.451910495758,7.3170547,1160.56,0.0060041845
-0.0058125276,301,616448,0.882759690284729,0.06455078,1.9783208,508,616448,712.4908459400003,1265.6798095703125,4.938967,1146.93,0.0054077664
-0.0039990987,302,618496,0.8704901039600372,0.056591798,1.9765621,502,618496,706.3345255500001,1269.7094087600708,9.243881,1136.53,0.004590499
