n_updates,fps,explained_variance,approxkl,policy_entropy,clipfrac,policy_loss,time_elapsed,serial_timesteps,total_timesteps,value_loss,ep_len_mean,ep_reward_mean
122,439,0.7947707772254944,0.007934218,4.1146865,0.111572266,-0.002666839,640.2617528438568,249856,249856,23.656158,1321.16,1314.97453701
123,436,-0.0018641948699951172,0.005893744,4.1136904,0.07680664,-0.0021437025,644.9255902767181,251904,251904,19.897053,1321.16,1314.8777261300002
124,407,-0.0030879974365234375,0.0034063514,4.112996,0.034960937,-0.0016217831,649.6129553318024,253952,253952,19.91385,1321.16,1314.7787675900001
125,448,0.002314329147338867,0.0037392261,4.131404,0.03959961,-0.0018956538,654.6366596221924,256000,256000,19.796247,1321.16,1314.70201512
126,441,0.0068846940994262695,0.0054233707,4.140696,0.06503906,-0.0010572622,659.2115578651428,258048,258048,19.77763,1321.16,1314.65868895
127,390,-0.013432145118713379,0.0017840287,4.14102,0.012402344,-0.0013785844,663.8538637161255,260096,260096,20.022202,1341.38,1334.76833183
128,406,0.007312357425689697,0.0070060194,4.1517544,0.09287109,-0.003232855,669.098384141922,262144,262144,19.798574,1341.38,1334.71714254
129,409,0.0009729862213134766,0.0046888725,4.161731,0.06015625,2.9360981e-05,674.1325039863586,264192,264192,19.901445,1341.38,1334.68680041
130,415,0.6942431330680847,0.005349059,4.1595016,0.06704102,-0.0009197475,679.1362223625183,266240,266240,21.286453,1321.16,1314.5477673
131,374,0.8398150354623795,0.0020367543,4.165629,0.016601562,6.093232e-05,684.0687620639801,268288,268288,25.261372,1280.72,1274.11899539
132,396,0.02331089973449707,0.0037278845,4.163652,0.04116211,-0.002041999,689.5377812385559,270336,270336,19.414326,1280.72,1273.96735713
133,319,0.6777910888195038,0.003408876,4.1572776,0.035595704,-0.0004926134,694.7039306163788,272384,272384,21.991013,1280.73,1273.8264186200001
134,305,0.7872178256511688,0.003636909,4.1587176,0.038476564,-0.0013740981,701.119856595993,274432,274432,24.28786,1260.51,1253.50027489
135,314,0.004778504371643066,0.0036803286,4.1613207,0.042675782,-0.0019609951,707.8190126419067,276480,276480,19.667906,1260.51,1253.40604345
136,335,0.7919874787330627,0.003129183,4.158931,0.034570314,-0.0018253953,714.3238849639893,278528,278528,23.585958,1260.5,1253.28256156
137,357,0.6940942406654358,0.0052947607,4.1662803,0.06782226,-0.00347215,720.4259700775146,280576,280576,21.047697,1280.72,1273.3624996400001
138,344,0.010904252529144287,0.0009645596,4.1762495,0.005957031,0.00047953325,726.1557130813599,282624,282624,19.698101,1280.72,1273.2647404
139,345,0.6878391206264496,0.0037433573,4.1757607,0.039697267,-0.0024152212,732.108865737915,284672,284672,21.8655,1280.75,1273.18138613
140,357,-0.00241851806640625,0.004375444,4.1794834,0.05180664,-0.0014789238,738.0419344902039,286720,286720,19.88723,1300.98,1293.297573
141,357,0.6867207884788513,0.0036224413,4.1882753,0.039990235,-0.0009512664,743.7643711566925,288768,288768,20.932552,1300.97,1293.179065
142,341,0.6848826706409454,0.0022451375,4.204295,0.022705078,-0.00055787,749.5017499923706,290816,290816,20.874483,1300.97,1293.06699912
143,338,0.6768606007099152,0.0010719831,4.216952,0.004736328,-0.000617132,755.4997978210449,292864,292864,21.58737,1300.97,1292.95490035
144,319,0.021084964275360107,0.006705726,4.217041,0.08945312,-0.0031102297,761.5513036251068,294912,294912,19.282614,1300.97,1292.87966142
145,355,0.024878263473510742,0.005239347,4.2145276,0.06357422,-0.0008222076,767.9692363739014,296960,296960,19.587858,1321.18,1312.92533521
146,388,0.8653783649206161,0.0075787096,4.2171607,0.10678711,-0.0032064598,773.7278697490692,299008,299008,27.432678,1280.77,1272.5812683
147,387,0.016156435012817383,0.0036794064,4.2157583,0.03984375,0.0002474877,778.9941372871399,301056,301056,19.945154,1280.77,1272.53373782
148,363,0.6857086420059204,0.006410352,4.220886,0.084179685,-0.0032558092,784.2767071723938,303104,303104,21.781721,1260.55,1252.32153849
149,400,0.021391212940216064,0.0021454587,4.230424,0.018603515,0.00036943852,789.9190797805786,305152,305152,19.991322,1260.55,1252.29187869
