serial_timesteps,ep_len_mean,clipfrac,explained_variance,value_loss,ep_reward_mean,n_updates,approxkl,time_elapsed,policy_entropy,policy_loss,fps,total_timesteps
1155072,1386.7,0.047460936,0.8435731381177902,17.414976,912.7462066,564,0.004457676,3801.9768590927124,2.6488757,-0.0057423585,292,1155072
1157120,1386.12,0.039404295,0.7986128926277161,15.277512,912.59146545,565,0.003538185,3808.983969926834,2.6568809,-0.002029824,296,1157120
1159168,1386.12,0.07949219,0.5151477754116058,12.250947,913.1843041699998,566,0.0071578296,3815.8970894813538,2.6693933,-0.004553343,274,1159168
1161216,1391.6,0.107226565,0.6768392026424408,17.488165,917.38425393,567,0.010824179,3823.3532168865204,2.6765337,-0.0051381625,273,1161216
1163264,1404.01,0.02607422,0.8925954326987267,4.940409,926.45735869,568,0.002535065,3830.8427696228027,2.6760793,-0.003320941,291,1163264
1165312,1422.32,0.054785155,0.7384459674358368,9.4905,939.3008456,569,0.004474717,3837.8712515830994,2.6781144,-0.0061616087,284,1165312
1167360,1434.61,0.043896485,0.8884220123291016,5.4632125,948.82351857,570,0.0038553805,3845.0820846557617,2.6825185,-0.0041101947,292,1167360
1169408,1434.61,0.05,0.6639963388442993,11.448989,950.0522049599999,571,0.0045850733,3852.0887603759766,2.6838255,-0.0026724816,275,1169408
1171456,1431.17,0.053271484,0.9047615602612495,5.0151463,948.56435486,572,0.004511791,3859.5235748291016,2.6849618,-0.002555735,282,1171456
1173504,1448.05,0.09628906,0.7042640149593353,14.368294,961.4977197100001,573,0.007703795,3866.7846710681915,2.6854317,-0.0050205756,282,1173504
1175552,1451.49,0.06821289,0.7890132367610931,16.23006,965.0606586099999,574,0.0063427016,3874.0305483341217,2.683304,-0.004823028,299,1175552
1177600,1451.49,0.038867187,0.6320762634277344,12.79892,964.3126265200001,575,0.003521823,3880.8808081150055,2.6996999,-0.0006943976,277,1177600
1179648,1434.1,0.05078125,0.7183968424797058,18.464117,953.1649090200001,576,0.0043884595,3888.267619371414,2.7234693,-0.005256075,292,1179648
1181696,1434.1,0.0675293,0.6933034956455231,12.00811,953.6631231899999,577,0.0054857307,3895.274039745331,2.7393696,-0.00027312292,285,1181696
1183744,1434.1,0.036816407,0.6868852078914642,12.738283,953.7411255099998,578,0.0032926048,3902.440858364105,2.7362294,-0.0007456642,286,1183744
1185792,1434.1,0.06567383,0.8148192018270493,9.83337,956.10331653,579,0.005239418,3909.5979657173157,2.734847,-0.0046593444,282,1185792
1187840,1451.73,0.06738281,0.7442558705806732,9.40683,968.5668318,580,0.0058234334,3916.8446056842804,2.7434318,-0.0029645409,289,1187840
1189888,1456.26,0.058398437,0.9139063954353333,5.2019978,972.3404047700002,581,0.004927009,3923.920202255249,2.7567031,-0.0047173374,287,1189888
1191936,1456.26,0.03955078,0.7702269107103348,10.018986,969.9640886300002,582,0.003445338,3931.04865694046,2.759849,-0.0021586712,278,1191936
1193984,1457.69,0.031152343,0.7537684291601181,17.28369,972.42130742,583,0.0029947401,3938.394825696945,2.7582881,-0.0028410344,283,1193984
1196032,1457.69,0.04863281,0.7225514650344849,11.779844,973.2193643099998,584,0.0044548875,3945.6204676628113,2.7675672,-0.002159167,283,1196032
1198080,1457.69,0.07338867,0.6904307007789612,10.358833,973.15551772,585,0.00616105,3952.8434772491455,2.779436,-0.003437254,268,1198080
1200128,1470.88,0.0340332,0.6581893861293793,11.638933,983.08383498,586,0.0032258965,3960.4644808769226,2.785788,-0.002590156,277,1200128
1202176,1485.24,0.043847658,0.6801400780677795,12.36609,994.44087343,587,0.0045480556,3967.8362970352173,2.789415,-0.0006990415,279,1202176
1204224,1485.24,0.045703124,0.7065216600894928,12.210638,995.17519699,588,0.0040530353,3975.1516482830048,2.7848914,-0.006943752,280,1204224
1206272,1485.24,0.053857423,0.6309057474136353,12.66548,995.8859488500001,589,0.004572983,3982.4430651664734,2.773379,-0.0026560891,277,1206272
1208320,1485.24,0.10087891,0.542037159204483,9.721042,994.4193188200001,590,0.008771083,3989.8360302448273,2.7751224,-0.001088863,265,1208320
1210368,1485.24,0.054638673,0.6660137176513672,13.393972,995.0778876299999,591,0.0046605393,3997.540429830551,2.7860687,-0.0041548153,284,1210368
1212416,1485.24,0.03769531,0.5609888434410095,13.2255125,994.6912495599998,592,0.0037719817,4004.739878177643,2.7876458,-0.0025558898,286,1212416
1214464,1467.72,0.061816406,0.6690223217010498,18.255281,981.52140365,593,0.0052054264,4011.884970188141,2.7827322,-0.0025871927,286,1214464
1216512,1467.03,0.020410156,0.8930175006389618,5.562272,981.33200787,594,0.002346706,4019.0242023468018,2.7841964,-0.00212126,285,1216512
1218560,1451.1,0.048876952,0.8289478272199631,12.581667,971.0560093999999,595,0.003742726,4026.194823026657,2.7888694,-0.004766238,288,1218560
1220608,1438.21,0.03310547,0.6888603568077087,25.126598,961.6509770900001,596,0.00301219,4033.2943997383118,2.7893674,-0.0021614055,283,1220608
1222656,1453.89,0.036474608,0.6435356736183167,12.352276,973.29878102,597,0.0031493339,4040.5314865112305,2.7901454,-0.0025487293,279,1222656
1224704,1453.89,0.054248046,0.6534369885921478,12.209977,973.0945221200001,598,0.0044290153,4047.849941968918,2.784689,-0.0019662322,282,1224704
1226752,1473.78,0.0496582,0.5736120939254761,12.335486,986.244275,599,0.004676253,4055.101760149002,2.7805583,-0.0027489008,277,1226752
