approxkl,policy_loss,time_elapsed,fps,total_timesteps,ep_len_mean,policy_entropy,clipfrac,explained_variance,n_updates,serial_timesteps,value_loss,ep_reward_mean
0.004042438,-0.0016708045,361.29027795791626,513,215040,1840.7,1.9068956,0.044140626,0.49960243701934814,105,215040,2.6579328,500.6475054899999
0.005130926,-0.004100339,365.2761261463165,524,217088,1858.07,1.8955148,0.060058594,0.43598949909210205,106,217088,2.472295,507.6048467299999
0.00307984,-0.0018555388,369.18350863456726,544,219136,1870.6,1.8835132,0.029541016,0.6057299673557281,107,219136,3.8701832,513.76249069
0.0024896462,-0.0018130107,372.9451575279236,600,221184,1877.28,1.8796742,0.022314453,0.6035315990447998,108,221184,4.297063,516.98484449
0.0039531332,-0.0037780567,376.357036113739,601,223232,1902.92,1.8765066,0.04536133,0.45314836502075195,109,223232,6.4239607,530.36193459
0.0033362985,-0.0043589002,379.7606222629547,597,225280,1907.11,1.8755777,0.03793945,0.5883611142635345,110,225280,3.1119204,533.2343978199999
0.0045809103,-0.0032464962,383.18664717674255,597,227328,1922.61,1.8706977,0.052685548,0.5070600211620331,111,227328,3.649762,541.2013922299998
0.0038755764,-0.003245484,386.61260056495667,605,229376,1936.63,1.8614877,0.044921875,0.6083085834980011,112,229376,3.9895177,548.9031836199998
0.004572031,-0.0010293305,389.99557065963745,560,231424,1947.12,1.8674958,0.04892578,0.5294598042964935,113,231424,4.1781225,556.37027281
0.0020470617,-0.0010825784,393.6483881473541,570,233472,1952.46,1.8796492,0.020410156,0.6038428544998169,114,233472,3.4334037,562.3534677299999
0.0051580453,-0.003624299,397.24107670783997,560,235520,1955.84,1.8788488,0.061621092,0.4983386993408203,115,235520,3.2673488,568.36210805
0.0035560038,-0.0026084683,400.89380264282227,541,237568,1944.55,1.8688091,0.035351563,0.5347157716751099,116,237568,6.0992923,573.9660403299999
0.0019247193,-0.0010793536,404.67752170562744,590,239616,1942.55,1.8660848,0.013867187,0.6908847987651825,117,239616,3.2674174,578.83836191
0.004222151,-0.003950632,408.14901471138,602,241664,1942.55,1.8580691,0.04941406,0.6681822538375854,118,241664,3.6873074,584.15447254
0.0035429988,-0.0020658993,411.55072259902954,587,243712,1942.55,1.8537693,0.042675782,0.6404308974742889,119,243712,3.6450152,588.7376161999999
0.0039209924,-0.0018604274,415.03701281547546,586,245760,1942.55,1.8548559,0.04194336,0.6652927100658417,120,245760,4.676387,594.97085426
0.0065245256,-0.0050723627,418.5310688018799,503,247808,1932.13,1.8466465,0.08544922,0.5666800737380981,121,247808,2.9623492,595.38116367
0.0030715128,-0.0009338729,422.6003656387329,524,249856,1921.45,1.8462843,0.02998047,0.6575419306755066,122,249856,5.3696527,598.60444798
0.0030176688,-0.0014104974,426.50311851501465,523,251904,1921.45,1.8544779,0.03100586,0.6561001539230347,123,251904,3.9934661,603.4930942400001
0.0043996093,-0.0025539757,430.4126453399658,538,253952,1912.39,1.8580017,0.05263672,0.7345130145549774,124,253952,4.394541,604.65936377
0.0030877725,-0.0028526788,434.218621969223,536,256000,1903.55,1.8616302,0.032958984,0.6763252019882202,125,256000,6.158078,610.9790038599999
0.0058431565,-0.0058040703,438.0412347316742,505,258048,1899.59,1.8604767,0.069042966,0.6466737985610962,126,258048,4.965766,614.4905677099999
0.0023208333,-0.0013861788,442.0938014984131,535,260096,1885.96,1.8543698,0.019628907,0.6531462967395782,127,260096,7.182003,618.24156331
0.004480816,-0.0037671546,445.91927576065063,525,262144,1847.11,1.8466946,0.04863281,0.6742320358753204,128,262144,8.547536,614.35927872
0.004265154,-0.005630164,449.81496000289917,524,264192,1822.03,1.8402103,0.04560547,0.7104048728942871,129,264192,5.64172,611.82964601
0.004121062,-0.0030773333,453.72318601608276,529,266240,1801.01,1.8298051,0.041650392,0.6908581852912903,130,266240,6.4383254,611.30549905
0.0055879313,-0.0005807316,457.59322214126587,478,268288,1798.64,1.818223,0.06962891,0.7760480493307114,131,268288,3.8712807,615.4060343799999
0.0035892099,-0.0026647057,461.87419033050537,536,270336,1779.29,1.8266723,0.0418457,0.63649120926857,132,270336,6.8648286,615.9410861599999
0.0042872266,-0.003864675,465.69581294059753,522,272384,1775.71,1.8316177,0.05239258,0.7737883478403091,133,272384,3.6351326,618.47226295
0.0042153997,-0.0011150958,469.6177966594696,460,274432,1775.71,1.835393,0.049707033,0.638106107711792,134,274432,4.2710276,622.90120848
0.00395378,4.9727154e-05,474.067262172699,474,276480,1775.35,1.8417642,0.0453125,0.7880871444940567,135,276480,3.5283425,626.76393062
0.004575632,-0.0040109046,478.38136863708496,563,278528,1775.35,1.8520777,0.053271484,0.6826058328151703,136,278528,5.11905,631.7264241899998
0.0033321872,-0.0017332729,482.0143778324127,561,280576,1775.35,1.858021,0.03671875,0.6811733245849609,137,280576,4.8316407,636.4042432799998
0.0057375142,-0.0048182746,485.66408014297485,536,282624,1775.35,1.85554,0.068164065,0.7347007393836975,138,282624,3.926501,640.57861926
0.004913305,-0.00083787774,489.48097109794617,566,284672,1775.35,1.8413264,0.057128906,0.7468083202838898,139,284672,4.0830145,644.69155727
0.0042351363,0.00036835702,493.09610629081726,557,286720,1775.35,1.8392293,0.048779298,0.7275879979133606,140,286720,4.7311897,649.6305175900001
0.0065091,-0.0049647386,496.7672805786133,570,288768,1775.35,1.828545,0.07841797,0.7699736505746841,141,288768,4.1129503,654.63574622
0.0022988783,-0.00095659745,500.3551471233368,551,290816,1765.43,1.8300415,0.020361328,0.6869824528694153,142,290816,8.313795,660.1925929100001
0.004206477,-0.0002542263,504.07195472717285,530,292864,1756.23,1.8255808,0.046289064,0.7781554311513901,143,292864,5.3843164,660.87479929
0.004598752,-0.0030528486,507.93212509155273,625,294912,1732.18,1.831727,0.0515625,0.7347925901412964,144,294912,6.33581,659.29691435
0.0030656098,-0.00014856814,511.2090094089508,631,296960,1712.36,1.8326175,0.029443359,0.6060000658035278,145,296960,7.7979484,659.0381937399999
0.002449139,-0.002185296,514.4519896507263,615,299008,1692.06,1.8283775,0.023144532,0.5717547535896301,146,299008,9.764589,658.5129610399999
0.003774501,-0.0035176252,517.7808692455292,627,301056,1675.71,1.8327538,0.0440918,0.7044084668159485,147,301056,7.977971,660.10255923
0.004192059,-0.0034440793,521.0457382202148,621,303104,1662.14,1.8348614,0.046533205,0.6931918263435364,148,303104,7.929124,662.58494594
0.0040498953,-0.0004298693,524.3401505947113,628,305152,1651.17,1.8313732,0.039892577,0.6284480094909668,149,305152,5.586856,661.6416915399999
0.005099695,-0.0027660548,527.5972349643707,592,307200,1629.07,1.8353183,0.058154296,0.6321650445461273,150,307200,8.281841,659.7121243999999
0.008633491,-0.0019615716,531.0564222335815,623,309248,1629.07,1.8450899,0.11240234,0.6712824404239655,151,309248,5.268029,664.1245527199999
0.0030133498,-0.0015694078,534.3417725563049,614,311296,1598.63,1.8493665,0.032324217,0.6432568728923798,152,311296,11.919752,663.71059914
0.0036687471,-0.003568596,537.6753540039062,627,313344,1598.63,1.8590097,0.039746094,0.6424061059951782,153,313344,6.042788,667.9835212700001
0.0056976783,-0.004472011,540.9411149024963,629,315392,1574.7,1.8697271,0.06381836,0.7086491286754608,154,315392,8.750561,665.19082757
0.003992624,-0.0020958607,544.1971051692963,606,317440,1518.64,1.8813566,0.04584961,0.6652679741382599,155,317440,14.580696,654.1235353
0.0042284178,9.4971576e-05,547.5759508609772,591,319488,1475.55,1.8856701,0.050488282,0.7364782392978668,156,319488,10.04505,643.51492802
0.0043979157,-0.0040471973,551.039769411087,578,321536,1416.36,1.8896862,0.049316406,0.6715724468231201,157,321536,15.313307,627.72697606
0.0017289927,-0.0022111288,554.5787169933319,603,323584,1391.72,1.8909969,0.015136719,0.708914577960968,158,323584,7.925311,620.4901902199999
0.0027729284,-0.00062952435,557.9746961593628,610,325632,1332.88,1.8955959,0.029003907,0.524335116147995,159,325632,20.128248,596.0397229499999
0.0041438555,-0.005430986,561.3313117027283,608,327680,1271.52,1.9093148,0.046142578,0.5801292061805725,160,327680,16.907131,572.09542161
0.002639402,-0.0011158937,564.6980862617493,615,329728,1245.27,1.9185892,0.027148437,0.6411095857620239,161,329728,16.088924,564.6890895299999
0.0041929474,-0.00199283,568.0279099941254,614,331776,1187.55,1.9343183,0.0440918,0.587951123714447,162,331776,19.0468,539.6674603699998
