explained_variance,time_elapsed,value_loss,ep_len_mean,serial_timesteps,fps,ep_reward_mean,policy_loss,total_timesteps,n_updates,approxkl,clipfrac,policy_entropy
0.8099644929170609,289.65279722213745,15.194181,1011.77,157696,573,608.82448352,-0.0016682304,157696,77,0.0030890354,0.030615235,3.6096053
0.8170912861824036,293.22224593162537,14.359019,1011.77,159744,585,609.91008953,-0.0044237967,159744,78,0.0026602922,0.027001953,3.6026256
0.8843222707509995,296.7226343154907,12.924214,1029.35,161792,569,621.03132755,-0.0062937113,161792,79,0.004667455,0.05234375,3.599196
0.9205935224890709,300.32013964653015,8.086473,1043.74,163840,580,632.3135687,-0.0062367264,163840,80,0.0032932847,0.037158202,3.591826
0.9406253546476364,303.848516702652,4.0770545,1056.84,165888,588,642.64124078,-0.004050173,165888,81,0.0044812886,0.055419922,3.5825295
0.9137370064854622,307.32666397094727,8.105638,1073.87,167936,564,654.78155068,-0.003514221,167936,82,0.0040000556,0.04838867,3.569783
0.8493346869945526,310.9534492492676,13.206082,1091.31,169984,577,668.4859962300001,-0.0046279114,169984,83,0.004458417,0.047949217,3.5573304
0.902951717376709,314.50166416168213,12.683682,1112.36,172032,544,684.20126454,-0.0049213096,172032,84,0.006353475,0.060791016,3.5502427
0.9131996333599091,318.2599790096283,10.24779,1115.09,174080,505,686.60490637,-0.008460986,174080,85,0.0054033184,0.060595702,3.5542903
0.9025361686944962,322.3082854747772,8.661782,1114.86,176128,557,687.2432377,-0.0038467199,176128,86,0.0030267953,0.029833984,3.550743
0.8623518943786621,325.98020792007446,17.072384,1118.58,178176,560,690.6644090500001,-0.0031066819,178176,87,0.0037475124,0.042822264,3.5569377
0.8423145413398743,329.6325352191925,12.920319,1134.37,180224,557,701.4896381200001,-0.0042504393,180224,88,0.0043315385,0.05,3.5658498
0.8890970125794411,333.3068115711212,12.241688,1149.52,182272,552,713.2142124100001,-0.0015845767,182272,89,0.0045165587,0.054052733,3.5738254
0.9010389372706413,337.0134394168854,9.779667,1166.81,184320,569,725.8203383700003,-0.0030655942,184320,90,0.0032105322,0.034423828,3.5742157
0.8382209092378616,340.6124360561371,9.357644,1176.17,186368,557,731.4184839899999,-0.001291543,186368,91,0.005482219,0.064208984,3.572979
0.8416480273008347,344.28348326683044,9.288107,1191.98,188416,579,741.6441917800001,-0.0020086006,188416,92,0.0025609748,0.02470703,3.579949
0.9527480714023113,347.8209023475647,4.0426497,1195.5,190464,574,744.0094248,-0.005199497,190464,93,0.0031257602,0.03666992,3.578569
0.801870584487915,351.3866653442383,15.663793,1213.1,192512,578,756.1923521900001,-0.0032772839,192512,94,0.0018199047,0.018310547,3.582983
0.7949454635381699,354.92733573913574,15.34184,1228.54,194560,562,767.0704681700001,-0.004741192,194560,95,0.0032222297,0.032568358,3.5880642
0.8911358639597893,358.57118368148804,16.27972,1245.98,196608,535,780.01360191,-0.0026553993,196608,96,0.0033525568,0.03959961,3.590102
0.838566243648529,362.39388966560364,11.767176,1260.87,198656,578,790.3122282100001,-0.002529042,198656,97,0.0040339082,0.044433594,3.5999389
0.8728696554899216,365.9319202899933,10.169424,1278.27,200704,584,802.4937892299998,-0.0021128128,200704,98,0.002220774,0.023535157,3.6046188
0.8931381404399872,369.4374279975891,12.002402,1294.11,202752,472,814.96522934,-0.002047669,202752,99,0.003915789,0.047607422,3.6054993
0.9022449925541878,373.7734167575836,9.184339,1309.82,204800,543,826.10471179,-0.002700822,204800,100,0.0035028562,0.039501954,3.60104
0.9108324646949768,377.5406503677368,9.440836,1325.06,206848,534,837.2905093700002,-0.006102467,206848,101,0.0041832253,0.04848633,3.6069686
0.8477986454963684,381.37364959716797,10.359283,1341.0,208896,533,848.4227533300003,-0.0027893372,208896,102,0.004239467,0.04799805,3.6108658
0.8392379879951477,385.21214389801025,20.611504,1354.69,210944,536,858.2819350400002,-0.004816167,210944,103,0.00383784,0.04741211,3.6041863
0.8883389830589294,389.03027272224426,13.026607,1368.34,212992,554,866.9183331200002,-0.0027190216,212992,104,0.0028182399,0.02734375,3.617723
0.8953137919306755,392.72394156455994,8.036979,1365.24,215040,566,864.31782607,-0.004012019,215040,105,0.0030002699,0.03359375,3.625515
0.8865760341286659,396.339558839798,9.883346,1382.29,217088,512,875.3471028499999,-0.002884303,217088,106,0.0045715105,0.054003906,3.6258693
0.8795240893959999,400.33943796157837,18.276657,1396.26,219136,559,885.7692148399999,-0.009028325,219136,107,0.0050372826,0.059912108,3.633161
0.8931882977485657,403.99753880500793,7.8967323,1408.87,221184,518,895.05735232,-0.00735361,221184,108,0.0049160803,0.063964844,3.652537
