n_updates,policy_loss,value_loss,total_timesteps,approxkl,serial_timesteps,time_elapsed,ep_len_mean,clipfrac,explained_variance,ep_reward_mean,policy_entropy,fps
115,-0.0012800104,5.083565,235520,0.0030516924,235520,541.8857214450836,580.23,0.035791017,0.8320166170597076,285.36080297,1.8143698,458
116,-0.0057344055,6.928492,237568,0.004592444,237568,546.3525977134705,565.62,0.055029295,0.7901720851659775,278.37969011,1.8132296,442
117,-0.0009904283,6.7847342,239616,0.0017885293,239616,550.9825632572174,537.6,0.013525391,0.7496716380119324,262.39940422,1.8114364,477
118,0.0012422232,7.791274,241664,0.0050923484,241664,555.2720341682434,536.14,0.05629883,0.7244516611099243,262.80386817,1.810036,469
119,-0.00026905004,7.196019,243712,0.0024383718,243712,559.634387254715,526.56,0.02446289,0.7931529879570007,257.92121545,1.8069443,466
120,-0.0018246779,7.5857162,245760,0.0023980825,245760,564.0272564888,521.59,0.022949219,0.7957972884178162,255.10342407,1.8118,472
121,-0.0024147383,8.905625,247808,0.0037089926,247808,568.3611664772034,517.44,0.044384766,0.7732904553413391,252.97276856,1.8120201,486
122,-0.0023378937,9.970022,249856,0.004837527,249856,572.5694324970245,507.09,0.05390625,0.8059967905282974,247.50644304000002,1.8188652,483
123,-0.003992119,7.95698,251904,0.0034123487,251904,576.8068201541901,498.03,0.037158202,0.8289714306592941,243.07310197000004,1.8250182,477
124,-0.0017979722,8.252916,253952,0.003710939,253952,581.097198009491,502.86,0.044384766,0.7762840092182159,245.46511626,1.8345282,455
125,-0.0024057168,8.9897,256000,0.002178254,256000,585.5954692363739,503.01,0.018115234,0.7945258021354675,245.47262961,1.836705,473
126,-0.0056506437,9.439944,258048,0.0025509524,258048,589.9193646907806,499.73,0.024023438,0.6948584020137787,243.15910165999995,1.832585,477
127,-0.0017752331,7.630374,260096,0.0038418465,260096,594.2066595554352,512.97,0.044384766,0.7789251506328583,250.84136590999998,1.8292859,476
128,-0.0013652972,7.314925,262144,0.0030155508,262144,598.5079367160797,520.03,0.029101562,0.8335995376110077,254.61029261,1.8304685,480
129,-0.001221673,7.3683157,264192,0.0029425402,264192,602.7716510295868,531.39,0.029785156,0.8286834210157394,261.05273874,1.834272,470
130,-0.001949879,10.138988,266240,0.0033628778,266240,607.1206474304199,539.82,0.035107423,0.7041492164134979,265.35990998,1.840449,480
