value_loss,approxkl,explained_variance,serial_timesteps,time_elapsed,fps,total_timesteps,n_updates,policy_loss,clipfrac,policy_entropy,ep_reward_mean,ep_len_mean
14.235426,0.0043723183,0.7811755836009979,571392,1251.0354225635529,436,571392,279,-0.004002395,0.052246094,3.4945254,960.9623568700002,1453.49
12.3248005,0.0054800482,0.8326822817325592,573440,1255.728596687317,385,573440,280,-0.0023855902,0.0647461,3.4986873,961.1701155300001,1453.49
20.614897,0.00686439,0.8655102401971817,575488,1261.0457224845886,410,575488,281,-0.005144742,0.072705075,3.5066543,945.59927731,1431.35
11.765559,0.008900342,0.7683275490999222,577536,1266.0294387340546,427,577536,282,-0.0043106214,0.10405274,3.5203793,945.53825938,1431.35
15.5954685,0.005002583,0.8510088473558426,579584,1270.8163709640503,420,579584,283,-0.002488163,0.05366211,3.528307,931.8263890399999,1413.3
15.760065,0.005182526,0.8617796152830124,581632,1275.6906306743622,417,581632,284,-0.0040113,0.064453125,3.5398128,932.39594055,1412.24
12.582495,0.0056278347,0.7901935428380966,583680,1280.5976030826569,424,583680,285,-0.005522494,0.062353514,3.5394864,932.4166663,1412.24
15.234545,0.0039025017,0.7658635675907135,585728,1285.4255352020264,419,585728,286,-0.0019843192,0.0440918,3.538206,932.7683248899999,1412.24
17.387356,0.004345314,0.8540052622556686,587776,1290.31276345253,435,587776,287,-0.0033603818,0.04741211,3.5268345,920.62847905,1394.32
13.783289,0.0030242219,0.7940373569726944,589824,1295.0139281749725,420,589824,288,-0.0016908934,0.031445313,3.5144563,920.6780219799999,1394.32
15.767192,0.0062887454,0.8147261738777161,591872,1299.8837366104126,385,591872,289,-0.006409414,0.06865235,3.5146935,907.9641225199999,1375.88
16.785517,0.0035976856,0.8573060184717178,593920,1305.2000188827515,415,593920,290,-0.0030221671,0.040966798,3.5191276,901.62864527,1365.34
11.533747,0.0034354092,0.8146480470895767,595968,1310.131507396698,402,595968,291,-0.0029445475,0.03300781,3.5209267,915.1677679700001,1383.25
12.496245,0.003248576,0.7680445909500122,598016,1315.2229478359222,439,598016,292,-0.0021609005,0.03696289,3.522157,927.03117376,1399.51
5.3506136,0.0029101316,0.9241886734962463,600064,1319.8794634342194,427,600064,293,-0.0065645827,0.031201173,3.5280712,915.43172258,1383.57
12.566648,0.0052901222,0.7966741919517517,602112,1324.6700580120087,425,602112,294,-0.0025534444,0.05234375,3.5322216,927.50266584,1400.15
12.023255,0.004740144,0.8182666003704071,604160,1329.4799709320068,430,604160,295,-0.00660374,0.05214844,3.5361392,927.65402598,1400.15
26.910547,0.0037277497,0.7564530670642853,606208,1334.2369496822357,403,606208,296,-0.0067164227,0.043408204,3.5415783,907.5804344299999,1372.11
17.281008,0.0052128453,0.7713013738393784,608256,1339.3144743442535,412,608256,297,-0.0022469303,0.064208984,3.5611904,894.4521722699999,1355.48
9.9636965,0.003353078,0.7721408009529114,610304,1344.2769393920898,423,610304,298,0.000103476705,0.032666016,3.5721707,894.1663060799999,1355.48
10.295692,0.006528221,0.7814390361309052,612352,1349.1149950027466,425,612352,299,-0.0056549706,0.07709961,3.5756316,893.51768125,1355.48
7.9754386,0.004290822,0.8736959397792816,614400,1353.9331901073456,420,614400,300,-0.0041772,0.04799805,3.5827534,886.4630694900001,1345.5
11.401688,0.004007634,0.7686294615268707,616448,1358.8119604587555,403,616448,301,-0.0028239838,0.04506836,3.5889325,890.03326367,1351.27
7.7638373,0.00410493,0.8471953123807907,618496,1363.883799314499,460,618496,302,-0.0032792576,0.047216795,3.5887876,896.07921335,1360.65
10.807264,0.004306797,0.8259652554988861,620544,1368.3344168663025,459,620544,303,-0.0035178787,0.04921875,3.5856876,894.76561063,1360.65
11.821141,0.002794907,0.8009312748908997,622592,1372.792552471161,440,622592,304,-0.0019169081,0.026953125,3.5751405,893.9443265699999,1360.65
11.959536,0.005817014,0.7975622564554214,624640,1377.445811510086,429,624640,305,-0.005708139,0.07050781,3.5689938,895.6230000800001,1360.65
14.712489,0.0056784875,0.7424214482307434,626688,1382.2102251052856,438,626688,306,-0.0047560344,0.07050781,3.5660298,896.1393273900001,1360.65
14.018764,0.007817566,0.7078428268432617,628736,1386.8853611946106,437,628736,307,-0.0012987315,0.07543945,3.5618682,897.0888697,1360.65
21.380302,0.005109657,0.8143615871667862,630784,1391.567435503006,437,630784,308,-0.005188833,0.05595703,3.559688,909.1108116600002,1378.47
10.563197,0.0077111823,0.716578871011734,632832,1396.2460279464722,419,632832,309,-0.002356282,0.09907226,3.5646694,908.3860080200002,1378.47
13.0099535,0.005150444,0.6574738323688507,634880,1401.131516456604,413,634880,310,4.4712495e-05,0.0574707,3.5848033,918.7466810899999,1394.04
