policy_loss,value_loss,explained_variance,time_elapsed,clipfrac,ep_len_mean,approxkl,ep_reward_mean,policy_entropy,fps,n_updates,total_timesteps,serial_timesteps
-0.0025423593,1.6191208,0.11828231811523438,304.9940462112427,0.074804686,1313.08,0.006042079,308.95351131,1.5400952,475,74,151552,151552
-0.0031275272,1.5469267,0.048525094985961914,309.30516600608826,0.07304688,1331.5,0.0056346175,314.81828423999997,1.5525751,456,75,153600,153600
-0.0025315657,1.680877,0.04170691967010498,313.7958176136017,0.066552736,1350.09,0.0052719815,320.52910458,1.5565112,478,76,155648,155648
-0.000107991465,1.7707361,0.07728707790374756,318.0760803222656,0.029003907,1368.38,0.003108297,326.34700845,1.553869,478,77,157696,157696
-0.003692669,1.7583344,0.20238810777664185,322.35427713394165,0.059912108,1386.71,0.004828158,332.46542446,1.5576078,467,78,159744,159744
-0.0027506938,2.0067463,0.1799737811088562,326.7379288673401,0.053808592,1404.93,0.004784431,338.96610302,1.5596147,461,79,161792,161792
-0.002196636,1.8198779,0.20088088512420654,331.17324686050415,0.05024414,1423.05,0.004232242,345.5260758699999,1.5537115,478,80,163840,163840
-0.00014673604,1.889035,0.23171228170394897,335.44965386390686,0.029492188,1441.95,0.0028568588,351.98902359999994,1.5543513,459,81,165888,165888
-0.0028825835,2.0470083,0.1798151135444641,339.90338039398193,0.0597168,1460.02,0.0049835322,358.66550893999994,1.5658686,479,82,167936,167936
-0.0026820018,2.3219194,0.19683629274368286,344.1772372722626,0.06196289,1478.26,0.00537521,365.5810296299999,1.5672585,454,83,169984,169984
-0.0012109956,2.43791,0.17938250303268433,348.6856327056885,0.04453125,1496.4,0.0039280495,372.27691792999997,1.5612743,464,84,172032,172032
-0.001307492,2.6221485,0.19345510005950928,353.09578227996826,0.047558594,1514.89,0.004032203,379.43894212999993,1.5610546,468,85,174080,174080
-0.0031927992,2.7169988,0.21731477975845337,357.47222089767456,0.07172851,1533.04,0.0057315556,386.6795219999999,1.5705898,479,86,176128,176128
-0.0021740596,3.2978299,0.28167951107025146,361.7482419013977,0.058447264,1551.48,0.004753526,394.44952185999995,1.5875471,467,87,178176,178176
0.0003976634,2.8091753,0.29089856147766113,366.1257722377777,0.034960937,1569.75,0.0034062024,402.58122776,1.5866834,473,88,180224,180224
-0.0019000669,3.215197,0.27341604232788086,370.44937658309937,0.04248047,1587.68,0.0038680881,410.17050123999996,1.5749843,431,89,182272,182272
-0.0025913552,3.2267394,0.3975619077682495,375.1937458515167,0.03857422,1602.22,0.0035629522,416.39343197,1.5648869,450,90,184320,184320
-0.0002241516,6.1895227,0.29204261302948,379.73603081703186,0.02109375,1632.79,0.002231238,431.09075672,1.5572443,485,91,186368,186368
-0.0022416557,4.3689146,0.4258122444152832,383.9584994316101,0.030517578,1646.28,0.0032612134,438.37026475,1.5531516,479,92,188416,188416
-0.0013198461,3.942655,0.4029555320739746,388.22681617736816,0.02319336,1664.3,0.002404301,446.88729306,1.5515559,477,93,190464,190464
-0.0021788685,3.238198,0.33205103874206543,392.5128610134125,0.05307617,1682.31,0.0043808427,454.76978353,1.5463308,458,94,192512,192512
-0.0012207275,2.6442866,0.5165480077266693,396.9760377407074,0.039257813,1693.14,0.0035543342,459.88681067000005,1.5489769,469,95,194560,194560
-0.0046317866,4.597527,0.3334203362464905,401.34058356285095,0.058544923,1710.21,0.004844012,468.40091736999995,1.5492903,472,96,196608,196608
-0.0027316336,4.5883164,0.43382036685943604,405.6714389324188,0.052197266,1728.32,0.0043928763,477.29437565999996,1.5486231,478,97,198656,198656
-0.0029440415,3.3016076,0.5185237228870392,409.9503872394562,0.07084961,1741.92,0.0060184,484.21276753999996,1.551251,474,98,200704,200704
-0.0013748806,3.7658143,0.44555288553237915,414.2673635482788,0.056640625,1759.55,0.0047075315,492.42614141999996,1.5595472,492,99,202752,202752
-0.0003992825,5.0397506,0.5649691224098206,418.42395305633545,0.029443359,1779.29,0.0029301636,502.64630625000007,1.5609139,471,100,204800,204800
-0.0047324533,4.459252,0.38442462682724,422.7689116001129,0.049902342,1796.48,0.004246422,511.6818703400001,1.5579557,454,101,206848,206848
-0.0022894614,4.584751,0.45229917764663696,427.27762603759766,0.02607422,1812.53,0.002596113,520.6019697800001,1.554801,494,102,208896,208896
-0.0025582612,5.490609,0.41642045974731445,431.42028045654297,0.031054687,1828.15,0.0029794585,529.49220784,1.5542414,484,103,210944,210944
-0.0015630734,4.877213,0.42605656385421753,435.6455943584442,0.036132812,1842.27,0.0035022385,538.0918326000001,1.5476563,505,104,212992,212992
-0.0023885781,5.173924,0.4498520493507385,439.6954605579376,0.03725586,1857.5,0.0033427377,546.9515618300001,1.5390718,481,105,215040,215040
-0.0055360505,5.171588,0.48357152938842773,443.948912858963,0.061181642,1874.32,0.0048889583,556.3726063199999,1.5295779,484,106,217088,217088
-0.0026682545,6.109228,0.467143714427948,448.1799285411835,0.04472656,1887.27,0.0038538843,565.33815574,1.5255281,501,107,219136,219136
-0.0017790825,4.9616613,0.4734434485435486,452.26284885406494,0.02475586,1904.19,0.0027667282,574.4898404700001,1.5257685,493,108,221184,221184
-0.0025170986,8.336712,0.41901499032974243,456.4148814678192,0.03466797,1899.8,0.0032264744,579.6762067000001,1.5299133,485,109,223232,223232
-0.0010363,4.0205045,0.6045714914798737,460.63268399238586,0.050488282,1901.05,0.0044531925,582.35332538,1.5267216,486,110,225280,225280
-0.0016322171,7.260536,0.4882493019104004,464.84035897254944,0.024804687,1900.51,0.0026845068,590.26104968,1.5234687,486,111,227328,227328
-0.0022795831,5.122339,0.4731760025024414,469.0501322746277,0.05234375,1900.51,0.004482082,596.7583324599999,1.5314784,478,112,229376,229376
-0.00017473148,8.232258,0.45507901906967163,473.3311564922333,0.016308594,1873.34,0.0020333347,598.2831479399999,1.5327338,492,113,231424,231424
-0.00046041436,5.264768,0.4802144765853882,477.48794054985046,0.034814455,1873.34,0.0032551815,604.5765954799999,1.5277604,509,114,233472,233472
-0.006598418,6.171829,0.5113732814788818,481.50723528862,0.057617188,1848.2,0.004612359,603.5780752199998,1.5265495,487,115,235520,235520
-0.00092752726,4.063203,0.5527631938457489,485.711909532547,0.06801758,1839.47,0.005292295,605.0383730299999,1.5300096,486,116,237568,237568
-0.002752381,4.6636677,0.5714181363582611,489.92264771461487,0.057617188,1836.13,0.005099811,608.6468930999999,1.5257032,478,117,239616,239616
-0.002128362,4.3249464,0.5377055704593658,494.2063946723938,0.052441407,1836.13,0.004784439,614.59075576,1.5180817,447,118,241664,241664
-0.0017552711,7.375688,0.5120290815830231,498.785546541214,0.03466797,1823.84,0.0033101332,619.1071486799999,1.5105727,471,119,243712,243712
-0.0029478937,4.5100937,0.6352785527706146,503.1334071159363,0.071826175,1823.71,0.0061442177,624.75468009,1.5172873,509,120,245760,245760
-0.0060605016,3.130204,0.5293753445148468,507.15031933784485,0.055761717,1816.72,0.0047041127,626.80227913,1.526846,500,121,247808,247808
-0.001346423,4.183694,0.6168204843997955,511.2396366596222,0.046826173,1816.72,0.003970654,630.3789127399999,1.5327095,489,122,249856,249856
-0.0012696688,4.510279,0.5270310342311859,515.4202847480774,0.021533202,1816.72,0.0025267617,635.3700969899999,1.5378323,486,123,251904,251904
-0.006271084,7.953166,0.5558764636516571,519.6347498893738,0.052685548,1810.8,0.0045716194,641.64542904,1.5371383,476,124,253952,253952
-0.00263327,4.38428,0.5377492010593414,523.9338290691376,0.029638672,1810.8,0.002941252,645.92424872,1.53624,482,125,256000,256000
