approxkl,time_elapsed,clipfrac,policy_entropy,total_timesteps,serial_timesteps,fps,value_loss,policy_loss,n_updates,explained_variance,ep_reward_mean,ep_len_mean
0.003262882,694.0382316112518,0.025048828,1.6100266,321536,321536,455,12.794673,-0.002529086,157,0.7454120814800262,509.38689043,1054.11
0.003955624,698.5352804660797,0.037402343,1.6098778,323584,323584,469,11.675474,-0.0051484983,158,0.669677734375,492.48217578000003,1015.58
0.0058645867,702.8972792625427,0.06523438,1.6103613,325632,325632,484,6.6832023,-0.0028985173,159,0.7955754995346069,486.98086796,1003.01
0.006337217,707.1242954730988,0.071875,1.6011168,327680,327680,479,22.441738,-0.0013169813,160,0.6366186738014221,450.2158818500001,921.04
0.0034338168,711.3983588218689,0.0362793,1.5951754,329728,329728,475,10.418719,-0.0012272282,161,0.8227569758892059,432.29818014000006,880.54
0.003619052,715.7073063850403,0.039794922,1.601126,331776,331776,458,12.764833,-0.0049950248,162,0.7448405623435974,413.5003818,840.12
0.0056479527,720.1734142303467,0.06870117,1.607683,333824,333824,499,4.2194967,-0.003904717,163,0.8762030676007271,404.78552150999997,821.1
0.004744976,724.2777073383331,0.055761717,1.6128887,335872,335872,508,11.905828,-0.0027228177,164,0.80270616710186,375.6041684199999,758.44
0.0034636133,728.3080441951752,0.037841797,1.6233366,337920,337920,506,16.291075,-0.0030911092,165,0.7611924856901169,339.60213222,682.17
0.0051247035,732.3527462482452,0.061279297,1.6357788,339968,339968,480,18.209599,-0.0039356826,166,0.6688320636749268,318.06890101000005,639.73
0.0026845862,736.6146116256714,0.026513672,1.6481985,342016,342016,501,15.3496475,-0.0024269088,167,0.7645949870347977,305.72691298,614.06
0.004003499,740.7012848854065,0.046923827,1.6580594,344064,344064,498,15.637732,-0.00078808574,168,0.7212868630886078,288.94950489999997,581.06
0.0040414226,744.8129374980927,0.045410156,1.6590649,346112,346112,494,13.354933,-0.0035342858,169,0.7854308038949966,278.81080033,560.19
0.0027017116,748.9516530036926,0.028222656,1.6558253,348160,348160,486,14.035833,-0.0018906675,170,0.7654291540384293,272.18994921,546.31
