ep_reward_mean,n_updates,serial_timesteps,ep_len_mean,value_loss,explained_variance,fps,approxkl,total_timesteps,policy_loss,policy_entropy,clipfrac,time_elapsed
1605.625442,84,172032,1625.7,20.20391,0.0036222338676452637,427,0.006980557,172032,-0.001843071,3.8306205,0.09213867,433.9288558959961
1613.4523448400003,85,174080,1633.32,19.647766,0.05091369152069092,433,0.0042516887,174080,-0.004865028,3.8537076,0.049316406,438.7185592651367
1600.5059720800002,86,176128,1619.87,22.075542,0.8145366460084915,390,0.0026069353,176128,-0.0018933795,3.873064,0.026611328,443.4482717514038
1600.85333277,87,178176,1619.87,20.196339,0.008856892585754395,392,0.0015124755,178176,-0.0006079932,3.875,0.013867187,448.6961908340454
1600.95010023,88,180224,1619.87,20.275478,-0.00010454654693603516,395,0.0022546104,180224,-0.0006503542,3.8834195,0.020068359,453.91629552841187
1620.53394875,89,182272,1639.48,20.227192,0.0007172822952270508,423,0.0036984992,182272,-0.0020742828,3.904541,0.042236328,459.09842681884766
1640.10543147,90,184320,1659.08,20.342012,-0.006208181381225586,418,0.0014883329,184320,-0.00078926515,3.923406,0.010351563,463.9356589317322
1649.2755272900001,91,186368,1667.89,20.335438,-0.002315521240234375,423,0.0035222308,186368,-0.0021975734,3.937512,0.036621094,468.8297460079193
1650.6971925300002,92,188416,1668.7,21.624233,0.8036720901727676,392,0.0009598673,188416,-0.000998443,3.951414,0.007373047,473.67010283470154
1670.24179711,93,190464,1688.29,20.342127,-0.002666950225830078,426,0.0042562326,190464,-0.0014995233,3.9580731,0.050390624,478.8850643634796
1689.3978775000003,94,192512,1707.47,20.328918,-0.001421809196472168,428,0.0035850338,192512,-0.002962667,3.9537876,0.038720705,483.6889579296112
1685.1363413699999,95,194560,1702.67,21.402418,0.8064907491207123,359,0.003164896,194560,-0.0027754563,3.9549127,0.03203125,488.4695634841919
1686.4293188599997,96,196608,1703.17,21.297031,0.8009890019893646,374,0.0026731822,196608,-0.0012296976,3.9526284,0.017480468,494.171418428421
1686.5576849599997,97,198656,1703.17,19.923862,0.00948864221572876,407,0.005360713,198656,-0.0027064655,3.956987,0.0671875,499.6344952583313
1687.0041121199997,98,200704,1703.17,19.952446,0.005344271659851074,429,0.0021539968,200704,-0.002017332,3.9843335,0.02236328,504.66353368759155
1687.2021630299998,99,202752,1703.38,1.9553063,0.9811733104288578,367,0.0014259518,202752,-0.0047623925,4.0098796,0.013671875,509.43498039245605
1687.47332596,100,204800,1703.38,20.175293,-0.003253340721130371,391,0.0022333066,204800,-0.0013194237,4.025523,0.022802735,515.003547668457
1687.5209197399997,101,206848,1703.38,19.990835,0.007336676120758057,413,0.0010869564,206848,-0.002465738,4.0338693,0.007910157,520.2363464832306
1669.60507421,102,208896,1684.61,21.418613,0.7814119458198547,363,0.003008029,208896,-0.0039086286,4.040822,0.03515625,525.1840205192566
1654.0277200800003,103,210944,1668.18,20.688251,0.8022998124361038,302,0.0037254721,210944,-0.00310413,4.035533,0.037060548,530.8258054256439
1655.6192019500002,104,212992,1669.64,21.354067,0.8356492966413498,350,0.0027488363,212992,-0.0019884864,4.0233717,0.024267578,537.5975503921509
1675.63902114,105,215040,1689.75,19.909496,0.008422255516052246,400,0.0030963754,215040,-0.0014226163,4.021803,0.03334961,543.4337496757507
1676.10324953,106,217088,1689.75,20.208477,-0.008766531944274902,424,0.002226182,217088,-0.0015711762,4.024715,0.020654297,548.5514757633209
1695.4328901099998,107,219136,1709.2,19.60799,0.03166818618774414,411,0.0023129852,219136,-0.00071832945,4.027642,0.01875,553.3807163238525
1698.0469982200002,108,221184,1711.48,20.957819,0.8061086237430573,311,0.0018124466,221184,-0.001998346,4.0275946,0.0146484375,558.3594448566437
1698.38696957,109,223232,1711.48,19.989346,0.005022704601287842,419,0.0031194882,223232,-0.0013025557,4.032564,0.03881836,564.9425501823425
1680.5346971999998,110,225280,1693.59,22.293364,0.8264331817626953,321,0.0024122337,225280,-0.0028526366,4.038088,0.020361328,569.8197550773621
1680.8820923099995,111,227328,1693.59,20.004345,0.014587044715881348,397,0.0028198787,227328,-0.002043093,4.038404,0.027148437,576.1947853565216
1688.7448899699998,112,229376,1701.66,1.1964537,0.9916561618447304,433,0.002016028,229376,-0.004804946,4.0512686,0.017822266,581.3423497676849
1657.4185074,113,231424,1669.79,28.747473,0.8626739978790283,253,0.0012550429,231424,-0.0036068987,4.0532327,0.008300781,586.0621693134308
1657.4852579699998,114,233472,1669.79,20.265522,-0.0063016414642333984,425,0.0015636403,233472,-0.00032596762,4.047476,0.0125488285,594.1480252742767
1677.37803642,115,235520,1689.73,20.192287,-0.0023081302642822266,425,0.0029607129,235520,-0.00085045723,4.046683,0.030761719,598.9603192806244
1677.3913070899998,116,237568,1689.73,20.101873,0.0031976699829101562,428,0.003047043,237568,-0.0017156971,4.05427,0.030419922,603.7761659622192
1677.51848824,117,239616,1689.73,20.59843,0.07524436712265015,410,0.0042726076,239616,-0.00251064,4.0589404,0.04892578,608.5572662353516
1677.33907385,118,241664,1689.73,20.021248,0.04137140512466431,383,0.0033247874,241664,-0.0010317079,4.0588717,0.034570314,613.5446178913116
1677.3660391500002,119,243712,1689.73,20.087399,0.007165491580963135,409,0.0031275079,243712,-0.0007154422,4.0561504,0.031201173,618.886031627655
1677.3426587899999,120,245760,1689.73,20.241055,0.000674128532409668,401,0.0055466196,245760,-0.0018759526,4.0639486,0.074365236,623.8828930854797
1677.00591715,121,247808,1689.73,18.358711,0.4155532121658325,429,0.0041168863,247808,-0.0056679975,4.064096,0.044921875,628.9823014736176
1690.63958591,122,249856,1703.1,20.222124,0.001085519790649414,424,0.002932457,249856,-0.0017310751,4.074662,0.034082033,633.7501194477081
1674.2110910600002,123,251904,1686.63,21.276743,0.8045446276664734,307,0.0029608747,251904,-0.002462035,4.087317,0.02866211,638.5805218219757
1656.5665156000002,124,253952,1668.76,22.197931,0.8173746466636658,338,0.0023239686,253952,-0.0035915035,4.0891404,0.02265625,645.2472403049469
1656.6012754399999,125,256000,1668.76,20.098194,0.005491077899932861,417,0.004854959,256000,-0.0032679208,4.0986986,0.060302734,651.2994537353516
1675.9645440000002,126,258048,1688.24,20.222914,0.0019739270210266113,409,0.0016108894,258048,-0.0010642431,4.1162124,0.012060547,656.204213142395
1693.2180858499999,127,260096,1705.88,0.8072702,0.9920476507395506,412,0.0028594742,260096,-0.0037111207,4.1169543,0.029492188,661.2111985683441
1693.2022942600001,128,262144,1705.88,19.227222,0.08970052003860474,426,0.0019037838,262144,-0.0015619358,4.120365,0.013378906,666.1766910552979
1693.1732993899998,129,264192,1705.88,20.215885,0.00475466251373291,421,0.002987209,264192,-0.0014792562,4.1229696,0.026464844,670.9815299510956
1693.15412303,130,266240,1705.88,19.75473,0.026236653327941895,399,0.00512654,266240,-0.0009779311,4.120376,0.062451173,675.8399622440338
1693.15434061,131,268288,1705.88,20.320942,0.0015413761138916016,432,0.0034039742,268288,-0.0010196732,4.1166573,0.03745117,680.9718899726868
1693.10121238,132,270336,1705.88,19.96034,0.023954331874847412,398,0.0032968596,270336,-0.002129436,4.1108427,0.03413086,685.7094264030457
1674.6060867200001,133,272384,1687.38,21.518583,0.8245282918214798,355,0.00074717775,272384,-0.00047246148,4.116021,0.005761719,690.8523271083832
1674.52792492,134,274432,1687.38,20.153793,0.006549358367919922,402,0.0032869969,274432,-0.002743073,4.1074514,0.03378906,696.6089520454407
1674.60732443,135,276480,1687.38,20.230274,0.0009472966194152832,398,0.0023883071,276480,-0.00057186675,4.1109295,0.025927734,701.7003796100616
1674.55903366,136,278528,1687.38,20.163662,-0.006738424301147461,422,0.0014828682,278528,-0.0004278954,4.1231833,0.0140625,706.8363914489746
1694.1484350899998,137,280576,1707.0,20.074083,0.006796658039093018,414,0.0034232128,280576,-0.003237857,4.1301813,0.034326173,711.6798474788666
1694.09265912,138,282624,1707.0,20.097311,0.007374703884124756,408,0.0032018374,282624,-0.0007839624,4.139273,0.034716796,716.6230607032776
1694.0384923299998,139,284672,1707.0,19.238628,0.06016659736633301,406,0.0018946005,284672,-0.0017019234,4.1500945,0.01928711,721.6366922855377
