policy_loss,serial_timesteps,fps,value_loss,explained_variance,n_updates,total_timesteps,approxkl,clipfrac,time_elapsed,policy_entropy,ep_reward_mean,ep_len_mean
-0.003780805,364544,560,8.48181,0.9583946391940117,178,364544,0.0025151256,0.028076172,695.2854990959167,5.7420187,1062.6977426400001,1390.25
-0.0044554593,366592,517,24.72435,0.9091535583138466,179,366592,0.0036070172,0.0440918,698.9367868900299,5.746823,1079.30512185,1408.01
-0.0043995376,368640,520,22.225777,0.91874560713768,180,368640,0.0025354754,0.027734375,702.8914229869843,5.761848,1083.3718906099998,1409.93
-0.004083304,370688,516,19.484196,0.8910180553793907,181,370688,0.0055959076,0.06782226,706.8230216503143,5.7683883,1083.1611063999999,1409.93
-0.0028671818,372736,518,21.062561,0.8911119624972343,182,372736,0.0021546779,0.021142578,710.7893846035004,5.764956,1099.4281422699999,1427.66
-0.0056635416,374784,542,4.723452,0.9703700989484787,183,374784,0.0034168388,0.038964845,714.7435255050659,5.762881,1100.19763114,1428.87
-0.0015610403,376832,523,20.020702,0.8846762403845787,184,376832,0.0026071158,0.025732422,718.5203676223755,5.755538,1097.0975404,1428.87
-0.003072728,378880,566,28.339035,0.8919436112046242,185,378880,0.002170751,0.02236328,722.4298448562622,5.75715,1098.50508608,1430.58
-0.000858335,380928,528,19.988285,0.8885758221149445,186,380928,0.002908546,0.03261719,726.0451772212982,5.778694,1098.4038045199998,1430.58
-0.0029805074,382976,588,11.968224,0.8899762406945229,187,382976,0.0023203162,0.023632813,729.9230647087097,5.789481,1048.3766248399997,1379.48
-0.0012334732,385024,564,8.480871,0.9610112011432648,188,385024,0.0010652414,0.009619141,733.401612997055,5.7947793,1033.8596104199999,1366.31
-0.002722333,387072,535,22.579947,0.8801156878471375,189,387072,0.0022410026,0.022216797,737.0289011001587,5.7848215,1033.96921585,1366.31
-0.0032299154,389120,555,7.3088975,0.9613504074513912,190,389120,0.0036065865,0.046875,740.8540623188019,5.7779145,1033.8399160799997,1363.64
-0.0012920329,391168,545,26.750778,0.9258802980184555,191,391168,0.001972749,0.01928711,744.5445265769958,5.783154,1032.3984959499999,1361.28
-0.0052775634,393216,563,13.024379,0.8639276027679443,192,393216,0.0022948503,0.02265625,748.3020398616791,5.7793837,983.3767055899999,1310.83
