policy_entropy,fps,ep_reward_mean,ep_len_mean,approxkl,explained_variance,n_updates,serial_timesteps,total_timesteps,policy_loss,value_loss,time_elapsed,clipfrac
1.6171026,493,1269.3272089800003,1910.39,0.0055194558,0.6191001534461975,220,450560,450560,-0.0061380537,15.158823,927.1884336471558,0.06459961
1.643059,501,1271.32781162,1916.54,0.004648649,0.794425755739212,221,452608,452608,-0.0029948854,14.999109,931.3401215076447,0.053271484
1.6509902,509,1283.3332519,1933.25,0.0048778746,0.5163936018943787,222,454656,454656,-0.0024052367,11.666466,935.423100233078,0.057519533
1.6572378,500,1278.22493221,1925.01,0.0038203218,0.8124412596225739,223,456704,456704,-0.002814366,11.470532,939.4461057186127,0.045654297
1.6556314,494,1274.94152472,1925.01,0.004816907,0.7881562113761902,224,458752,458752,0.0009385611,11.268464,943.5402045249939,0.059423827
1.6422676,503,1273.12929117,1927.02,0.0020280106,0.7734513282775879,225,460800,460800,-0.001852313,15.613508,947.6832211017609,0.01508789
1.6491302,513,1243.75825421,1876.08,0.005822844,0.6286652386188507,226,462848,462848,-0.004508576,32.82151,951.7509474754333,0.057958983
1.654756,511,1244.01648208,1876.08,0.0040937914,0.5023438632488251,227,464896,464896,-0.0006691858,10.337656,955.7423548698425,0.040625
1.6418896,511,1233.9241870399999,1858.83,0.0027546769,0.7189973592758179,228,466944,466944,-0.003529742,15.641159,959.748640537262,0.029003907
1.6267631,509,1207.8635402099999,1818.1,0.0028631594,0.6623553335666656,229,468992,468992,-0.0023279237,22.711441,963.7568447589874,0.026123047
1.6283518,483,1197.3455572499997,1793.62,0.001769041,0.7643235772848129,230,471040,471040,-0.00072321325,16.053448,967.7774796485901,0.017138671
1.6302134,492,1146.0404338099997,1715.14,0.003936341,0.6651841104030609,231,473088,473088,-0.0048589036,37.198723,972.0179796218872,0.04321289
1.6305538,507,1133.4544323599998,1697.62,0.0055769314,0.7549621611833572,232,475136,475136,-0.004481145,7.332054,976.178948879242,0.06411133
1.6249883,478,1103.3040392799999,1653.08,0.0030146795,0.7952754199504852,233,477184,477184,-0.000921501,24.78989,980.2158918380737,0.031054687
1.6214327,503,1086.88463378,1625.36,0.0018720444,0.7539749890565872,234,479232,479232,-0.0005776683,33.128372,984.4991092681885,0.013916016
1.6179978,529,1078.5135149300002,1611.66,0.0011310576,0.7880631238222122,235,481280,481280,-0.001111096,12.084315,988.5690367221832,0.00703125
1.615318,519,1057.9838534500002,1578.38,0.0025050477,0.7995762974023819,236,483328,483328,-0.00081043475,18.3296,992.4352045059204,0.027539063
1.6200745,520,1046.78148764,1559.86,0.0040821414,0.717664510011673,237,485376,485376,-0.0046330597,16.080822,996.3814363479614,0.04091797
1.6225126,511,1041.82779362,1551.45,0.0019498868,0.8337859660387039,238,487424,487424,-0.0022808525,10.934003,1000.3151273727417,0.014404297
1.6256069,503,1043.43001464,1551.45,0.006816418,0.7112496197223663,239,489472,489472,-0.003985564,10.050035,1004.3198623657227,0.085791014
1.6232097,526,1044.8070907400001,1551.45,0.0032599594,0.7439436912536621,240,491520,491520,-0.0016933854,8.847569,1008.3851306438446,0.03178711
1.6237581,503,1047.04538939,1551.45,0.0035121893,0.7205397486686707,241,493568,493568,-0.002339289,8.573231,1012.2747347354889,0.038769532
1.6177934,518,1048.1303452999998,1551.45,0.005484656,0.5055995881557465,242,495616,495616,-0.0019058327,13.476193,1016.340395450592,0.062646486
1.6135744,503,1049.15813326,1551.45,0.0045896526,0.7031332850456238,243,497664,497664,-0.0016041581,8.689726,1020.2875876426697,0.05390625
1.6150239,522,1052.6689323699998,1551.45,0.0037666257,0.8582491278648376,244,499712,499712,-0.0029693532,6.1760817,1024.3538591861725,0.04082031
1.6166672,485,1052.6471635499997,1551.45,0.0027557875,0.6538252830505371,245,501760,501760,-0.0015721738,13.650723,1028.2741544246674,0.028515626
1.6205938,513,1049.5027733299999,1551.45,0.007731742,0.6549645364284515,246,503808,503808,-0.0021507423,22.40454,1032.491584777832,0.09213867
1.6169653,508,1051.07879926,1551.45,0.0032129842,0.6869072616100311,247,505856,505856,-0.0012056499,9.303038,1036.4788720607758,0.033251952
1.6217263,512,1050.1185557,1551.45,0.0057980837,0.6386799812316895,248,507904,507904,-0.0076191365,11.808765,1040.5072600841522,0.07441406
1.6372383,507,1022.7117149999998,1508.86,0.004200265,0.6809399425983429,249,509952,509952,-0.0051614624,23.283918,1044.5017590522766,0.043896485
1.6419623,517,1021.18742579,1505.42,0.0045286296,0.8257312178611755,250,512000,512000,-0.0037791599,6.4312005,1048.5338687896729,0.051660158
1.6409845,496,1021.5481463399999,1505.42,0.006173502,0.7245571315288544,251,514048,514048,-0.0019439202,9.445283,1052.4931869506836,0.07705078
1.6333233,525,1022.25801832,1505.42,0.0040815696,0.7298036813735962,252,516096,516096,-0.0035028965,8.715438,1056.6159827709198,0.044921875
1.6321895,500,1021.9879867499999,1505.42,0.0053598275,0.61773481965065,253,518144,518144,-0.008178581,10.890978,1060.5125188827515,0.058544923
1.630484,515,1022.36520846,1505.42,0.0049148686,0.5500845611095428,254,520192,520192,-0.0032971906,11.187451,1064.6033020019531,0.058203124
