fps,explained_variance,policy_entropy,n_updates,serial_timesteps,value_loss,clipfrac,time_elapsed,policy_loss,approxkl,total_timesteps,ep_reward_mean,ep_len_mean
408,0.910801850259304,3.436606,100,204800,5.865231,0.035009764,478.3714954853058,-0.002928571,0.0033622128,204800,508.38679328000006,895.45
399,0.9021581187844276,3.423944,101,206848,9.937852,0.03671875,483.38183188438416,-0.003557675,0.0035014495,206848,516.7667303399999,906.91
420,0.8609184771776199,3.4047337,102,208896,7.534205,0.030371094,488.51475858688354,-0.0021216865,0.0029020042,208896,526.5257977599999,919.81
439,0.8015981316566467,3.4042428,103,210944,13.486031,0.06918945,493.38711404800415,-0.0089621525,0.0056974506,210944,539.5239443400001,938.86
441,0.8334012627601624,3.4215488,104,212992,10.49459,0.06938477,498.0428099632263,-0.0065920455,0.006938552,212992,551.72627329,955.96
437,0.8286048173904419,3.427821,105,215040,11.068663,0.039355468,502.68033051490784,-0.0057228813,0.0036824786,215040,564.24256026,973.91
423,0.8334933966398239,3.4323723,106,217088,12.6093,0.03413086,507.3596248626709,-0.0017962394,0.003300799,217088,566.36002347,978.66
378,0.6698964238166809,3.4486785,107,219136,9.080801,0.10405274,512.1907768249512,-0.0032261505,0.008921123,219136,578.2285781300001,996.59
401,0.7577971071004868,3.4786592,108,221184,9.094575,0.054345705,517.599461555481,-0.00048730336,0.0047220243,221184,578.0112658800001,996.59
491,0.8464815318584442,3.4922268,109,223232,15.198694,0.04091797,522.7009727954865,-0.006198411,0.0038723175,223232,575.04390955,992.09
476,0.8737144470214844,3.492825,110,225280,7.365115,0.026123047,526.8675022125244,-0.005129129,0.0025626267,225280,582.61220809,1004.54
524,0.8256857842206955,3.4983552,111,227328,16.113453,0.042675782,531.1619007587433,-0.0056492137,0.0038057338,227328,593.4592452299999,1022.62
512,0.8862557113170624,3.5153446,112,229376,10.50303,0.022851562,535.0661773681641,-0.0018923761,0.0022996394,229376,587.32296488,1012.5
457,0.7348261475563049,3.5239334,113,231424,22.953304,0.034570314,539.0650236606598,-0.0036691893,0.0036534783,231424,599.46418146,1029.63
367,0.9421336092054844,3.524411,114,233472,5.2059245,0.039697267,543.5462000370026,-0.0041556964,0.003500469,233472,609.10248361,1042.32
357,0.7873294502496719,3.521761,115,235520,14.158373,0.022509765,549.1233451366425,-0.0031550326,0.0024932013,235520,614.80459312,1050.26
494,0.7833385169506073,3.511959,116,237568,8.813559,0.042822264,554.8541302680969,-0.0008012451,0.00386011,237568,626.61233082,1066.12
439,0.7696750313043594,3.5159645,117,239616,14.406514,0.095898435,558.9994781017303,-0.0013055352,0.008297449,239616,624.68709836,1064.41
392,0.7674658596515656,3.510831,118,241664,12.323045,0.036572266,563.6653463840485,-0.002456701,0.0035284343,241664,624.56658099,1064.41
399,0.8257587254047394,3.496821,119,243712,16.45996,0.06875,568.8845620155334,-0.008037173,0.006533482,243712,633.4443892299998,1076.88
400,0.8484808653593063,3.5005634,120,245760,17.256367,0.043408204,574.0171279907227,-0.0057826196,0.003861998,245760,640.2448786,1086.18
419,0.8111588060855865,3.5027218,121,247808,9.527029,0.025683593,579.1295619010925,-0.0034522072,0.0025143507,247808,631.54611284,1074.39
436,0.8413644731044769,3.5013847,122,249856,13.839851,0.030908203,584.0065996646881,-0.0018656676,0.0027666506,249856,631.0648096,1072.68
403,0.773719921708107,3.5011897,123,251904,11.812262,0.046240233,588.6991901397705,-0.003932788,0.003990452,251904,628.69687607,1072.68
413,0.8644407838582993,3.5108216,124,253952,11.043194,0.022705078,593.7708323001862,-0.004018207,0.0023111783,253952,629.0873272800001,1072.62
385,0.8879553079605103,3.5226293,125,256000,9.684362,0.038427733,598.7216367721558,-0.0058908267,0.0031278275,256000,638.0144456599999,1085.33
