value_loss,ep_len_mean,time_elapsed,policy_entropy,total_timesteps,ep_reward_mean,serial_timesteps,fps,explained_variance,policy_loss,clipfrac,approxkl,n_updates
19.991373,1534.36,385.36452984809875,4.0438995,180224,995.6097906399998,180224,486,0.7603793442249298,-0.005646101,0.042919923,0.0036467903,88
8.708012,1517.34,389.5756416320801,4.05596,182272,984.2756585499999,182272,464,0.9033900126814842,-0.0037541264,0.0421875,0.0038855262,89
13.048712,1517.34,393.98815059661865,4.066122,184320,986.88922989,184320,453,0.8512392491102219,-0.005783626,0.06113281,0.0054830904,90
15.155017,1522.61,398.50276255607605,4.0726805,186368,991.70128713,186368,449,0.7691662162542343,-0.0043007378,0.041796874,0.0036376708,91
5.798045,1527.62,403.0620243549347,4.0672956,188416,996.23534736,188416,469,0.944835439324379,-0.002639722,0.05595703,0.004641914,92
21.21861,1513.09,407.42296147346497,4.072148,190464,986.6521807,190464,474,0.8080906122922897,-0.004117699,0.025830079,0.0027254007,93
12.264141,1513.09,411.7421269416809,4.07595,192512,987.57104546,192512,468,0.8644189983606339,-0.0024092905,0.048535157,0.0042755688,94
6.950845,1510.05,416.1096189022064,4.068242,194560,986.2668614800001,194560,481,0.910668857395649,-0.004754074,0.05239258,0.004625146,95
17.697819,1509.64,420.36025047302246,4.066159,196608,986.9194173500003,196608,483,0.8239841312170029,-0.0030011877,0.022558594,0.0021885256,96
8.84355,1509.64,424.5946593284607,4.067003,198656,987.1327864000002,198656,486,0.8574218451976776,-0.0032141164,0.03852539,0.003536407,97
13.534564,1509.64,428.8020074367523,4.074658,200704,987.5843830800001,200704,471,0.8018023073673248,-0.0044630067,0.08222656,0.007318777,98
9.24357,1503.9,433.14458656311035,4.1000323,202752,985.08920455,202752,480,0.9260060489177704,-0.0037651048,0.028808594,0.0026532486,99
10.431766,1503.9,437.407185792923,4.129294,204800,983.56419488,204800,462,0.7607591301202774,-0.004779656,0.08198242,0.0070434297,100
4.9840717,1503.25,441.84215903282166,4.144004,206848,982.4004881799999,206848,492,0.938506904989481,-0.002781857,0.024121094,0.0025780355,101
10.063369,1517.76,445.9975554943085,4.1457086,208896,993.97873986,208896,481,0.8474443554878235,-0.0016115463,0.035839844,0.0033332475,102
5.7407203,1531.51,450.25042271614075,4.145367,210944,1003.75837605,210944,492,0.9024838656187057,-0.0022368927,0.021582032,0.0023110826,103
13.893361,1542.19,454.4106373786926,4.1443815,212992,1012.32742943,212992,471,0.8716177046298981,-0.0052156,0.02626953,0.0025042028,104
10.728498,1551.36,458.75462222099304,4.1472726,215040,1020.2352643699998,215040,454,0.8860396817326546,-0.0032761763,0.04042969,0.0038149883,105
11.186991,1566.01,463.2574415206909,4.145714,217088,1032.0208489600002,217088,483,0.8655426204204559,-0.002066487,0.023144532,0.0021707208,106
9.7346,1566.01,467.4931993484497,4.149232,219136,1033.00283396,219136,453,0.9166687950491905,-0.005330958,0.06269531,0.00539453,107
11.6682005,1579.82,472.0145032405853,4.1444936,221184,1043.7540780499999,221184,475,0.8572405278682709,-0.005657813,0.04423828,0.004152217,108
11.168384,1579.82,476.32465291023254,4.136036,223232,1045.83982952,223232,476,0.8901901170611382,-0.0037190337,0.043066405,0.0037565846,109
7.114415,1572.23,480.62482023239136,4.129551,225280,1041.4961565299998,225280,474,0.9129525572061539,-0.005171366,0.032958984,0.0029569431,110
18.219337,1572.23,484.94200563430786,4.1321535,227328,1042.8575781299999,227328,466,0.8122818171977997,-0.004622346,0.04477539,0.0038223162,111
1.5246553,1573.81,489.33437299728394,4.1332564,229376,1044.4051300899998,229376,461,0.9822932574898005,-0.0064843795,0.061279297,0.005237232,112
14.270688,1564.2,493.7768385410309,4.126287,231424,1037.62663474,231424,488,0.85903200507164,-0.004919035,0.03569336,0.0035026162,113
14.290184,1552.97,497.97397661209106,4.1152997,233472,1028.56235902,233472,490,0.8911334946751595,-0.0031155876,0.030322265,0.0031317598,114
