approxkl,serial_timesteps,value_loss,time_elapsed,total_timesteps,policy_entropy,fps,explained_variance,ep_reward_mean,clipfrac,n_updates,ep_len_mean,policy_loss
0.003443292,524288,8.979577,944.7378203868866,524288,4.782733,561,0.813785582780838,910.01444774,0.04018555,256,1255.47,-0.003834547
0.002637426,526336,20.81907,948.3874173164368,526336,4.785038,559,0.9037048667669296,895.1187392100001,0.031152343,257,1248.08,-0.0051791905
0.0036000996,528384,15.326689,952.0515491962433,528384,4.7849517,570,0.797067403793335,879.6729670799999,0.04086914,258,1231.94,-0.005252104
0.0075465045,530432,9.731309,955.645733833313,530432,4.782133,545,0.9445924796164036,874.3793973600001,0.07607422,259,1231.94,-0.0042691277
0.003317587,532480,24.988516,959.4039340019226,532480,4.7857404,563,0.8858988583087921,859.00950404,0.034472656,260,1216.19,-0.0044951895
0.0033922046,534528,11.5334,963.0367732048035,534528,4.784732,557,0.7390273213386536,853.61455772,0.038769532,261,1216.19,-0.0048422175
0.002610006,536576,12.151239,966.709864616394,536576,4.7872133,552,0.9128048047423363,853.5604718400001,0.028076172,262,1216.19,-0.0028680204
0.0017298826,538624,27.437952,970.4169256687164,538624,4.7921734,532,0.8673381358385086,847.2004657399999,0.017480468,263,1204.3,-0.0019494176
0.0028664796,540672,5.2156224,974.2672598361969,540672,4.800733,543,0.9780657179653645,836.7980752700001,0.030029297,264,1188.82,-0.0017475218
0.0042705527,542720,19.483759,978.0394601821899,542720,4.812358,536,0.8839606419205666,836.67537294,0.050195314,265,1188.82,-0.003447879
0.003931665,544768,19.43708,981.8611443042755,544768,4.8174834,541,0.8890564888715744,836.1538898100001,0.04116211,266,1188.82,-0.0035349182
0.002349277,546816,27.024189,985.6418936252594,546816,4.8218727,560,0.8928385972976685,823.9081122800001,0.025830079,267,1174.75,-0.0035385836
0.004168371,548864,13.261737,989.2993845939636,548864,4.836181,533,0.9231711104512215,822.84384919,0.04873047,268,1174.75,-0.0064026914
0.003577936,550912,18.309309,993.1402580738068,550912,4.83294,547,0.8694102466106415,839.0866557699999,0.037060548,269,1192.55,-0.003197362
0.004999757,552960,19.166618,996.8828999996185,552960,4.8345284,528,0.8775126487016678,845.18245851,0.06381836,270,1196.28,-0.0026300654
0.0053537376,555008,17.117489,1000.7607641220093,555008,4.837859,541,0.8765160515904427,861.847551,0.07119141,271,1213.99,-0.004852554
0.004205996,557056,13.164162,1004.5435314178467,557056,4.832309,542,0.9110001027584076,858.4481112999998,0.048095703,272,1211.06,-0.0030403389
0.0064157457,559104,20.323965,1008.3177247047424,559104,4.835326,545,0.8831976279616356,875.6080316199998,0.080517575,273,1229.38,-0.004532503
0.0032191346,561152,19.806099,1012.0729382038116,561152,4.845525,531,0.8794149830937386,892.0750678500001,0.03720703,274,1247.21,-0.0017726014
0.003917056,563200,19.541029,1015.9305655956268,563200,4.841234,532,0.884932279586792,908.7266454000002,0.046533205,275,1265.08,-0.003720279
0.0025822883,565248,24.51747,1019.775972366333,565248,4.8397884,559,0.9080789387226105,913.5136163700001,0.02836914,276,1264.91,-0.0024294874
0.0022178271,567296,23.890053,1023.4383101463318,567296,4.8448954,526,0.9221402108669281,902.53281698,0.020898437,277,1249.18,-0.0033404056
0.0023706793,569344,19.897404,1027.3287615776062,569344,4.854861,526,0.8849740624427795,907.9324489,0.02368164,278,1250.25,-0.0011307317
0.0021349082,571392,6.0415325,1031.2194607257843,571392,4.8533106,529,0.9731803275644779,907.9534074700001,0.022460938,279,1250.44,-0.0046709515
0.004187829,573440,22.1494,1035.0919103622437,573440,4.8540406,565,0.9203911945223808,927.1626624700001,0.047558594,280,1272.07,-0.005128573
0.0020120458,575488,20.41123,1038.7145245075226,575488,4.861932,557,0.8858469426631927,944.15613516,0.018115234,281,1289.89,-0.00064084044
0.002706165,577536,20.176582,1042.3897428512573,577536,4.8645864,543,0.8830186948180199,943.26416586,0.030908203,282,1289.89,-0.003024856
0.0037991907,579584,20.214956,1046.1585388183594,579584,4.8651447,547,0.8794345781207085,957.90852937,0.04472656,283,1304.14,-0.0008874798
0.0039856224,581632,19.987415,1049.8993651866913,581632,4.8592463,547,0.8798820227384567,973.16370865,0.040722657,284,1319.33,-0.0027087792
0.0017318719,583680,28.327566,1053.6419055461884,583680,4.850011,562,0.9091906026005745,972.3561366800002,0.014111328,285,1318.81,-0.0016489243
0.006062492,585728,20.145973,1057.285685300827,585728,4.8439655,531,0.8706623762845993,988.46407217,0.07885742,286,1334.35,-0.0036149665
0.0037975733,587776,20.76705,1061.1372563838959,587776,4.83679,547,0.8797530457377434,987.7711883100002,0.043603517,287,1334.35,-0.002666414
0.0022350205,589824,20.423538,1064.8815050125122,589824,4.8351107,553,0.8754809647798538,988.43683824,0.02211914,288,1334.35,-0.0011632827
0.002604637,591872,20.804007,1068.5810251235962,591872,4.85195,551,0.8798490911722183,1000.2966499099998,0.031445313,289,1345.44,-0.0022251029
0.003841615,593920,19.857746,1072.2973239421844,593920,4.862908,542,0.8806802034378052,1014.9113590000001,0.04375,290,1359.66,-0.00372421
0.0017248255,595968,14.96163,1076.0756673812866,595968,4.8608236,594,0.7869949191808701,1025.94278,0.015966797,291,1375.28,-0.0035232082
0.0031580534,598016,20.1675,1079.5207345485687,598016,4.856717,541,0.8751140832901001,1041.74077992,0.03691406,292,1390.9,-0.0028724542
0.0023254184,600064,20.24229,1083.3032670021057,600064,4.842641,537,0.8768343776464462,1042.39217336,0.020263672,293,1390.9,-0.0036992766
0.001914032,602112,20.681593,1087.111876964569,602112,4.8380632,551,0.8834990411996841,1046.8474761,0.014160156,294,1390.9,-0.0016266897
0.0037789983,604160,4.629565,1090.8244979381561,604160,4.82722,546,0.9781065918505192,1031.64829579,0.042919923,295,1375.24,-0.0042806496
0.0020344635,606208,37.37948,1094.5748114585876,606208,4.8259463,575,0.8594601303339005,1032.98217108,0.021386718,296,1374.86,-0.0020507681
0.004991757,608256,20.083683,1098.1345489025116,608256,4.8301644,543,0.8744436949491501,1049.83334834,0.06586914,297,1392.62,-0.003372565
0.0020219458,610304,23.073215,1101.9015610218048,610304,4.8363705,528,0.9153701290488243,1066.86792334,0.019482423,298,1409.87,-0.0036079288
0.0019540212,612352,18.791735,1105.7770385742188,612352,4.8394237,591,0.9184809848666191,1008.74033748,0.022607422,299,1346.07,-0.0032205556
0.0024125301,614400,24.52937,1109.2399785518646,614400,4.847026,544,0.9123843312263489,1027.49692084,0.024023438,300,1366.28,-0.0037591655
0.0054003387,616448,20.290394,1113.0058796405792,616448,4.8570285,539,0.8776293396949768,1033.1266492399998,0.07070313,301,1366.28,-0.005730426
0.0039442796,618496,20.653164,1116.8025858402252,618496,4.8475037,542,0.8656581789255142,1048.1217903499999,0.044970702,302,1381.44,-0.0027005856
0.002142806,620544,15.334482,1120.5807650089264,620544,4.8450084,589,0.8622760772705078,1019.7884924299999,0.020996094,303,1345.82,-0.0056601143
0.0051771346,622592,10.972893,1124.0545182228088,622592,4.8451242,501,0.9351103380322456,1029.5165259299997,0.05834961,304,1360.05,-0.006877842
0.0041214144,624640,24.346315,1128.1428592205048,624640,4.84601,555,0.9064528197050095,1030.4065790899997,0.046533205,305,1360.18,-0.0033228942
0.002240749,626688,5.7916455,1131.830914735794,626688,4.8469496,554,0.9792750831693411,1017.0854860599998,0.025976563,306,1347.66,-0.0046025706
0.0040714084,628736,26.497705,1135.526440858841,628736,4.8672247,549,0.8967813327908516,1026.26125229,0.04824219,307,1353.03,-0.0069766464
0.004422191,630784,20.211584,1139.253894329071,630784,4.8803163,516,0.8662453591823578,1043.0996247599999,0.050146483,308,1370.81,-0.0024658446
0.0039342185,632832,20.347948,1143.2208199501038,632832,4.871793,523,0.8774276599287987,1048.90329835,0.04765625,309,1370.81,-0.0026937076
0.0015121729,634880,21.447962,1147.133244752884,634880,4.8668065,538,0.8598355054855347,1062.0323623799998,0.01303711,310,1386.42,-0.0013886971
0.0025525899,636928,22.397474,1150.9339745044708,636928,4.8574953,522,0.9254821911454201,1076.75438535,0.02216797,311,1401.55,-0.002406814
0.0046003996,638976,13.566336,1154.8509941101074,638976,4.854333,563,0.7181333303451538,1087.37637822,0.05883789,312,1417.26,-0.0037166737
0.0033653732,641024,11.710062,1158.4876313209534,641024,4.868297,568,0.76630038022995,1087.4367433700002,0.038378906,313,1417.26,-0.0027301188
0.0015618282,643072,21.31172,1162.088271856308,643072,4.877777,558,0.679439514875412,1098.3525935000002,0.014697266,314,1432.84,-0.004036577
0.0057592997,645120,20.50186,1165.755297422409,645120,4.8709116,526,0.8748255223035812,1099.82252186,0.06987305,315,1432.84,-0.004280478
0.0066377902,647168,20.61208,1169.6425621509552,647168,4.876642,521,0.8777777552604675,1116.72639346,0.084033206,316,1450.45,-0.0035145734
0.0044812323,649216,9.240557,1173.570728302002,649216,4.8847055,537,0.9408927410840988,1103.53920247,0.057421874,317,1436.45,-0.005357649
0.0053135604,651264,16.754494,1177.3853471279144,651264,4.8919725,528,0.891215406358242,1118.9568259799998,0.065136716,318,1451.94,-0.0016504333
0.0022525615,653312,24.249662,1181.2632217407227,653312,4.9017572,577,0.8399347811937332,1103.89649679,0.023388673,319,1436.44,-0.0013878883
0.0012563845,655360,15.658475,1184.8122341632843,655360,4.9040637,557,0.8573574423789978,1105.8931676299999,0.011523438,320,1438.2,-0.001712489
0.0031462703,657408,20.29551,1188.4843287467957,657408,4.905879,516,0.8908758014440536,1122.25536803,0.03564453,321,1455.97,-0.0048374026
0.004318754,659456,5.487188,1192.4534566402435,659456,4.92062,421,0.9683941379189491,1120.83622093,0.05126953,322,1454.51,-0.0061173183
0.0019357959,661504,24.309668,1197.311011314392,661504,4.9342794,533,0.7340531647205353,1125.6855208099998,0.021679688,323,1453.96,-0.002144244
0.005762276,663552,11.332252,1201.1496951580048,663552,4.9479914,535,0.9344900771975517,1125.9940569300002,0.06723633,324,1453.96,-0.004283966
0.0011418902,665600,29.901999,1204.9737865924835,665600,4.955271,552,0.8423860520124435,1126.1892452299999,0.010058594,325,1454.19,-0.001961214
0.004548644,667648,20.093943,1208.6832256317139,667648,4.968847,531,0.8661965727806091,1139.01292277,0.048876952,326,1469.09,-0.004656424
0.002810431,669696,20.834799,1212.5347456932068,669696,4.9856358,538,0.8919035270810127,1139.37761529,0.031640626,327,1469.09,-0.002515415
0.0025039145,671744,21.576094,1216.33558177948,671744,4.99569,581,0.7888855040073395,1127.66648549,0.024609376,328,1452.52,-0.005350674
0.0021517598,673792,20.096773,1219.8612110614777,673792,5.017403,547,0.8810942769050598,1141.9801483800002,0.021289062,329,1466.61,-0.0023632692
0.001669419,675840,21.276768,1223.6056199073792,675840,5.029554,557,0.863691657781601,1156.18872713,0.016552735,330,1484.37,-0.0014095537
0.0063900603,677888,20.50877,1227.2788999080658,677888,5.0375524,551,0.8897851258516312,1160.6696752100002,0.08432617,331,1484.37,-0.00682299
0.0030892065,679936,18.831333,1230.9925050735474,679936,5.0557613,537,0.8867407068610191,1160.5434634500002,0.034570314,332,1484.37,-0.0032227742
0.002067485,681984,19.91657,1234.8018503189087,681984,5.070917,508,0.8842784315347672,1175.97222893,0.020898437,333,1500.12,-0.00060948776
0.001593651,684032,19.730854,1238.8341979980469,684032,5.080123,504,0.8919403105974197,1180.48474418,0.015234375,334,1500.12,-0.0016499965
0.0019809746,686080,14.049794,1242.890808582306,686080,5.082491,522,0.9517169669270515,1150.28201019,0.01953125,335,1463.97,-0.0030890426
0.0056438185,688128,20.400904,1246.8130991458893,688128,5.0727854,433,0.8684908598661423,1165.52433461,0.07290039,336,1479.45,-0.0048938883
0.002519987,690176,29.82956,1251.5397508144379,690176,5.076967,551,0.902106948196888,1134.8095496499998,0.028808594,337,1448.87,-0.0033524253
0.0031918685,692224,19.594921,1255.2541162967682,692224,5.0995674,590,0.7405669391155243,1105.49431774,0.027246093,338,1417.92,-0.005334827
0.0032198622,694272,20.461664,1258.7209284305573,694272,5.1053057,557,0.9007620885968208,1106.2542701300001,0.037402343,339,1417.92,-0.0033490055
0.005216912,696320,20.632591,1262.3939793109894,696320,5.1047206,536,0.8926038071513176,1105.8869960000002,0.066259764,340,1417.92,-0.0048182285
0.0012559895,698368,17.86541,1266.2122042179108,698368,5.104665,569,0.7780201435089111,1047.86147429,0.011425781,341,1358.93,-0.002148044
0.002343927,700416,21.301258,1269.8123660087585,700416,5.112176,526,0.8742464780807495,1046.2764715399999,0.02446289,342,1358.93,-0.0039376286
0.00093164155,702464,25.666906,1273.7038958072662,702464,5.1139736,551,0.8028039634227753,1041.93727004,0.00703125,343,1357.92,-0.0035027612
0.0026806698,704512,15.158481,1277.4164459705353,704512,5.1122437,551,0.8311721235513687,1053.17518381,0.027294923,344,1373.65,-0.0041755405
0.001963677,706560,19.969616,1281.1338183879852,706560,5.111164,539,0.8970765620470047,1052.7111940200002,0.018359374,345,1373.65,-0.002678262
0.0020906723,708608,21.212517,1284.9342527389526,708608,5.111047,586,0.655486524105072,1019.5288103100003,0.0234375,346,1339.93,-0.005301518
0.0007879868,710656,27.75257,1288.4248518943787,710656,5.1175466,591,0.6316586136817932,957.5141495299999,0.0060546873,347,1276.79,-0.0018454246
0.0017723006,712704,17.553913,1291.8894605636597,712704,5.1198626,582,0.8650685548782349,929.8112551400002,0.017871093,348,1250.62,-0.002650053
0.0045626275,714752,9.791872,1295.4082520008087,714752,5.123483,549,0.9513713233172894,918.27536881,0.05366211,349,1239.16,-0.004925393
0.0028747239,716800,27.880182,1299.1357243061066,716800,5.119553,544,0.890539675951004,902.9068812800001,0.034179688,350,1223.83,-0.0034700409
0.0018095585,718848,11.766827,1302.9017479419708,718848,5.12285,560,0.7716852277517319,901.6870394900001,0.017480468,351,1223.83,-0.0011501898
0.0038668048,720896,12.780504,1306.555435180664,720896,5.129058,575,0.7357573807239532,895.95269013,0.04345703,352,1223.83,-0.0049737366
0.002679136,722944,12.8829365,1310.1142463684082,722944,5.1399946,578,0.8598859012126923,890.5373929399998,0.02866211,353,1223.83,-0.003038529
0.0026844325,724992,11.922355,1313.6538100242615,724992,5.1405478,573,0.8364024609327316,886.9796833599999,0.029003907,354,1223.83,-0.0048779864
0.0004979797,727040,8.895897,1317.2241008281708,727040,5.144862,577,0.9003168419003487,890.51610224,0.00234375,355,1228.8,-0.00213593
0.002473041,729088,11.145954,1320.7706191539764,729088,5.1409483,570,0.9256054013967514,886.13910272,0.026171874,356,1228.8,-0.0058170045
0.001414804,731136,28.177862,1324.3628540039062,731136,5.137824,556,0.8719641864299774,899.3777309399999,0.013232422,357,1245.83,-0.0018179624
