policy_entropy,n_updates,approxkl,value_loss,total_timesteps,serial_timesteps,ep_len_mean,explained_variance,clipfrac,ep_reward_mean,time_elapsed,fps,policy_loss
2.2649827,325,0.0041804863,5.0677633,665600,665600,1293.41,0.911682590842247,0.050830077,827.49815615,2014.6927301883698,283,-0.0032889158
2.2836406,326,0.0059396205,17.153164,667648,667648,1305.0,0.4905824065208435,0.072314456,835.7180662300001,2021.9264810085297,299,-0.0033333865
2.2981827,327,0.0023979754,5.5517597,669696,669696,1321.64,0.8981553614139557,0.022900391,842.4253323600001,2028.7596905231476,289,-0.003146823
2.2998612,328,0.0056080716,14.097893,671744,671744,1321.64,0.49720942974090576,0.062207032,842.26885128,2035.8278453350067,297,-0.0058115306
2.3036633,329,0.0017944183,5.817127,673792,673792,1338.47,0.5523510575294495,0.014453125,848.7062124000003,2042.7223522663116,296,-0.00055848615
2.3023293,330,0.0040499954,4.629678,675840,675840,1339.35,0.9185442179441452,0.0440918,844.38075114,2049.620697259903,278,-0.004025672
2.307303,331,0.0056253425,11.750322,677888,677888,1356.07,0.6365592777729034,0.0652832,856.2531586500003,2056.970606803894,279,-0.0059262915
2.3027978,332,0.0053853868,9.255329,679936,679936,1356.07,0.7777868658304214,0.06088867,856.4928711400003,2064.3113074302673,277,-0.0015904622
2.2978902,333,0.0047344337,9.548209,681984,681984,1356.07,0.7972516566514969,0.056103516,856.03624431,2071.6950945854187,277,-0.003719272
2.2983165,334,0.0052315523,12.975161,684032,684032,1356.07,0.6078690886497498,0.06289063,854.80910932,2079.082334280014,292,-0.0015061166
2.3045492,335,0.006227526,9.22611,686080,686080,1356.07,0.6408186554908752,0.07583008,855.49246301,2086.0933957099915,286,-0.0011395799
2.3197904,336,0.008480723,9.088112,688128,688128,1356.07,0.6500822603702545,0.10678711,855.4601882200001,2093.2478642463684,287,-0.0017682441
2.343638,337,0.0083773,21.38329,690176,690176,1339.13,0.5260351002216339,0.09829102,854.52202789,2100.376703262329,279,-0.0073858635
2.356903,338,0.005048699,13.069821,692224,692224,1356.64,0.7667988836765289,0.057177734,866.45546053,2107.701788663864,297,-0.0032288588
2.361662,339,0.0035465807,6.3852067,694272,694272,1356.64,0.663567841053009,0.03930664,861.14096084,2114.5763018131256,311,-0.0019783152
2.357438,340,0.0031135378,5.435005,696320,696320,1356.64,0.9396773763000965,0.03173828,855.45836422,2121.16207075119,293,-0.0024545824
2.3568678,341,0.003567181,9.822995,698368,698368,1366.78,0.8531496077775955,0.041650392,863.12182685,2128.130250453949,258,-0.005669241
2.3676682,342,0.005181088,10.850053,700416,700416,1380.17,0.6221289038658142,0.05883789,873.05507354,2136.053261756897,271,-0.0013651552
2.3796237,343,0.0063980035,8.754004,702464,702464,1380.17,0.616908073425293,0.07290039,872.28383767,2143.6096725463867,276,-0.000144989
