value_loss,approxkl,explained_variance,ep_reward_mean,serial_timesteps,time_elapsed,ep_len_mean,fps,total_timesteps,n_updates,policy_loss,clipfrac,policy_entropy
9.033423,0.003615059,0.9286238998174667,761.8583926800001,143360,386.3352835178375,1213.49,344,143360,70,-0.0031710155,0.041503906,4.145067
5.869944,0.0026266177,0.91924087703228,772.7887888800001,145408,392.281804561615,1228.28,343,145408,71,-0.0007724656,0.025,4.1416826
9.032766,0.003910149,0.8816402032971382,785.0736949100001,147456,398.24798917770386,1246.09,327,147456,72,-0.0026825282,0.042529296,4.1314015
20.235422,0.005149866,0.8649484813213348,802.30058627,149504,404.5068964958191,1270.15,302,149504,73,-0.0064618466,0.053857423,4.1432753
24.400805,0.0026442183,0.7316382825374603,791.6984753900001,151552,411.26763248443604,1254.14,308,151552,74,-0.0019866761,0.028222656,4.1630154
10.595538,0.002312251,0.9295864403247833,780.67171605,153600,417.9042937755585,1235.94,309,153600,75,-0.0037389335,0.025146484,4.165144
13.961947,0.002604907,0.7961279302835464,775.71192481,155648,424.53344559669495,1230.96,350,155648,76,-0.0037776742,0.028564453,4.1632853
4.1821985,0.0022229012,0.9268424138426781,779.3294385899999,157696,430.38163685798645,1235.36,351,157696,77,-0.000113201386,0.023730468,4.170423
21.970377,0.003342767,0.8469705134630203,755.500984,159744,436.20513010025024,1198.21,377,159744,78,-0.0034861565,0.03857422,4.186724
14.742375,0.002577234,0.8144674599170685,750.1167225599999,161792,441.62929368019104,1190.74,370,161792,79,-0.0021211128,0.026611328,4.2007504
9.794344,0.0032810238,0.8891171663999557,739.0922805599998,163840,447.153847694397,1173.76,387,163840,80,-0.0039415793,0.03676758,4.20148
17.345844,0.004138747,0.8629811555147171,736.5483772199998,165888,452.43508553504944,1173.59,392,165888,81,-0.0037707158,0.05053711,4.192102
22.290653,0.0025204548,0.7965025156736374,717.63167171,167936,457.65859365463257,1147.72,396,167936,82,-0.0030477263,0.027929688,4.1834955
16.05183,0.002023379,0.8792326375842094,707.0848719199998,169984,462.8292701244354,1134.88,389,169984,83,-0.0031209507,0.017578125,4.180329
10.4101925,0.0025311846,0.8843405172228813,699.1045549299998,172032,468.0867910385132,1122.59,405,172032,84,-0.002312169,0.031054687,4.1812243
12.998199,0.0033129486,0.8670614361763,705.9916563399998,174080,473.14105105400085,1131.96,397,174080,85,-0.00375183,0.036572266,4.181192
7.1917143,0.00491843,0.95380425080657,685.5026120599998,176128,478.29119515419006,1103.72,328,176128,86,-0.004025319,0.06337891,4.190585
24.327953,0.0050763404,0.7877352386713028,680.3035022699999,178176,484.52500557899475,1096.74,307,178176,87,-0.0034692585,0.057763673,4.2096834
17.024502,0.0032942686,0.8245226591825485,654.5565735200001,180224,491.1781415939331,1061.87,374,180224,88,-0.0050761555,0.035791017,4.2228494
8.085489,0.0035486706,0.9416400752961636,628.0714471200001,182272,496.64982891082764,1025.78,376,182272,89,-0.0049346834,0.042529296,4.23291
27.464466,0.0028103148,0.6177001893520355,594.5484519500001,184320,502.095675945282,979.32,374,184320,90,-0.0056726523,0.029589843,4.2448
6.899629,0.0029796879,0.9386545717716217,575.55029688,186368,507.5592303276062,953.41,335,186368,91,-0.0057424465,0.034423828,4.249902
9.568281,0.0028705536,0.8957973420619965,576.32330661,188416,513.6565761566162,953.41,360,188416,92,-0.005562019,0.03125,4.2510004
12.709002,0.0038586527,0.7916249185800552,590.26787372,190464,519.3422241210938,971.55,378,190464,93,-0.003496039,0.04526367,4.2430124
12.368914,0.002330935,0.8404244035482407,590.48492688,192512,524.7581391334534,971.55,389,192512,94,-0.002290362,0.022558594,4.2363706
5.8608775,0.0024395739,0.930552139878273,585.35182907,194560,530.01211977005,967.5,376,194560,95,-0.0038813394,0.025488282,4.233924
8.912359,0.0047627743,0.8650178164243698,586.3801453,196608,535.4542467594147,967.5,383,196608,96,-0.0052357926,0.058007814,4.2306085
14.442282,0.004303969,0.7372968792915344,594.48461251,198656,540.8005216121674,980.38,383,198656,97,-0.003979693,0.050048828,4.226148
17.304737,0.0069352547,0.8585516959428787,589.63765103,200704,546.1386592388153,972.03,370,200704,98,-0.0047466094,0.063769534,4.221228
6.677728,0.0018219488,0.9163318648934364,590.6631423199999,202752,551.665864944458,972.99,367,202752,99,-0.0018904585,0.016259765,4.218524
12.227734,0.0027615286,0.8850633129477501,599.3411722799999,204800,557.2351429462433,984.79,348,204800,100,-0.0072446475,0.027539063,4.2164817
14.083382,0.003428889,0.8130752742290497,598.1387487499999,206848,563.1126229763031,984.79,356,206848,101,-0.0030751931,0.037841797,4.226508
12.558837,0.0024479874,0.8649093955755234,611.4218186699999,208896,568.8651537895203,1002.48,386,208896,102,-0.0040074876,0.023388673,4.2339187
11.870909,0.004299467,0.9025072306394577,600.78084117,210944,574.1611385345459,986.42,402,210944,103,-0.0032367755,0.043310545,4.226969
6.5339193,0.0033190225,0.909732960164547,609.09161972,212992,579.2477939128876,997.98,394,212992,104,-0.004026775,0.034375,4.217036
10.923754,0.003858244,0.8243354856967926,608.8404503500001,215040,584.4416677951813,997.98,375,215040,105,-0.003876437,0.048193358,4.210417
12.021579,0.0028639226,0.815190777182579,609.9610285400001,217088,589.8897171020508,1000.02,384,217088,106,-0.0033743207,0.0328125,4.2203665
9.90914,0.0053023915,0.9009862020611763,620.06128949,219136,595.2191662788391,1011.92,380,219136,107,-0.0030666576,0.06430664,4.2345223
13.779955,0.004122966,0.823313295841217,620.7024083900001,221184,600.6018612384796,1011.92,371,221184,108,-0.0048540453,0.0484375,4.2451644
9.237084,0.0032378621,0.8600616604089737,628.0626581600002,223232,606.1112184524536,1021.7,389,223232,109,-0.0025618218,0.034277342,4.2571745
8.344735,0.0038562026,0.9182195663452148,639.61417448,225280,611.3657944202423,1035.8,370,225280,110,-0.0031292047,0.04111328,4.2669287
6.699481,0.0024504121,0.8749305903911591,635.22910078,227328,616.896320104599,1031.03,365,227328,111,-0.0025868518,0.023583984,4.2678943
9.946254,0.0056369165,0.8458283990621567,648.17963161,229376,622.5014777183533,1048.94,391,229376,112,-0.0037987765,0.06328125,4.2576404
11.275142,0.007119348,0.7100325524806976,647.44382786,231424,627.729368686676,1048.94,367,231424,113,-0.00517614,0.08388672,4.2498803
14.056547,0.0038331232,0.6981707811355591,656.60391022,233472,633.3102707862854,1062.68,386,233472,114,-0.0013621686,0.043847658,4.253632
21.136318,0.0036226932,0.7706227898597717,660.4329670999998,235520,638.6070070266724,1067.93,377,235520,115,-0.0028717679,0.039257813,4.2581835
9.555358,0.003285076,0.8995570614933968,668.1408014299999,237568,644.0388207435608,1078.2,371,237568,116,-0.0037308708,0.034716796,4.2598925
8.326696,0.0030491552,0.9147854149341583,677.0039633199999,239616,649.5450983047485,1088.97,391,239616,117,-0.0027343289,0.03491211,4.2653933
11.836642,0.004317674,0.74945268034935,684.33791077,241664,654.770405292511,1097.66,399,241664,118,-0.0039657354,0.050634764,4.2706046
23.634933,0.0077699423,0.7716214805841446,667.3042067899999,243712,659.8969624042511,1076.49,402,243712,119,-0.006942666,0.06987305,4.267728
20.872887,0.0026717694,0.8192287534475327,662.8189801499998,245760,664.9800431728363,1068.13,407,245760,120,-0.002608052,0.029101562,4.263231
14.005885,0.0033837736,0.8010668754577637,674.8216700799999,247808,670.0087475776672,1083.7,382,247808,121,0.00049102923,0.03881836,4.2588253
12.019515,0.005392854,0.8596300780773163,688.6691140999999,249856,675.3623762130737,1101.58,399,249856,122,-0.004239477,0.066308595,4.246958
17.694141,0.004947021,0.8482359051704407,692.28531256,251904,680.4901027679443,1105.96,372,251904,123,-0.0033724583,0.055517577,4.242089
9.270887,0.0034574673,0.8706773817539215,690.7162277500001,253952,685.9927809238434,1105.76,399,253952,124,-0.0063416297,0.04169922,4.2464013
8.681168,0.004059037,0.89787258207798,692.7675490000001,256000,691.117173910141,1108.69,380,256000,125,-0.0013548728,0.046044923,4.2480636
13.886487,0.004688467,0.8088340312242508,682.1186525,258048,696.5060827732086,1096.24,383,258048,126,-0.0025028284,0.05732422,4.2461395
13.893379,0.0052945158,0.8433642238378525,694.3852913200001,260096,701.8528022766113,1111.68,394,260096,127,-0.0029059472,0.06538086,4.250348
13.487508,0.0028585442,0.8486811369657516,700.42025845,262144,707.0409557819366,1120.27,395,262144,128,-0.0034648501,0.030273438,4.258296
12.319746,0.0053801127,0.8537713140249252,712.7965425599999,264192,712.2230141162872,1135.74,375,264192,129,-0.0054297396,0.06977539,4.268457
8.995815,0.0025906016,0.8704188615083694,723.45750039,266240,717.6754102706909,1150.53,384,266240,130,-0.0027821425,0.025537109,4.262406
11.220007,0.002568047,0.8727741092443466,718.9480038099999,268288,723.0094473361969,1143.91,380,268288,131,-0.0036705933,0.025488282,4.262081
13.458165,0.0048204698,0.84134541451931,729.3927517500001,270336,728.389634847641,1159.34,381,270336,132,-0.0032387662,0.057763673,4.277127
16.445057,0.0029373835,0.8265389502048492,742.2288428300001,272384,733.7633280754089,1174.86,395,272384,133,-0.0020675606,0.02836914,4.2803817
11.096176,0.0060875,0.779515340924263,752.0467589000001,274432,738.9456167221069,1189.51,333,274432,134,-0.0037070536,0.06958008,4.263856
10.483766,0.0045936746,0.7092390954494476,762.59876628,276480,745.0858869552612,1204.93,324,276480,135,0.000490739,0.05292969,4.2654657
26.412334,0.0025525778,0.7897206693887711,759.5394243100001,278528,751.4064359664917,1199.14,380,278528,136,-0.0019370187,0.025488282,4.2739763
5.595907,0.0050128913,0.9362239316105843,768.9178554900001,280576,756.7872257232666,1211.56,387,280576,137,-0.0063444986,0.058398437,4.278266
8.875809,0.004794546,0.7819696664810181,780.74350175,282624,762.071852684021,1229.57,393,282624,138,-0.0037903278,0.058496095,4.283428
11.039192,0.004884098,0.9324406161904335,788.9846106499999,284672,767.2738108634949,1238.58,383,284672,139,-0.0052453494,0.050439455,4.2934713
12.370623,0.0033320386,0.7487720549106598,799.2933605599999,286720,772.6113495826721,1253.99,410,286720,140,-0.004590065,0.03984375,4.308002
9.08958,0.0030976008,0.8696960061788559,810.11091357,288768,777.6006054878235,1268.32,394,288768,141,-0.0018434739,0.03203125,4.3004465
13.590569,0.0021540248,0.8784485384821892,822.11527727,290816,782.7903120517731,1283.98,357,290816,142,-0.0039373487,0.022607422,4.291831
10.2247715,0.0026026038,0.8672618418931961,821.29016847,292864,788.5121901035309,1280.42,385,292864,143,-0.00043274602,0.02836914,4.302455
11.731245,0.0028931901,0.8281963914632797,833.7097460800001,294912,793.8189241886139,1298.06,388,294912,144,-0.0035807777,0.032470703,4.307352
17.221006,0.0033049833,0.7860139608383179,828.2455982999999,296960,799.0958075523376,1291.82,383,296960,145,-0.0030773424,0.037841797,4.30898
12.950333,0.0039379327,0.8228301554918289,840.5178770799998,299008,804.4341540336609,1308.74,373,299008,146,-0.0050473227,0.047607422,4.310177
8.198444,0.0037752478,0.9084482192993164,853.39702048,301056,809.9122009277344,1326.39,368,301056,147,-0.003905567,0.037158202,4.2957387
9.406218,0.0036503305,0.8729080706834793,859.99448657,303104,815.4650180339813,1334.46,380,303104,148,-0.003632448,0.037060548,4.2857447
7.553579,0.004971883,0.9208461344242096,867.7315888200001,305152,820.843090057373,1344.13,394,305152,149,-0.0059235347,0.05307617,4.2977138
14.94531,0.0025599664,0.7778157144784927,881.5494244399998,307200,826.0286831855774,1362.0,376,307200,150,-0.0022962198,0.027734375,4.3041296
12.830035,0.006020937,0.8745581358671188,895.1670181599998,309248,831.471800327301,1380.14,380,309248,151,-0.005701935,0.07163086,4.292099
12.765279,0.003104317,0.888521134853363,903.2526283799999,311296,836.8491096496582,1389.41,375,311296,152,-0.002672033,0.033203125,4.279046
11.064116,0.005877293,0.8446136862039566,903.3193676299999,313344,842.3074057102203,1389.41,396,313344,153,-0.003188124,0.06601562,4.28923
8.120305,0.0038255765,0.9147283583879471,911.6159049800001,315392,847.4679052829742,1399.63,376,315392,154,-0.002533858,0.041894533,4.2957187
7.256598,0.0015045449,0.9298028126358986,920.3422947500002,317440,852.9039540290833,1411.28,373,317440,155,-0.000106751046,0.013232422,4.289809
14.3509445,0.006914357,0.6930486559867859,933.6159380800002,319488,858.3920757770538,1429.38,393,319488,156,-0.005859666,0.082617186,4.2959347
14.268372,0.0046061324,0.8716365844011307,931.7808898400002,321536,863.601217508316,1429.19,383,321536,157,-0.008635454,0.049072266,4.2992244
16.44897,0.0020215462,0.6886090934276581,944.8318876600001,323584,868.9451303482056,1447.12,408,323584,158,-0.0034983628,0.019873047,4.2971425
15.10491,0.0056942506,0.7534384578466415,954.2836323300003,325632,873.9557101726532,1459.28,372,325632,159,-0.0066144923,0.06508789,4.307556
16.438871,0.0044367216,0.7910478562116623,961.94951107,327680,879.4573574066162,1470.39,390,327680,160,-0.0038606196,0.050341796,4.3247657
10.730558,0.005436982,0.8241535127162933,972.7263090200001,329728,884.702879190445,1484.85,399,329728,161,-0.005627217,0.06035156,4.326789
15.760416,0.004627543,0.7581636905670166,984.4564217100001,331776,889.8305854797363,1500.41,291,331776,162,-0.0024329098,0.055859376,4.3306823
11.395795,0.0052328967,0.8973328769207001,997.9141540000002,333824,896.8544571399689,1518.29,359,333824,163,-0.0030842857,0.059521485,4.3252034
15.341209,0.0037132576,0.7042635083198547,1011.9362291000002,335872,902.5456266403198,1536.5,373,335872,164,-0.001830308,0.041308593,4.3216443
15.629316,0.0028968272,0.7727782279253006,1013.7144183500001,337920,908.0298738479614,1537.55,391,337920,165,-0.0017625972,0.029199218,4.3187203
13.1976795,0.005637698,0.85447958111763,1026.8520062800003,339968,913.2677125930786,1554.42,375,339968,166,-0.007500015,0.07192383,4.326809
16.021154,0.0023760046,0.7677369266748428,1039.44252675,342016,918.7268595695496,1569.73,400,342016,167,-0.0014424592,0.025927734,4.345954
10.166201,0.0050989627,0.8807279542088509,1050.03256334,344064,923.8396100997925,1584.18,380,344064,168,-0.0027450633,0.05517578,4.357167
14.649905,0.00406249,0.6584846377372742,1060.3970654599998,346112,929.2195408344269,1597.93,328,346112,169,-0.0024862231,0.047509767,4.3626995
20.274319,0.0044798227,0.7901610136032104,1081.6251080999998,348160,935.45911693573,1627.89,339,348160,170,-0.0046231016,0.05234375,4.3706293
10.111933,0.0028625359,0.8722111582756042,1082.0354281199998,350208,941.494550704956,1627.89,335,350208,171,-0.0034640867,0.030371094,4.3807726
11.364073,0.002587154,0.7991399317979813,1076.2262120999999,352256,947.5935468673706,1621.44,370,352256,172,-0.0025351327,0.028955078,4.379061
12.825564,0.0033222556,0.8513147830963135,1077.1997776599999,354304,953.1148841381073,1621.44,372,354304,173,-0.003919336,0.035595704,4.3675475
15.012416,0.0028913545,0.7696353942155838,1080.83478074,356352,958.6114454269409,1625.49,392,356352,174,-0.0021468732,0.03359375,4.365549
9.634451,0.0048765587,0.8467898964881897,1081.1323004600001,358400,963.829859495163,1625.49,396,358400,175,-0.0064557283,0.05683594,4.3687186
17.420576,0.0040368056,0.8363610804080963,1066.11389998,360448,968.9990701675415,1603.71,398,360448,176,-0.0006085231,0.046289064,4.3816886
12.88867,0.002969629,0.8461746722459793,1061.3939559,362496,974.1445634365082,1596.94,390,362496,177,-0.0034171543,0.033203125,4.402052
3.9912515,0.001927024,0.9448213577270508,1061.76166258,364544,979.3943374156952,1596.84,390,364544,178,-0.0034348685,0.020166015,4.407178
15.698944,0.0040087737,0.7793243527412415,1062.61438784,366592,984.6373555660248,1596.84,393,366592,179,-0.003736999,0.049853515,4.399988
14.41068,0.0034140036,0.8675262480974197,1044.2387644300002,368640,989.8427724838257,1574.82,312,368640,180,-0.0035843602,0.037841797,4.3932548
9.970907,0.007934093,0.8099272698163986,1035.6410314500001,370688,996.4019038677216,1562.39,351,370688,181,-0.005587883,0.1,4.3945274
14.410879,0.0040725293,0.8142427355051041,1034.40446603,372736,1002.2360336780548,1562.39,381,372736,182,-0.00339695,0.043847658,4.397581
11.342129,0.004271408,0.7274424135684967,1035.0644947500002,374784,1007.6051695346832,1562.39,380,374784,183,-0.001993632,0.050146483,4.4067116
11.712534,0.006856157,0.7339509725570679,1032.18671338,376832,1012.9831249713898,1562.39,366,376832,184,-0.0041549606,0.077539064,4.4189425
9.239542,0.004520741,0.8183722048997879,1030.48817205,378880,1018.5644583702087,1562.39,372,378880,185,-0.0010616728,0.05620117,4.4212604
9.91068,0.0025448431,0.8848237991333008,1029.39739459,380928,1024.0644252300262,1562.39,386,380928,186,-0.0024761178,0.02602539,4.4060254
10.590352,0.0060921633,0.7353422343730927,1031.45965626,382976,1029.370642900467,1566.0,395,382976,187,-0.004095328,0.07080078,4.4047136
20.94321,0.0038390383,0.7420327663421631,1012.38110611,385024,1034.5453774929047,1539.74,404,385024,188,-0.004880138,0.041992188,4.417478
17.511143,0.0044535366,0.7841641455888748,1008.9595151899999,387072,1039.6065409183502,1533.76,373,387072,189,-0.003594093,0.051611327,4.415442
10.462914,0.0026407393,0.87009596824646,1010.9836994499998,389120,1045.0868067741394,1536.34,382,389120,190,-0.0042340914,0.026806641,4.416628
19.689686,0.0028947466,0.8412240892648697,990.3190988299997,391168,1050.4436559677124,1511.37,384,391168,191,-0.00056557456,0.026855469,4.4244404
12.8967,0.0032123658,0.8629908412694931,982.90351357,393216,1055.7762656211853,1499.95,364,393216,192,-0.0024564175,0.033203125,4.4271283
13.016635,0.0048981877,0.8517479747533798,996.99870084,395264,1061.3975064754486,1517.74,381,395264,193,-0.003254362,0.059423827,4.4218574
18.164442,0.004640919,0.7803744822740555,999.5155123600001,397312,1066.7661838531494,1522.29,378,397312,194,-0.0021434713,0.053955078,4.420909
19.204967,0.002851118,0.7905320227146149,982.51040396,399360,1072.1718442440033,1501.88,381,399360,195,-0.0040640114,0.0296875,4.434097
12.845218,0.0016775716,0.8342038989067078,975.54371117,401408,1077.5435853004456,1492.44,378,401408,196,-0.0026469496,0.015136719,4.443787
13.23004,0.0034154586,0.8425675332546234,979.42105235,403456,1082.95019698143,1497.01,369,403456,197,-0.0009557732,0.037109375,4.447628
12.478806,0.0034619428,0.8944368287920952,967.3185302699999,405504,1088.4977140426636,1480.24,389,405504,198,-0.0039170734,0.037744142,4.4534407
12.6962385,0.0030619153,0.8962696418166161,964.7782110199997,407552,1093.7601068019867,1476.89,382,407552,199,-0.003731568,0.030566406,4.458995
10.810184,0.0022087249,0.8625298291444778,965.2771009699999,409600,1099.1207587718964,1477.93,377,409600,200,-0.0037630107,0.021923829,4.461771
7.253038,0.0032169218,0.9372082874178886,950.7681977999999,411648,1104.5501437187195,1459.38,353,411648,201,-0.0046802955,0.032958984,4.4625564
8.104937,0.0052380087,0.9242590218782425,954.53705651,413696,1110.3404190540314,1462.3,379,413696,202,-0.007769807,0.061572265,4.4688296
13.22157,0.005119657,0.7917957156896591,967.1184769299999,415744,1115.7415916919708,1480.17,373,415744,203,-0.007060811,0.059033204,4.4737387
