value_loss,time_elapsed,policy_entropy,total_timesteps,serial_timesteps,fps,explained_variance,policy_loss,clipfrac,approxkl,n_updates,ep_len_mean,ep_reward_mean
8.334412,310.4549648761749,4.406827,147456,147456,463,0.9152918457984924,-0.005638941,0.05620117,0.0056102574,72,1621.8333333333333,1085.0343526666666
10.014091,314.87614274024963,4.4157863,149504,149504,463,0.6296895444393158,-0.0039974884,0.05029297,0.00420723,73,1626.5274725274726,1090.908296989011
10.472902,319.29124760627747,4.4134793,151552,151552,464,0.8667940944433212,-0.0052271127,0.041308593,0.0036078072,74,1631.1195652173913,1092.883740521739
9.484856,323.70272064208984,4.401702,153600,153600,465,0.7792664468288422,-0.0043669054,0.017871093,0.002099444,75,1633.1182795698924,1096.024047139785
21.173252,328.10276985168457,4.388633,155648,155648,461,0.6463438272476196,-0.0024772156,0.026220703,0.0023384788,76,1638.1894736842105,1101.062638273684
8.166498,332.5380871295929,4.3953805,157696,157696,424,0.9257921725511551,0.00024639643,0.048828125,0.0043100324,77,1637.84375,1104.7312482291666
11.035573,337.3661689758301,4.4013715,159744,159744,443,0.8632044941186905,-0.0063503855,0.0675293,0.005630142,78,1642.0824742268042,1110.1585954123711
10.387287,341.9867959022522,4.395465,161792,161792,448,0.818553701043129,-0.00496322,0.049121093,0.0039989552,79,1632.142857142857,1104.5359675612244
12.167424,346.55885577201843,4.393923,163840,163840,445,0.8603475093841553,-0.003619929,0.03730469,0.003223862,80,1627.24,1104.842985
15.006274,351.1528437137604,4.4032183,165888,165888,461,0.7131431400775909,-0.0039462,0.020507812,0.0020551623,81,1627.24,1107.2810677799998
10.360678,355.58901476860046,4.405053,167936,167936,470,0.8312539309263229,-0.002703313,0.04345703,0.0039741276,82,1637.48,1116.7777066299998
9.951788,359.93905568122864,4.406153,169984,169984,451,0.7679459601640701,-0.005943841,0.03701172,0.0037266598,83,1630.41,1115.14425807
10.213274,364.47765493392944,4.4028463,172032,172032,437,0.8520074784755707,-0.0058803447,0.06850586,0.0056467606,84,1643.24,1125.3367877599999
31.000778,369.16186809539795,4.393441,174080,174080,464,0.6794902682304382,-0.0026221876,0.02734375,0.0030861911,85,1620.83,1120.8540034599998
