policy_loss,n_updates,time_elapsed,policy_entropy,ep_reward_mean,explained_variance,clipfrac,total_timesteps,value_loss,ep_len_mean,serial_timesteps,fps,approxkl
-0.008196797,78,342.18309140205383,3.824918,993.00965135,0.8694802671670914,0.054541014,159744,18.27796,1489.98,159744,458,0.0050696027
-0.008464547,79,346.65306854248047,3.8465576,982.09929095,0.9496955424547195,0.07524414,161792,6.0937567,1476.81,161792,475,0.005986285
-0.00505058,80,350.96099758148193,3.8533173,984.0637841100001,0.9139320030808449,0.043164063,163840,12.664073,1476.81,163840,455,0.0036271843
-0.0042292443,81,355.45318388938904,3.8473983,981.86803569,0.9348257333040237,0.07451172,165888,8.493505,1475.6,165888,457,0.0065256692
-0.00887486,82,359.9300856590271,3.8570855,995.25744075,0.7886234372854233,0.068164065,167936,19.781704,1492.58,167936,465,0.0062533272
-0.0047027897,83,364.33175683021545,3.867455,1008.43804646,0.8625768423080444,0.047558594,169984,14.446272,1510.49,169984,480,0.003767787
-0.002102049,84,368.5931046009064,3.867094,1019.8960675900001,0.930956281721592,0.015234375,172032,11.410476,1524.95,172032,458,0.0018360863
-0.0031578834,85,373.06486654281616,3.8683696,1031.9978259900001,0.8413476645946503,0.023632813,174080,18.645945,1539.39,174080,461,0.0024425637
-0.00392071,86,377.50547885894775,3.8591487,1032.45446801,0.8699401170015335,0.0836914,176128,18.895685,1539.39,176128,457,0.007482181
-0.006471692,87,381.9775731563568,3.8601227,1013.0470720500001,0.9194836020469666,0.033203125,178176,11.427435,1513.98,178176,464,0.0030420942
-0.006478989,88,386.3887095451355,3.8659236,987.93552404,0.973574660718441,0.031689454,180224,5.4017735,1480.18,180224,473,0.0032558795
-0.0037653954,89,390.718323469162,3.8693233,984.4825869799997,0.8254911601543427,0.064941406,182272,20.800468,1474.23,182272,463,0.0056911744
-0.0045068734,90,395.1409921646118,3.8727994,981.5200619499998,0.7914484590291977,0.06992187,184320,11.842085,1474.23,184320,467,0.0058486937
-0.007996041,91,399.5222511291504,3.8736942,953.01862169,0.9510559365153313,0.053710938,186368,10.546459,1436.71,186368,451,0.0059100203
-0.004853441,92,404.0603287220001,3.8602104,940.8678574200002,0.9557557515799999,0.06518555,188416,6.824735,1422.91,188416,455,0.005619745
-0.0029382436,93,408.55786204338074,3.8529887,943.3259574300001,0.8739359527826309,0.020068359,190464,25.18066,1424.02,190464,451,0.0021218848
-0.0065877736,94,413.09664583206177,3.858649,943.2720921400002,0.9280909523367882,0.05722656,192512,18.976393,1423.72,192512,445,0.004898825
-0.006426395,95,417.6965880393982,3.863294,940.1763891100002,0.9610986895859241,0.04086914,194560,5.9122515,1418.18,194560,479,0.004082204
-0.0052348813,96,421.97007870674133,3.871467,926.9462055399999,0.936349056661129,0.043310545,196608,17.986994,1399.44,196608,464,0.0037144125
-0.0036672868,97,426.37548303604126,3.8785,939.8130575,0.9103666320443153,0.05078125,198656,11.1442585,1412.45,198656,447,0.0042941035
