serial_timesteps,explained_variance,policy_loss,policy_entropy,ep_reward_mean,n_updates,ep_len_mean,clipfrac,time_elapsed,fps,value_loss,total_timesteps,approxkl
339968,0.768091470003128,-0.0001246353,1.4599015,513.1547515500001,166,1022.58,0.062109374,556.3809344768524,612,9.063902,339968,0.0051915273
342016,0.8929893374443054,-0.0022536311,1.4685453,516.16000025,167,1024.93,0.074316405,559.7236397266388,606,7.648538,342016,0.0068018073
344064,0.9038795307278633,-0.00064263877,1.4743642,521.27857035,168,1031.27,0.05644531,563.1017565727234,575,5.818362,344064,0.0048853112
346112,0.8065904527902603,-0.0024010963,1.4795371,516.3115539900001,169,1018.42,0.038671874,566.6602125167847,615,13.060656,346112,0.003916269
348160,0.9032313078641891,-0.00016597963,1.4919786,520.8922401899999,170,1025.05,0.052734375,569.9859087467194,604,4.363175,348160,0.004502186
350208,0.8790146633982658,-0.0052822432,1.507527,523.47389687,171,1027.7,0.06459961,573.3736264705658,619,5.1196995,350208,0.0055925352
352256,0.9037062972784042,-6.186676e-05,1.5053065,527.6715230699999,172,1033.34,0.047314454,576.678450345993,601,4.0790067,352256,0.0045320415
354304,0.7924387007951736,0.00049186044,1.4987957,528.72191669,173,1031.89,0.061181642,580.083279132843,595,13.727338,354304,0.005561783
356352,0.785121500492096,-0.0059147365,1.4995162,531.85477863,174,1035.34,0.056103516,583.5215630531311,611,8.552107,356352,0.0052093756
358400,0.8339584022760391,-2.8981105e-05,1.5089178,528.13017097,175,1026.5,0.060253907,586.8722946643829,616,8.803844,358400,0.0052440274
360448,0.8849216923117638,-0.00052027643,1.5217899,528.78992356,176,1023.68,0.05913086,590.1983509063721,622,6.6877046,360448,0.0051024444
362496,0.8117317259311676,-0.0017743731,1.541578,521.9489081999999,177,1006.52,0.042822264,593.4872577190399,617,10.480505,362496,0.0037700303
364544,0.8042200803756714,-0.00081963895,1.5521004,509.21355909,178,979.9,0.042529296,596.8031620979309,619,13.592367,364544,0.004062812
366592,0.8740504682064056,1.8005177e-05,1.5573208,507.9594406400001,179,973.44,0.0578125,600.1112520694733,632,9.646674,366592,0.004971844
